gene_symbol,logfc_dz:241,mean_logfc,median_logfc,common_experiment,organism,signature_type
HBD,0.3946287930011749,0.3946287930011749,0.3946287930011749,0.3946287930011749,human,UP
NFKBIA,0.1873623877763748,0.1873623877763748,0.1873623877763748,0.1873623877763748,human,UP
MT2A,0.1680973768234253,0.1680973768234253,0.1680973768234253,0.1680973768234253,human,UP
SLC36A2,0.1464938372373581,0.1464938372373581,0.1464938372373581,0.1464938372373581,human,UP
PSAP,0.1214383020997047,0.1214383020997047,0.1214383020997047,0.1214383020997047,human,UP
ALAS2,0.1148215606808662,0.1148215606808662,0.1148215606808662,0.1148215606808662,human,UP
IFITM1,0.1031369790434837,0.1031369790434837,0.1031369790434837,0.1031369790434837,human,UP
IL1B,0.0983159020543098,0.0983159020543098,0.0983159020543098,0.0983159020543098,human,UP
CAP1,0.0901362001895904,0.0901362001895904,0.0901362001895904,0.0901362001895904,human,UP
CLU,0.0891871973872184,0.0891871973872184,0.0891871973872184,0.0891871973872184,human,UP
ZFP36,0.0891205072402954,0.0891205072402954,0.0891205072402954,0.0891205072402954,human,UP
YWHAB,0.0890639796853065,0.0890639796853065,0.0890639796853065,0.0890639796853065,human,UP
CD14,0.083219401538372,0.083219401538372,0.083219401538372,0.083219401538372,human,UP
FTL,0.0809837654232978,0.0809837654232978,0.0809837654232978,0.0809837654232978,human,UP
EIF1,0.0799697861075401,0.0799697861075401,0.0799697861075401,0.0799697861075401,human,UP
LGALS3,0.0795015320181846,0.0795015320181846,0.0795015320181846,0.0795015320181846,human,UP
UBC,0.0770064815878868,0.0770064815878868,0.0770064815878868,0.0770064815878868,human,UP
JUND,0.0764712691307067,0.0764712691307067,0.0764712691307067,0.0764712691307067,human,UP
RPL27A,0.0760304704308509,0.0760304704308509,0.0760304704308509,0.0760304704308509,human,UP
HLA-DRA,0.0752489864826202,0.0752489864826202,0.0752489864826202,0.0752489864826202,human,UP
S100A12,0.0743656232953071,0.0743656232953071,0.0743656232953071,0.0743656232953071,human,UP
VCAN,0.0728568285703659,0.0728568285703659,0.0728568285703659,0.0728568285703659,human,UP
ATP1B3,0.0725804939866066,0.0725804939866066,0.0725804939866066,0.0725804939866066,human,UP
RPS19,0.0722514390945434,0.0722514390945434,0.0722514390945434,0.0722514390945434,human,UP
PGAM1,0.069739818572998,0.069739818572998,0.069739818572998,0.069739818572998,human,UP
GNAS,0.0697231143712997,0.0697231143712997,0.0697231143712997,0.0697231143712997,human,UP
PTP4A2,0.0692465677857399,0.0692465677857399,0.0692465677857399,0.0692465677857399,human,UP
ARPC2,0.0692177265882492,0.0692177265882492,0.0692177265882492,0.0692177265882492,human,UP
RHOA,0.0684600621461868,0.0684600621461868,0.0684600621461868,0.0684600621461868,human,UP
FTH1,0.0679592862725257,0.0679592862725257,0.0679592862725257,0.0679592862725257,human,UP
CCL5,0.065310388803482,0.065310388803482,0.065310388803482,0.065310388803482,human,UP
GRN,0.0642749816179275,0.0642749816179275,0.0642749816179275,0.0642749816179275,human,UP
GPX1,0.0619214475154876,0.0619214475154876,0.0619214475154876,0.0619214475154876,human,UP
GNLY,0.0614249557256698,0.0614249557256698,0.0614249557256698,0.0614249557256698,human,UP
HLA-DPA1,0.0608082897961139,0.0608082897961139,0.0608082897961139,0.0608082897961139,human,UP
IFI30,0.0604635588824749,0.0604635588824749,0.0604635588824749,0.0604635588824749,human,UP
F13A1,0.0603183358907699,0.0603183358907699,0.0603183358907699,0.0603183358907699,human,UP
CLIC1,0.0596188493072986,0.0596188493072986,0.0596188493072986,0.0596188493072986,human,UP
PCBP2,0.0594310015439987,0.0594310015439987,0.0594310015439987,0.0594310015439987,human,UP
CX3CR1,0.0585310757160186,0.0585310757160186,0.0585310757160186,0.0585310757160186,human,UP
ALDOA,0.0580012574791908,0.0580012574791908,0.0580012574791908,0.0580012574791908,human,UP
FGR,0.0564976260066032,0.0564976260066032,0.0564976260066032,0.0564976260066032,human,UP
ARPC1B,0.0551028698682785,0.0551028698682785,0.0551028698682785,0.0551028698682785,human,UP
DAZAP2,0.0550275780260562,0.0550275780260562,0.0550275780260562,0.0550275780260562,human,UP
TNFRSF1B,0.0546447858214378,0.0546447858214378,0.0546447858214378,0.0546447858214378,human,UP
ANXA11,0.0539580807089805,0.0539580807089805,0.0539580807089805,0.0539580807089805,human,UP
IER2,0.0538497939705848,0.0538497939705848,0.0538497939705848,0.0538497939705848,human,UP
VCL,0.0534953810274601,0.0534953810274601,0.0534953810274601,0.0534953810274601,human,UP
CAPN2,0.0533494837582111,0.0533494837582111,0.0533494837582111,0.0533494837582111,human,UP
HLA-A,0.0523024275898933,0.0523024275898933,0.0523024275898933,0.0523024275898933,human,UP
PSMB9,0.0518973134458065,0.0518973134458065,0.0518973134458065,0.0518973134458065,human,UP
COX8A,0.0515060201287269,0.0515060201287269,0.0515060201287269,0.0515060201287269,human,UP
TKT,0.0514911897480487,0.0514911897480487,0.0514911897480487,0.0514911897480487,human,UP
TUBA1A,0.0508932434022426,0.0508932434022426,0.0508932434022426,0.0508932434022426,human,UP
CD53,0.0508199371397495,0.0508199371397495,0.0508199371397495,0.0508199371397495,human,UP
YBX1,0.0502235069870948,0.0502235069870948,0.0502235069870948,0.0502235069870948,human,UP
ZYX,0.0501694269478321,0.0501694269478321,0.0501694269478321,0.0501694269478321,human,UP
GUK1,0.0496490001678466,0.0496490001678466,0.0496490001678466,0.0496490001678466,human,UP
UCP2,0.0493168272078037,0.0493168272078037,0.0493168272078037,0.0493168272078037,human,UP
ARF3,0.0491257645189762,0.0491257645189762,0.0491257645189762,0.0491257645189762,human,UP
PSME2,0.0476842299103736,0.0476842299103736,0.0476842299103736,0.0476842299103736,human,UP
RHOG,0.0473654717206954,0.0473654717206954,0.0473654717206954,0.0473654717206954,human,UP
RNF10,0.0471633151173591,0.0471633151173591,0.0471633151173591,0.0471633151173591,human,UP
ITGB2,0.0468781404197216,0.0468781404197216,0.0468781404197216,0.0468781404197216,human,UP
PABPC1,0.0461250767111778,0.0461250767111778,0.0461250767111778,0.0461250767111778,human,UP
TPT1,0.0451853200793266,0.0451853200793266,0.0451853200793266,0.0451853200793266,human,UP
TNIP1,0.0451346635818481,0.0451346635818481,0.0451346635818481,0.0451346635818481,human,UP
CD81,0.0448525436222553,0.0448525436222553,0.0448525436222553,0.0448525436222553,human,UP
FLNA,0.044304072856903,0.044304072856903,0.044304072856903,0.044304072856903,human,UP
B2M,0.0427064038813114,0.0427064038813114,0.0427064038813114,0.0427064038813114,human,UP
MARCKS,0.0424339435994625,0.0424339435994625,0.0424339435994625,0.0424339435994625,human,UP
PPT1,0.042338129132986,0.042338129132986,0.042338129132986,0.042338129132986,human,UP
SLC25A3,0.0418183021247386,0.0418183021247386,0.0418183021247386,0.0418183021247386,human,UP
RPS3A,0.04140555113554,0.04140555113554,0.04140555113554,0.04140555113554,human,UP
PSME1,0.041308905929327,0.041308905929327,0.041308905929327,0.041308905929327,human,UP
UBA52,0.0403940603137016,0.0403940603137016,0.0403940603137016,0.0403940603137016,human,UP
RAC1,0.0402449555695056,0.0402449555695056,0.0402449555695056,0.0402449555695056,human,UP
KLF6,0.0398303270339965,0.0398303270339965,0.0398303270339965,0.0398303270339965,human,UP
ENO1,0.0394521504640579,0.0394521504640579,0.0394521504640579,0.0394521504640579,human,UP
CSK,0.0390728786587715,0.0390728786587715,0.0390728786587715,0.0390728786587715,human,UP
NCF2,0.0390303954482078,0.0390303954482078,0.0390303954482078,0.0390303954482078,human,UP
CSTB,0.0389359854161739,0.0389359854161739,0.0389359854161739,0.0389359854161739,human,UP
LAPTM5,0.038332562893629,0.038332562893629,0.038332562893629,0.038332562893629,human,UP
SLC25A5,0.0382845886051654,0.0382845886051654,0.0382845886051654,0.0382845886051654,human,UP
PF4,0.0381475463509559,0.0381475463509559,0.0381475463509559,0.0381475463509559,human,UP
HMGN2,0.0381312295794487,0.0381312295794487,0.0381312295794487,0.0381312295794487,human,UP
MPP1,0.0380895547568798,0.0380895547568798,0.0380895547568798,0.0380895547568798,human,UP
ARF1,0.0380097143352031,0.0380097143352031,0.0380097143352031,0.0380097143352031,human,UP
PPIA,0.03788448497653,0.03788448497653,0.03788448497653,0.03788448497653,human,UP
CXCR4,0.0370771586894989,0.0370771586894989,0.0370771586894989,0.0370771586894989,human,UP
YWHAQ,0.0368138365447521,0.0368138365447521,0.0368138365447521,0.0368138365447521,human,UP
IFNGR2,0.0363645106554031,0.0363645106554031,0.0363645106554031,0.0363645106554031,human,UP
FCER1G,0.0359685905277729,0.0359685905277729,0.0359685905277729,0.0359685905277729,human,UP
LDHB,0.0359641760587692,0.0359641760587692,0.0359641760587692,0.0359641760587692,human,UP
CLEC2B,0.0358122885227203,0.0358122885227203,0.0358122885227203,0.0358122885227203,human,UP
EIF4H,0.0353446267545223,0.0353446267545223,0.0353446267545223,0.0353446267545223,human,UP
TMSB10,0.0353443771600723,0.0353443771600723,0.0353443771600723,0.0353443771600723,human,UP
TSPO,0.0351535752415657,0.0351535752415657,0.0351535752415657,0.0351535752415657,human,UP
HMGN1,0.0342166759073734,0.0342166759073734,0.0342166759073734,0.0342166759073734,human,UP
ATF4,0.0341958813369274,0.0341958813369274,0.0341958813369274,0.0341958813369274,human,UP
GZMH,0.0341892428696155,0.0341892428696155,0.0341892428696155,0.0341892428696155,human,UP
GPSM3,0.0341782011091709,0.0341782011091709,0.0341782011091709,0.0341782011091709,human,UP
FCGR3B,0.0339551381766796,0.0339551381766796,0.0339551381766796,0.0339551381766796,human,UP
RPL7,0.033720139414072,0.033720139414072,0.033720139414072,0.033720139414072,human,UP
FOS,0.0334213450551033,0.0334213450551033,0.0334213450551033,0.0334213450551033,human,UP
IER3,0.0334014631807804,0.0334014631807804,0.0334014631807804,0.0334014631807804,human,UP
MYH9,0.0331967584788799,0.0331967584788799,0.0331967584788799,0.0331967584788799,human,UP
PSMB10,0.0331447571516037,0.0331447571516037,0.0331447571516037,0.0331447571516037,human,UP
CAPG,0.0330294147133827,0.0330294147133827,0.0330294147133827,0.0330294147133827,human,UP
SECTM1,0.0329055115580558,0.0329055115580558,0.0329055115580558,0.0329055115580558,human,UP
MMP9,0.0328557267785072,0.0328557267785072,0.0328557267785072,0.0328557267785072,human,UP
CEBPD,0.0325697436928749,0.0325697436928749,0.0325697436928749,0.0325697436928749,human,UP
NKG7,0.0322555005550384,0.0322555005550384,0.0322555005550384,0.0322555005550384,human,UP
BCL2A1,0.0322355106472969,0.0322355106472969,0.0322355106472969,0.0322355106472969,human,UP
COX4I1,0.031584370881319,0.031584370881319,0.031584370881319,0.031584370881319,human,UP
FGL2,0.0315665043890476,0.0315665043890476,0.0315665043890476,0.0315665043890476,human,UP
HINT1,0.031200723722577,0.031200723722577,0.031200723722577,0.031200723722577,human,UP
IL32,0.0309645049273967,0.0309645049273967,0.0309645049273967,0.0309645049273967,human,UP
SERPINB1,0.0308306887745857,0.0308306887745857,0.0308306887745857,0.0308306887745857,human,UP
RPS7,0.0300896987318992,0.0300896987318992,0.0300896987318992,0.0300896987318992,human,UP
PTMA,0.0296512208878994,0.0296512208878994,0.0296512208878994,0.0296512208878994,human,UP
EIF3E,0.0295788068324327,0.0295788068324327,0.0295788068324327,0.0295788068324327,human,UP
ODC1,0.0295677408576011,0.0295677408576011,0.0295677408576011,0.0295677408576011,human,UP
IL2RB,0.0295337121933698,0.0295337121933698,0.0295337121933698,0.0295337121933698,human,UP
NRGN,0.0293183326721191,0.0293183326721191,0.0293183326721191,0.0293183326721191,human,UP
COX7A2,0.0292908232659101,0.0292908232659101,0.0292908232659101,0.0292908232659101,human,UP
LY6E,0.029119586572051,0.029119586572051,0.029119586572051,0.029119586572051,human,UP
RGS2,0.0290322266519069,0.0290322266519069,0.0290322266519069,0.0290322266519069,human,UP
ISCU,0.0288362689316272,0.0288362689316272,0.0288362689316272,0.0288362689316272,human,UP
PKM,0.0287483502179384,0.0287483502179384,0.0287483502179384,0.0287483502179384,human,UP
RNPEP,0.0287352930754423,0.0287352930754423,0.0287352930754423,0.0287352930754423,human,UP
