gene_symbol,logfc_dz:165,mean_logfc,median_logfc,common_experiment,organism,signature_type
S100A8,0.217691570520401,0.217691570520401,0.217691570520401,0.217691570520401,human,UP
S100A9,0.1605916321277618,0.1605916321277618,0.1605916321277618,0.1605916321277618,human,UP
S100A12,0.1530631184577942,0.1530631184577942,0.1530631184577942,0.1530631184577942,human,UP
PPBP,0.1515135020017624,0.1515135020017624,0.1515135020017624,0.1515135020017624,human,UP
RPL30,0.1463933885097503,0.1463933885097503,0.1463933885097503,0.1463933885097503,human,UP
RPL37A,0.1398206204175949,0.1398206204175949,0.1398206204175949,0.1398206204175949,human,UP
B2M,0.1358512341976165,0.1358512341976165,0.1358512341976165,0.1358512341976165,human,UP
RPL41,0.1176659613847732,0.1176659613847732,0.1176659613847732,0.1176659613847732,human,UP
RPL39,0.1097361743450164,0.1097361743450164,0.1097361743450164,0.1097361743450164,human,UP
PF4,0.107763685286045,0.107763685286045,0.107763685286045,0.107763685286045,human,UP
RPS21,0.1062166541814804,0.1062166541814804,0.1062166541814804,0.1062166541814804,human,UP
S100A4,0.1025866195559501,0.1025866195559501,0.1025866195559501,0.1025866195559501,human,UP
HBB,0.0976945534348487,0.0976945534348487,0.0976945534348487,0.0976945534348487,human,UP
TMSB10,0.0961540564894676,0.0961540564894676,0.0961540564894676,0.0961540564894676,human,UP
RPL23A,0.0936418622732162,0.0936418622732162,0.0936418622732162,0.0936418622732162,human,UP
RPS28,0.0911631360650062,0.0911631360650062,0.0911631360650062,0.0911631360650062,human,UP
RPS23,0.0880492702126503,0.0880492702126503,0.0880492702126503,0.0880492702126503,human,UP
RPS4Y1,0.0859076604247093,0.0859076604247093,0.0859076604247093,0.0859076604247093,human,UP
GPX1,0.0831360220909118,0.0831360220909118,0.0831360220909118,0.0831360220909118,human,UP
LTA4H,0.081898458302021,0.081898458302021,0.081898458302021,0.081898458302021,human,UP
CFL1,0.0793726816773414,0.0793726816773414,0.0793726816773414,0.0793726816773414,human,UP
RPS24,0.0764467343688011,0.0764467343688011,0.0764467343688011,0.0764467343688011,human,UP
LTF,0.0740731954574585,0.0740731954574585,0.0740731954574585,0.0740731954574585,human,UP
RPS10,0.0737548097968101,0.0737548097968101,0.0737548097968101,0.0737548097968101,human,UP
NRGN,0.0735962316393852,0.0735962316393852,0.0735962316393852,0.0735962316393852,human,UP
RPS18,0.0731077715754509,0.0731077715754509,0.0731077715754509,0.0731077715754509,human,UP
VCAN,0.0699604451656341,0.0699604451656341,0.0699604451656341,0.0699604451656341,human,UP
ANXA1,0.0698055773973465,0.0698055773973465,0.0698055773973465,0.0698055773973465,human,UP
RPS29,0.0681312456727027,0.0681312456727027,0.0681312456727027,0.0681312456727027,human,UP
ACTG1,0.0675351321697235,0.0675351321697235,0.0675351321697235,0.0675351321697235,human,UP
CCL5,0.0656188949942588,0.0656188949942588,0.0656188949942588,0.0656188949942588,human,UP
RPL7,0.0650041326880455,0.0650041326880455,0.0650041326880455,0.0650041326880455,human,UP
