disease,filename,genes_before_standardization,genes_after_standardization,genes_after_shared_gene_filter,change_standardization,change_filtering,total_change,retention_after_standardization_pct,retention_after_filtering_pct,retention_total_pct
Acute_Lung_Injury,Acute_Lung_Injury_signature.csv,595,270,236,-325,-34,-359,45.38,87.41,39.66
Alzheimer's_disease,Alzheimer's_disease_signature.csv,1795,881,636,-914,-245,-1159,49.08,72.19,35.43
Anaplasmosis,Anaplasmosis_signature.csv,596,388,288,-208,-100,-308,65.1,74.23,48.32
Barrett's_esophagus,Barrett's_esophagus_signature.csv,1204,418,332,-786,-86,-872,34.72,79.43,27.57
Carcinoma_in_situ_of_large_intestine,Carcinoma_in_situ_of_large_intestine_signature.csv,594,302,232,-292,-70,-362,50.84,76.82,39.06
Cardiomyopathy,Cardiomyopathy_signature.csv,839,302,264,-537,-38,-575,36.0,87.42,31.47
Chronic_Lymphocytic_Leukemia_(Chronic_B-lymphocytic_leukemia),Chronic_Lymphocytic_Leukemia_(Chronic_B-lymphocytic_leukemia)_signature.csv,594,145,92,-449,-53,-502,24.41,63.45,15.49
Crohn's_disease,Crohn's_disease_signature.csv,1844,644,574,-1200,-70,-1270,34.92,89.13,31.13
"Dental_cavity,_complex","Dental_cavity,_complex_signature.csv",582,146,110,-436,-36,-472,25.09,75.34,18.9
Diabetic_Nephropathy,Diabetic_Nephropathy_signature.csv,599,181,169,-418,-12,-430,30.22,93.37,28.21
Diamond-Blackfan_anemia,Diamond-Blackfan_anemia_signature.csv,600,359,330,-241,-29,-270,59.83,91.92,55.0
Down_syndrome,Down_syndrome_signature.csv,2975,1373,1020,-1602,-353,-1955,46.15,74.29,34.29
Duchenne_muscular_dystrophy,Duchenne_muscular_dystrophy_signature.csv,595,242,223,-353,-19,-372,40.67,92.15,37.48
Ebola_hemorrhagic_fever,Ebola_hemorrhagic_fever_signature.csv,600,281,261,-319,-20,-339,46.83,92.88,43.5
Eczema,Eczema_signature.csv,595,162,148,-433,-14,-447,27.23,91.36,24.87
Epithelial_proliferation,Epithelial_proliferation_signature.csv,600,467,436,-133,-31,-164,77.83,93.36,72.67
HIV_encephalitis,HIV_encephalitis_signature.csv,599,260,239,-339,-21,-360,43.41,91.92,39.9
Helicobacter_pylori_gastrointestinal_tract_infection,Helicobacter_pylori_gastrointestinal_tract_infection_signature.csv,365,112,108,-253,-4,-257,30.68,96.43,29.59
Hereditary_gingival_fibromatosis,Hereditary_gingival_fibromatosis_signature.csv,597,180,127,-417,-53,-470,30.15,70.56,21.27
Human_immunodeficiency_virus_infectious_disease,Human_immunodeficiency_virus_infectious_disease_signature.csv,1306,619,561,-687,-58,-745,47.4,90.63,42.96
Huntington's_disease,Huntington's_disease_signature.csv,2197,481,366,-1716,-115,-1831,21.89,76.09,16.66
Hypoxia,Hypoxia_signature.csv,1080,469,391,-611,-78,-689,43.43,83.37,36.2
Infection_by_Aspergillus_fumigatus,Infection_by_Aspergillus_fumigatus_signature.csv,597,336,277,-261,-59,-320,56.28,82.44,46.4
Intestinal_metaplasia_of_gastric_mucosa,Intestinal_metaplasia_of_gastric_mucosa_signature.csv,600,541,436,-59,-105,-164,90.17,80.59,72.67
Ischemic_stroke,Ischemic_stroke_signature.csv,593,287,229,-306,-58,-364,48.4,79.79,38.62
JRA_-_Juvenile_rheumatoid_arthritis,JRA_-_Juvenile_rheumatoid_arthritis_signature.csv,594,334,255,-260,-79,-339,56.23,76.35,42.93
LGLL_-_Large_granular_lymphocytic_leukemia,LGLL_-_Large_granular_lymphocytic_leukemia_signature.csv,597,254,223,-343,-31,-374,42.55,87.8,37.35
"Leukemia,_Chronic_T-Cell","Leukemia,_Chronic_T-Cell_signature.csv",597,339,305,-258,-34,-292,56.78,89.97,51.09
Lewy_body_dementia,Lewy_body_dementia_signature.csv,1018,501,393,-517,-108,-625,49.21,78.44,38.61
Lung_Injury,Lung_Injury_signature.csv,600,264,251,-336,-13,-349,44.0,95.08,41.83
Lung_transplant_rejection,Lung_transplant_rejection_signature.csv,597,375,341,-222,-34,-256,62.81,90.93,57.12
MDS_-_Myelodysplastic_syndrome,MDS_-_Myelodysplastic_syndrome_signature.csv,596,325,253,-271,-72,-343,54.53,77.85,42.45
MELAS_syndrome,MELAS_syndrome_signature.csv,599,236,209,-363,-27,-390,39.4,88.56,34.89
Marfan_syndrome,Marfan_syndrome_signature.csv,600,325,300,-275,-25,-300,54.17,92.31,50.0
Meningococcal_infection,Meningococcal_infection_signature.csv,1161,483,427,-678,-56,-734,41.6,88.41,36.78
NASH,NASH_signature.csv,596,467,350,-129,-117,-246,78.36,74.95,58.72
Nicotine_addiction,Nicotine_addiction_signature.csv,596,185,147,-411,-38,-449,31.04,79.46,24.66
Osteolysis,Osteolysis_signature.csv,598,351,307,-247,-44,-291,58.7,87.46,51.34
Overexertion,Overexertion_signature.csv,594,393,349,-201,-44,-245,66.16,88.8,58.75
Parkinson's_disease,Parkinson's_disease_signature.csv,1908,457,361,-1451,-96,-1547,23.95,78.99,18.92
Polymyositis,Polymyositis_signature.csv,592,263,243,-329,-20,-349,44.43,92.4,41.05
"Pompe_disease,_infantile-onset_form","Pompe_disease,_infantile-onset_form_signature.csv",599,340,245,-259,-95,-354,56.76,72.06,40.9
Premature_aging,Premature_aging_signature.csv,597,328,257,-269,-71,-340,54.94,78.35,43.05
Pseudomonas_Infection,Pseudomonas_Infection_signature.csv,600,319,288,-281,-31,-312,53.17,90.28,48.0
Psoriasis_vulgaris,Psoriasis_vulgaris_signature.csv,1428,491,406,-937,-85,-1022,34.38,82.69,28.43
Rett_syndrome,Rett_syndrome_signature.csv,600,365,339,-235,-26,-261,60.83,92.88,56.5
Rhinovirus_infection,Rhinovirus_infection_signature.csv,595,284,220,-311,-64,-375,47.73,77.46,36.97
Rotavirus_infection_of_children,Rotavirus_infection_of_children_signature.csv,599,185,155,-414,-30,-444,30.88,83.78,25.88
Schizophrenia,Schizophrenia_signature.csv,4867,2525,1667,-2342,-858,-3200,51.88,66.02,34.25
Senescence,Senescence_signature.csv,1106,572,520,-534,-52,-586,51.72,90.91,47.02
Septic_Shock,Septic_Shock_signature.csv,599,229,142,-370,-87,-457,38.23,62.01,23.71
Setleis_syndrome,Setleis_syndrome_signature.csv,599,284,237,-315,-47,-362,47.41,83.45,39.57
Simian_Acquired_Immune_Deficiency_Syndrome,Simian_Acquired_Immune_Deficiency_Syndrome_signature.csv,1097,566,467,-531,-99,-630,51.6,82.51,42.57
Sjogren's_syndrome,Sjogren's_syndrome_signature.csv,824,351,270,-473,-81,-554,42.6,76.92,32.77
Squamous_cell_carcinoma_of_mouth,Squamous_cell_carcinoma_of_mouth_signature.csv,596,70,66,-526,-4,-530,11.74,94.29,11.07
Teratospermia,Teratospermia_signature.csv,594,319,167,-275,-152,-427,53.7,52.35,28.11
Turner_syndrome,Turner_syndrome_signature.csv,600,228,167,-372,-61,-433,38.0,73.25,27.83
