gene_symbol,logfc_dz:592,logfc_dz:521,logfc_dz:520,logfc_dz:522,logfc_dz:519,logfc_dz:524,logfc_dz:523,mean_logfc,median_logfc,common_experiment,organism
TUBA1A,0.20027785003185272,-0.016588028520345688,-0.018778182566165924,-0.019333727657794952,-0.021764377132058144,,,0.024762706831097603,-0.018778182566165924,0.20027785003185272,human
RPL13A,0.15735305845737457,,,,,,,0.15735305845737457,0.15735305845737457,0.15735305845737457,human
UBC,0.1462043821811676,-0.033793944865465164,,,-0.07495029270648956,-0.040286675095558167,,-0.0007066326215863228,-0.037040309980511665,0.1462043821811676,human
MT2A,0.1367175579071045,0.07260370999574661,-0.02028157003223896,-0.04750218242406845,0.10897371917963028,-0.18296687304973602,0.22673560678958893,0.04203999548086098,0.07260370999574661,0.1367175579071045,human
PTGDS,0.13392184674739838,-0.016975296661257744,,,,0.023138944059610367,,0.046695164715250335,0.023138944059610367,0.13392184674739838,human
FTL,0.13326197862625122,0.024760037660598755,0.024365032091736794,,-0.04296071082353592,0.021903758868575096,,0.03226601928472519,0.024365032091736794,0.13326197862625122,human
RPS29,0.11519058048725128,,,,,,,0.11519058048725128,0.11519058048725128,0.11519058048725128,human
RPSA,0.11014581471681595,,,,,,,0.11014581471681595,0.11014581471681595,0.11014581471681595,human
RPS10,0.10977265983819962,-0.019169701263308525,,,-0.022289637476205826,-0.01560860127210617,-0.015470308251678944,0.00744688231498003,-0.01560860127210617,0.10977265983819962,human
FAM107A,0.10466551035642624,0.06951383501291275,0.07008538395166397,0.06824623048305511,,-0.01769048161804676,0.043387945741415024,0.056368070654571056,0.06888003274798393,0.10466551035642624,human
CERS1,0.10460511595010757,,,,,,,0.10460511595010757,0.10460511595010757,0.10460511595010757,human
COX7A2,0.10441499948501587,,,,-0.02000541053712368,,,0.042204794473946095,0.042204794473946095,0.10441499948501587,human
RPL32,0.10388645529747009,,,,,,,0.10388645529747009,0.10388645529747009,0.10388645529747009,human
RPL21,0.10372361540794373,,,,,,,0.10372361540794373,0.10372361540794373,0.10372361540794373,human
IFITM3,0.09919260442256927,0.04709995165467262,,,,-0.018425561487674713,0.05964603275060654,0.04687825683504343,0.05337299220263958,0.09919260442256927,human
RPL41,0.09287717193365097,,,,,,,0.09287717193365097,0.09287717193365097,0.09287717193365097,human
EEF1G,0.09203749895095825,,,,,,0.016479285433888435,0.054258392192423344,0.054258392192423344,0.09203749895095825,human
UBA52,0.0882437452673912,,,,-0.01899384707212448,,,0.03462494909763336,0.03462494909763336,0.0882437452673912,human
GAPDH,0.083169125020504,-0.06071380898356438,-0.1027137041091919,-0.05522238090634346,-0.08139923959970474,-0.10552828758955002,-0.062065526843070984,-0.05492483185870307,-0.062065526843070984,0.083169125020504,human
RPS4X,0.08252546936273575,,,0.015959804877638817,,,-0.01572459749877453,0.027586892247200012,0.015959804877638817,0.08252546936273575,human
RPS18,0.08068595081567764,,,,,,,0.08068595081567764,0.08068595081567764,0.08068595081567764,human
RPL39,0.08064840734004974,,,,,,,0.08064840734004974,0.08064840734004974,0.08064840734004974,human
ATP6V0E2,0.0803779885172844,0.019127855077385902,,,,-0.018267638981342316,,0.027079401537775993,0.019127855077385902,0.0803779885172844,human
RPS8,0.07855328917503357,,,,,,,0.07855328917503357,0.07855328917503357,0.07855328917503357,human
RPL13AP5,0.07259092479944229,-0.07510694861412048,0.02778337337076664,0.02512182481586933,-0.03491618111729622,-0.035905465483665466,-0.0625472441315651,-0.011854245194367,-0.03491618111729622,0.07259092479944229,human
RPL27,0.06870952993631363,,,,,,,0.06870952993631363,0.06870952993631363,0.06870952993631363,human
COX3,0.06841772794723511,,,,,,,0.06841772794723511,0.06841772794723511,0.06841772794723511,human
RPL19,0.06293883919715881,,,,,,,0.06293883919715881,0.06293883919715881,0.06293883919715881,human
RPS20,0.06238607317209244,0.03239922970533371,0.019657040014863014,0.04206495359539986,,,,0.039126824121922255,0.03723209165036678,0.06238607317209244,human
TUBB4B,0.061883583664894104,-0.06280698627233505,-0.02039293944835663,,-0.05071111023426056,0.03612425923347473,,-0.007180638611316681,-0.02039293944835663,0.061883583664894104,human
FAU,0.06158056855201721,,,,,,,0.06158056855201721,0.06158056855201721,0.06158056855201721,human
