gene_symbol,logfc_dz:21,mean_logfc,median_logfc,common_experiment,organism
COX2,0.15096120536327362,0.15096120536327362,0.15096120536327362,0.15096120536327362,human
RPL23A,0.1143498495221138,0.1143498495221138,0.1143498495221138,0.1143498495221138,human
LOC728026,0.09199110418558121,0.09199110418558121,0.09199110418558121,0.09199110418558121,human
NACAP1,0.08604221045970917,0.08604221045970917,0.08604221045970917,0.08604221045970917,human
RPL38,0.08540830761194229,0.08540830761194229,0.08540830761194229,0.08540830761194229,human
EEF1G,0.08279010653495789,0.08279010653495789,0.08279010653495789,0.08279010653495789,human
LDHA,0.07936035096645355,0.07936035096645355,0.07936035096645355,0.07936035096645355,human
YWHAG,0.07518664747476578,0.07518664747476578,0.07518664747476578,0.07518664747476578,human
FTH1,0.07135922461748123,0.07135922461748123,0.07135922461748123,0.07135922461748123,human
FAM35A,0.07112067937850952,0.07112067937850952,0.07112067937850952,0.07112067937850952,human
RPL8,0.07043982297182083,0.07043982297182083,0.07043982297182083,0.07043982297182083,human
ACTB,0.0659734234213829,0.0659734234213829,0.0659734234213829,0.0659734234213829,human
VDAC2,0.06560709327459335,0.06560709327459335,0.06560709327459335,0.06560709327459335,human
RPS7,0.06436306983232498,0.06436306983232498,0.06436306983232498,0.06436306983232498,human
LPCAT1,0.06395477056503296,0.06395477056503296,0.06395477056503296,0.06395477056503296,human
NBPF10,0.06386330723762512,0.06386330723762512,0.06386330723762512,0.06386330723762512,human
RPL4,0.06375537067651749,0.06375537067651749,0.06375537067651749,0.06375537067651749,human
RPS4X,0.0636877492070198,0.0636877492070198,0.0636877492070198,0.0636877492070198,human
RPS10,0.06268869340419769,0.06268869340419769,0.06268869340419769,0.06268869340419769,human
HSP90AA1,0.062437623739242554,0.062437623739242554,0.062437623739242554,0.062437623739242554,human
RPL6,0.06158881261944771,0.06158881261944771,0.06158881261944771,0.06158881261944771,human
MRFAP1,0.061301156878471375,0.061301156878471375,0.061301156878471375,0.061301156878471375,human
OPHN1,0.05888494849205017,0.05888494849205017,0.05888494849205017,0.05888494849205017,human
ACTG1,0.057472825050354004,0.057472825050354004,0.057472825050354004,0.057472825050354004,human
H3F3AP4,0.057293180376291275,0.057293180376291275,0.057293180376291275,0.057293180376291275,human
EMP3,0.05444736406207085,0.05444736406207085,0.05444736406207085,0.05444736406207085,human
LBR,0.05414767563343048,0.05414767563343048,0.05414767563343048,0.05414767563343048,human
LASP1,0.05326155573129654,0.05326155573129654,0.05326155573129654,0.05326155573129654,human
RAN,0.052940402179956436,0.052940402179956436,0.052940402179956436,0.052940402179956436,human
ATF4,0.05273047834634781,0.05273047834634781,0.05273047834634781,0.05273047834634781,human
EEF1A1P9,0.05259409174323082,0.05259409174323082,0.05259409174323082,0.05259409174323082,human
