gene_symbol,logfc_dz:596,logfc_dz:917,logfc_dz:453,logfc_dz:643,mean_logfc,median_logfc,common_experiment,organism
TFF1,0.17711734771728516,0.297242671251297,0.18545061349868774,0.1765831559896469,0.2090984471142292,0.18128398060798645,0.297242671251297,human
CTSE,0.1522836834192276,0.06611809879541397,0.13521966338157654,0.0750650018453598,0.10717161186039448,0.10514233261346817,0.06611809879541397,human
KRT8,0.15108995139598846,,0.13610321283340454,,0.1435965821146965,0.1435965821146965,,human
LYZ,0.15101474523544312,0.14803701639175415,0.12472643703222275,0.08532392978668213,0.12727553211152554,0.13638172671198845,0.14803701639175415,human
PIGR,0.14452876150608063,,0.12528759241104126,,0.13490817695856094,0.13490817695856094,,human
TSPAN8,0.12543605268001556,0.19254504144191742,0.11226939409971237,0.16618885099887848,0.14910983480513096,0.14581245183944702,0.19254504144191742,human
AGR2,0.11418832093477249,0.21711690723896027,0.09109501540660858,0.16731686890125275,0.14742927812039852,0.14075259491801262,0.21711690723896027,human
LGALS4,0.11014819145202637,0.13313105702400208,0.10208563506603241,0.11714241653680801,0.11562682501971722,0.11364530399441719,0.13313105702400208,human
TSPAN3,0.10191749036312103,0.08121846616268158,0.07957587391138077,0.03603442385792732,0.07468656357377768,0.08039717003703117,0.08121846616268158,human
HLA-B,0.10142625868320465,0.04875678941607475,0.07458774000406265,0.09295129030942917,0.0794305196031928,0.08376951515674591,0.04875678941607475,human
HLA-A,0.10108890384435654,0.06790419667959213,0.07252733409404755,0.09043359011411667,0.08298850618302822,0.08148046210408211,0.06790419667959213,human
TSPAN1,0.07854656875133514,0.05959036946296692,0.06749950349330902,0.07288289070129395,0.06962983310222626,0.07019119709730148,0.05959036946296692,human
HLA-C,0.07659422606229782,0.04001246765255928,0.05679211765527725,0.08634626120328903,0.06493626814335585,0.06669317185878754,0.04001246765255928,human
HLA-J,0.07075778394937515,,0.05063210800290108,0.014451766386628151,0.045280552779634796,0.05063210800290108,,human
MIR622,0.06779926270246506,,0.06093580275774002,,0.06436753273010254,0.06436753273010254,,human
B2M,0.06741402298212051,0.16102689504623413,0.05204075574874878,0.06219970062375069,0.08567034360021353,0.0648068618029356,0.16102689504623413,human
SLC44A4,0.06133297085762024,0.021385062485933304,0.052996136248111725,0.017661821097135544,0.0383439976722002,0.037190599367022514,0.021385062485933304,human
MUC13,0.06107287481427193,0.023762637749314308,0.051461100578308105,0.030053773894906044,0.041587596759200096,0.040757437236607075,0.023762637749314308,human
TM9SF3,0.0606602281332016,0.029230624437332153,0.04681595787405968,0.015976622700691223,0.03817085828632116,0.038023291155695915,0.029230624437332153,human
GOLM1,0.05828985944390297,0.03384207934141159,0.053543705493211746,0.029542453587055206,0.04380452446639538,0.04369289241731167,0.03384207934141159,human
UBB,0.054598189890384674,0.019095689058303833,0.0406179204583168,,0.038103933135668434,0.0406179204583168,0.019095689058303833,human
EPCAM,0.05309649556875229,0.17403054237365723,0.04408871755003929,0.05209246277809143,0.08082705456763506,0.05259447917342186,0.17403054237365723,human
HLA-G,0.053076133131980896,0.008969530463218689,0.04144200310111046,0.038850296288728714,0.03558449074625969,0.040146149694919586,0.008969530463218689,human
MUC6,0.0523042157292366,,0.049577295780181885,,0.050940755754709244,0.050940755754709244,,human
DMBT1,0.0515039786696434,,0.03383495658636093,0.048300161957740784,0.04454636573791504,0.048300161957740784,,human
MUC1,0.05115899071097374,0.009934361092746258,0.04253466799855232,0.026732532307505608,0.03259013802744448,0.034633600153028965,0.009934361092746258,human
CLDN18,0.050355203449726105,0.014394792728126049,0.044744186103343964,,0.03649806076039871,0.044744186103343964,0.014394792728126049,human
