gene_symbol,logfc_dz:781,logfc_dz:780,mean_logfc,median_logfc,common_experiment,organism
CYAT1,0.30499181151390076,0.14854244887828827,0.2267671301960945,0.2267671301960945,0.14854244887828827,human
RGS2,0.18471676111221313,0.11381765455007553,0.14926720783114433,0.14926720783114433,0.11381765455007553,human
HBA2,0.182211771607399,-0.1582430899143219,0.011984340846538544,0.011984340846538544,-0.1582430899143219,human
S100A9,0.1795187145471573,-0.1216614693403244,0.028928622603416443,0.028928622603416443,-0.1216614693403244,human
IGHA2,0.1388346403837204,0.03602628409862518,0.08743046224117279,0.08743046224117279,0.03602628409862518,human
CX3CR1,0.13691973686218262,0.11478307843208313,0.12585140764713287,0.12585140764713287,0.11478307843208313,human
FOS,0.12885096669197083,0.05000542104244232,0.08942819386720657,0.08942819386720657,0.05000542104244232,human
FTL,0.12537384033203125,-0.008931858465075493,0.05822099093347788,0.05822099093347788,-0.008931858465075493,human
IFITM3,0.11913371831178665,-0.06314440071582794,0.027994658797979355,0.027994658797979355,-0.06314440071582794,human
HLA-B,0.11727218329906464,0.046354733407497406,0.08181345835328102,0.08181345835328102,0.046354733407497406,human
IFITM2,0.1044350117444992,0.02728496864438057,0.06585999019443989,0.06585999019443989,0.02728496864438057,human
UBC,0.10406090319156647,,0.10406090319156647,0.10406090319156647,,human
FCN1,0.09819582849740982,,0.09819582849740982,0.09819582849740982,,human
IFI30,0.09709401428699493,,0.09709401428699493,0.09709401428699493,,human
MNDA,0.09637941420078278,0.0432683527469635,0.06982388347387314,0.06982388347387314,0.0432683527469635,human
PLBD1,0.09490660578012466,,0.09490660578012466,0.09490660578012466,,human
CALM2,0.08453617244958878,0.07414040714502335,0.07933828979730606,0.07933828979730606,0.07414040714502335,human
TYROBP,0.08181614428758621,-0.03879181668162346,0.021512163802981377,0.021512163802981377,-0.03879181668162346,human
S100A12,0.08085349947214127,,0.08085349947214127,0.08085349947214127,,human
CD14,0.07825006544589996,0.035591162741184235,0.0569206140935421,0.0569206140935421,0.035591162741184235,human
SGK1,0.0751076266169548,0.05441739410161972,0.06476251035928726,0.06476251035928726,0.05441739410161972,human
IER2,0.07468642294406891,0.04528895393013954,0.059987688437104225,0.059987688437104225,0.04528895393013954,human
CORO1A,0.06976097822189331,-0.014856956899166107,0.0274520106613636,0.0274520106613636,-0.014856956899166107,human
CD53,0.06817518174648285,0.053986165672540665,0.06108067370951176,0.06108067370951176,0.053986165672540665,human
HCK,0.0675993263721466,0.02350950613617897,0.04555441625416279,0.04555441625416279,0.02350950613617897,human
IGLC7,0.06562261283397675,0.03951588273048401,0.05256924778223038,0.05256924778223038,0.03951588273048401,human
PTPN6,0.06491169333457947,0.0180677380412817,0.041489715687930584,0.041489715687930584,0.0180677380412817,human
PFN1,0.06327249854803085,,0.06327249854803085,0.06327249854803085,,human
HLA-DRA,0.0628538727760315,0.06340673565864563,0.06313030421733856,0.06313030421733856,0.06340673565864563,human
OAZ1,0.06037826091051102,-0.035983555018901825,0.012197352945804596,0.012197352945804596,-0.035983555018901825,human
S100A4,0.059871964156627655,,0.059871964156627655,0.059871964156627655,,human
HSPA1A,0.05877725034952164,0.048267338424921036,0.053522294387221336,0.053522294387221336,0.048267338424921036,human
CYBA,0.05741579458117485,-0.027594316750764847,0.014910738915205002,0.014910738915205002,-0.027594316750764847,human
