gene_symbol,logfc_dz:157,logfc_dz:40,logfc_dz:419,mean_logfc,median_logfc,common_experiment,organism
GLTSCR2,0.13225114345550537,0.033185962587594986,-0.023429326713085175,0.047335926443338394,0.033185962587594986,0.13225114345550537,human
SLC25A3,0.1053992435336113,0.03687595576047897,-0.03980694338679314,0.03415608530243238,0.03687595576047897,0.1053992435336113,human
ATF4,0.10469218343496323,,-0.021178612485527992,0.04175678547471762,0.04175678547471762,0.10469218343496323,human
RPS3,0.1017143577337265,0.03344123438000679,-0.04617675393819809,0.029659612725178402,0.03344123438000679,0.1017143577337265,human
UBE2S,0.09745138883590698,,,0.09745138883590698,0.09745138883590698,0.09745138883590698,human
LCP1,0.09572780877351761,0.014374825172126293,,0.05505131697282195,0.05505131697282195,0.09572780877351761,human
FAU,0.08980505168437958,0.04315102845430374,-0.05553632229566574,0.025806585947672527,0.04315102845430374,0.08980505168437958,human
RHOA,0.08765537291765213,0.021443597972393036,-0.03053702414035797,0.026187315583229065,0.021443597972393036,0.08765537291765213,human
NDUFA13,0.0831339955329895,,,0.0831339955329895,0.0831339955329895,0.0831339955329895,human
RARS,0.08200263977050781,,,0.08200263977050781,0.08200263977050781,0.08200263977050781,human
SNRPD3,0.081458181142807,,0.024708939716219902,0.053083560429513454,0.053083560429513454,0.081458181142807,human
NME1-NME2,0.07894999533891678,,-0.026359546929597855,0.026295224204659462,0.026295224204659462,0.07894999533891678,human
COX6A1,0.07701168954372406,0.02452891506254673,,0.050770302303135395,0.050770302303135395,0.07701168954372406,human
GARS,0.07607009261846542,,,0.07607009261846542,0.07607009261846542,0.07607009261846542,human
PSAT1,0.0756884291768074,,,0.0756884291768074,0.0756884291768074,0.0756884291768074,human
SLC7A5,0.07466258108615875,,,0.07466258108615875,0.07466258108615875,0.07466258108615875,human
POMP,0.07423863559961319,,,0.07423863559961319,0.07423863559961319,0.07423863559961319,human
RPL13AP5,0.07406887412071228,,-0.029655050486326218,0.02220691181719303,0.02220691181719303,0.07406887412071228,human
RPS14P3,0.07222092151641846,,-0.17643626034259796,-0.05210766941308975,-0.05210766941308975,0.07222092151641846,human
RPL8,0.0721835270524025,-0.017499620094895363,-0.13459205627441406,-0.02663604977230231,-0.017499620094895363,0.0721835270524025,human
RPS9,0.06948283314704895,,-0.13332806527614594,-0.03192261606454849,-0.03192261606454849,0.06948283314704895,human
UBC,0.06874413043260574,,-0.024973472580313683,0.02188532892614603,0.02188532892614603,0.06874413043260574,human
FDFT1,0.06864704191684723,,0.024881619960069656,0.04676433093845844,0.04676433093845844,0.06864704191684723,human
PRMT1,0.06794248521327972,,-0.016733305528759956,0.025604589842259884,0.025604589842259884,0.06794248521327972,human
EIF3D,0.06758782267570496,0.012507754378020763,-0.04390313848853111,0.012064146188398203,0.012507754378020763,0.06758782267570496,human
SERINC5,0.0662880465388298,,,0.0662880465388298,0.0662880465388298,0.0662880465388298,human
RPL19,0.06557907909154892,-0.02268090844154358,-0.026263030245900154,0.005545046801368396,-0.02268090844154358,0.06557907909154892,human
IARS,0.06292054057121277,,,0.06292054057121277,0.06292054057121277,0.06292054057121277,human
ADA,0.06133216246962547,,,0.06133216246962547,0.06133216246962547,0.06133216246962547,human
PMPCB,0.05885729193687439,,,0.05885729193687439,0.05885729193687439,0.05885729193687439,human
SNRPD2,0.058587782084941864,,,0.058587782084941864,0.058587782084941864,0.058587782084941864,human
EIF3H,0.057614631950855255,,-0.04010052606463432,0.008757052943110466,0.008757052943110466,0.057614631950855255,human
NGFRAP1,0.05682333931326866,-0.01046330202370882,-0.045353420078754425,0.000335539070268472,-0.01046330202370882,0.05682333931326866,human
CSNK2B,0.05599818751215935,,,0.05599818751215935,0.05599818751215935,0.05599818751215935,human
PFN1,0.05536270886659622,0.029223449528217316,0.09045170992612839,0.058345956106980644,0.05536270886659622,0.05536270886659622,human
PKM,0.05528400465846062,0.008770427666604519,,0.03202721616253257,0.03202721616253257,0.05528400465846062,human
