gene_symbol,logfc_dz:102,mean_logfc,median_logfc,common_experiment,organism
TNNT3,0.13738374412059784,0.13738374412059784,0.13738374412059784,0.13738374412059784,human
EEF1A1P9,0.08406427502632141,0.08406427502632141,0.08406427502632141,0.08406427502632141,human
APOD,0.06851029396057129,0.06851029396057129,0.06851029396057129,0.06851029396057129,human
HLA-A,0.05889322981238365,0.05889322981238365,0.05889322981238365,0.05889322981238365,human
RPS4Y1,0.05871506407856941,0.05871506407856941,0.05871506407856941,0.05871506407856941,human
EEF2,0.05488171428442001,0.05488171428442001,0.05488171428442001,0.05488171428442001,human
LDHB,0.04853757843375206,0.04853757843375206,0.04853757843375206,0.04853757843375206,human
CFL1,0.045085180550813675,0.045085180550813675,0.045085180550813675,0.045085180550813675,human
TCAP,0.038633424788713455,0.038633424788713455,0.038633424788713455,0.038633424788713455,human
RPL36,0.038530975580215454,0.038530975580215454,0.038530975580215454,0.038530975580215454,human
FTL,0.037949338555336,0.037949338555336,0.037949338555336,0.037949338555336,human
ACTG1,0.03693452477455139,0.03693452477455139,0.03693452477455139,0.03693452477455139,human
NACAP1,0.03602980077266693,0.03602980077266693,0.03602980077266693,0.03602980077266693,human
SPARCL1,0.03579897806048393,0.03579897806048393,0.03579897806048393,0.03579897806048393,human
MYOM2,0.03508247807621956,0.03508247807621956,0.03508247807621956,0.03508247807621956,human
ANKRD2,0.0344819650053978,0.0344819650053978,0.0344819650053978,0.0344819650053978,human
SERPINF1,0.03418281301856041,0.03418281301856041,0.03418281301856041,0.03418281301856041,human
ETFB,0.03380975499749184,0.03380975499749184,0.03380975499749184,0.03380975499749184,human
NMRK2,0.033666472882032394,0.033666472882032394,0.033666472882032394,0.033666472882032394,human
THBS4,0.03350730985403061,0.03350730985403061,0.03350730985403061,0.03350730985403061,human
ATP2A1,0.033148251473903656,0.033148251473903656,0.033148251473903656,0.033148251473903656,human
EEF1A1,0.032872721552848816,0.032872721552848816,0.032872721552848816,0.032872721552848816,human
ATP1A2,0.03218395262956619,0.03218395262956619,0.03218395262956619,0.03218395262956619,human
COL6A3,0.032146796584129333,0.032146796584129333,0.032146796584129333,0.032146796584129333,human
GSTO1,0.030780574306845665,0.030780574306845665,0.030780574306845665,0.030780574306845665,human
HLA-DRB1,0.03047456219792366,0.03047456219792366,0.03047456219792366,0.03047456219792366,human
ACADVL,0.030361318960785866,0.030361318960785866,0.030361318960785866,0.030361318960785866,human
EIF3CL,0.029615385457873344,0.029615385457873344,0.029615385457873344,0.029615385457873344,human
RPL3,0.029475590214133263,0.029475590214133263,0.029475590214133263,0.029475590214133263,human
HLA-B,0.02849769778549671,0.02849769778549671,0.02849769778549671,0.02849769778549671,human
CD74,0.02833215333521366,0.02833215333521366,0.02833215333521366,0.02833215333521366,human
CAND2,0.028330901637673378,0.028330901637673378,0.028330901637673378,0.028330901637673378,human
CD63,0.028296172618865967,0.028296172618865967,0.028296172618865967,0.028296172618865967,human
LGALS3,0.02829008921980858,0.02829008921980858,0.02829008921980858,0.02829008921980858,human
ACTC1,0.02811771258711815,0.02811771258711815,0.02811771258711815,0.02811771258711815,human
FLNC,0.02750910073518753,0.02750910073518753,0.02750910073518753,0.02750910073518753,human
HLA-C,0.027185866609215736,0.027185866609215736,0.027185866609215736,0.027185866609215736,human
CEBPB,0.02713838405907154,0.02713838405907154,0.02713838405907154,0.02713838405907154,human
HOXC10,0.027057785540819168,0.027057785540819168,0.027057785540819168,0.027057785540819168,human
MYH1,0.026730913668870926,0.026730913668870926,0.026730913668870926,0.026730913668870926,human
RPS8,0.0265958234667778,0.0265958234667778,0.0265958234667778,0.0265958234667778,human
CA3,0.02596680074930191,0.02596680074930191,0.02596680074930191,0.02596680074930191,human
IFITM1,0.024745402857661247,0.024745402857661247,0.024745402857661247,0.024745402857661247,human
CACNA1S,0.024457916617393494,0.024457916617393494,0.024457916617393494,0.024457916617393494,human
RYR1,0.02432120032608509,0.02432120032608509,0.02432120032608509,0.02432120032608509,human
TMA7,0.02431548200547695,0.02431548200547695,0.02431548200547695,0.02431548200547695,human
TMSB4XP8,0.023851903155446053,0.023851903155446053,0.023851903155446053,0.023851903155446053,human
DLST,0.022715771570801735,0.022715771570801735,0.022715771570801735,0.022715771570801735,human
MYBPC2,0.02225821278989315,0.02225821278989315,0.02225821278989315,0.02225821278989315,human
HLA-DRB4,0.021824022755026817,0.021824022755026817,0.021824022755026817,0.021824022755026817,human
H1F0,0.021637678146362305,0.021637678146362305,0.021637678146362305,0.021637678146362305,human
LOC653513,0.02162945084273815,0.02162945084273815,0.02162945084273815,0.02162945084273815,human
CHKB-CPT1B,0.02085321769118309,0.02085321769118309,0.02085321769118309,0.02085321769118309,human
KLHL41,0.020817412063479424,0.020817412063479424,0.020817412063479424,0.020817412063479424,human
SYNE2,0.02077256329357624,0.02077256329357624,0.02077256329357624,0.02077256329357624,human
LTBP2,0.020721280947327614,0.020721280947327614,0.020721280947327614,0.020721280947327614,human
RPS14P3,0.020590119063854218,0.020590119063854218,0.020590119063854218,0.020590119063854218,human
ANXA6,0.020555948838591576,0.020555948838591576,0.020555948838591576,0.020555948838591576,human
EIF3G,0.020053241401910782,0.020053241401910782,0.020053241401910782,0.020053241401910782,human
UCP2,0.019962986931204796,0.019962986931204796,0.019962986931204796,0.019962986931204796,human
CILP,0.019934706389904022,0.019934706389904022,0.019934706389904022,0.019934706389904022,human
ZNF106,0.01976775750517845,0.01976775750517845,0.01976775750517845,0.01976775750517845,human
RPL27A,0.019729597494006157,0.019729597494006157,0.019729597494006157,0.019729597494006157,human
PSMD8,0.019603971391916275,0.019603971391916275,0.019603971391916275,0.019603971391916275,human
RPL10,0.019455911591649055,0.019455911591649055,0.019455911591649055,0.019455911591649055,human
CST3,0.019451653584837914,0.019451653584837914,0.019451653584837914,0.019451653584837914,human
ECH1,0.019406797364354134,0.019406797364354134,0.019406797364354134,0.019406797364354134,human
HADHB,0.0192356426268816,0.0192356426268816,0.0192356426268816,0.0192356426268816,human
HSPA2,0.0188859011977911,0.0188859011977911,0.0188859011977911,0.0188859011977911,human
SYNPO2L,0.018857397139072418,0.018857397139072418,0.018857397139072418,0.018857397139072418,human
TMSB10,0.018710242584347725,0.018710242584347725,0.018710242584347725,0.018710242584347725,human
TCEAL4,0.018685368821024895,0.018685368821024895,0.018685368821024895,0.018685368821024895,human
VIM,0.018640367314219475,0.018640367314219475,0.018640367314219475,0.018640367314219475,human
GPX3,0.018603354692459106,0.018603354692459106,0.018603354692459106,0.018603354692459106,human
EIF4H,0.018529320135712624,0.018529320135712624,0.018529320135712624,0.018529320135712624,human
C3,0.018441643565893173,0.018441643565893173,0.018441643565893173,0.018441643565893173,human
RPS25,0.01809079200029373,0.01809079200029373,0.01809079200029373,0.01809079200029373,human
OAZ1,0.018001869320869446,0.018001869320869446,0.018001869320869446,0.018001869320869446,human
SGCA,0.017994394525885582,0.017994394525885582,0.017994394525885582,0.017994394525885582,human
TACC2,0.01796424202620983,0.01796424202620983,0.01796424202620983,0.01796424202620983,human
RPL38,0.01787424087524414,0.01787424087524414,0.01787424087524414,0.01787424087524414,human
CFD,0.01784958876669407,0.01784958876669407,0.01784958876669407,0.01784958876669407,human
RPS27L,0.017649879679083824,0.017649879679083824,0.017649879679083824,0.017649879679083824,human
GSTM2,0.01749381236732006,0.01749381236732006,0.01749381236732006,0.01749381236732006,human
RYR3,0.016968056559562683,0.016968056559562683,0.016968056559562683,0.016968056559562683,human
ACTB,0.016930976882576942,0.016930976882576942,0.016930976882576942,0.016930976882576942,human
MYH6,0.016651654615998268,0.016651654615998268,0.016651654615998268,0.016651654615998268,human
TMEM70,0.016649121418595314,0.016649121418595314,0.016649121418595314,0.016649121418595314,human
ASS1,0.016629153862595558,0.016629153862595558,0.016629153862595558,0.016629153862595558,human
PTOV1,0.016595540568232536,0.016595540568232536,0.016595540568232536,0.016595540568232536,human
VWF,0.016012564301490784,0.016012564301490784,0.016012564301490784,0.016012564301490784,human
ATP5I,0.015980657190084457,0.015980657190084457,0.015980657190084457,0.015980657190084457,human
HLA-DRB5,0.015647340565919876,0.015647340565919876,0.015647340565919876,0.015647340565919876,human
FOXO3,0.015366461127996445,0.015366461127996445,0.015366461127996445,0.015366461127996445,human
IL32,0.015354384668171406,0.015354384668171406,0.015354384668171406,0.015354384668171406,human
RPL29,0.015301213599741459,0.015301213599741459,0.015301213599741459,0.015301213599741459,human
UBE2E1,0.015196445398032665,0.015196445398032665,0.015196445398032665,0.015196445398032665,human
RPS5,0.014941276051104069,0.014941276051104069,0.014941276051104069,0.014941276051104069,human
FAM129A,0.014739695005118847,0.014739695005118847,0.014739695005118847,0.014739695005118847,human
RRAD,0.014615993946790695,0.014615993946790695,0.014615993946790695,0.014615993946790695,human
IFITM2,0.014515086077153683,0.014515086077153683,0.014515086077153683,0.014515086077153683,human
PHYH,0.01446652039885521,0.01446652039885521,0.01446652039885521,0.01446652039885521,human
CYB5R1,0.014251737855374813,0.014251737855374813,0.014251737855374813,0.014251737855374813,human
LAPTM4A,0.014182563871145248,0.014182563871145248,0.014182563871145248,0.014182563871145248,human
PDZRN3,0.01412397250533104,0.01412397250533104,0.01412397250533104,0.01412397250533104,human
H3F3B,0.014079793356359005,0.014079793356359005,0.014079793356359005,0.014079793356359005,human
CXCL14,0.014046543277800083,0.014046543277800083,0.014046543277800083,0.014046543277800083,human
HMGN2,0.013974121771752834,0.013974121771752834,0.013974121771752834,0.013974121771752834,human
DDAH1,0.01393146999180317,0.01393146999180317,0.01393146999180317,0.01393146999180317,human
DYNC1H1,0.013757861219346523,0.013757861219346523,0.013757861219346523,0.013757861219346523,human
MYOM1,0.013749769888818264,0.013749769888818264,0.013749769888818264,0.013749769888818264,human
SYNGR2,0.013714752160012722,0.013714752160012722,0.013714752160012722,0.013714752160012722,human
PKM,0.013707411475479603,0.013707411475479603,0.013707411475479603,0.013707411475479603,human
TSPYL1,0.01367842499166727,0.01367842499166727,0.01367842499166727,0.01367842499166727,human
SLC25A6,0.013443476520478725,0.013443476520478725,0.013443476520478725,0.013443476520478725,human
HYPK,0.013422692194581032,0.013422692194581032,0.013422692194581032,0.013422692194581032,human
HLA-E,0.013382397592067719,0.013382397592067719,0.013382397592067719,0.013382397592067719,human
RPS11,0.0132652772590518,0.0132652772590518,0.0132652772590518,0.0132652772590518,human
GYS1,0.013233810663223267,0.013233810663223267,0.013233810663223267,0.013233810663223267,human
CIRBP,0.013118699193000793,0.013118699193000793,0.013118699193000793,0.013118699193000793,human
SEPP1,0.012974490411579609,0.012974490411579609,0.012974490411579609,0.012974490411579609,human
IFI27,0.012846948578953743,0.012846948578953743,0.012846948578953743,0.012846948578953743,human
ISOC2,0.012809192761778831,0.012809192761778831,0.012809192761778831,0.012809192761778831,human
RFTN1,0.012657828629016876,0.012657828629016876,0.012657828629016876,0.012657828629016876,human
COX5B,0.012475153431296349,0.012475153431296349,0.012475153431296349,0.012475153431296349,human
PSMB7,0.012388903647661209,0.012388903647661209,0.012388903647661209,0.012388903647661209,human
S100A10,0.012375694699585438,0.012375694699585438,0.012375694699585438,0.012375694699585438,human
FABP3,0.012118598446249962,0.012118598446249962,0.012118598446249962,0.012118598446249962,human
UBA1,0.012083128094673157,0.012083128094673157,0.012083128094673157,0.012083128094673157,human
MKNK2,0.01184165570884943,0.01184165570884943,0.01184165570884943,0.01184165570884943,human
MYO18A,0.011832220479846,0.011832220479846,0.011832220479846,0.011832220479846,human
TAF15,0.011596458964049816,0.011596458964049816,0.011596458964049816,0.011596458964049816,human
PMPCB,0.011568399146199226,0.011568399146199226,0.011568399146199226,0.011568399146199226,human
ACTN3,0.011519379913806915,0.011519379913806915,0.011519379913806915,0.011519379913806915,human
PADI2,0.011503789573907852,0.011503789573907852,0.011503789573907852,0.011503789573907852,human
MYL12A,0.011470935307443142,0.011470935307443142,0.011470935307443142,0.011470935307443142,human
TPPP3,0.0114473607391119,0.0114473607391119,0.0114473607391119,0.0114473607391119,human
PEBP1,0.011437296867370605,0.011437296867370605,0.011437296867370605,0.011437296867370605,human
RLIM,0.011373612098395824,0.011373612098395824,0.011373612098395824,0.011373612098395824,human
MSRB1,0.011290759779512882,0.011290759779512882,0.011290759779512882,0.011290759779512882,human
CAPNS1,0.011091124266386032,0.011091124266386032,0.011091124266386032,0.011091124266386032,human
EEF1D,0.011066402308642864,0.011066402308642864,0.011066402308642864,0.011066402308642864,human
APH1A,0.011051855981349945,0.011051855981349945,0.011051855981349945,0.011051855981349945,human
NDUFA3,0.01093717385083437,0.01093717385083437,0.01093717385083437,0.01093717385083437,human
EDF1,0.01093557570129633,0.01093557570129633,0.01093557570129633,0.01093557570129633,human
EPHX1,0.010853342711925507,0.010853342711925507,0.010853342711925507,0.010853342711925507,human
HNRNPA2B1,0.010824433527886868,0.010824433527886868,0.010824433527886868,0.010824433527886868,human
PSME2,0.01068953238427639,0.01068953238427639,0.01068953238427639,0.01068953238427639,human
CLUH,0.010491603054106236,0.010491603054106236,0.010491603054106236,0.010491603054106236,human
SLC24A3,0.010412565432488918,0.010412565432488918,0.010412565432488918,0.010412565432488918,human
KLF2,0.01034641545265913,0.01034641545265913,0.01034641545265913,0.01034641545265913,human
NAA50,0.010251189582049847,0.010251189582049847,0.010251189582049847,0.010251189582049847,human
HNRNPK,0.01024345587939024,0.01024345587939024,0.01024345587939024,0.01024345587939024,human
SARS,0.010233553126454353,0.010233553126454353,0.010233553126454353,0.010233553126454353,human
RPL26,0.010163035243749619,0.010163035243749619,0.010163035243749619,0.010163035243749619,human
NES,0.010126198641955853,0.010126198641955853,0.010126198641955853,0.010126198641955853,human
LOC100093631,0.010082526132464409,0.010082526132464409,0.010082526132464409,0.010082526132464409,human
PABPC1,0.010064566507935524,0.010064566507935524,0.010064566507935524,0.010064566507935524,human
FAM47E,0.010063858702778816,0.010063858702778816,0.010063858702778816,0.010063858702778816,human
TOB1,0.010034319944679737,0.010034319944679737,0.010034319944679737,0.010034319944679737,human
IER5,0.00993859488517046,0.00993859488517046,0.00993859488517046,0.00993859488517046,human
TGFBI,0.009846880100667477,0.009846880100667477,0.009846880100667477,0.009846880100667477,human
