gene_symbol,logfc_dz:347,logfc_dz:394,mean_logfc,median_logfc,common_experiment,organism
MT2A,0.23029473423957825,,0.23029473423957825,0.23029473423957825,0.23029473423957825,human
NFKBIA,0.15938317775726318,,0.15938317775726318,0.15938317775726318,0.15938317775726318,human
RPS18,0.14216546714305878,,0.14216546714305878,0.14216546714305878,0.14216546714305878,human
SLC38A2,0.13952650129795074,,0.13952650129795074,0.13952650129795074,0.13952650129795074,human
CTGF,0.13733495771884918,,0.13733495771884918,0.13733495771884918,0.13733495771884918,human
RHOB,0.13623744249343872,,0.13623744249343872,0.13623744249343872,0.13623744249343872,human
ACTB,0.13468486070632935,-0.013375549577176571,0.06065465556457639,0.06065465556457639,0.13468486070632935,human
SGK1,0.12389600276947021,,0.12389600276947021,0.12389600276947021,0.12389600276947021,human
VIM,0.12351925671100616,,0.12351925671100616,0.12351925671100616,0.12351925671100616,human
RPL6,0.1226988136768341,,0.1226988136768341,0.1226988136768341,0.1226988136768341,human
SERPINE1,0.12133657932281494,,0.12133657932281494,0.12133657932281494,0.12133657932281494,human
PODXL,0.12014002352952957,,0.12014002352952957,0.12014002352952957,0.12014002352952957,human
CYR61,0.11724012345075607,,0.11724012345075607,0.11724012345075607,0.11724012345075607,human
CCL2,0.1119491308927536,-0.04391638934612274,0.03401637077331543,0.03401637077331543,0.1119491308927536,human
MT1H,0.1104263961315155,-0.014071953482925892,0.048177221324294806,0.048177221324294806,0.1104263961315155,human
MMP1,0.10339105874300003,,0.10339105874300003,0.10339105874300003,0.10339105874300003,human
HNRNPA1P10,0.10208920389413834,,0.10208920389413834,0.10208920389413834,0.10208920389413834,human
TMSB4XP8,0.1020796149969101,,0.1020796149969101,0.1020796149969101,0.1020796149969101,human
ACTG1,0.10043862462043762,,0.10043862462043762,0.10043862462043762,0.10043862462043762,human
CXCL8,0.09563945978879929,,0.09563945978879929,0.09563945978879929,0.09563945978879929,human
AKAP12,0.09541547298431396,,0.09541547298431396,0.09541547298431396,0.09541547298431396,human
RPS27A,0.09029223769903183,,0.09029223769903183,0.09029223769903183,0.09029223769903183,human
LGALS1,0.0891415998339653,,0.0891415998339653,0.0891415998339653,0.0891415998339653,human
IER3,0.08911150693893433,,0.08911150693893433,0.08911150693893433,0.08911150693893433,human
MT1HL1,0.0862780213356018,,0.0862780213356018,0.0862780213356018,0.0862780213356018,human
TMSB10,0.08337236940860748,,0.08337236940860748,0.08337236940860748,0.08337236940860748,human
RPS4X,0.08264200389385223,,0.08264200389385223,0.08264200389385223,0.08264200389385223,human
RPL36A,0.08101050555706024,,0.08101050555706024,0.08101050555706024,0.08101050555706024,human
S100A6,0.08096170425415039,,0.08096170425415039,0.08096170425415039,0.08096170425415039,human
RPS25,0.07904542982578278,0.011270410381257534,0.045157920103520155,0.045157920103520155,0.07904542982578278,human
RPS8,0.07736770063638687,,0.07736770063638687,0.07736770063638687,0.07736770063638687,human
NCL,0.07484705001115799,,0.07484705001115799,0.07484705001115799,0.07484705001115799,human
LDHA,0.07339007407426834,,0.07339007407426834,0.07339007407426834,0.07339007407426834,human
DDX5,0.07309656590223312,,0.07309656590223312,0.07309656590223312,0.07309656590223312,human
ZYX,0.06965211778879166,,0.06965211778879166,0.06965211778879166,0.06965211778879166,human
HSPG2,0.06781049072742462,,0.06781049072742462,0.06781049072742462,0.06781049072742462,human
LIPG,0.06756298243999481,,0.06756298243999481,0.06756298243999481,0.06756298243999481,human
EIF3L,0.06735818833112717,,0.06735818833112717,0.06735818833112717,0.06735818833112717,human
CD81,0.0646120011806488,,0.0646120011806488,0.0646120011806488,0.0646120011806488,human
ENG,0.06434278190135956,,0.06434278190135956,0.06434278190135956,0.06434278190135956,human
TUBB6,0.06397119164466858,,0.06397119164466858,0.06397119164466858,0.06397119164466858,human
RPS3,0.06320971995592117,,0.06320971995592117,0.06320971995592117,0.06320971995592117,human
JAK1,0.059513188898563385,,0.059513188898563385,0.059513188898563385,0.059513188898563385,human
TFPI2,0.05910992994904518,,0.05910992994904518,0.05910992994904518,0.05910992994904518,human
RPS2,0.05910665541887283,,0.05910665541887283,0.05910665541887283,0.05910665541887283,human
P4HB,0.058983709663152695,,0.058983709663152695,0.058983709663152695,0.058983709663152695,human
ODC1,0.058728087693452835,,0.058728087693452835,0.058728087693452835,0.058728087693452835,human
ATP1B3,0.05862885341048241,,0.05862885341048241,0.05862885341048241,0.05862885341048241,human
RTN4,0.058586589992046356,,0.058586589992046356,0.058586589992046356,0.058586589992046356,human
ANXA1,0.058573853224515915,,0.058573853224515915,0.058573853224515915,0.058573853224515915,human
CXCL1,0.05738535523414612,,0.05738535523414612,0.05738535523414612,0.05738535523414612,human
RPS5,0.05693032220005989,,0.05693032220005989,0.05693032220005989,0.05693032220005989,human
EFEMP1,0.056692879647016525,,0.056692879647016525,0.056692879647016525,0.056692879647016525,human
CXCL2,0.05608094483613968,,0.05608094483613968,0.05608094483613968,0.05608094483613968,human
RAB13,0.05543062090873718,,0.05543062090873718,0.05543062090873718,0.05543062090873718,human
HSP90AA1,0.054398201406002045,,0.054398201406002045,0.054398201406002045,0.054398201406002045,human
TPM4,0.05414467304944992,,0.05414467304944992,0.05414467304944992,0.05414467304944992,human
CALR,0.054059065878391266,,0.054059065878391266,0.054059065878391266,0.054059065878391266,human
RPL27,0.05400633066892624,,0.05400633066892624,0.05400633066892624,0.05400633066892624,human
ICAM1,0.05389900133013725,,0.05389900133013725,0.05389900133013725,0.05389900133013725,human
RPS27,0.05346887931227684,,0.05346887931227684,0.05346887931227684,0.05346887931227684,human
EEF1A1P9,0.052644893527030945,,0.052644893527030945,0.052644893527030945,0.052644893527030945,human
H2AFZ,0.05238385498523712,,0.05238385498523712,0.05238385498523712,0.05238385498523712,human
PFKP,0.05201093852519989,,0.05201093852519989,0.05201093852519989,0.05201093852519989,human
PABPC1,0.05192125216126442,,0.05192125216126442,0.05192125216126442,0.05192125216126442,human
YBX1,0.051772743463516235,,0.051772743463516235,0.051772743463516235,0.051772743463516235,human
RPL21,0.05156557261943817,,0.05156557261943817,0.05156557261943817,0.05156557261943817,human
RPS7,0.05044751614332199,,0.05044751614332199,0.05044751614332199,0.05044751614332199,human
RPL39,0.04996199160814285,,0.04996199160814285,0.04996199160814285,0.04996199160814285,human
BASP1,0.04863644391298294,,0.04863644391298294,0.04863644391298294,0.04863644391298294,human
HNRNPAB,0.047903597354888916,,0.047903597354888916,0.047903597354888916,0.047903597354888916,human
GPX1,0.04785262048244476,,0.04785262048244476,0.04785262048244476,0.04785262048244476,human
SAT1,0.0477818101644516,,0.0477818101644516,0.0477818101644516,0.0477818101644516,human
RPS27L,0.04764722287654877,,0.04764722287654877,0.04764722287654877,0.04764722287654877,human
FABP5,0.047442223876714706,,0.047442223876714706,0.047442223876714706,0.047442223876714706,human
SELE,0.04730044677853584,,0.04730044677853584,0.04730044677853584,0.04730044677853584,human
VCAM1,0.047289639711380005,,0.047289639711380005,0.047289639711380005,0.047289639711380005,human
GAPDH,0.04696483910083771,,0.04696483910083771,0.04696483910083771,0.04696483910083771,human
FTL,0.04693693295121193,,0.04693693295121193,0.04693693295121193,0.04693693295121193,human
EEF1A1,0.046871185302734375,,0.046871185302734375,0.046871185302734375,0.046871185302734375,human
PFN1,0.04660138860344887,,0.04660138860344887,0.04660138860344887,0.04660138860344887,human
MARCKSL1,0.04604995995759964,,0.04604995995759964,0.04604995995759964,0.04604995995759964,human
PTX3,0.04557175561785698,,0.04557175561785698,0.04557175561785698,0.04557175561785698,human
PTGS2,0.04519319161772728,,0.04519319161772728,0.04519319161772728,0.04519319161772728,human
HMGN1,0.04463654011487961,,0.04463654011487961,0.04463654011487961,0.04463654011487961,human
SPHK1,0.04447626695036888,,0.04447626695036888,0.04447626695036888,0.04447626695036888,human
PRSS23,0.04437113180756569,,0.04437113180756569,0.04437113180756569,0.04437113180756569,human
RPS16,0.04432888329029083,,0.04432888329029083,0.04432888329029083,0.04432888329029083,human
TNFSF4,0.04432820901274681,,0.04432820901274681,0.04432820901274681,0.04432820901274681,human
VWF,0.04429227113723755,,0.04429227113723755,0.04429227113723755,0.04429227113723755,human
