gene_symbol,logfc_dz:185,mean_logfc,median_logfc,common_experiment,organism
ASIC4,0.17438296973705292,0.17438296973705292,0.17438296973705292,0.17438296973705292,human
PRDM10,0.13990871608257294,0.13990871608257294,0.13990871608257294,0.13990871608257294,human
PRAP1,0.12954393029212952,0.12954393029212952,0.12954393029212952,0.12954393029212952,human
ADH1A,0.12464793026447296,0.12464793026447296,0.12464793026447296,0.12464793026447296,human
GSTA1,0.10927476733922958,0.10927476733922958,0.10927476733922958,0.10927476733922958,human
IL32,0.10727345943450928,0.10727345943450928,0.10727345943450928,0.10727345943450928,human
ADH4,0.0962299033999443,0.0962299033999443,0.0962299033999443,0.0962299033999443,human
SLC22A1,0.09559953957796097,0.09559953957796097,0.09559953957796097,0.09559953957796097,human
HRG,0.09515856206417084,0.09515856206417084,0.09515856206417084,0.09515856206417084,human
CYP2C8,0.09460427612066269,0.09460427612066269,0.09460427612066269,0.09460427612066269,human
ALDOB,0.08961859345436096,0.08961859345436096,0.08961859345436096,0.08961859345436096,human
SLC10A1,0.08884493261575699,0.08884493261575699,0.08884493261575699,0.08884493261575699,human
APOC1,0.08807533234357834,0.08807533234357834,0.08807533234357834,0.08807533234357834,human
LECT2,0.08460397273302078,0.08460397273302078,0.08460397273302078,0.08460397273302078,human
RPS13,0.08065620809793472,0.08065620809793472,0.08065620809793472,0.08065620809793472,human
FXYD1,0.07969356328248978,0.07969356328248978,0.07969356328248978,0.07969356328248978,human
PEMT,0.07781212776899338,0.07781212776899338,0.07781212776899338,0.07781212776899338,human
ALB,0.07694545388221741,0.07694545388221741,0.07694545388221741,0.07694545388221741,human
APOC3,0.07636353373527527,0.07636353373527527,0.07636353373527527,0.07636353373527527,human
ECHS1,0.07561420649290085,0.07561420649290085,0.07561420649290085,0.07561420649290085,human
APOH,0.07326740771532059,0.07326740771532059,0.07326740771532059,0.07326740771532059,human
THRSP,0.07183404266834259,0.07183404266834259,0.07183404266834259,0.07183404266834259,human
VTN,0.07078885287046432,0.07078885287046432,0.07078885287046432,0.07078885287046432,human
SERPINA3,0.07066530734300613,0.07066530734300613,0.07066530734300613,0.07066530734300613,human
APOA1,0.06776805967092514,0.06776805967092514,0.06776805967092514,0.06776805967092514,human
HBB,0.06684760004281998,0.06684760004281998,0.06684760004281998,0.06684760004281998,human
CES1,0.06659752875566483,0.06659752875566483,0.06659752875566483,0.06659752875566483,human
C3,0.06545186042785645,0.06545186042785645,0.06545186042785645,0.06545186042785645,human
RBP4,0.06517060846090317,0.06517060846090317,0.06517060846090317,0.06517060846090317,human
HRSP12,0.06502451747655869,0.06502451747655869,0.06502451747655869,0.06502451747655869,human
FTCD,0.06335023045539856,0.06335023045539856,0.06335023045539856,0.06335023045539856,human
HSD17B6,0.05927924066781998,0.05927924066781998,0.05927924066781998,0.05927924066781998,human
DCN,0.057020533829927444,0.057020533829927444,0.057020533829927444,0.057020533829927444,human
P2RX3,0.05643891543149948,0.05643891543149948,0.05643891543149948,0.05643891543149948,human
IL22RA1,0.05597297102212906,0.05597297102212906,0.05597297102212906,0.05597297102212906,human
TPTE2,0.054526880383491516,0.054526880383491516,0.054526880383491516,0.054526880383491516,human
LEAP2,0.05449306592345238,0.05449306592345238,0.05449306592345238,0.05449306592345238,human
LINC01060,0.05364441126585007,0.05364441126585007,0.05364441126585007,0.05364441126585007,human
SRD5A2,0.05312762409448624,0.05312762409448624,0.05312762409448624,0.05312762409448624,human
PPP1R1A,0.052326202392578125,0.052326202392578125,0.052326202392578125,0.052326202392578125,human
SERPINF1,0.051740024238824844,0.051740024238824844,0.051740024238824844,0.051740024238824844,human
HLA-DPA1,0.0516037791967392,0.0516037791967392,0.0516037791967392,0.0516037791967392,human
APOC2,0.051424141973257065,0.051424141973257065,0.051424141973257065,0.051424141973257065,human
TM4SF4,0.05018298700451851,0.05018298700451851,0.05018298700451851,0.05018298700451851,human
HBA2,0.0499749518930912,0.0499749518930912,0.0499749518930912,0.0499749518930912,human
PROC,0.049954868853092194,0.049954868853092194,0.049954868853092194,0.049954868853092194,human
LOC648691,0.04915372282266617,0.04915372282266617,0.04915372282266617,0.04915372282266617,human
EEF1A1,0.04908677190542221,0.04908677190542221,0.04908677190542221,0.04908677190542221,human
