gene_symbol,logfc_dz:128,mean_logfc,median_logfc,common_experiment,organism
IGJ,0.23049402236938477,0.23049402236938477,0.23049402236938477,0.23049402236938477,human
IGHV3-23,0.20166316628456116,0.20166316628456116,0.20166316628456116,0.20166316628456116,human
IGHA2,0.13687525689601898,0.13687525689601898,0.13687525689601898,0.13687525689601898,human
HIST2H2AA4,0.10682310163974762,0.10682310163974762,0.10682310163974762,0.10682310163974762,human
FKBP2,0.10460710525512695,0.10460710525512695,0.10460710525512695,0.10460710525512695,human
LOC100290036,0.10089437663555145,0.10089437663555145,0.10089437663555145,0.10089437663555145,human
IFITM2,0.09135086834430695,0.09135086834430695,0.09135086834430695,0.09135086834430695,human
C4B,0.08993736654520035,0.08993736654520035,0.08993736654520035,0.08993736654520035,human
RPL27A,0.08080942183732986,0.08080942183732986,0.08080942183732986,0.08080942183732986,human
SEPT9,0.07823164761066437,0.07823164761066437,0.07823164761066437,0.07823164761066437,human
LOC652493,0.07190581411123276,0.07190581411123276,0.07190581411123276,0.07190581411123276,human
IGHV4-31,0.07185085117816925,0.07185085117816925,0.07185085117816925,0.07185085117816925,human
RPL17,0.06586232036352158,0.06586232036352158,0.06586232036352158,0.06586232036352158,human
IFI27,0.06301485747098923,0.06301485747098923,0.06301485747098923,0.06301485747098923,human
DUT,0.06144102290272713,0.06144102290272713,0.06144102290272713,0.06144102290272713,human
RPL13AP5,0.05970421060919762,0.05970421060919762,0.05970421060919762,0.05970421060919762,human
RPS5,0.05907290056347847,0.05907290056347847,0.05907290056347847,0.05907290056347847,human
CFL1,0.05864217132329941,0.05864217132329941,0.05864217132329941,0.05864217132329941,human
HMGN2,0.05672861635684967,0.05672861635684967,0.05672861635684967,0.05672861635684967,human
PRDX1,0.0555654838681221,0.0555654838681221,0.0555654838681221,0.0555654838681221,human
C19orf10,0.055265579372644424,0.055265579372644424,0.055265579372644424,0.055265579372644424,human
RPSAP58,0.05504345893859863,0.05504345893859863,0.05504345893859863,0.05504345893859863,human
IFITM1,0.05453689396381378,0.05453689396381378,0.05453689396381378,0.05453689396381378,human
CCND1,0.05443243682384491,0.05443243682384491,0.05443243682384491,0.05443243682384491,human
SEL1L3,0.05379186570644379,0.05379186570644379,0.05379186570644379,0.05379186570644379,human
LGALS1,0.05378187447786331,0.05378187447786331,0.05378187447786331,0.05378187447786331,human
PSME2,0.05239870771765709,0.05239870771765709,0.05239870771765709,0.05239870771765709,human
RPS7,0.05237856134772301,0.05237856134772301,0.05237856134772301,0.05237856134772301,human
IGLV@,0.050814464688301086,0.050814464688301086,0.050814464688301086,0.050814464688301086,human
PRDX4,0.050289347767829895,0.050289347767829895,0.050289347767829895,0.050289347767829895,human
RPL7,0.05004498362541199,0.05004498362541199,0.05004498362541199,0.05004498362541199,human
RPS27A,0.04965031147003174,0.04965031147003174,0.04965031147003174,0.04965031147003174,human
ISG15,0.04963032528758049,0.04963032528758049,0.04963032528758049,0.04963032528758049,human
AMPD1,0.04878746345639229,0.04878746345639229,0.04878746345639229,0.04878746345639229,human
IGHM,0.048727985471487045,0.048727985471487045,0.048727985471487045,0.048727985471487045,human
EIF4G2,0.04834956303238869,0.04834956303238869,0.04834956303238869,0.04834956303238869,human
TMEM147,0.04665055498480797,0.04665055498480797,0.04665055498480797,0.04665055498480797,human
PRKD2,0.04603051766753197,0.04603051766753197,0.04603051766753197,0.04603051766753197,human
CADM1,0.046025365591049194,0.046025365591049194,0.046025365591049194,0.046025365591049194,human
DUSP5,0.04545024782419205,0.04545024782419205,0.04545024782419205,0.04545024782419205,human
RPL34,0.04541664943099022,0.04541664943099022,0.04541664943099022,0.04541664943099022,human
GPAA1,0.045170675963163376,0.045170675963163376,0.045170675963163376,0.045170675963163376,human
ARPC2,0.045031532645225525,0.045031532645225525,0.045031532645225525,0.045031532645225525,human
ZFP36L2,0.04347296059131622,0.04347296059131622,0.04347296059131622,0.04347296059131622,human
BST2,0.04342563822865486,0.04342563822865486,0.04342563822865486,0.04342563822865486,human
ATP5A1,0.042828891426324844,0.042828891426324844,0.042828891426324844,0.042828891426324844,human
DKK1,0.041721161454916,0.041721161454916,0.041721161454916,0.041721161454916,human
RPS16,0.040973961353302,0.040973961353302,0.040973961353302,0.040973961353302,human
RGS13,0.04028227552771568,0.04028227552771568,0.04028227552771568,0.04028227552771568,human
PRCP,0.03965778648853302,0.03965778648853302,0.03965778648853302,0.03965778648853302,human
TUBA1B,0.03912196308374405,0.03912196308374405,0.03912196308374405,0.03912196308374405,human
IGHE,0.03874572366476059,0.03874572366476059,0.03874572366476059,0.03874572366476059,human
HINT1,0.03850571811199188,0.03850571811199188,0.03850571811199188,0.03850571811199188,human
RPL21,0.037752240896224976,0.037752240896224976,0.037752240896224976,0.037752240896224976,human
ATP10B,0.03769167140126228,0.03769167140126228,0.03769167140126228,0.03769167140126228,human
MDH1,0.03663840517401695,0.03663840517401695,0.03663840517401695,0.03663840517401695,human
ATP5O,0.03631829470396042,0.03631829470396042,0.03631829470396042,0.03631829470396042,human
SERPINE2,0.03551314026117325,0.03551314026117325,0.03551314026117325,0.03551314026117325,human
RPLP2,0.03529499098658562,0.03529499098658562,0.03529499098658562,0.03529499098658562,human
PF4,0.03513029217720032,0.03513029217720032,0.03513029217720032,0.03513029217720032,human
RPL18AP3,0.03485548496246338,0.03485548496246338,0.03485548496246338,0.03485548496246338,human
