gene_symbol,logfc_dz:870,mean_logfc,median_logfc,common_experiment,organism
S100A13,0.20459477603435516,0.20459477603435516,0.20459477603435516,0.20459477603435516,human
NNMT,0.16733136773109436,0.16733136773109436,0.16733136773109436,0.16733136773109436,human
NUPR1,0.14463523030281067,0.14463523030281067,0.14463523030281067,0.14463523030281067,human
CKMT2,0.13983643054962158,0.13983643054962158,0.13983643054962158,0.13983643054962158,human
S100A1,0.13615021109580994,0.13615021109580994,0.13615021109580994,0.13615021109580994,human
APOD,0.1337176412343979,0.1337176412343979,0.1337176412343979,0.1337176412343979,human
ACTC1,0.1250382512807846,0.1250382512807846,0.1250382512807846,0.1250382512807846,human
MUSTN1,0.12033522129058838,0.12033522129058838,0.12033522129058838,0.12033522129058838,human
TMSB10,0.11237826198339462,0.11237826198339462,0.11237826198339462,0.11237826198339462,human
NMRK2,0.10098180174827576,0.10098180174827576,0.10098180174827576,0.10098180174827576,human
DLK1,0.09733597189188004,0.09733597189188004,0.09733597189188004,0.09733597189188004,human
CD63,0.09548372030258179,0.09548372030258179,0.09548372030258179,0.09548372030258179,human
FTL,0.08492416143417358,0.08492416143417358,0.08492416143417358,0.08492416143417358,human
EEF1A1P9,0.08053278177976608,0.08053278177976608,0.08053278177976608,0.08053278177976608,human
XIRP2,0.07251691818237305,0.07251691818237305,0.07251691818237305,0.07251691818237305,human
HEXB,0.07066728919744492,0.07066728919744492,0.07066728919744492,0.07066728919744492,human
FABP3,0.07059752196073532,0.07059752196073532,0.07059752196073532,0.07059752196073532,human
BRI3,0.06972970068454742,0.06972970068454742,0.06972970068454742,0.06972970068454742,human
NME1-NME2,0.06866966933012009,0.06866966933012009,0.06866966933012009,0.06866966933012009,human
GLRX,0.06556805223226547,0.06556805223226547,0.06556805223226547,0.06556805223226547,human
FTH1,0.06536752730607986,0.06536752730607986,0.06536752730607986,0.06536752730607986,human
PSMD8,0.06306665390729904,0.06306665390729904,0.06306665390729904,0.06306665390729904,human
FANCE,0.060325536876916885,0.060325536876916885,0.060325536876916885,0.060325536876916885,human
CASQ2,0.05951801314949989,0.05951801314949989,0.05951801314949989,0.05951801314949989,human
S100A4,0.05804090201854706,0.05804090201854706,0.05804090201854706,0.05804090201854706,human
ARPC2,0.057764939963817596,0.057764939963817596,0.057764939963817596,0.057764939963817596,human
MYBPC2,0.056819550693035126,0.056819550693035126,0.056819550693035126,0.056819550693035126,human
LOC100506941,0.056445956230163574,0.056445956230163574,0.056445956230163574,0.056445956230163574,human
HHATL,0.053803712129592896,0.053803712129592896,0.053803712129592896,0.053803712129592896,human
XIRP1,0.05335603654384613,0.05335603654384613,0.05335603654384613,0.05335603654384613,human
GADD45A,0.052321337163448334,0.052321337163448334,0.052321337163448334,0.052321337163448334,human
MYH2,0.05032838508486748,0.05032838508486748,0.05032838508486748,0.05032838508486748,human
ANKRD1,0.04862559959292412,0.04862559959292412,0.04862559959292412,0.04862559959292412,human
FAM129A,0.047639746218919754,0.047639746218919754,0.047639746218919754,0.047639746218919754,human
TRIM16,0.04629204049706459,0.04629204049706459,0.04629204049706459,0.04629204049706459,human
MYH3,0.046272166073322296,0.046272166073322296,0.046272166073322296,0.046272166073322296,human
HEBP2,0.04474134370684624,0.04474134370684624,0.04474134370684624,0.04474134370684624,human
RPS27L,0.04448208212852478,0.04448208212852478,0.04448208212852478,0.04448208212852478,human
DDN,0.04391508921980858,0.04391508921980858,0.04391508921980858,0.04391508921980858,human
EXOSC7,0.043881505727767944,0.043881505727767944,0.043881505727767944,0.043881505727767944,human
