gene_symbol,logfc_dz:35,logfc_dz:93,logfc_dz:444,mean_logfc,median_logfc,common_experiment,organism
SERPINB4,0.44182413816452026,0.08544941246509552,0.2648025155067444,0.26402535537878674,0.2648025155067444,0.2648025155067444,human
DEFB4A,0.261847585439682,0.11476480960845947,,0.18830619752407074,0.18830619752407074,,human
PI3,0.2616366744041443,0.050489746034145355,0.06375302374362946,0.1252931480606397,0.06375302374362946,0.06375302374362946,human
S100A9,0.206082284450531,0.21465656161308289,,0.21036942303180695,0.21036942303180695,,human
ADAMDEC1,0.1811632663011551,,,0.1811632663011551,0.1811632663011551,,human
AKR1B10,0.1389005184173584,0.01574980653822422,0.13452619314193726,0.09639217269917329,0.13452619314193726,0.13452619314193726,human
SERPINB3,0.12996476888656616,0.09678036719560623,0.10337894409894943,0.11004136006037395,0.10337894409894943,0.10337894409894943,human
SPRR2B,0.12403160333633423,0.19332563877105713,,0.15867862105369568,0.15867862105369568,,human
C10orf99,0.1159931942820549,0.030054660513997078,,0.07302392739802599,0.07302392739802599,,human
CXCL10,0.11002030968666077,0.008251658640801907,,0.05913598416373134,0.05913598416373134,,human
CXCL9,0.10902415961027145,0.00970267690718174,,0.0593634182587266,0.0593634182587266,,human
LTF,0.10842930525541306,0.018310463055968285,0.049425940960645676,0.058721903090675674,0.049425940960645676,0.049425940960645676,human
CCL18,0.10227735340595245,0.014180968515574932,0.05326587334275246,0.056574731754759945,0.05326587334275246,0.05326587334275246,human
S100A7,0.09919557720422745,0.432569295167923,0.0673743337392807,0.19971306870381036,0.09919557720422745,0.0673743337392807,human
LCE3D,0.09898792952299118,0.09936052560806274,,0.09917422756552696,0.09917422756552696,,human
KRT9,0.08975447714328766,,,0.08975447714328766,0.08975447714328766,,human
SPINK7,0.08155286312103271,,,0.08155286312103271,0.08155286312103271,,human
IGFL1,0.07270704954862595,,,0.07270704954862595,0.07270704954862595,,human
IL36G,0.07185384631156921,0.009851635433733463,0.12455277144908905,0.06875275106479724,0.07185384631156921,0.12455277144908905,human
S100A7A,0.0668947696685791,,,0.0668947696685791,0.0668947696685791,,human
IGHV4-31,0.06597135215997696,0.022074749693274498,,0.04402305092662573,0.04402305092662573,,human
KRT16,0.0631943941116333,-0.008811657316982746,0.11773086339235306,0.05737120006233454,0.0631943941116333,0.11773086339235306,human
CHI3L2,0.05987219512462616,,0.032229967415332794,0.04605108126997948,0.04605108126997948,0.032229967415332794,human
RPS4Y1,0.05518640950322151,,-0.033192481845617294,0.010996963828802109,0.010996963828802109,-0.033192481845617294,human
COL6A6,0.05209333822131157,,,0.05209333822131157,0.05209333822131157,,human
CXCL11,0.05067926645278931,,,0.05067926645278931,0.05067926645278931,,human
MMP12,0.04991265386343002,,,0.04991265386343002,0.04991265386343002,,human
