gene_symbol,logfc_dz:307,mean_logfc,median_logfc,common_experiment,organism
CD177,0.3720490038394928,0.3720490038394928,0.3720490038394928,0.3720490038394928,human
MCEMP1,0.21663236618041992,0.21663236618041992,0.21663236618041992,0.21663236618041992,human
ANXA3,0.18532788753509521,0.18532788753509521,0.18532788753509521,0.18532788753509521,human
OLAH,0.1691858470439911,0.1691858470439911,0.1691858470439911,0.1691858470439911,human
MMP8,0.16739119589328766,0.16739119589328766,0.16739119589328766,0.16739119589328766,human
IL1R2,0.15694092214107513,0.15694092214107513,0.15694092214107513,0.15694092214107513,human
IFI27,0.13350024819374084,0.13350024819374084,0.13350024819374084,0.13350024819374084,human
MMP9,0.12856261432170868,0.12856261432170868,0.12856261432170868,0.12856261432170868,human
CRISP3,0.12658853828907013,0.12658853828907013,0.12658853828907013,0.12658853828907013,human
GPR84,0.12475697696208954,0.12475697696208954,0.12475697696208954,0.12475697696208954,human
VNN1,0.10766510665416718,0.10766510665416718,0.10766510665416718,0.10766510665416718,human
CLEC5A,0.09844554215669632,0.09844554215669632,0.09844554215669632,0.09844554215669632,human
DEFA4,0.09556949883699417,0.09556949883699417,0.09556949883699417,0.09556949883699417,human
LOC100134822,0.08895428478717804,0.08895428478717804,0.08895428478717804,0.08895428478717804,human
C1QB,0.08679215610027313,0.08679215610027313,0.08679215610027313,0.08679215610027313,human
FCGR1C,0.08205179870128632,0.08205179870128632,0.08205179870128632,0.08205179870128632,human
BMX,0.08146805316209793,0.08146805316209793,0.08146805316209793,0.08146805316209793,human
IL18R1,0.07904599606990814,0.07904599606990814,0.07904599606990814,0.07904599606990814,human
FCGR1B,0.07826258987188339,0.07826258987188339,0.07826258987188339,0.07826258987188339,human
PFKFB3,0.0781976655125618,0.0781976655125618,0.0781976655125618,0.0781976655125618,human
TDRD9,0.06647408753633499,0.06647408753633499,0.06647408753633499,0.06647408753633499,human
GYG1,0.06586213409900665,0.06586213409900665,0.06586213409900665,0.06586213409900665,human
ANKRD22,0.06574442237615585,0.06574442237615585,0.06574442237615585,0.06574442237615585,human
DEFA1B,0.06543319672346115,0.06543319672346115,0.06543319672346115,0.06543319672346115,human
IRAK3,0.0645674467086792,0.0645674467086792,0.0645674467086792,0.0645674467086792,human
ORM1,0.06432310491800308,0.06432310491800308,0.06432310491800308,0.06432310491800308,human
SOS1-IT1,0.06326696276664734,0.06326696276664734,0.06326696276664734,0.06326696276664734,human
METTL7B,0.06220565736293793,0.06220565736293793,0.06220565736293793,0.06220565736293793,human
CLEC4D,0.06203261762857437,0.06203261762857437,0.06203261762857437,0.06203261762857437,human
BPI,0.06193869560956955,0.06193869560956955,0.06193869560956955,0.06193869560956955,human
CD163,0.06163129210472107,0.06163129210472107,0.06163129210472107,0.06163129210472107,human
SERPINB2,0.061189066618680954,0.061189066618680954,0.061189066618680954,0.061189066618680954,human
FGF13,0.058139264583587646,0.058139264583587646,0.058139264583587646,0.058139264583587646,human
TLR5,0.057256799191236496,0.057256799191236496,0.057256799191236496,0.057256799191236496,human
ADM,0.056997302919626236,0.056997302919626236,0.056997302919626236,0.056997302919626236,human
