gene_symbol,logfc_dz:229,mean_logfc,median_logfc,common_experiment,organism
RPL39,0.22114352881908417,0.22114352881908417,0.22114352881908417,0.22114352881908417,human
IER3,0.21251168847084045,0.21251168847084045,0.21251168847084045,0.21251168847084045,human
NFKBIA,0.20785461366176605,0.20785461366176605,0.20785461366176605,0.20785461366176605,human
ACTG1,0.1688217967748642,0.1688217967748642,0.1688217967748642,0.1688217967748642,human
CFL1,0.1451391726732254,0.1451391726732254,0.1451391726732254,0.1451391726732254,human
MT2A,0.13248135149478912,0.13248135149478912,0.13248135149478912,0.13248135149478912,human
ZFP36,0.11926025152206421,0.11926025152206421,0.11926025152206421,0.11926025152206421,human
RGS2,0.11543542891740799,0.11543542891740799,0.11543542891740799,0.11543542891740799,human
OPHN1,0.10527244210243225,0.10527244210243225,0.10527244210243225,0.10527244210243225,human
TRIB1,0.10096261650323868,0.10096261650323868,0.10096261650323868,0.10096261650323868,human
IGHA2,0.09759460389614105,0.09759460389614105,0.09759460389614105,0.09759460389614105,human
CYR61,0.09212132543325424,0.09212132543325424,0.09212132543325424,0.09212132543325424,human
COL1A2,0.0907190591096878,0.0907190591096878,0.0907190591096878,0.0907190591096878,human
RPS29,0.08760815858840942,0.08760815858840942,0.08760815858840942,0.08760815858840942,human
RND3,0.08261008560657501,0.08261008560657501,0.08261008560657501,0.08261008560657501,human
RPS27,0.07967785000801086,0.07967785000801086,0.07967785000801086,0.07967785000801086,human
CTGF,0.07920752465724945,0.07920752465724945,0.07920752465724945,0.07920752465724945,human
TNFAIP3,0.07456456869840622,0.07456456869840622,0.07456456869840622,0.07456456869840622,human
EEF1A1P9,0.07405700534582138,0.07405700534582138,0.07405700534582138,0.07405700534582138,human
FOSB,0.0711364895105362,0.0711364895105362,0.0711364895105362,0.0711364895105362,human
RPSA,0.06733563542366028,0.06733563542366028,0.06733563542366028,0.06733563542366028,human
DUSP5,0.06606174260377884,0.06606174260377884,0.06606174260377884,0.06606174260377884,human
A2M,0.06590920686721802,0.06590920686721802,0.06590920686721802,0.06590920686721802,human
SGK1,0.06585846841335297,0.06585846841335297,0.06585846841335297,0.06585846841335297,human
ATF3,0.06546390056610107,0.06546390056610107,0.06546390056610107,0.06546390056610107,human
FOS,0.06341148167848587,0.06341148167848587,0.06341148167848587,0.06341148167848587,human
CEBPB,0.06306833028793335,0.06306833028793335,0.06306833028793335,0.06306833028793335,human
RPL27,0.06257398426532745,0.06257398426532745,0.06257398426532745,0.06257398426532745,human
