gene_symbol,logfc_dz:3,mean_logfc,median_logfc,common_experiment,organism
GLTSCR1,0.5082721710205078,0.5082721710205078,0.5082721710205078,0.5082721710205078,human
ARHGEF10,0.09650212526321411,0.09650212526321411,0.09650212526321411,0.09650212526321411,human
RGS20,0.07675919681787491,0.07675919681787491,0.07675919681787491,0.07675919681787491,human
NAGPA,0.053366806358098984,0.053366806358098984,0.053366806358098984,0.053366806358098984,human
LILRB5,0.05084427818655968,0.05084427818655968,0.05084427818655968,0.05084427818655968,human
XK,0.04562535136938095,0.04562535136938095,0.04562535136938095,0.04562535136938095,human
NAP1L3,0.04442761465907097,0.04442761465907097,0.04442761465907097,0.04442761465907097,human
HSD17B3,0.0433749184012413,0.0433749184012413,0.0433749184012413,0.0433749184012413,human
DEXI,0.042293187230825424,0.042293187230825424,0.042293187230825424,0.042293187230825424,human
GRWD1,0.04053818807005882,0.04053818807005882,0.04053818807005882,0.04053818807005882,human
FKBP1A,0.04036157950758934,0.04036157950758934,0.04036157950758934,0.04036157950758934,human
CASP5,0.03981049358844757,0.03981049358844757,0.03981049358844757,0.03981049358844757,human
SOX17,0.039026692509651184,0.039026692509651184,0.039026692509651184,0.039026692509651184,human
RPL14,0.03901798650622368,0.03901798650622368,0.03901798650622368,0.03901798650622368,human
CAMK1G,0.03762179985642433,0.03762179985642433,0.03762179985642433,0.03762179985642433,human
LOC649828,0.03758420795202255,0.03758420795202255,0.03758420795202255,0.03758420795202255,human
STAT3,0.03753001615405083,0.03753001615405083,0.03753001615405083,0.03753001615405083,human
SERPINB1,0.03731965273618698,0.03731965273618698,0.03731965273618698,0.03731965273618698,human
PAIP1,0.03648962080478668,0.03648962080478668,0.03648962080478668,0.03648962080478668,human
PEX12,0.03607210889458656,0.03607210889458656,0.03607210889458656,0.03607210889458656,human
HNRPF,0.03575196862220764,0.03575196862220764,0.03575196862220764,0.03575196862220764,human
LYAR,0.03529966622591019,0.03529966622591019,0.03529966622591019,0.03529966622591019,human
TERF2,0.03495624661445618,0.03495624661445618,0.03495624661445618,0.03495624661445618,human
CSF2,0.034855782985687256,0.034855782985687256,0.034855782985687256,0.034855782985687256,human
PPP3CA,0.03468142822384834,0.03468142822384834,0.03468142822384834,0.03468142822384834,human
TRIP13,0.03457256406545639,0.03457256406545639,0.03457256406545639,0.03457256406545639,human
ATP6V0B,0.03404730185866356,0.03404730185866356,0.03404730185866356,0.03404730185866356,human
ERLIN2,0.03403326869010925,0.03403326869010925,0.03403326869010925,0.03403326869010925,human
CSNK1A1,0.033416081219911575,0.033416081219911575,0.033416081219911575,0.033416081219911575,human
STT3A,0.03317822143435478,0.03317822143435478,0.03317822143435478,0.03317822143435478,human
GOLGA8B,0.03311960771679878,0.03311960771679878,0.03311960771679878,0.03311960771679878,human
ANKRD15,0.03273334354162216,0.03273334354162216,0.03273334354162216,0.03273334354162216,human
DBI,0.03273017331957817,0.03273017331957817,0.03273017331957817,0.03273017331957817,human
SPSB1,0.032663535326719284,0.032663535326719284,0.032663535326719284,0.032663535326719284,human
IFT122,0.03264010325074196,0.03264010325074196,0.03264010325074196,0.03264010325074196,human
HSHUR7SEQ,0.032549258321523666,0.032549258321523666,0.032549258321523666,0.032549258321523666,human
MAP4K5,0.0325239934027195,0.0325239934027195,0.0325239934027195,0.0325239934027195,human
KCTD17,0.03190213441848755,0.03190213441848755,0.03190213441848755,0.03190213441848755,human
HAPLN3,0.031505946069955826,0.031505946069955826,0.031505946069955826,0.031505946069955826,human
LOC732160,0.031471140682697296,0.031471140682697296,0.031471140682697296,0.031471140682697296,human
CLDN7,0.03145779296755791,0.03145779296755791,0.03145779296755791,0.03145779296755791,human
GRPR,0.031141633167862892,0.031141633167862892,0.031141633167862892,0.031141633167862892,human
IFNA2,0.03090493194758892,0.03090493194758892,0.03090493194758892,0.03090493194758892,human
PFKM,0.030873844400048256,0.030873844400048256,0.030873844400048256,0.030873844400048256,human
SERPINB6,0.030850667506456375,0.030850667506456375,0.030850667506456375,0.030850667506456375,human
REV3L,0.030790600925683975,0.030790600925683975,0.030790600925683975,0.030790600925683975,human
