gene_symbol,logfc_dz:874,mean_logfc,median_logfc,common_experiment,organism
IFIT1,0.3667808771133423,0.3667808771133423,0.3667808771133423,0.3667808771133423,human
IFIT2,0.36642760038375854,0.36642760038375854,0.36642760038375854,0.36642760038375854,human
IFI6,0.22957196831703186,0.22957196831703186,0.22957196831703186,0.22957196831703186,human
MX1,0.1876477152109146,0.1876477152109146,0.1876477152109146,0.1876477152109146,human
DDX58,0.18205392360687256,0.18205392360687256,0.18205392360687256,0.18205392360687256,human
STAT1,0.17410852015018463,0.17410852015018463,0.17410852015018463,0.17410852015018463,human
DDX60L,0.1712973713874817,0.1712973713874817,0.1712973713874817,0.1712973713874817,human
RSAD2,0.14627788960933685,0.14627788960933685,0.14627788960933685,0.14627788960933685,human
IFI44L,0.13149791955947876,0.13149791955947876,0.13149791955947876,0.13149791955947876,human
USP41,0.12863215804100037,0.12863215804100037,0.12863215804100037,0.12863215804100037,human
GBP3,0.1260470151901245,0.1260470151901245,0.1260470151901245,0.1260470151901245,human
ZC3HAV1,0.12246963381767273,0.12246963381767273,0.12246963381767273,0.12246963381767273,human
RN7SL2,0.12106972187757492,0.12106972187757492,0.12106972187757492,0.12106972187757492,human
SLFN5,0.1168840080499649,0.1168840080499649,0.1168840080499649,0.1168840080499649,human
PARP14,0.10251547396183014,0.10251547396183014,0.10251547396183014,0.10251547396183014,human
IFIT3,0.09856238216161728,0.09856238216161728,0.09856238216161728,0.09856238216161728,human
HLA-B,0.09745260328054428,0.09745260328054428,0.09745260328054428,0.09745260328054428,human
HLA-C,0.08745843917131424,0.08745843917131424,0.08745843917131424,0.08745843917131424,human
EIF2AK2,0.08445873111486435,0.08445873111486435,0.08445873111486435,0.08445873111486435,human
TAP1,0.07968884706497192,0.07968884706497192,0.07968884706497192,0.07968884706497192,human
PNPT1,0.0767759159207344,0.0767759159207344,0.0767759159207344,0.0767759159207344,human
HLA-A,0.0760171189904213,0.0760171189904213,0.0760171189904213,0.0760171189904213,human
TRIM25,0.07542012631893158,0.07542012631893158,0.07542012631893158,0.07542012631893158,human
PARP9,0.07356702536344528,0.07356702536344528,0.07356702536344528,0.07356702536344528,human
OAS1,0.07331188768148422,0.07331188768148422,0.07331188768148422,0.07331188768148422,human
DTX3L,0.07117506116628647,0.07117506116628647,0.07117506116628647,0.07117506116628647,human
HLA-J,0.06893603503704071,0.06893603503704071,0.06893603503704071,0.06893603503704071,human
RMRP,0.06693854928016663,0.06693854928016663,0.06693854928016663,0.06693854928016663,human
STAT2,0.066829152405262,0.066829152405262,0.066829152405262,0.066829152405262,human
HERC6,0.06411440670490265,0.06411440670490265,0.06411440670490265,0.06411440670490265,human
NFKBIA,0.06396172940731049,0.06396172940731049,0.06396172940731049,0.06396172940731049,human
OASL,0.06373870372772217,0.06373870372772217,0.06373870372772217,0.06373870372772217,human
IFIH1,0.06226618215441704,0.06226618215441704,0.06226618215441704,0.06226618215441704,human
TRIM22,0.06082313507795334,0.06082313507795334,0.06082313507795334,0.06082313507795334,human
CCL5,0.06057443842291832,0.06057443842291832,0.06057443842291832,0.06057443842291832,human
WARS,0.06033733859658241,0.06033733859658241,0.06033733859658241,0.06033733859658241,human
HLA-G,0.05974574014544487,0.05974574014544487,0.05974574014544487,0.05974574014544487,human
LGALS3BP,0.0596827007830143,0.0596827007830143,0.0596827007830143,0.0596827007830143,human
HSPA5,0.05965118855237961,0.05965118855237961,0.05965118855237961,0.05965118855237961,human
RN7SK,0.059082236140966415,0.059082236140966415,0.059082236140966415,0.059082236140966415,human
USP18,0.056630443781614304,0.056630443781614304,0.056630443781614304,0.056630443781614304,human
ZNFX1,0.05624677613377571,0.05624677613377571,0.05624677613377571,0.05624677613377571,human
IFI35,0.054659076035022736,0.054659076035022736,0.054659076035022736,0.054659076035022736,human
KRT8,0.05279519781470299,0.05279519781470299,0.05279519781470299,0.05279519781470299,human
SAMD9,0.052624329924583435,0.052624329924583435,0.052624329924583435,0.052624329924583435,human
SAMD9L,0.05216560512781143,0.05216560512781143,0.05216560512781143,0.05216560512781143,human
OAS3,0.051999229937791824,0.051999229937791824,0.051999229937791824,0.051999229937791824,human
PARP12,0.051997002214193344,0.051997002214193344,0.051997002214193344,0.051997002214193344,human
SNHG3,0.05121556296944618,0.05121556296944618,0.05121556296944618,0.05121556296944618,human
HERC5,0.049733150750398636,0.049733150750398636,0.049733150750398636,0.049733150750398636,human
APOL2,0.04892966151237488,0.04892966151237488,0.04892966151237488,0.04892966151237488,human
HLA-E,0.04825286567211151,0.04825286567211151,0.04825286567211151,0.04825286567211151,human
IFI44,0.0480019710958004,0.0480019710958004,0.0480019710958004,0.0480019710958004,human
HSPA1A,0.043613169342279434,0.043613169342279434,0.043613169342279434,0.043613169342279434,human
HIAT1,0.043588798493146896,0.043588798493146896,0.043588798493146896,0.043588798493146896,human
SP110,0.0424773246049881,0.0424773246049881,0.0424773246049881,0.0424773246049881,human
MCL1,0.0421740896999836,0.0421740896999836,0.0421740896999836,0.0421740896999836,human
PHACTR4,0.04197472333908081,0.04197472333908081,0.04197472333908081,0.04197472333908081,human
