gene_symbol,logfc_dz:925,logfc_dz:927,logfc_dz:926,logfc_dz:928,mean_logfc,median_logfc,common_experiment,organism
S100A7,0.1875903606414795,0.1254681646823883,-0.013704636134207249,0.12379468977451324,0.10578714474104345,0.12463142722845078,-0.013704636134207249,human
RPL23A,0.18237414956092834,0.027657000347971916,0.1407839059829712,0.05120863765478134,0.1005059233866632,0.09599627181887627,0.1407839059829712,human
HBA2,0.17802992463111877,0.05013585090637207,,-0.32333534955978394,-0.031723191340764366,0.05013585090637207,,human
RPL38,0.16452564299106598,0.014144123531877995,0.13535068929195404,0.06337123364210129,0.09434792236424983,0.09936096146702766,0.13535068929195404,human
RPS11,0.14520952105522156,0.04704086855053902,0.13516265153884888,0.07627324759960175,0.1009215721860528,0.10571794956922531,0.13516265153884888,human
SNHG5,0.13301575183868408,0.05037941783666611,0.023314455524086952,0.030406223610043526,0.05927896220237017,0.040392820723354816,0.023314455524086952,human
RPL9,0.13197174668312073,-0.0608944371342659,0.050839513540267944,,0.04063894102970759,0.050839513540267944,0.050839513540267944,human
LGALS7B,0.11634265631437302,0.015206743031740189,0.23422423005104065,0.05224001407623291,0.10450341086834669,0.08429133519530296,0.23422423005104065,human
LOC728026,0.09546353667974472,0.0344555489718914,0.1103014424443245,0.050215303897857666,0.07260895799845457,0.0728394202888012,0.1103014424443245,human
S100A8,0.09344300627708435,0.07227273285388947,0.016750629991292953,0.05789323151111603,0.0600899001583457,0.06508298218250275,0.016750629991292953,human
RPL24,0.09342031180858612,-0.023376408964395523,,,0.0350219514220953,0.0350219514220953,,human
RPS29,0.09265540540218353,-0.02314124070107937,,0.036181457340717316,0.03523187401394049,0.036181457340717316,,human
HLA-DPB1,0.08677074313163757,,0.020144538953900337,0.01938004232943058,0.042098441471656166,0.020144538953900337,0.020144538953900337,human
MT1X,0.08453436195850372,0.07037213444709778,0.06676890701055527,0.08513988554477692,0.07670382224023342,0.07745324820280075,0.06676890701055527,human
S100A9,0.08406411856412888,0.12244118750095367,,0.03952653333544731,0.08201061313350995,0.08406411856412888,,human
PTMA,0.07886356860399246,0.0258182305842638,0.07868197560310364,0.03769417107105255,0.05526448646560311,0.058188073337078094,0.07868197560310364,human
FAU,0.06919174641370773,0.051923006772994995,0.062099114060401917,0.037049271166324615,0.055065784603357315,0.057011060416698456,0.062099114060401917,human
RPL14,0.06772441416978836,,0.035696517676115036,0.022664524614810944,0.04202848548690478,0.035696517676115036,0.035696517676115036,human
RPL34,0.0649360865354538,-0.04272384196519852,-0.05606142058968544,-0.04667256027460098,-0.020130434073507786,-0.04469820111989975,-0.05606142058968544,human
RPS25,0.06478174775838852,,0.01661318726837635,,0.040697467513382435,0.040697467513382435,0.01661318726837635,human
EEF1A1P9,0.06413748860359192,-0.01908634416759014,,,0.02252557221800089,0.02252557221800089,,human
TMSB4XP8,0.06257298588752747,,,0.051190298050642014,0.05688164196908474,0.05688164196908474,,human
SNHG6,0.05766866356134415,,,0.028555570170283318,0.04311211686581373,0.04311211686581373,,human
DMKN,0.05755878984928131,-0.04446280747652054,0.05562041699886322,,0.022905466457207996,0.05562041699886322,0.05562041699886322,human
CSTA,0.05703378841280937,-0.03151027858257294,-0.052897095680236816,-0.07222051173448563,-0.024898524396121502,-0.04220368713140488,-0.052897095680236816,human
HLA-DRA,0.05651652440428734,0.020945334807038307,-0.01589290052652359,0.025816475972533226,0.02184635866433382,0.023380905389785767,-0.01589290052652359,human
ADIRF,0.0550411157310009,0.01787371002137661,0.09096266329288483,,0.05462582968175411,0.0550411157310009,0.09096266329288483,human
CLEC3B,0.05442393198609352,0.015154263004660606,-0.01396563183516264,-0.012543807737529278,0.010767188854515553,0.0013052276335656643,-0.01396563183516264,human
C3,0.05363393574953079,0.11141090840101242,0.0270724855363369,0.07631354033946991,0.0671077175065875,0.06497373804450035,0.0270724855363369,human
RPS2,0.049948349595069885,-0.01286598201841116,0.013041986152529716,0.019926609471440315,0.01751274080015719,0.016484297811985016,0.013041986152529716,human
HBB,0.04989287257194519,,0.01633921079337597,-0.07783334702253342,-0.003867087885737419,0.01633921079337597,0.01633921079337597,human
S100A4,0.04894883930683136,0.030053408816456795,0.06199609488248825,0.0687590017914772,0.0524393361993134,0.055472467094659805,0.06199609488248825,human
NNMT,0.04885903745889664,0.04357529059052467,0.021409127861261368,0.0826587826013565,0.049125559628009796,0.046217164024710655,0.021409127861261368,human
HSPA1A,0.04846508428454399,-0.014843611977994442,,-0.10394088923931122,-0.02343980564425389,-0.014843611977994442,,human
RPS18,0.048029087483882904,-0.04783116281032562,-0.04414530098438263,-0.015872139483690262,-0.014954878948628902,-0.030008720234036446,-0.04414530098438263,human
RPL36AL,0.046431008726358414,,,,0.046431008726358414,0.046431008726358414,,human
CFD,0.04412010312080383,0.0209975466132164,0.061709802597761154,-0.05952970311045647,0.01682443730533123,0.03255882486701012,0.061709802597761154,human
MT2A,0.04288801550865173,0.12094281613826752,0.04344524070620537,0.12301088124513626,0.08257173839956522,0.08219402842223644,0.04344524070620537,human
RAN,0.041676126420497894,0.04109186306595802,0.03954070433974266,0.05172184109687805,0.04350763373076916,0.04138399474322796,0.03954070433974266,human
RPS10,0.04118713364005089,0.04263664036989212,0.026171168312430382,0.04555215314030647,0.038886773865669966,0.041911887004971504,0.026171168312430382,human
CCL19,0.04116305708885193,0.18616853654384613,,0.22616635262966156,0.15116598208745322,0.18616853654384613,,human
WISP2,0.04001285135746002,,0.015546856448054314,-0.040589820593595505,0.004989962403972943,0.015546856448054314,0.015546856448054314,human
CFH,0.03982270509004593,0.010913675650954247,,-0.029022321105003357,0.0072380198786656065,0.010913675650954247,,human
HLA-DRB1,0.03979715332388878,0.026575442403554916,0.0359162874519825,0.050114426761865616,0.03810082748532295,0.03785672038793564,0.0359162874519825,human
SNRPD2,0.03837496042251587,0.012918411754071712,,0.029218479990959167,0.026837284055848915,0.029218479990959167,,human
SPRR1B,0.0379013828933239,,,-0.011411585845053196,0.013244898524135351,0.013244898524135351,,human
PSMA6,0.03780534118413925,0.010190218687057495,-0.01702156290411949,0.02248876728117466,0.013365691062062979,0.016339492984116077,-0.01702156290411949,human
NPIPB5,0.037194766104221344,0.022585876286029816,0.0505225770175457,0.014028390869498253,0.031082902569323778,0.02989032119512558,0.0505225770175457,human
SPRR1A,0.036928441375494,-0.030373215675354004,,-0.01985677145421505,-0.004433848584691684,-0.01985677145421505,,human
LAPTM4A,0.03682733327150345,-0.03843878209590912,-0.027020681649446487,-0.053817857056856155,-0.020612496882677078,-0.0327297318726778,-0.027020681649446487,human
RPSA,0.036584123969078064,,-0.022370103746652603,0.05024156719446182,0.021485195805629093,0.036584123969078064,-0.022370103746652603,human
TXN,0.036504294723272324,0.011677163653075695,0.018870221450924873,0.021468576043844223,0.02213006396777928,0.020169398747384548,0.018870221450924873,human
SPRR2G,0.036218155175447464,0.019166378304362297,,0.07960815727710724,0.044997563585639,0.036218155175447464,,human
LOC100507328,0.03605889156460762,0.022202923893928528,0.02320479229092598,0.029735740274190903,0.027800587005913258,0.02647026628255844,0.02320479229092598,human
ND6,0.03592827543616295,,0.043740157037973404,0.01685929298400879,0.03217590848604838,0.03592827543616295,0.043740157037973404,human
TMA7,0.03556831553578377,0.015668068081140518,0.015735946595668793,0.041432831436395645,0.02710129041224718,0.02565213106572628,0.015735946595668793,human
RPL39,0.035081785172224045,-0.015358610078692436,-0.025495991110801697,0.01973801478743553,0.003491299692541361,0.0021897023543715477,-0.025495991110801697,human
TGFBI,0.034825149923563004,,0.029447367414832115,0.04234260693192482,0.035538374756773315,0.034825149923563004,0.029447367414832115,human
B2M,0.03474559262394905,0.022381968796253204,0.020089400932192802,0.0462346188724041,0.03086289530619979,0.028563780710101128,0.020089400932192802,human
USMG5,0.03472018241882324,,-0.015686681494116783,,0.00951675046235323,0.00951675046235323,-0.015686681494116783,human
DAPL1,0.0347050279378891,-0.01569376140832901,0.014418107457458973,,0.011143124662339687,0.014418107457458973,0.014418107457458973,human
RPS7,0.03448367491364479,-0.04683029651641846,-0.020764948800206184,,-0.011037190134326616,-0.020764948800206184,-0.020764948800206184,human
RPS26,0.0342191644012928,0.013251133263111115,-0.024684982374310493,,0.007595105096697807,0.013251133263111115,-0.024684982374310493,human
PFDN5,0.033542532473802567,0.013183311559259892,0.024396851658821106,,0.023707565230627854,0.024396851658821106,0.024396851658821106,human
RPS14P3,0.033373232930898666,-0.01081430446356535,,0.026510290801525116,0.016356406422952812,0.026510290801525116,,human
SBSN,0.03279367834329605,-0.0411047600209713,0.05999141186475754,,0.01722677672902743,0.03279367834329605,0.05999141186475754,human
RPS3,0.03253728896379471,0.01085688080638647,0.02645437978208065,0.01128065399825573,0.02028230088762939,0.01886751689016819,0.02645437978208065,human
H3F3B,0.03242429345846176,-0.027046214789152145,,0.027214350178837776,0.010864142949382464,0.027214350178837776,,human
CLIC1,0.03197509050369263,0.02173498459160328,,0.0355566069483757,0.02975556068122387,0.03197509050369263,,human
LYZ,0.0317830927670002,,,,0.0317830927670002,0.0317830927670002,,human
PPIB,0.03129563480615616,0.042025886476039886,0.04782199114561081,0.03481827303767204,0.038990446366369724,0.038422079756855965,0.04782199114561081,human
ADM,0.030544186010956764,,,,0.030544186010956764,0.030544186010956764,,human
HLA-E,0.030502190813422203,0.010406441986560822,,,0.020454316399991512,0.020454316399991512,,human
RPL26,0.030483363196253777,-0.02262251451611519,-0.02505061775445938,-0.011634894646704197,-0.0072061659302562475,-0.017128704581409693,-0.02505061775445938,human
PLA2G2A,0.030350834131240845,0.06381649523973465,,0.09836605191230774,0.0641777937610944,0.06381649523973465,,human
PSAPL1,0.03010871261358261,-0.01819680444896221,0.04608934372663498,0.013761736452579498,0.01794074708595872,0.021935224533081055,0.04608934372663498,human
ADAR,0.02999488264322281,0.017937807366251945,,0.02446325495839119,0.024131981655955315,0.02446325495839119,,human
RPL35,0.02967751957476139,0.026623137295246124,,0.015372270718216896,0.02389097586274147,0.026623137295246124,,human
C12orf57,0.029456883668899536,0.018129324540495872,0.02395056188106537,,0.02384559003015359,0.02395056188106537,0.02395056188106537,human
TUBB4B,0.029375514015555382,0.02743665874004364,0.04696814715862274,0.03568227216601372,0.03486564802005887,0.03252889309078455,0.04696814715862274,human
PSMB4,0.028952257707715034,0.010249561630189419,0.02582932636141777,0.0224752277135849,0.02187659335322678,0.024152277037501335,0.02582932636141777,human
NDUFS6,0.02880644053220749,0.02225648984313011,0.036097731441259384,0.03135550767183304,0.029629042372107506,0.030080974102020264,0.036097731441259384,human
ATP5I,0.028166888281702995,,0.021609175950288773,0.012905262410640717,0.020893775547544163,0.021609175950288773,0.021609175950288773,human
LY6D,0.027887599542737007,0.013638620264828205,0.041814010590314865,0.027836861088871956,0.02779427287168801,0.02786223031580448,0.041814010590314865,human
