gene_symbol,logfc_dz:281,mean_logfc,median_logfc,common_experiment,organism
HBD,0.3502509891986847,0.3502509891986847,0.3502509891986847,0.3502509891986847,human
FOSB,0.24551649391651154,0.24551649391651154,0.24551649391651154,0.24551649391651154,human
IGHA2,0.20910239219665527,0.20910239219665527,0.20910239219665527,0.20910239219665527,human
SCGB1A1,0.1959136426448822,0.1959136426448822,0.1959136426448822,0.1959136426448822,human
HLA-DRA,0.1937304139137268,0.1937304139137268,0.1937304139137268,0.1937304139137268,human
ZFP36,0.1636877804994583,0.1636877804994583,0.1636877804994583,0.1636877804994583,human
SFTPA2,0.1488962471485138,0.1488962471485138,0.1488962471485138,0.1488962471485138,human
JUND,0.14237123727798462,0.14237123727798462,0.14237123727798462,0.14237123727798462,human
NFKBIA,0.11024048924446106,0.11024048924446106,0.11024048924446106,0.11024048924446106,human
CD74,0.10771500319242477,0.10771500319242477,0.10771500319242477,0.10771500319242477,human
IGK,0.10740572214126587,0.10740572214126587,0.10740572214126587,0.10740572214126587,human
CXCL2,0.10576191544532776,0.10576191544532776,0.10576191544532776,0.10576191544532776,human
IGLV1-44,0.0984489917755127,0.0984489917755127,0.0984489917755127,0.0984489917755127,human
EEF1A1,0.09840163588523865,0.09840163588523865,0.09840163588523865,0.09840163588523865,human
FHL1,0.09394197165966034,0.09394197165966034,0.09394197165966034,0.09394197165966034,human
FOS,0.08923785388469696,0.08923785388469696,0.08923785388469696,0.08923785388469696,human
B2M,0.08744021505117416,0.08744021505117416,0.08744021505117416,0.08744021505117416,human
CAV1,0.08256018161773682,0.08256018161773682,0.08256018161773682,0.08256018161773682,human
IGHV4-31,0.07659020274877548,0.07659020274877548,0.07659020274877548,0.07659020274877548,human
FTL,0.07621560990810394,0.07621560990810394,0.07621560990810394,0.07621560990810394,human
TAGLN2,0.07609503716230392,0.07609503716230392,0.07609503716230392,0.07609503716230392,human
CSF3,0.07508019357919693,0.07508019357919693,0.07508019357919693,0.07508019357919693,human
HLA-DPA1,0.07440561801195145,0.07440561801195145,0.07440561801195145,0.07440561801195145,human
CD81,0.059908799827098846,0.059908799827098846,0.059908799827098846,0.059908799827098846,human
HLA-A,0.059314023703336716,0.059314023703336716,0.059314023703336716,0.059314023703336716,human
HLA-DQA1,0.05883840471506119,0.05883840471506119,0.05883840471506119,0.05883840471506119,human
TRIB1,0.05529732629656792,0.05529732629656792,0.05529732629656792,0.05529732629656792,human
MYH9,0.05200705677270889,0.05200705677270889,0.05200705677270889,0.05200705677270889,human
CLU,0.05095725134015083,0.05095725134015083,0.05095725134015083,0.05095725134015083,human
LMNA,0.05052240937948227,0.05052240937948227,0.05052240937948227,0.05052240937948227,human
ELF3,0.04845838621258736,0.04845838621258736,0.04845838621258736,0.04845838621258736,human
HBEGF,0.048128075897693634,0.048128075897693634,0.048128075897693634,0.048128075897693634,human
RPL28,0.04664350673556328,0.04664350673556328,0.04664350673556328,0.04664350673556328,human
NBL1,0.04608854651451111,0.04608854651451111,0.04608854651451111,0.04608854651451111,human
JUNB,0.044781796634197235,0.044781796634197235,0.044781796634197235,0.044781796634197235,human
SERPING1,0.04361996054649353,0.04361996054649353,0.04361996054649353,0.04361996054649353,human
PLAUR,0.04295402765274048,0.04295402765274048,0.04295402765274048,0.04295402765274048,human
CYP2B7P,0.04228227585554123,0.04228227585554123,0.04228227585554123,0.04228227585554123,human
HLA-DMA,0.041067417711019516,0.041067417711019516,0.041067417711019516,0.041067417711019516,human
SPTBN1,0.03912782296538353,0.03912782296538353,0.03912782296538353,0.03912782296538353,human
CXCL1,0.03912217915058136,0.03912217915058136,0.03912217915058136,0.03912217915058136,human
ODC1,0.038964297622442245,0.038964297622442245,0.038964297622442245,0.038964297622442245,human
HSPA1B,0.03878099471330643,0.03878099471330643,0.03878099471330643,0.03878099471330643,human
IL6,0.03809189796447754,0.03809189796447754,0.03809189796447754,0.03809189796447754,human
TPSB2,0.03707362338900566,0.03707362338900566,0.03707362338900566,0.03707362338900566,human
IGHD,0.03658326342701912,0.03658326342701912,0.03658326342701912,0.03658326342701912,human
RRAD,0.03547018766403198,0.03547018766403198,0.03547018766403198,0.03547018766403198,human
UBC,0.03481050208210945,0.03481050208210945,0.03481050208210945,0.03481050208210945,human
LYZ,0.0344252735376358,0.0344252735376358,0.0344252735376358,0.0344252735376358,human
ICAM1,0.033775441348552704,0.033775441348552704,0.033775441348552704,0.033775441348552704,human
BCL3,0.033495236188173294,0.033495236188173294,0.033495236188173294,0.033495236188173294,human
KLF6,0.03326020762324333,0.03326020762324333,0.03326020762324333,0.03326020762324333,human
HLA-DQA2,0.03311746567487717,0.03311746567487717,0.03311746567487717,0.03311746567487717,human
CDKN1A,0.03253825381398201,0.03253825381398201,0.03253825381398201,0.03253825381398201,human
MFAP4,0.032469894737005234,0.032469894737005234,0.032469894737005234,0.032469894737005234,human
IRF1,0.03172682970762253,0.03172682970762253,0.03172682970762253,0.03172682970762253,human
TM4SF1,0.031434088945388794,0.031434088945388794,0.031434088945388794,0.031434088945388794,human
