gene_symbol,logfc_dz:654,mean_logfc,median_logfc,common_experiment,organism
LGALS1,0.20619834959506989,0.20619834959506989,0.20619834959506989,0.20619834959506989,human
TMSB10,0.17812752723693848,0.17812752723693848,0.17812752723693848,0.17812752723693848,human
COL6A3,0.14439451694488525,0.14439451694488525,0.14439451694488525,0.14439451694488525,human
TMSB4XP8,0.11803536117076874,0.11803536117076874,0.11803536117076874,0.11803536117076874,human
COX1,0.1177624985575676,0.1177624985575676,0.1177624985575676,0.1177624985575676,human
FTL,0.11731232702732086,0.11731232702732086,0.11731232702732086,0.11731232702732086,human
GAPDH,0.11516045778989792,0.11516045778989792,0.11516045778989792,0.11516045778989792,human
LDHA,0.11314696818590164,0.11314696818590164,0.11314696818590164,0.11314696818590164,human
TIMP1,0.11038330942392349,0.11038330942392349,0.11038330942392349,0.11038330942392349,human
TUBA1A,0.10184691846370697,0.10184691846370697,0.10184691846370697,0.10184691846370697,human
TGFBI,0.09306512027978897,0.09306512027978897,0.09306512027978897,0.09306512027978897,human
TUBA1C,0.08910857886075974,0.08910857886075974,0.08910857886075974,0.08910857886075974,human
IFITM3,0.07871854305267334,0.07871854305267334,0.07871854305267334,0.07871854305267334,human
IFITM2,0.07398765534162521,0.07398765534162521,0.07398765534162521,0.07398765534162521,human
HLA-DRA,0.07388276606798172,0.07388276606798172,0.07388276606798172,0.07388276606798172,human
CTHRC1,0.07192648202180862,0.07192648202180862,0.07192648202180862,0.07192648202180862,human
COL1A2,0.0692702904343605,0.0692702904343605,0.0692702904343605,0.0692702904343605,human
PABPC3,0.06864935904741287,0.06864935904741287,0.06864935904741287,0.06864935904741287,human
HLA-B,0.06846139580011368,0.06846139580011368,0.06846139580011368,0.06846139580011368,human
ACTB,0.06807011365890503,0.06807011365890503,0.06807011365890503,0.06807011365890503,human
HLA-DRB5,0.06712164729833603,0.06712164729833603,0.06712164729833603,0.06712164729833603,human
ANXA2P2,0.06675010174512863,0.06675010174512863,0.06675010174512863,0.06675010174512863,human
HLA-A,0.06661070138216019,0.06661070138216019,0.06661070138216019,0.06661070138216019,human
RPL36A,0.06513842195272446,0.06513842195272446,0.06513842195272446,0.06513842195272446,human
HLA-DRB1,0.0641489326953888,0.0641489326953888,0.0641489326953888,0.0641489326953888,human
FTH1P5,0.062158338725566864,0.062158338725566864,0.062158338725566864,0.062158338725566864,human
HSP90AA1,0.059144675731658936,0.059144675731658936,0.059144675731658936,0.059144675731658936,human
