gene_symbol,logfc_dz:271,mean_logfc,median_logfc,common_experiment,organism
S100A4,0.1605745255947113,0.1605745255947113,0.1605745255947113,0.1605745255947113,human
COX2,0.10976064205169678,0.10976064205169678,0.10976064205169678,0.10976064205169678,human
RPL41,0.10346974432468414,0.10346974432468414,0.10346974432468414,0.10346974432468414,human
EEF1A1P9,0.09573982656002045,0.09573982656002045,0.09573982656002045,0.09573982656002045,human
TMSB10,0.09571409225463867,0.09571409225463867,0.09571409225463867,0.09571409225463867,human
TPT1,0.09470314532518387,0.09470314532518387,0.09470314532518387,0.09470314532518387,human
ND2,0.09367223083972931,0.09367223083972931,0.09367223083972931,0.09367223083972931,human
DCAF6,0.09160761535167694,0.09160761535167694,0.09160761535167694,0.09160761535167694,human
IGFBP3,0.09142459183931351,0.09142459183931351,0.09142459183931351,0.09142459183931351,human
TUBA1A,0.08756507188081741,0.08756507188081741,0.08756507188081741,0.08756507188081741,human
TMSB4XP8,0.08555006235837936,0.08555006235837936,0.08555006235837936,0.08555006235837936,human
COX1,0.08530537784099579,0.08530537784099579,0.08530537784099579,0.08530537784099579,human
ACTG1,0.08317205309867859,0.08317205309867859,0.08317205309867859,0.08317205309867859,human
SCRG1,0.08262992650270462,0.08262992650270462,0.08262992650270462,0.08262992650270462,human
ID1,0.07933350652456284,0.07933350652456284,0.07933350652456284,0.07933350652456284,human
RPL13AP5,0.07924215495586395,0.07924215495586395,0.07924215495586395,0.07924215495586395,human
RPS4X,0.07865789532661438,0.07865789532661438,0.07865789532661438,0.07865789532661438,human
SH3KBP1,0.07755038887262344,0.07755038887262344,0.07755038887262344,0.07755038887262344,human
PPAP2B,0.0773208737373352,0.0773208737373352,0.0773208737373352,0.0773208737373352,human
HTRA1,0.07703106850385666,0.07703106850385666,0.07703106850385666,0.07703106850385666,human
RPL27,0.0757669061422348,0.0757669061422348,0.0757669061422348,0.0757669061422348,human
RPS10,0.07521744817495346,0.07521744817495346,0.07521744817495346,0.07521744817495346,human
RPLP0,0.07446884363889694,0.07446884363889694,0.07446884363889694,0.07446884363889694,human
ACTB,0.07385190576314926,0.07385190576314926,0.07385190576314926,0.07385190576314926,human
RPS18,0.07358711212873459,0.07358711212873459,0.07358711212873459,0.07358711212873459,human
LGALS1,0.07264354825019836,0.07264354825019836,0.07264354825019836,0.07264354825019836,human
GJA1,0.07184066623449326,0.07184066623449326,0.07184066623449326,0.07184066623449326,human
GAPDH,0.06936401128768921,0.06936401128768921,0.06936401128768921,0.06936401128768921,human
LTBP2,0.06928207725286484,0.06928207725286484,0.06928207725286484,0.06928207725286484,human
CD63,0.06839002668857574,0.06839002668857574,0.06839002668857574,0.06839002668857574,human
FTL,0.06836765259504318,0.06836765259504318,0.06836765259504318,0.06836765259504318,human
FTH1P5,0.06823580712080002,0.06823580712080002,0.06823580712080002,0.06823580712080002,human
RPS13,0.06796232610940933,0.06796232610940933,0.06796232610940933,0.06796232610940933,human
RPL30,0.06781826913356781,0.06781826913356781,0.06781826913356781,0.06781826913356781,human
C4orf46,0.06654413789510727,0.06654413789510727,0.06654413789510727,0.06654413789510727,human
RPL39,0.06480582803487778,0.06480582803487778,0.06480582803487778,0.06480582803487778,human
CAV1,0.06464187055826187,0.06464187055826187,0.06464187055826187,0.06464187055826187,human
ID3,0.06428299099206924,0.06428299099206924,0.06428299099206924,0.06428299099206924,human
LUM,0.0640987753868103,0.0640987753868103,0.0640987753868103,0.0640987753868103,human
RPL32,0.06321867555379868,0.06321867555379868,0.06321867555379868,0.06321867555379868,human
GPX4,0.0625448152422905,0.0625448152422905,0.0625448152422905,0.0625448152422905,human
LINC01279,0.06233716756105423,0.06233716756105423,0.06233716756105423,0.06233716756105423,human
H3F3AP4,0.06214842572808266,0.06214842572808266,0.06214842572808266,0.06214842572808266,human
COL6A3,0.06183930113911629,0.06183930113911629,0.06183930113911629,0.06183930113911629,human
MEST,0.06141924858093262,0.06141924858093262,0.06141924858093262,0.06141924858093262,human
TGFBI,0.060974135994911194,0.060974135994911194,0.060974135994911194,0.060974135994911194,human
RPL18AP3,0.06017144024372101,0.06017144024372101,0.06017144024372101,0.06017144024372101,human
RPS20,0.05985702574253082,0.05985702574253082,0.05985702574253082,0.05985702574253082,human
RPL13A,0.05916421487927437,0.05916421487927437,0.05916421487927437,0.05916421487927437,human
