gene_symbol,logfc_dz:508,logfc_dz:234,mean_logfc,median_logfc,common_experiment,organism
RNASE1,0.21209149062633514,,0.21209149062633514,0.21209149062633514,,human
IGHG1,0.17463627457618713,,0.17463627457618713,0.17463627457618713,,human
IGLJ3,0.16383960843086243,,0.16383960843086243,0.16383960843086243,,human
IGJ,0.12907978892326355,,0.12907978892326355,0.12907978892326355,,human
VCAN,0.12047863751649857,-0.014002990908920765,0.0532378233037889,0.0532378233037889,-0.014002990908920765,human
IGHV3-48,0.11536847054958344,,0.11536847054958344,0.11536847054958344,,human
ACTG1,0.1146320030093193,0.06619664281606674,0.09041432291269302,0.09041432291269302,0.06619664281606674,human
MMP9,0.09612405300140381,,0.09612405300140381,0.09612405300140381,,human
A2M,0.09429051727056503,,0.09429051727056503,0.09429051727056503,,human
THBS1,0.08732400834560394,,0.08732400834560394,0.08732400834560394,,human
SCFV,0.08597836643457413,,0.08597836643457413,0.08597836643457413,,human
HLA-B,0.08047559857368469,,0.08047559857368469,0.08047559857368469,,human
HLA-A,0.07953182607889175,-0.0074707260355353355,0.03603055002167821,0.03603055002167821,-0.0074707260355353355,human
F13A1,0.07622408121824265,0.014016303233802319,0.04512019222602248,0.04512019222602248,0.014016303233802319,human
IFI44L,0.07583963871002197,,0.07583963871002197,0.07583963871002197,,human
THBS2,0.07523968070745468,0.029573293402791023,0.05240648705512285,0.05240648705512285,0.029573293402791023,human
ARHGDIB,0.07345523685216904,,0.07345523685216904,0.07345523685216904,,human
CTSB,0.07286888360977173,,0.07286888360977173,0.07286888360977173,,human
CCL2,0.06885857880115509,,0.06885857880115509,0.06885857880115509,,human
IGK,0.06564655900001526,-0.22042618691921234,-0.07738981395959854,-0.07738981395959854,-0.22042618691921234,human
STAT1,0.06481018662452698,,0.06481018662452698,0.06481018662452698,,human
ACTB,0.06384556740522385,0.04453368857502937,0.05418962799012661,0.05418962799012661,0.04453368857502937,human
HLA-C,0.06334739178419113,-0.011526974849402905,0.025910208467394114,0.025910208467394114,-0.011526974849402905,human
CD163,0.06328099966049194,,0.06328099966049194,0.06328099966049194,,human
LAPTM5,0.06061229482293129,-0.015977701172232628,0.02231729682534933,0.02231729682534933,-0.015977701172232628,human
GRN,0.06020253151655197,,0.06020253151655197,0.06020253151655197,,human
AEBP1,0.056113336235284805,-0.11280826479196548,-0.02834746427834034,-0.02834746427834034,-0.11280826479196548,human
IFI6,0.055996786803007126,,0.055996786803007126,0.055996786803007126,,human
CYBB,0.053611211478710175,,0.053611211478710175,0.053611211478710175,,human
CD14,0.05284004658460617,0.011685610748827457,0.032262828666716814,0.032262828666716814,0.011685610748827457,human
NBPF20,0.05237476900219917,,0.05237476900219917,0.05237476900219917,,human
CD68,0.05233710631728172,0.013930143788456917,0.03313362505286932,0.03313362505286932,0.013930143788456917,human
APLP2,0.052252624183893204,,0.052252624183893204,0.052252624183893204,,human
DCN,0.0515657477080822,,0.0515657477080822,0.0515657477080822,,human
CD36,0.05130738392472267,,0.05130738392472267,0.05130738392472267,,human
COL1A2,0.05103764310479164,0.020218998193740845,0.03562832064926624,0.03562832064926624,0.020218998193740845,human
LGMN,0.050831858068704605,0.019649559631943703,0.035240708850324154,0.035240708850324154,0.019649559631943703,human
CALCRL,0.0502164252102375,,0.0502164252102375,0.0502164252102375,,human
SPP1,0.04892541840672493,0.018927108496427536,0.03392626345157623,0.03392626345157623,0.018927108496427536,human
CSTB,0.04871954768896103,-0.01317120622843504,0.017774170730262995,0.017774170730262995,-0.01317120622843504,human
IFIT1,0.04867403954267502,,0.04867403954267502,0.04867403954267502,,human
LOC100289511,0.04801134392619133,,0.04801134392619133,0.04801134392619133,,human
IFI30,0.0475362204015255,-0.027846718207001686,0.009844751097261906,0.009844751097261906,-0.027846718207001686,human
LMO3,0.0468512624502182,,0.0468512624502182,0.0468512624502182,,human
DAB2,0.04632076621055603,,0.04632076621055603,0.04632076621055603,,human
FTL,0.04561072960495949,-0.043524641543626785,0.0010430440306663513,0.0010430440306663513,-0.043524641543626785,human
CTSD,0.04558715224266052,-0.0349491648375988,0.005318993702530861,0.005318993702530861,-0.0349491648375988,human
CTSL,0.04528774693608284,,0.04528774693608284,0.04528774693608284,,human
