gene_symbol,logfc_dz:1071,mean_logfc,median_logfc,common_experiment,organism
CTHRC1,0.13054800033569336,0.13054800033569336,0.13054800033569336,0.13054800033569336,human
COX6C,0.09593486785888672,0.09593486785888672,0.09593486785888672,0.09593486785888672,human
IGHV4-31,0.08628643304109573,0.08628643304109573,0.08628643304109573,0.08628643304109573,human
CILP,0.0840604156255722,0.0840604156255722,0.0840604156255722,0.0840604156255722,human
NAT1,0.0833968073129654,0.0833968073129654,0.0833968073129654,0.0833968073129654,human
COL10A1,0.08075321465730667,0.08075321465730667,0.08075321465730667,0.08075321465730667,human
COL5A2,0.08032368123531342,0.08032368123531342,0.08032368123531342,0.08032368123531342,human
COL1A2,0.07766909152269363,0.07766909152269363,0.07766909152269363,0.07766909152269363,human
HLA-DRA,0.07312653958797455,0.07312653958797455,0.07312653958797455,0.07312653958797455,human
HLA-DRB5,0.07269490510225296,0.07269490510225296,0.07269490510225296,0.07269490510225296,human
SFRP2,0.06666585057973862,0.06666585057973862,0.06666585057973862,0.06666585057973862,human
VCAN,0.06300746649503708,0.06300746649503708,0.06300746649503708,0.06300746649503708,human
COMP,0.05975998938083649,0.05975998938083649,0.05975998938083649,0.05975998938083649,human
HLA-DRB4,0.05809280648827553,0.05809280648827553,0.05809280648827553,0.05809280648827553,human
CRIP1,0.05380483716726303,0.05380483716726303,0.05380483716726303,0.05380483716726303,human
HLA-B,0.053343143314123154,0.053343143314123154,0.053343143314123154,0.053343143314123154,human
COL3A1,0.053325776010751724,0.053325776010751724,0.053325776010751724,0.053325776010751724,human
SRP9,0.05283144861459732,0.05283144861459732,0.05283144861459732,0.05283144861459732,human
SULF1,0.05272320285439491,0.05272320285439491,0.05272320285439491,0.05272320285439491,human
ACTB,0.05234575644135475,0.05234575644135475,0.05234575644135475,0.05234575644135475,human
RAB31,0.05218043923377991,0.05218043923377991,0.05218043923377991,0.05218043923377991,human
HLA-DQA2,0.051997724920511246,0.051997724920511246,0.051997724920511246,0.051997724920511246,human
BEX1,0.051154617220163345,0.051154617220163345,0.051154617220163345,0.051154617220163345,human
FN1,0.050402384251356125,0.050402384251356125,0.050402384251356125,0.050402384251356125,human
HLA-DRB1,0.05034850165247917,0.05034850165247917,0.05034850165247917,0.05034850165247917,human
ASPN,0.050287313759326935,0.050287313759326935,0.050287313759326935,0.050287313759326935,human
MGP,0.04978671669960022,0.04978671669960022,0.04978671669960022,0.04978671669960022,human
COL6A3,0.04970667511224747,0.04970667511224747,0.04970667511224747,0.04970667511224747,human
THBS2,0.049518100917339325,0.049518100917339325,0.049518100917339325,0.049518100917339325,human
GAPDH,0.04879096895456314,0.04879096895456314,0.04879096895456314,0.04879096895456314,human
HIST1H4C,0.04867568239569664,0.04867568239569664,0.04867568239569664,0.04867568239569664,human
TIMP1,0.04806819185614586,0.04806819185614586,0.04806819185614586,0.04806819185614586,human
HLA-DPB1,0.047991104423999786,0.047991104423999786,0.047991104423999786,0.047991104423999786,human
HIST1H2AC,0.0478072352707386,0.0478072352707386,0.0478072352707386,0.0478072352707386,human
AEBP1,0.047699350863695145,0.047699350863695145,0.047699350863695145,0.047699350863695145,human
RPS26,0.04747949540615082,0.04747949540615082,0.04747949540615082,0.04747949540615082,human
COL11A1,0.04680551961064339,0.04680551961064339,0.04680551961064339,0.04680551961064339,human
TFF1,0.04675587639212608,0.04675587639212608,0.04675587639212608,0.04675587639212608,human
PRDX1,0.04463152587413788,0.04463152587413788,0.04463152587413788,0.04463152587413788,human
CEACAM6,0.04449627175927162,0.04449627175927162,0.04449627175927162,0.04449627175927162,human
PTTG1IP,0.04391687363386154,0.04391687363386154,0.04391687363386154,0.04391687363386154,human
EVL,0.043289490044116974,0.043289490044116974,0.043289490044116974,0.043289490044116974,human
HIST1H2BK,0.04284457489848137,0.04284457489848137,0.04284457489848137,0.04284457489848137,human
LUM,0.04240025207400322,0.04240025207400322,0.04240025207400322,0.04240025207400322,human
S100P,0.041963130235672,0.041963130235672,0.041963130235672,0.041963130235672,human
MRPS30,0.0417010672390461,0.0417010672390461,0.0417010672390461,0.0417010672390461,human
H3F3AP4,0.041571710258722305,0.041571710258722305,0.041571710258722305,0.041571710258722305,human
H2AFZ,0.04083045572042465,0.04083045572042465,0.04083045572042465,0.04083045572042465,human
MIR21,0.039615701884031296,0.039615701884031296,0.039615701884031296,0.039615701884031296,human
S100A11,0.039508745074272156,0.039508745074272156,0.039508745074272156,0.039508745074272156,human
MIF,0.03894592821598053,0.03894592821598053,0.03894592821598053,0.03894592821598053,human
FNDC1,0.038851384073495865,0.038851384073495865,0.038851384073495865,0.038851384073495865,human
HIST2H2AA4,0.038502827286720276,0.038502827286720276,0.038502827286720276,0.038502827286720276,human
SPARC,0.03738934174180031,0.03738934174180031,0.03738934174180031,0.03738934174180031,human
PFN1,0.036983512341976166,0.036983512341976166,0.036983512341976166,0.036983512341976166,human
IFI30,0.0367707684636116,0.0367707684636116,0.0367707684636116,0.0367707684636116,human
TSTD1,0.03666713833808899,0.03666713833808899,0.03666713833808899,0.03666713833808899,human
IFI6,0.03639849275350571,0.03639849275350571,0.03639849275350571,0.03639849275350571,human
CYP4Z1,0.0357663631439209,0.0357663631439209,0.0357663631439209,0.0357663631439209,human
LYZ,0.03563923388719559,0.03563923388719559,0.03563923388719559,0.03563923388719559,human
GGCT,0.03549551963806152,0.03549551963806152,0.03549551963806152,0.03549551963806152,human
CXCL9,0.03546140342950821,0.03546140342950821,0.03546140342950821,0.03546140342950821,human
MAGED1,0.03542976453900337,0.03542976453900337,0.03542976453900337,0.03542976453900337,human
UQCRQ,0.0347890630364418,0.0347890630364418,0.0347890630364418,0.0347890630364418,human
KDELR2,0.03472452238202095,0.03472452238202095,0.03472452238202095,0.03472452238202095,human
TUFT1,0.03471880406141281,0.03471880406141281,0.03471880406141281,0.03471880406141281,human
TFF3,0.03446286916732788,0.03446286916732788,0.03446286916732788,0.03446286916732788,human
ARPC1B,0.03441677242517471,0.03441677242517471,0.03441677242517471,0.03441677242517471,human
COX2,0.03373279422521591,0.03373279422521591,0.03373279422521591,0.03373279422521591,human
ANKRD30A,0.03329384699463844,0.03329384699463844,0.03329384699463844,0.03329384699463844,human
THBS4,0.033081620931625366,0.033081620931625366,0.033081620931625366,0.033081620931625366,human
HIF1A,0.03253328055143356,0.03253328055143356,0.03253328055143356,0.03253328055143356,human
CFL1,0.032372284680604935,0.032372284680604935,0.032372284680604935,0.032372284680604935,human
MAL2,0.032006025314331055,0.032006025314331055,0.032006025314331055,0.032006025314331055,human
YWHAZ,0.031937986612319946,0.031937986612319946,0.031937986612319946,0.031937986612319946,human
SSR2,0.03176090866327286,0.03176090866327286,0.03176090866327286,0.03176090866327286,human
HSPB1,0.03159136697649956,0.03159136697649956,0.03159136697649956,0.03159136697649956,human
COL5A1,0.03133112192153931,0.03133112192153931,0.03133112192153931,0.03133112192153931,human
SAT1,0.03129197284579277,0.03129197284579277,0.03129197284579277,0.03129197284579277,human
MLPH,0.0311678908765316,0.0311678908765316,0.0311678908765316,0.0311678908765316,human
HLA-C,0.031075971201062202,0.031075971201062202,0.031075971201062202,0.031075971201062202,human
H2BFS,0.030940067023038864,0.030940067023038864,0.030940067023038864,0.030940067023038864,human
ITGAV,0.030757740139961243,0.030757740139961243,0.030757740139961243,0.030757740139961243,human
BMPR1B,0.03054145723581314,0.03054145723581314,0.03054145723581314,0.03054145723581314,human
HLA-DPA1,0.030502235516905785,0.030502235516905785,0.030502235516905785,0.030502235516905785,human
NDUFA4,0.029468799009919167,0.029468799009919167,0.029468799009919167,0.029468799009919167,human
FAP,0.029091639444231987,0.029091639444231987,0.029091639444231987,0.029091639444231987,human
SERPINA3,0.02906086854636669,0.02906086854636669,0.02906086854636669,0.02906086854636669,human
TMSB10,0.02894282527267933,0.02894282527267933,0.02894282527267933,0.02894282527267933,human
YWHAB,0.02845059521496296,0.02845059521496296,0.02845059521496296,0.02845059521496296,human
MMP9,0.028406033292412758,0.028406033292412758,0.028406033292412758,0.028406033292412758,human
CTSB,0.028159024193882942,0.028159024193882942,0.028159024193882942,0.028159024193882942,human
ISG15,0.028071416541934013,0.028071416541934013,0.028071416541934013,0.028071416541934013,human
ATP6V0B,0.027930984273552895,0.027930984273552895,0.027930984273552895,0.027930984273552895,human
PPT1,0.027795808389782906,0.027795808389782906,0.027795808389782906,0.027795808389782906,human
TMEM14B,0.027721121907234192,0.027721121907234192,0.027721121907234192,0.027721121907234192,human
BASP1,0.027554940432310104,0.027554940432310104,0.027554940432310104,0.027554940432310104,human
FAM96A,0.027540860697627068,0.027540860697627068,0.027540860697627068,0.027540860697627068,human
SNRPG,0.027406122535467148,0.027406122535467148,0.027406122535467148,0.027406122535467148,human
OLFM4,0.02726331166923046,0.02726331166923046,0.02726331166923046,0.02726331166923046,human
ZG16B,0.02706856094300747,0.02706856094300747,0.02706856094300747,0.02706856094300747,human
GATA3,0.027022434398531914,0.027022434398531914,0.027022434398531914,0.027022434398531914,human
SULF2,0.027010615915060043,0.027010615915060043,0.027010615915060043,0.027010615915060043,human
MFAP2,0.02688652276992798,0.02688652276992798,0.02688652276992798,0.02688652276992798,human
ARF4,0.026879001408815384,0.026879001408815384,0.026879001408815384,0.026879001408815384,human
TSPO,0.02679871954023838,0.02679871954023838,0.02679871954023838,0.02679871954023838,human
CD99,0.026709452271461487,0.026709452271461487,0.026709452271461487,0.026709452271461487,human
PRDX4,0.026441970840096474,0.026441970840096474,0.026441970840096474,0.026441970840096474,human
HP,0.026404591277241707,0.026404591277241707,0.026404591277241707,0.026404591277241707,human
RPN2,0.026361282914876938,0.026361282914876938,0.026361282914876938,0.026361282914876938,human
PCNA,0.026346681639552116,0.026346681639552116,0.026346681639552116,0.026346681639552116,human
NME1,0.02628977783024311,0.02628977783024311,0.02628977783024311,0.02628977783024311,human
ALOX5AP,0.026147479191422462,0.026147479191422462,0.026147479191422462,0.026147479191422462,human
ZBTB41,0.025986047461628914,0.025986047461628914,0.025986047461628914,0.025986047461628914,human
LOC100133583,0.025859272107481956,0.025859272107481956,0.025859272107481956,0.025859272107481956,human
OSTC,0.02581232227385044,0.02581232227385044,0.02581232227385044,0.02581232227385044,human
RAD21,0.025650767609477043,0.025650767609477043,0.025650767609477043,0.025650767609477043,human
PSMB4,0.025621654465794563,0.025621654465794563,0.025621654465794563,0.025621654465794563,human
FTL,0.025607004761695862,0.025607004761695862,0.025607004761695862,0.025607004761695862,human
KIAA0907,0.02560536563396454,0.02560536563396454,0.02560536563396454,0.02560536563396454,human
UBD,0.02560328133404255,0.02560328133404255,0.02560328133404255,0.02560328133404255,human
APOC1,0.025542309507727623,0.025542309507727623,0.025542309507727623,0.025542309507727623,human
CXCL10,0.025506669655442238,0.025506669655442238,0.025506669655442238,0.025506669655442238,human
LOXL1,0.02548776939511299,0.02548776939511299,0.02548776939511299,0.02548776939511299,human
DDIT4,0.025477033108472824,0.025477033108472824,0.025477033108472824,0.025477033108472824,human
BAMBI,0.025311999022960663,0.025311999022960663,0.025311999022960663,0.025311999022960663,human
JTB,0.025234736502170563,0.025234736502170563,0.025234736502170563,0.025234736502170563,human
GJB2,0.025184640660881996,0.025184640660881996,0.025184640660881996,0.025184640660881996,human
