gene_symbol,logfc_dz:392,logfc_dz:978,logfc_dz:148,logfc_dz:602,logfc_dz:24,logfc_dz:52,logfc_dz:39,logfc_dz:478,logfc_dz:448,logfc_dz:504,logfc_dz:11,mean_logfc,median_logfc,common_experiment,organism
HBB,0.3793531060218811,-0.015523906797170639,-0.16216802597045898,-0.015479108318686485,-0.017191100865602493,-0.01966448314487934,,,,,,0.024887746820847195,-0.016357503831386566,0.3793531060218811,human
CCL8,0.19382862746715546,,,,,0.024602962657809258,,,,,,0.10921579506248236,0.10921579506248236,0.19382862746715546,human
ALOX15B,0.12510830163955688,-0.01616378128528595,,,-0.02061590366065502,0.06637004762887955,,,,,,0.038674666080623865,0.0251031331717968,0.12510830163955688,human
PLEKHS1,0.12360245734453201,,,,,0.0859340950846672,,,,,,0.10476827621459961,0.10476827621459961,0.12360245734453201,human
FABP4,0.11724767833948135,-0.02175128273665905,-0.01837615855038166,-0.011648719199001789,-0.021579355001449585,,,,,,,0.008778432570397853,-0.01837615855038166,0.11724767833948135,human
TRH,0.11674301326274872,,,,,0.11144161969423294,,,,,,0.11409231647849083,0.11409231647849083,0.11674301326274872,human
ABCC11,0.10534778982400894,,,,,0.009523521177470684,,,,,,0.05743565550073981,0.05743565550073981,0.10534778982400894,human
CRISP3,0.09949088841676712,0.0132951894775033,,,,0.08543235808610916,,,,,,0.06607281199345987,0.08543235808610916,0.09949088841676712,human
ENOX1,0.0983804389834404,,,,,0.034278880804777145,,,,,,0.06632965989410877,0.06632965989410877,0.0983804389834404,human
GUCY2D,0.08860023319721222,,,,,0.04477887228131294,,,,,,0.06668955273926258,0.06668955273926258,0.08860023319721222,human
FMO1,0.07987650483846664,,,,,,,,,,,0.07987650483846664,0.07987650483846664,0.07987650483846664,human
DRD1,0.07901015877723694,,,,,0.03796898573637009,,,,,,0.05848957225680351,0.05848957225680351,0.07901015877723694,human
PTPRT,0.07332601398229599,,,,,0.028241094201803207,,,,,,0.0507835540920496,0.0507835540920496,0.07332601398229599,human
FSIP1,0.07163696736097336,,,,,0.07499226182699203,,,,,,0.0733146145939827,0.0733146145939827,0.07163696736097336,human
FAM196A,0.06999694555997849,,,,,0.05086144059896469,,,,,,0.06042919307947159,0.06042919307947159,0.06999694555997849,human
CCL18,0.06988857686519623,,,,,,,,,,,0.06988857686519623,0.06988857686519623,0.06988857686519623,human
OTOR,0.06825495511293411,,,,,0.047754496335983276,,,,,,0.058004725724458694,0.058004725724458694,0.06825495511293411,human
HS3ST2,0.06743927299976349,,,,,,0.010560980997979641,,,,,0.039000126998871565,0.039000126998871565,0.06743927299976349,human
PARD6B,0.06645035743713379,,,,,0.0741533413529396,,,,,,0.0703018493950367,0.0703018493950367,0.06645035743713379,human
TRGC2,0.06548244506120682,,,,,0.12218425422906876,,,,,,0.09383334964513779,0.09383334964513779,0.06548244506120682,human
F13A1,0.06454632431268692,,,,,-0.0252964086830616,,0.09210764616727829,,,,0.0437858539323012,0.06454632431268692,0.06454632431268692,human
MFAP5,0.064171202480793,,,,,,,,,,,0.064171202480793,0.064171202480793,0.064171202480793,human
