gene_symbol,logfc_dz:421,mean_logfc,median_logfc,common_experiment,organism
RBM10,0.8897977471351624,0.8897977471351624,0.8897977471351624,0.8897977471351624,human
POLE,0.4560321867465973,0.4560321867465973,0.4560321867465973,0.4560321867465973,human
OFD1,0.012766559608280659,0.012766559608280659,0.012766559608280659,0.012766559608280659,human
ZSWIM3,0.007883314043283463,0.007883314043283463,0.007883314043283463,0.007883314043283463,human
NVL,0.00614972086623311,0.00614972086623311,0.00614972086623311,0.00614972086623311,human
NDUFA4,0.004507048521190882,0.004507048521190882,0.004507048521190882,0.004507048521190882,human
MROH7,0.001706020557321608,0.001706020557321608,0.001706020557321608,0.001706020557321608,human
HDAC1,0.0014125044690445065,0.0014125044690445065,0.0014125044690445065,0.0014125044690445065,human
DNAJB1,0.0002798511122819036,0.0002798511122819036,0.0002798511122819036,0.0002798511122819036,human
SRSF5,0.00025876841391436756,0.00025876841391436756,0.00025876841391436756,0.00025876841391436756,human
MGAT5,0.00020271829271223396,0.00020271829271223396,0.00020271829271223396,0.00020271829271223396,human
MMD,0.0001869802363216877,0.0001869802363216877,0.0001869802363216877,0.0001869802363216877,human
KPNA6,4.4721324229612947e-05,4.4721324229612947e-05,4.4721324229612947e-05,4.4721324229612947e-05,human
ID4,3.91196008422412e-05,3.91196008422412e-05,3.91196008422412e-05,3.91196008422412e-05,human
COG5,3.317953087389469e-05,3.317953087389469e-05,3.317953087389469e-05,3.317953087389469e-05,human
TRPC4AP,2.4520695660612546e-05,2.4520695660612546e-05,2.4520695660612546e-05,2.4520695660612546e-05,human
SH3GLB1,1.5750681995996274e-05,1.5750681995996274e-05,1.5750681995996274e-05,1.5750681995996274e-05,human
ARCN1,1.2474389222916216e-05,1.2474389222916216e-05,1.2474389222916216e-05,1.2474389222916216e-05,human
EFEMP1,8.971029274107423e-06,8.971029274107423e-06,8.971029274107423e-06,8.971029274107423e-06,human
CFAP97,7.248072051879717e-06,7.248072051879717e-06,7.248072051879717e-06,7.248072051879717e-06,human
SOS1,6.774216217309004e-06,6.774216217309004e-06,6.774216217309004e-06,6.774216217309004e-06,human
RAMP2,6.630768439208623e-06,6.630768439208623e-06,6.630768439208623e-06,6.630768439208623e-06,human
SIRT6,6.030652912158985e-06,6.030652912158985e-06,6.030652912158985e-06,6.030652912158985e-06,human
RNF44,5.679587047779933e-06,5.679587047779933e-06,5.679587047779933e-06,5.679587047779933e-06,human
MYO1E,4.868270934821339e-06,4.868270934821339e-06,4.868270934821339e-06,4.868270934821339e-06,human
POLR2J,4.129771241423441e-06,4.129771241423441e-06,4.129771241423441e-06,4.129771241423441e-06,human
FOXJ2,3.1331310310633853e-06,3.1331310310633853e-06,3.1331310310633853e-06,3.1331310310633853e-06,human
RGCC,2.811417289194651e-06,2.811417289194651e-06,2.811417289194651e-06,2.811417289194651e-06,human
CD36,2.4005653358472046e-06,2.4005653358472046e-06,2.4005653358472046e-06,2.4005653358472046e-06,human
CCNA2,2.3277684704225976e-06,2.3277684704225976e-06,2.3277684704225976e-06,2.3277684704225976e-06,human
TRIM25,2.2938875190448016e-06,2.2938875190448016e-06,2.2938875190448016e-06,2.2938875190448016e-06,human
SPIN1,2.1718190055253217e-06,2.1718190055253217e-06,2.1718190055253217e-06,2.1718190055253217e-06,human
MRPL20,2.0548811789922183e-06,2.0548811789922183e-06,2.0548811789922183e-06,2.0548811789922183e-06,human
RGS6,1.6228891581704374e-06,1.6228891581704374e-06,1.6228891581704374e-06,1.6228891581704374e-06,human
SVIL-AS1,1.5321352293540258e-06,1.5321352293540258e-06,1.5321352293540258e-06,1.5321352293540258e-06,human
NFE2,9.162956189356919e-07,9.162956189356919e-07,9.162956189356919e-07,9.162956189356919e-07,human
PCDHB2,7.685474656682345e-07,7.685474656682345e-07,7.685474656682345e-07,7.685474656682345e-07,human
DCTPP1,6.911696459610539e-07,6.911696459610539e-07,6.911696459610539e-07,6.911696459610539e-07,human
