gene_symbol,logfc_dz:371,mean_logfc,median_logfc,common_experiment,organism
LY6E,0.14465631544589996,0.14465631544589996,0.14465631544589996,0.14465631544589996,human
CCL23,0.11864077299833298,0.11864077299833298,0.11864077299833298,0.11864077299833298,human
ORM2,0.09071920812129974,0.09071920812129974,0.09071920812129974,0.09071920812129974,human
HBA2,0.09048116207122803,0.09048116207122803,0.09048116207122803,0.09048116207122803,human
HBB,0.0853135734796524,0.0853135734796524,0.0853135734796524,0.0853135734796524,human
FOLR3,0.07790114730596542,0.07790114730596542,0.07790114730596542,0.07790114730596542,human
CCL2,0.07370425015687943,0.07370425015687943,0.07370425015687943,0.07370425015687943,human
OAS1,0.0695747584104538,0.0695747584104538,0.0695747584104538,0.0695747584104538,human
IFI44L,0.06135468930006027,0.06135468930006027,0.06135468930006027,0.06135468930006027,human
OAS2,0.06118342652916908,0.06118342652916908,0.06118342652916908,0.06118342652916908,human
UPP1,0.06087184324860573,0.06087184324860573,0.06087184324860573,0.06087184324860573,human
PSPH,0.05996999889612198,0.05996999889612198,0.05996999889612198,0.05996999889612198,human
AKR1C2,0.059555936604738235,0.059555936604738235,0.059555936604738235,0.059555936604738235,human
LCN2,0.05918187275528908,0.05918187275528908,0.05918187275528908,0.05918187275528908,human
HP,0.05903945490717888,0.05903945490717888,0.05903945490717888,0.05903945490717888,human
MT1F,0.05740838125348091,0.05740838125348091,0.05740838125348091,0.05740838125348091,human
ISG15,0.05691350996494293,0.05691350996494293,0.05691350996494293,0.05691350996494293,human
HIST1H2BD,0.05589663237333298,0.05589663237333298,0.05589663237333298,0.05589663237333298,human
LEPROT,0.050985101610422134,0.050985101610422134,0.050985101610422134,0.050985101610422134,human
EGR1,0.05011456087231636,0.05011456087231636,0.05011456087231636,0.05011456087231636,human
CAPG,0.049193255603313446,0.049193255603313446,0.049193255603313446,0.049193255603313446,human
BPI,0.048047956079244614,0.048047956079244614,0.048047956079244614,0.048047956079244614,human
IFI44,0.0476609468460083,0.0476609468460083,0.0476609468460083,0.0476609468460083,human
LYZ,0.047159209847450256,0.047159209847450256,0.047159209847450256,0.047159209847450256,human
S100A12,0.04668791592121124,0.04668791592121124,0.04668791592121124,0.04668791592121124,human
CASP5,0.04507439583539963,0.04507439583539963,0.04507439583539963,0.04507439583539963,human
CPT1B,0.04429338872432709,0.04429338872432709,0.04429338872432709,0.04429338872432709,human
CRIP1,0.043844617903232574,0.043844617903232574,0.043844617903232574,0.043844617903232574,human
IL18R1,0.04373258352279663,0.04373258352279663,0.04373258352279663,0.04373258352279663,human
CD24,0.042970117181539536,0.042970117181539536,0.042970117181539536,0.042970117181539536,human
DEFA1B,0.04211573675274849,0.04211573675274849,0.04211573675274849,0.04211573675274849,human
S100P,0.04052824154496193,0.04052824154496193,0.04052824154496193,0.04052824154496193,human
DOCK4,0.04050903767347336,0.04050903767347336,0.04050903767347336,0.04050903767347336,human
DEFA4,0.04019812494516373,0.04019812494516373,0.04019812494516373,0.04019812494516373,human
HIST1H3D,0.03905682638287544,0.03905682638287544,0.03905682638287544,0.03905682638287544,human
HIST1H2BK,0.03903229162096977,0.03903229162096977,0.03903229162096977,0.03903229162096977,human
GYG1,0.03771861642599106,0.03771861642599106,0.03771861642599106,0.03771861642599106,human
BZRAP1,0.03765850141644478,0.03765850141644478,0.03765850141644478,0.03765850141644478,human
ID1,0.03708707168698311,0.03708707168698311,0.03708707168698311,0.03708707168698311,human
IFITM3,0.036399029195308685,0.036399029195308685,0.036399029195308685,0.036399029195308685,human
ACP5,0.03613012656569481,0.03613012656569481,0.03613012656569481,0.03613012656569481,human
AGRN,0.03496333211660385,0.03496333211660385,0.03496333211660385,0.03496333211660385,human
SERPING1,0.03478888049721718,0.03478888049721718,0.03478888049721718,0.03478888049721718,human
RNF10,0.03432125970721245,0.03432125970721245,0.03432125970721245,0.03432125970721245,human
SCO2,0.0342266820371151,0.0342266820371151,0.0342266820371151,0.0342266820371151,human
TSPO,0.03406766802072525,0.03406766802072525,0.03406766802072525,0.03406766802072525,human
EGR3,0.03338439017534256,0.03338439017534256,0.03338439017534256,0.03338439017534256,human
IFI30,0.033374689519405365,0.033374689519405365,0.033374689519405365,0.033374689519405365,human
C3AR1,0.033319372683763504,0.033319372683763504,0.033319372683763504,0.033319372683763504,human
