gene_symbol,logfc_dz:4,logfc_dz:403,logfc_dz:456,mean_logfc,median_logfc,common_experiment,organism
FGB,0.0987495705485344,,,0.0987495705485344,0.0987495705485344,0.0987495705485344,human
SCLY,0.09425865113735199,,,0.09425865113735199,0.09425865113735199,0.09425865113735199,human
IFNB1,0.09305422753095627,,,0.09305422753095627,0.09305422753095627,0.09305422753095627,human
PLXNB3,0.08654376119375229,,,0.08654376119375229,0.08654376119375229,0.08654376119375229,human
TMEM174,0.07500919699668884,,,0.07500919699668884,0.07500919699668884,0.07500919699668884,human
OR6M1,0.07448694854974747,,,0.07448694854974747,0.07448694854974747,0.07448694854974747,human
EFNB1,0.07391399145126343,,,0.07391399145126343,0.07391399145126343,0.07391399145126343,human
BRDT,0.07054191082715988,,,0.07054191082715988,0.07054191082715988,0.07054191082715988,human
MAP1B,0.06963005661964417,,,0.06963005661964417,0.06963005661964417,0.06963005661964417,human
IL26,0.06832726299762726,,,0.06832726299762726,0.06832726299762726,0.06832726299762726,human
SLC1A2,0.06667640060186386,,,0.06667640060186386,0.06667640060186386,0.06667640060186386,human
FMOD,0.06650305539369583,,,0.06650305539369583,0.06650305539369583,0.06650305539369583,human
SPSB1,0.06538781523704529,,,0.06538781523704529,0.06538781523704529,0.06538781523704529,human
PON3,0.06426829099655151,,,0.06426829099655151,0.06426829099655151,0.06426829099655151,human
STC2,0.0640624463558197,,,0.0640624463558197,0.0640624463558197,0.0640624463558197,human
C18orf51,0.06298884749412537,,,0.06298884749412537,0.06298884749412537,0.06298884749412537,human
LALBA,0.06084777042269707,,,0.06084777042269707,0.06084777042269707,0.06084777042269707,human
SPEG,0.05911269038915634,,,0.05911269038915634,0.05911269038915634,0.05911269038915634,human
RELN,0.05856740102171898,,,0.05856740102171898,0.05856740102171898,0.05856740102171898,human
TRPC6,0.058104779571294785,,,0.058104779571294785,0.058104779571294785,0.058104779571294785,human
DSEL,0.057957231998443604,,,0.057957231998443604,0.057957231998443604,0.057957231998443604,human
FAM163A,0.057746488600969315,,,0.057746488600969315,0.057746488600969315,0.057746488600969315,human
RPS6KA6,0.056809935718774796,,,0.056809935718774796,0.056809935718774796,0.056809935718774796,human
RCAN2,0.05672546848654747,,,0.05672546848654747,0.05672546848654747,0.05672546848654747,human
DIP2C,0.05457555502653122,,,0.05457555502653122,0.05457555502653122,0.05457555502653122,human
PCSK6,0.05439316853880882,,,0.05439316853880882,0.05439316853880882,0.05439316853880882,human
MS4A5,0.05383283644914627,,,0.05383283644914627,0.05383283644914627,0.05383283644914627,human
BMPR1B,0.053806278854608536,,,0.053806278854608536,0.053806278854608536,0.053806278854608536,human
TMEM27,0.05229722335934639,,,0.05229722335934639,0.05229722335934639,0.05229722335934639,human
HS3ST4,0.05190877616405487,,,0.05190877616405487,0.05190877616405487,0.05190877616405487,human
CSN1S1,0.05118666961789131,,,0.05118666961789131,0.05118666961789131,0.05118666961789131,human
MAP3K9,0.05085809901356697,,,0.05085809901356697,0.05085809901356697,0.05085809901356697,human
LRRC49,0.050766680389642715,,,0.050766680389642715,0.050766680389642715,0.050766680389642715,human
FUT8,0.050612907856702805,,,0.050612907856702805,0.050612907856702805,0.050612907856702805,human
CFHR4,0.050141893327236176,,,0.050141893327236176,0.050141893327236176,0.050141893327236176,human
SUSD5,0.04900036379694939,,,0.04900036379694939,0.04900036379694939,0.04900036379694939,human
hCG_1806964,0.04886981472373009,,,0.04886981472373009,0.04886981472373009,0.04886981472373009,human
C5orf23,0.048749636858701706,,,0.048749636858701706,0.048749636858701706,0.048749636858701706,human
BMP5,0.04704994708299637,,,0.04704994708299637,0.04704994708299637,0.04704994708299637,human
WWC1,0.04674243554472923,,,0.04674243554472923,0.04674243554472923,0.04674243554472923,human
ZNF462,0.04583311080932617,,,0.04583311080932617,0.04583311080932617,0.04583311080932617,human
GUCA1C,0.045738257467746735,,,0.045738257467746735,0.045738257467746735,0.045738257467746735,human
EPYC,0.04568956047296524,,,0.04568956047296524,0.04568956047296524,0.04568956047296524,human
RXRG,0.04545850306749344,,,0.04545850306749344,0.04545850306749344,0.04545850306749344,human
LOC149837,0.04512054845690727,,,0.04512054845690727,0.04512054845690727,0.04512054845690727,human
MOV10L1,0.04490363970398903,,,0.04490363970398903,0.04490363970398903,0.04490363970398903,human
AS3MT,0.044617027044296265,,,0.044617027044296265,0.044617027044296265,0.044617027044296265,human
IPW,0.044489625841379166,,,0.044489625841379166,0.044489625841379166,0.044489625841379166,human
HGD,0.04434119910001755,,,0.04434119910001755,0.04434119910001755,0.04434119910001755,human
MYOZ2,0.04413510113954544,,,0.04413510113954544,0.04413510113954544,0.04413510113954544,human
BCL2L14,0.04408708214759827,,,0.04408708214759827,0.04408708214759827,0.04408708214759827,human
LOXL4,0.043452028185129166,,,0.043452028185129166,0.043452028185129166,0.043452028185129166,human
PTPN5,0.042618632316589355,,,0.042618632316589355,0.042618632316589355,0.042618632316589355,human
FAM110C,0.04242425784468651,,,0.04242425784468651,0.04242425784468651,0.04242425784468651,human
MYL7,0.04225825145840645,,,0.04225825145840645,0.04225825145840645,0.04225825145840645,human
CDH7,0.04223009571433067,,,0.04223009571433067,0.04223009571433067,0.04223009571433067,human
LCT,0.04207584634423256,,,0.04207584634423256,0.04207584634423256,0.04207584634423256,human
TP63,0.04172869026660919,,,0.04172869026660919,0.04172869026660919,0.04172869026660919,human
LCMT2,0.041656166315078735,,,0.041656166315078735,0.041656166315078735,0.041656166315078735,human
PRAME,0.04137507826089859,,,0.04137507826089859,0.04137507826089859,0.04137507826089859,human
ASAH3L,0.0413389578461647,,,0.0413389578461647,0.0413389578461647,0.0413389578461647,human
PALMD,0.04117953032255173,,,0.04117953032255173,0.04117953032255173,0.04117953032255173,human
C14orf115,0.04100033640861511,,,0.04100033640861511,0.04100033640861511,0.04100033640861511,human
TACSTD2,0.04085501283407211,,,0.04085501283407211,0.04085501283407211,0.04085501283407211,human
KDELR3,0.040842585265636444,,,0.040842585265636444,0.040842585265636444,0.040842585265636444,human
PTPN14,0.0404212512075901,,,0.0404212512075901,0.0404212512075901,0.0404212512075901,human
ELMOD1,0.040362101048231125,,,0.040362101048231125,0.040362101048231125,0.040362101048231125,human
SYNPO2,0.040353305637836456,,,0.040353305637836456,0.040353305637836456,0.040353305637836456,human
CSPG4,0.04015253856778145,,,0.04015253856778145,0.04015253856778145,0.04015253856778145,human
CYP39A1,0.039755672216415405,,,0.039755672216415405,0.039755672216415405,0.039755672216415405,human
EGFLAM,0.03970501571893692,,,0.03970501571893692,0.03970501571893692,0.03970501571893692,human
MYO16,0.03969976678490639,,,0.03969976678490639,0.03969976678490639,0.03969976678490639,human
C3orf59,0.03964598849415779,,,0.03964598849415779,0.03964598849415779,0.03964598849415779,human
C12orf42,0.03958148509263992,,,0.03958148509263992,0.03958148509263992,0.03958148509263992,human
TDGF1,0.03831469640135765,,,0.03831469640135765,0.03831469640135765,0.03831469640135765,human
PAPPA2,0.038052067160606384,,,0.038052067160606384,0.038052067160606384,0.038052067160606384,human
WISP2,0.03798514977097511,,,0.03798514977097511,0.03798514977097511,0.03798514977097511,human
MPP3,0.037887394428253174,,,0.037887394428253174,0.037887394428253174,0.037887394428253174,human
SLC2A2,0.03760010749101639,,,0.03760010749101639,0.03760010749101639,0.03760010749101639,human
FLT4,0.03759980574250221,,,0.03759980574250221,0.03759980574250221,0.03759980574250221,human
ARG2,0.03659503161907196,,,0.03659503161907196,0.03659503161907196,0.03659503161907196,human
SLC23A1,0.036373477429151535,,,0.036373477429151535,0.036373477429151535,0.036373477429151535,human
LOC728613,0.03627850487828255,,,0.03627850487828255,0.03627850487828255,0.03627850487828255,human
PENK,0.03619774803519249,,,0.03619774803519249,0.03619774803519249,0.03619774803519249,human
LOC100128403,0.036063794046640396,,,0.036063794046640396,0.036063794046640396,0.036063794046640396,human
OPHN1,0.035998374223709106,0.04335504397749901,,0.03967670910060406,0.03967670910060406,0.035998374223709106,human
FGF16,0.03593899682164192,,,0.03593899682164192,0.03593899682164192,0.03593899682164192,human
ARHGEF16,0.0359375923871994,,,0.0359375923871994,0.0359375923871994,0.0359375923871994,human
MSC,0.035834621638059616,,,0.035834621638059616,0.035834621638059616,0.035834621638059616,human
DPYSL3,0.0354832299053669,,,0.0354832299053669,0.0354832299053669,0.0354832299053669,human
CCDC8,0.03547564148902893,,,0.03547564148902893,0.03547564148902893,0.03547564148902893,human
KIAA1462,0.03546019643545151,,,0.03546019643545151,0.03546019643545151,0.03546019643545151,human
LOC284561,0.035279471427202225,,,0.035279471427202225,0.035279471427202225,0.035279471427202225,human
SLC35E4,0.03517063334584236,,,0.03517063334584236,0.03517063334584236,0.03517063334584236,human
LOC100129973,0.03508218750357628,,,0.03508218750357628,0.03508218750357628,0.03508218750357628,human
SAE1,0.035016875714063644,,,0.035016875714063644,0.035016875714063644,0.035016875714063644,human
