gene_symbol,logfc_dz:761,mean_logfc,median_logfc,common_experiment,organism
REG1A,0.1877223551273346,0.1877223551273346,0.1877223551273346,0.1877223551273346,human
PLA2G2A,0.16930298507213593,0.16930298507213593,0.16930298507213593,0.16930298507213593,human
CYAT1,0.16781555116176605,0.16781555116176605,0.16781555116176605,0.16781555116176605,human
IGHA2,0.13366743922233582,0.13366743922233582,0.13366743922233582,0.13366743922233582,human
HLA-A,0.1274002343416214,0.1274002343416214,0.1274002343416214,0.1274002343416214,human
OLFM4,0.12371551990509033,0.12371551990509033,0.12371551990509033,0.12371551990509033,human
LCN2,0.121184341609478,0.121184341609478,0.121184341609478,0.121184341609478,human
SPINK4,0.10401327162981033,0.10401327162981033,0.10401327162981033,0.10401327162981033,human
IGHV4-31,0.09390600025653839,0.09390600025653839,0.09390600025653839,0.09390600025653839,human
IGK,0.09382185339927673,0.09382185339927673,0.09382185339927673,0.09382185339927673,human
TMSB10,0.08691280335187912,0.08691280335187912,0.08691280335187912,0.08691280335187912,human
IGHM,0.08688592910766602,0.08688592910766602,0.08688592910766602,0.08688592910766602,human
REG1B,0.08247840404510498,0.08247840404510498,0.08247840404510498,0.08247840404510498,human
AGR2,0.08214879035949707,0.08214879035949707,0.08214879035949707,0.08214879035949707,human
IFI30,0.07813026010990143,0.07813026010990143,0.07813026010990143,0.07813026010990143,human
DMBT1,0.07112791389226913,0.07112791389226913,0.07112791389226913,0.07112791389226913,human
RPS2,0.06771712750196457,0.06771712750196457,0.06771712750196457,0.06771712750196457,human
RPS27,0.06490746140480042,0.06490746140480042,0.06490746140480042,0.06490746140480042,human
CD81,0.06365545094013214,0.06365545094013214,0.06365545094013214,0.06365545094013214,human
ASS1,0.06343431025743484,0.06343431025743484,0.06343431025743484,0.06343431025743484,human
SPINK1,0.059666141867637634,0.059666141867637634,0.059666141867637634,0.059666141867637634,human
IGLV@,0.054444629698991776,0.054444629698991776,0.054444629698991776,0.054444629698991776,human
PI3,0.05351652950048447,0.05351652950048447,0.05351652950048447,0.05351652950048447,human
RPS11,0.053320206701755524,0.053320206701755524,0.053320206701755524,0.053320206701755524,human
PPIA,0.05261373519897461,0.05261373519897461,0.05261373519897461,0.05261373519897461,human
TCAP,0.05209876969456673,0.05209876969456673,0.05209876969456673,0.05209876969456673,human
IFITM2,0.04700007662177086,0.04700007662177086,0.04700007662177086,0.04700007662177086,human
LEFTY1,0.04467623308300972,0.04467623308300972,0.04467623308300972,0.04467623308300972,human
RPL28,0.04390052333474159,0.04390052333474159,0.04390052333474159,0.04390052333474159,human
RPL19,0.03877035900950432,0.03877035900950432,0.03877035900950432,0.03877035900950432,human
HSPA5,0.03856411576271057,0.03856411576271057,0.03856411576271057,0.03856411576271057,human
LYZ,0.03827015683054924,0.03827015683054924,0.03827015683054924,0.03827015683054924,human
IDH2,0.03804676979780197,0.03804676979780197,0.03804676979780197,0.03804676979780197,human
HMGN2,0.037770990282297134,0.037770990282297134,0.037770990282297134,0.037770990282297134,human
RPL17,0.03764411062002182,0.03764411062002182,0.03764411062002182,0.03764411062002182,human
LOC100510519,0.037504322826862335,0.037504322826862335,0.037504322826862335,0.037504322826862335,human
LOC100290036,0.03737181797623634,0.03737181797623634,0.03737181797623634,0.03737181797623634,human
ANXA2P1,0.03727792203426361,0.03727792203426361,0.03727792203426361,0.03727792203426361,human
FTL,0.0371527299284935,0.0371527299284935,0.0371527299284935,0.0371527299284935,human
PGAM1,0.03711347654461861,0.03711347654461861,0.03711347654461861,0.03711347654461861,human
HLA-C,0.0367514006793499,0.0367514006793499,0.0367514006793499,0.0367514006793499,human
HSP90B1,0.03657637536525726,0.03657637536525726,0.03657637536525726,0.03657637536525726,human
SPINK5,0.036521002650260925,0.036521002650260925,0.036521002650260925,0.036521002650260925,human
ALDOA,0.03614964708685875,0.03614964708685875,0.03614964708685875,0.03614964708685875,human
IFITM3,0.035759687423706055,0.035759687423706055,0.035759687423706055,0.035759687423706055,human
EEF2,0.035698480904102325,0.035698480904102325,0.035698480904102325,0.035698480904102325,human
SOD1,0.03546138107776642,0.03546138107776642,0.03546138107776642,0.03546138107776642,human
HNRNPA2B1,0.03488949313759804,0.03488949313759804,0.03488949313759804,0.03488949313759804,human
S100A11,0.03464162349700928,0.03464162349700928,0.03464162349700928,0.03464162349700928,human
PDIA3,0.03392226994037628,0.03392226994037628,0.03392226994037628,0.03392226994037628,human
MIF,0.032954052090644836,0.032954052090644836,0.032954052090644836,0.032954052090644836,human
RPL23A,0.03272593766450882,0.03272593766450882,0.03272593766450882,0.03272593766450882,human
RPL18AP3,0.032697707414627075,0.032697707414627075,0.032697707414627075,0.032697707414627075,human
FDPS,0.03239624947309494,0.03239624947309494,0.03239624947309494,0.03239624947309494,human
LDHB,0.031660061329603195,0.031660061329603195,0.031660061329603195,0.031660061329603195,human
HLA-DRA,0.03107486106455326,0.03107486106455326,0.03107486106455326,0.03107486106455326,human
PRSS22,0.03062603436410427,0.03062603436410427,0.03062603436410427,0.03062603436410427,human
RPS4X,0.030457118526101112,0.030457118526101112,0.030457118526101112,0.030457118526101112,human
TLN1,0.029417626559734344,0.029417626559734344,0.029417626559734344,0.029417626559734344,human
SRGN,0.02915465086698532,0.02915465086698532,0.02915465086698532,0.02915465086698532,human
PFN1,0.028874820098280907,0.028874820098280907,0.028874820098280907,0.028874820098280907,human
RPS20,0.028723500669002533,0.028723500669002533,0.028723500669002533,0.028723500669002533,human
SERPINA1,0.02870270051062107,0.02870270051062107,0.02870270051062107,0.02870270051062107,human
SLC25A6,0.028700191527605057,0.028700191527605057,0.028700191527605057,0.028700191527605057,human
HLA-G,0.028689300641417503,0.028689300641417503,0.028689300641417503,0.028689300641417503,human
EEF1A1,0.02818121947348118,0.02818121947348118,0.02818121947348118,0.02818121947348118,human
CD74,0.027794618159532547,0.027794618159532547,0.027794618159532547,0.027794618159532547,human
YBX1,0.027133196592330933,0.027133196592330933,0.027133196592330933,0.027133196592330933,human
EEF1B2,0.026917897164821625,0.026917897164821625,0.026917897164821625,0.026917897164821625,human
HMGN1,0.026824183762073517,0.026824183762073517,0.026824183762073517,0.026824183762073517,human
RPL18,0.02636100724339485,0.02636100724339485,0.02636100724339485,0.02636100724339485,human
RPL14,0.02605503983795643,0.02605503983795643,0.02605503983795643,0.02605503983795643,human
MSMO1,0.026022540405392647,0.026022540405392647,0.026022540405392647,0.026022540405392647,human
S100A8,0.0258357971906662,0.0258357971906662,0.0258357971906662,0.0258357971906662,human
EIF4H,0.02523445338010788,0.02523445338010788,0.02523445338010788,0.02523445338010788,human
GPX2,0.02492961473762989,0.02492961473762989,0.02492961473762989,0.02492961473762989,human
CXCL2,0.02479907125234604,0.02479907125234604,0.02479907125234604,0.02479907125234604,human
CD24,0.024769723415374756,0.024769723415374756,0.024769723415374756,0.024769723415374756,human
KRT17,0.02473640814423561,0.02473640814423561,0.02473640814423561,0.02473640814423561,human
PRDX1,0.02457430586218834,0.02457430586218834,0.02457430586218834,0.02457430586218834,human
COPE,0.024432320147752762,0.024432320147752762,0.024432320147752762,0.024432320147752762,human
HSPD1,0.024103887379169464,0.024103887379169464,0.024103887379169464,0.024103887379169464,human
HLA-F,0.023840077221393585,0.023840077221393585,0.023840077221393585,0.023840077221393585,human
RPL9,0.023204172030091286,0.023204172030091286,0.023204172030091286,0.023204172030091286,human
SYN1,0.023041656240820885,0.023041656240820885,0.023041656240820885,0.023041656240820885,human
