gene_symbol,logfc_dz:556,mean_logfc,median_logfc,common_experiment,organism
IFI27,0.20113301277160645,0.20113301277160645,0.20113301277160645,0.20113301277160645,human
GZMB,0.11180256307125092,0.11180256307125092,0.11180256307125092,0.11180256307125092,human
ISG15,0.1100514680147171,0.1100514680147171,0.1100514680147171,0.1100514680147171,human
PLAC8,0.10979234427213669,0.10979234427213669,0.10979234427213669,0.10979234427213669,human
HMGN2,0.10371343046426773,0.10371343046426773,0.10371343046426773,0.10371343046426773,human
TMSB10,0.10322371870279312,0.10322371870279312,0.10322371870279312,0.10322371870279312,human
LOC100290146,0.10254599153995514,0.10254599153995514,0.10254599153995514,0.10254599153995514,human
CYAT1,0.10047275573015213,0.10047275573015213,0.10047275573015213,0.10047275573015213,human
LGALS1,0.08624470978975296,0.08624470978975296,0.08624470978975296,0.08624470978975296,human
LDHA,0.07469085603952408,0.07469085603952408,0.07469085603952408,0.07469085603952408,human
GAPDH,0.07320757955312729,0.07320757955312729,0.07320757955312729,0.07320757955312729,human
IFI44L,0.07134011387825012,0.07134011387825012,0.07134011387825012,0.07134011387825012,human
IFI6,0.07128547877073288,0.07128547877073288,0.07128547877073288,0.07128547877073288,human
PSME2,0.0699409767985344,0.0699409767985344,0.0699409767985344,0.0699409767985344,human
IGJ,0.0696517676115036,0.0696517676115036,0.0696517676115036,0.0696517676115036,human
IFIT3,0.06681045889854431,0.06681045889854431,0.06681045889854431,0.06681045889854431,human
MT2A,0.06488000601530075,0.06488000601530075,0.06488000601530075,0.06488000601530075,human
PSMA6,0.0639047846198082,0.0639047846198082,0.0639047846198082,0.0639047846198082,human
NKG7,0.0618814192712307,0.0618814192712307,0.0618814192712307,0.0618814192712307,human
IFITM1,0.06081147491931915,0.06081147491931915,0.06081147491931915,0.06081147491931915,human
PPIB,0.05933648347854614,0.05933648347854614,0.05933648347854614,0.05933648347854614,human
HIST1H4C,0.058105140924453735,0.058105140924453735,0.058105140924453735,0.058105140924453735,human
PCNA,0.05787871405482292,0.05787871405482292,0.05787871405482292,0.05787871405482292,human
TUBA1C,0.0555143766105175,0.0555143766105175,0.0555143766105175,0.0555143766105175,human
