gene_symbol,logfc_dz:605,mean_logfc,median_logfc,common_experiment,organism
IGHV4-31,0.15757547318935394,0.15757547318935394,0.15757547318935394,0.15757547318935394,human
PIP,0.14218613505363464,0.14218613505363464,0.14218613505363464,0.14218613505363464,human
MUCL1,0.13599459826946259,0.13599459826946259,0.13599459826946259,0.13599459826946259,human
TMSB10,0.12557648122310638,0.12557648122310638,0.12557648122310638,0.12557648122310638,human
TMSB4XP8,0.11851071566343307,0.11851071566343307,0.11851071566343307,0.11851071566343307,human
H3F3AP4,0.11573470383882523,0.11573470383882523,0.11573470383882523,0.11573470383882523,human
COL1A2,0.11009713262319565,0.11009713262319565,0.11009713262319565,0.11009713262319565,human
AZGP1,0.1065167486667633,0.1065167486667633,0.1065167486667633,0.1065167486667633,human
MIF,0.10532447695732117,0.10532447695732117,0.10532447695732117,0.10532447695732117,human
SFRP2,0.10414676368236542,0.10414676368236542,0.10414676368236542,0.10414676368236542,human
COL6A3,0.09993142634630203,0.09993142634630203,0.09993142634630203,0.09993142634630203,human
EPCAM,0.09058117866516113,0.09058117866516113,0.09058117866516113,0.09058117866516113,human
CTHRC1,0.08886032551527023,0.08886032551527023,0.08886032551527023,0.08886032551527023,human
S100A7,0.08726052939891815,0.08726052939891815,0.08726052939891815,0.08726052939891815,human
RPL19,0.0758897215127945,0.0758897215127945,0.0758897215127945,0.0758897215127945,human
SRP9,0.07015873491764069,0.07015873491764069,0.07015873491764069,0.07015873491764069,human
CD24,0.06915675103664398,0.06915675103664398,0.06915675103664398,0.06915675103664398,human
ZG16B,0.0624643974006176,0.0624643974006176,0.0624643974006176,0.0624643974006176,human
COX6C,0.06052791699767113,0.06052791699767113,0.06052791699767113,0.06052791699767113,human
HIST1H2BK,0.06037798523902893,0.06037798523902893,0.06037798523902893,0.06037798523902893,human
TIMP1,0.05838184803724289,0.05838184803724289,0.05838184803724289,0.05838184803724289,human
SCGB2A2,0.058288875967264175,0.058288875967264175,0.058288875967264175,0.058288875967264175,human
MXRA5,0.05793440714478493,0.05793440714478493,0.05793440714478493,0.05793440714478493,human
HSPA8,0.05762789770960808,0.05762789770960808,0.05762789770960808,0.05762789770960808,human
MARCKSL1,0.05612810701131821,0.05612810701131821,0.05612810701131821,0.05612810701131821,human
SEC61G,0.056018657982349396,0.056018657982349396,0.056018657982349396,0.056018657982349396,human
S100A9,0.05359174311161041,0.05359174311161041,0.05359174311161041,0.05359174311161041,human
COX2,0.053372204303741455,0.053372204303741455,0.053372204303741455,0.053372204303741455,human
TSPAN13,0.053346503525972366,0.053346503525972366,0.053346503525972366,0.053346503525972366,human
ACTB,0.0532006211578846,0.0532006211578846,0.0532006211578846,0.0532006211578846,human
DBI,0.050460297614336014,0.050460297614336014,0.050460297614336014,0.050460297614336014,human
COL5A2,0.04979754611849785,0.04979754611849785,0.04979754611849785,0.04979754611849785,human
DYNLT1,0.04883362725377083,0.04883362725377083,0.04883362725377083,0.04883362725377083,human
TMA7,0.047360941767692566,0.047360941767692566,0.047360941767692566,0.047360941767692566,human
OAT,0.04646289348602295,0.04646289348602295,0.04646289348602295,0.04646289348602295,human
MIEN1,0.045644938945770264,0.045644938945770264,0.045644938945770264,0.045644938945770264,human
THBS2,0.04554515704512596,0.04554515704512596,0.04554515704512596,0.04554515704512596,human
HMGN1,0.045419976115226746,0.045419976115226746,0.045419976115226746,0.045419976115226746,human
COX1,0.04464273527264595,0.04464273527264595,0.04464273527264595,0.04464273527264595,human
DSP,0.043858252465724945,0.043858252465724945,0.043858252465724945,0.043858252465724945,human
ACTG1,0.04376213997602463,0.04376213997602463,0.04376213997602463,0.04376213997602463,human
HLA-DRB5,0.043751537799835205,0.043751537799835205,0.043751537799835205,0.043751537799835205,human
H2AFZ,0.0436488538980484,0.0436488538980484,0.0436488538980484,0.0436488538980484,human
LOC100505937,0.042955104261636734,0.042955104261636734,0.042955104261636734,0.042955104261636734,human
MAL2,0.04293222725391388,0.04293222725391388,0.04293222725391388,0.04293222725391388,human
S100A16,0.04238630458712578,0.04238630458712578,0.04238630458712578,0.04238630458712578,human
GGCT,0.042003098875284195,0.042003098875284195,0.042003098875284195,0.042003098875284195,human
S100A11,0.0419597253203392,0.0419597253203392,0.0419597253203392,0.0419597253203392,human
TMEM45A,0.04185505956411362,0.04185505956411362,0.04185505956411362,0.04185505956411362,human
KRT18,0.0415567010641098,0.0415567010641098,0.0415567010641098,0.0415567010641098,human
HLA-DRB4,0.041506074368953705,0.041506074368953705,0.041506074368953705,0.041506074368953705,human
RPL39,0.04011905938386917,0.04011905938386917,0.04011905938386917,0.04011905938386917,human
CEACAM6,0.03967783600091934,0.03967783600091934,0.03967783600091934,0.03967783600091934,human
CRABP2,0.039536744356155396,0.039536744356155396,0.039536744356155396,0.039536744356155396,human
CDK2AP1,0.0394754521548748,0.0394754521548748,0.0394754521548748,0.0394754521548748,human
ATP1B1,0.039020925760269165,0.039020925760269165,0.039020925760269165,0.039020925760269165,human
SNRPG,0.03895249217748642,0.03895249217748642,0.03895249217748642,0.03895249217748642,human
PPP1R1B,0.038717158138751984,0.038717158138751984,0.038717158138751984,0.038717158138751984,human
PSMB3,0.037364132702350616,0.037364132702350616,0.037364132702350616,0.037364132702350616,human
HSP90AA1,0.03692619130015373,0.03692619130015373,0.03692619130015373,0.03692619130015373,human
TUBA1C,0.03656899556517601,0.03656899556517601,0.03656899556517601,0.03656899556517601,human
LUM,0.03652596473693848,0.03652596473693848,0.03652596473693848,0.03652596473693848,human
NAT1,0.035550277680158615,0.035550277680158615,0.035550277680158615,0.035550277680158615,human
CRIP1,0.03538372367620468,0.03538372367620468,0.03538372367620468,0.03538372367620468,human
VCAN,0.034436021000146866,0.034436021000146866,0.034436021000146866,0.034436021000146866,human
HIST2H2AA4,0.03261740878224373,0.03261740878224373,0.03261740878224373,0.03261740878224373,human
MT2A,0.032528020441532135,0.032528020441532135,0.032528020441532135,0.032528020441532135,human
S100P,0.03251127526164055,0.03251127526164055,0.03251127526164055,0.03251127526164055,human
TUBA1A,0.03188709542155266,0.03188709542155266,0.03188709542155266,0.03188709542155266,human
