gene_symbol,logfc_dz:909,logfc_dz:908,logfc_dz:907,logfc_dz:910,mean_logfc,median_logfc,common_experiment,organism
RPS26,0.15306724607944489,0.13799424469470978,0.276559978723526,0.02006959542632103,0.14692276623100042,0.14553074538707733,0.02006959542632103,human
RPL36,0.1191379502415657,0.14399828016757965,0.07392590492963791,0.05736299976706505,0.09860628377646208,0.0965319275856018,0.05736299976706505,human
RPL19,0.11878856271505356,0.10922582447528839,0.0686841532588005,0.1158410981297493,0.10313490964472294,0.11253346130251884,0.1158410981297493,human
TALDO1,0.11867932975292206,0.030524974688887596,,0.03209641948342323,0.06043357464174429,0.03209641948342323,0.03209641948342323,human
S100A9,0.1183151975274086,0.039018481969833374,-0.17135390639305115,0.14357849955558777,0.03238956816494465,0.07866683974862099,0.14357849955558777,human
PTMA,0.10526080429553986,,0.03249650448560715,0.10178031772375107,0.07984587550163269,0.10178031772375107,0.10178031772375107,human
PABPC3,0.09871363639831543,0.03776463866233826,0.07848712056875229,0.12837742269039154,0.08583570457994938,0.08860037848353386,0.12837742269039154,human
CD14,0.08938289433717728,,-0.024379748851060867,,0.032501572743058205,0.032501572743058205,,human
RPS4X,0.0851529985666275,0.09282448142766953,,0.07264527678489685,0.08354091892639796,0.0851529985666275,0.07264527678489685,human
LOC728026,0.08167087286710739,-0.03598397225141525,0.05913199111819267,0.026090547442436218,0.03272735979408026,0.042611269280314445,0.026090547442436218,human
ZYX,0.07858478277921677,,,0.06991926580667496,0.07425202429294586,0.07425202429294586,0.06991926580667496,human
CEBPB,0.07724709808826447,0.04733992740511894,-0.032087866216897964,0.07243318110704422,0.041233085095882416,0.05988655425608158,0.07243318110704422,human
PKM,0.07716096937656403,0.014619681052863598,0.01701931841671467,0.08582223951816559,0.04865555209107697,0.04709014389663935,0.08582223951816559,human
SH3BGRL3,0.07680098712444305,0.018211491405963898,,0.05542628839612007,0.050146255642175674,0.05542628839612007,0.05542628839612007,human
RPL30,0.07663411647081375,0.17321527004241943,0.09780500084161758,0.1299532949924469,0.11940192058682442,0.11387914791703224,0.1299532949924469,human
RLIM,0.07661786675453186,0.03461173549294472,0.04202188178896904,0.06947487592697144,0.05568158999085426,0.05574837885797024,0.06947487592697144,human
TGFBI,0.07544545829296112,,-0.022772492840886116,0.05209357663989067,0.03492218069732189,0.05209357663989067,0.05209357663989067,human
NRGN,0.07390855252742767,,,0.061175622045993805,0.06754208728671074,0.06754208728671074,0.061175622045993805,human
TSPO,0.07341556996107101,0.014481136575341225,,0.046908266842365265,0.04493499112625917,0.046908266842365265,0.046908266842365265,human
DCAF6,0.07314423471689224,0.05594467744231224,-0.010677997022867203,0.12495735287666321,0.06084206700325012,0.06454445607960224,0.12495735287666321,human
RNASE2,0.0699324756860733,0.014511310495436192,,0.03470063954591751,0.039714808575809,0.03470063954591751,0.03470063954591751,human
S100A12,0.06940567493438721,,-0.037112049758434296,0.038350142538547516,0.02354792257150014,0.038350142538547516,0.038350142538547516,human
PGAM1,0.06838445365428925,0.020106300711631775,,0.0302071962505579,0.03956598353882631,0.0302071962505579,0.0302071962505579,human
NAGK,0.06576027721166611,,,0.03843259438872337,0.05209643580019474,0.05209643580019474,0.03843259438872337,human
MSN,0.06418941915035248,0.01938866265118122,,0.04439878463745117,0.04265895547966162,0.04439878463745117,0.04439878463745117,human
RPS7,0.061943743377923965,0.014059728011488914,-0.011211496777832508,0.043106261640787125,0.026974559063091874,0.02858299482613802,0.043106261640787125,human
LTA4H,0.06116115674376488,0.020795907825231552,,,0.040978532284498215,0.040978532284498215,,human
RPL13A,0.058792706578969955,0.038661323487758636,,0.04832441732287407,0.04859281579653422,0.04832441732287407,0.04832441732287407,human
RPL32,0.05803228169679642,0.12791256606578827,0.06096058711409569,0.07692886143922806,0.08095857407897711,0.06894472427666187,0.07692886143922806,human
CTSH,0.05766738951206207,0.015358765609562397,,0.08303321897983551,0.052019791367153324,0.05766738951206207,0.08303321897983551,human
F13A1,0.05689670518040657,,,0.016114385798573494,0.03650554548949003,0.03650554548949003,0.016114385798573494,human
RPL26,0.056720513850450516,0.05126531422138214,0.023123377934098244,0.023387394845485687,0.03862415021285415,0.037326354533433914,0.023387394845485687,human
RPL4,0.056270282715559006,0.05498923361301422,0.04196236655116081,0.04275784641504288,0.04899493232369423,0.04887354001402855,0.04275784641504288,human
SH3KBP1,0.05606798082590103,0.031036552041769028,,0.07283413410186768,0.05331288898984591,0.05606798082590103,0.07283413410186768,human
RPL27,0.0556689016520977,0.03578745201230049,0.02651314251124859,,0.03932316539188226,0.03578745201230049,,human
CREG1,0.054919276386499405,,,0.037029970437288284,0.045974623411893845,0.045974623411893845,0.037029970437288284,human
COTL1,0.05422564968466759,0.013569082133471966,,0.057081229984760284,0.04162532060096661,0.05422564968466759,0.057081229984760284,human
