gene_symbol,logfc_dz:27,mean_logfc,median_logfc,common_experiment,organism
CTGF,0.2972315847873688,0.2972315847873688,0.2972315847873688,0.2972315847873688,human
KRT17,0.17065507173538208,0.17065507173538208,0.17065507173538208,0.17065507173538208,human
TNFRSF12A,0.13011768460273743,0.13011768460273743,0.13011768460273743,0.13011768460273743,human
IER2,0.1256924271583557,0.1256924271583557,0.1256924271583557,0.1256924271583557,human
FOSL1,0.11668325960636139,0.11668325960636139,0.11668325960636139,0.11668325960636139,human
ODC1,0.11197079718112946,0.11197079718112946,0.11197079718112946,0.11197079718112946,human
FOSB,0.1021435484290123,0.1021435484290123,0.1021435484290123,0.1021435484290123,human
CXCL8,0.10025785863399506,0.10025785863399506,0.10025785863399506,0.10025785863399506,human
LAMB3,0.09561196714639664,0.09561196714639664,0.09561196714639664,0.09561196714639664,human
CYR61,0.0937877893447876,0.0937877893447876,0.0937877893447876,0.0937877893447876,human
TUFT1,0.09168640524148941,0.09168640524148941,0.09168640524148941,0.09168640524148941,human
IER3,0.08818099647760391,0.08818099647760391,0.08818099647760391,0.08818099647760391,human
SLC20A1,0.08469513803720474,0.08469513803720474,0.08469513803720474,0.08469513803720474,human
EPHA2,0.07556163519620895,0.07556163519620895,0.07556163519620895,0.07556163519620895,human
SNAI2,0.071540467441082,0.071540467441082,0.071540467441082,0.071540467441082,human
KLF10,0.07075008749961853,0.07075008749961853,0.07075008749961853,0.07075008749961853,human
ATF3,0.06804567575454712,0.06804567575454712,0.06804567575454712,0.06804567575454712,human
TIPARP,0.0638713613152504,0.0638713613152504,0.0638713613152504,0.0638713613152504,human
DUSP5,0.06274236738681793,0.06274236738681793,0.06274236738681793,0.06274236738681793,human
MT1E,0.0624341145157814,0.0624341145157814,0.0624341145157814,0.0624341145157814,human
FHL2,0.06227603182196617,0.06227603182196617,0.06227603182196617,0.06227603182196617,human
DKK1,0.05836186930537224,0.05836186930537224,0.05836186930537224,0.05836186930537224,human
ALDH1A3,0.057432401925325394,0.057432401925325394,0.057432401925325394,0.057432401925325394,human
SFN,0.05600693076848984,0.05600693076848984,0.05600693076848984,0.05600693076848984,human
JUNB,0.05532095581293106,0.05532095581293106,0.05532095581293106,0.05532095581293106,human
SERPINE1,0.055094148963689804,0.055094148963689804,0.055094148963689804,0.055094148963689804,human
GADD45A,0.0543716624379158,0.0543716624379158,0.0543716624379158,0.0543716624379158,human
F3,0.053333815187215805,0.053333815187215805,0.053333815187215805,0.053333815187215805,human
TRIB1,0.051249731332063675,0.051249731332063675,0.051249731332063675,0.051249731332063675,human
FGFBP1,0.049760572612285614,0.049760572612285614,0.049760572612285614,0.049760572612285614,human
LAMC2,0.048313207924366,0.048313207924366,0.048313207924366,0.048313207924366,human
RHOB,0.0477224737405777,0.0477224737405777,0.0477224737405777,0.0477224737405777,human
HSPA5,0.04632863774895668,0.04632863774895668,0.04632863774895668,0.04632863774895668,human
SLC30A1,0.0450826957821846,0.0450826957821846,0.0450826957821846,0.0450826957821846,human
MT2A,0.04458596929907799,0.04458596929907799,0.04458596929907799,0.04458596929907799,human
EDN1,0.0444599986076355,0.0444599986076355,0.0444599986076355,0.0444599986076355,human
EMP1,0.04390162229537964,0.04390162229537964,0.04390162229537964,0.04390162229537964,human
MAFF,0.04372458904981613,0.04372458904981613,0.04372458904981613,0.04372458904981613,human
SIK1,0.043186742812395096,0.043186742812395096,0.043186742812395096,0.043186742812395096,human
LIF,0.041532594710588455,0.041532594710588455,0.041532594710588455,0.041532594710588455,human
