gene_symbol,logfc_dz:744,mean_logfc,median_logfc,common_experiment,organism
COL1A2,0.10626642405986786,0.10626642405986786,0.10626642405986786,0.10626642405986786,human
TIMP1,0.08965820074081421,0.08965820074081421,0.08965820074081421,0.08965820074081421,human
COL5A2,0.08331035077571869,0.08331035077571869,0.08331035077571869,0.08331035077571869,human
CTGF,0.069540835916996,0.069540835916996,0.069540835916996,0.069540835916996,human
HMOX1,0.06876654177904129,0.06876654177904129,0.06876654177904129,0.06876654177904129,human
TMSB10,0.0675167664885521,0.0675167664885521,0.0675167664885521,0.0675167664885521,human
FTL,0.06397906690835953,0.06397906690835953,0.06397906690835953,0.06397906690835953,human
COL1A1,0.05009237676858902,0.05009237676858902,0.05009237676858902,0.05009237676858902,human
FN1,0.04857262596487999,0.04857262596487999,0.04857262596487999,0.04857262596487999,human
SAT1,0.0448266863822937,0.0448266863822937,0.0448266863822937,0.0448266863822937,human
PABPC3,0.04192265495657921,0.04192265495657921,0.04192265495657921,0.04192265495657921,human
PCOLCE,0.03895994648337364,0.03895994648337364,0.03895994648337364,0.03895994648337364,human
ARF4,0.038003623485565186,0.038003623485565186,0.038003623485565186,0.038003623485565186,human
SERPINA3,0.03787950053811073,0.03787950053811073,0.03787950053811073,0.03787950053811073,human
FTH1P5,0.036916401237249374,0.036916401237249374,0.036916401237249374,0.036916401237249374,human
IGFBP2,0.03650125488638878,0.03650125488638878,0.03650125488638878,0.03650125488638878,human
MAGED1,0.03576389327645302,0.03576389327645302,0.03576389327645302,0.03576389327645302,human
CFHR1,0.032552361488342285,0.032552361488342285,0.032552361488342285,0.032552361488342285,human
COL3A1,0.032232191413640976,0.032232191413640976,0.032232191413640976,0.032232191413640976,human
CTHRC1,0.03211282566189766,0.03211282566189766,0.03211282566189766,0.03211282566189766,human
LOC728825,0.029476666823029518,0.029476666823029518,0.029476666823029518,0.029476666823029518,human
TGFBI,0.029323212802410126,0.029323212802410126,0.029323212802410126,0.029323212802410126,human
RND3,0.02924509160220623,0.02924509160220623,0.02924509160220623,0.02924509160220623,human
ANXA2P2,0.029105493798851967,0.029105493798851967,0.029105493798851967,0.029105493798851967,human
DSP,0.028698377311229706,0.028698377311229706,0.028698377311229706,0.028698377311229706,human
NID2,0.02869701012969017,0.02869701012969017,0.02869701012969017,0.02869701012969017,human
PTN,0.02868357114493847,0.02868357114493847,0.02868357114493847,0.02868357114493847,human
VCAN,0.02867618389427662,0.02867618389427662,0.02867618389427662,0.02867618389427662,human
APOA2,0.028201531618833542,0.028201531618833542,0.028201531618833542,0.028201531618833542,human
F3,0.027960069477558136,0.027960069477558136,0.027960069477558136,0.027960069477558136,human
OGN,0.027755890041589737,0.027755890041589737,0.027755890041589737,0.027755890041589737,human
PENK,0.027605600655078888,0.027605600655078888,0.027605600655078888,0.027605600655078888,human
RLIM,0.027199480682611465,0.027199480682611465,0.027199480682611465,0.027199480682611465,human
SPARC,0.027111534029245377,0.027111534029245377,0.027111534029245377,0.027111534029245377,human
APOD,0.027077922597527504,0.027077922597527504,0.027077922597527504,0.027077922597527504,human
PTGDS,0.02683013491332531,0.02683013491332531,0.02683013491332531,0.02683013491332531,human
MYL12B,0.026640111580491066,0.026640111580491066,0.026640111580491066,0.026640111580491066,human
SFRP4,0.02607746422290802,0.02607746422290802,0.02607746422290802,0.02607746422290802,human
S100A11,0.02600177563726902,0.02600177563726902,0.02600177563726902,0.02600177563726902,human
MT2A,0.025965183973312378,0.025965183973312378,0.025965183973312378,0.025965183973312378,human
THBS2,0.0251613762229681,0.0251613762229681,0.0251613762229681,0.0251613762229681,human
LTBP2,0.02418290637433529,0.02418290637433529,0.02418290637433529,0.02418290637433529,human
VSIG4,0.024162426590919495,0.024162426590919495,0.024162426590919495,0.024162426590919495,human
MAFB,0.02412286587059498,0.02412286587059498,0.02412286587059498,0.02412286587059498,human
MEST,0.023886751383543015,0.023886751383543015,0.023886751383543015,0.023886751383543015,human
TNNC2,0.02378496341407299,0.02378496341407299,0.02378496341407299,0.02378496341407299,human
CTSB,0.023520613089203835,0.023520613089203835,0.023520613089203835,0.023520613089203835,human
COL5A1,0.02260231040418148,0.02260231040418148,0.02260231040418148,0.02260231040418148,human
EFNB2,0.02240482158958912,0.02240482158958912,0.02240482158958912,0.02240482158958912,human
OLFML3,0.022341381758451462,0.022341381758451462,0.022341381758451462,0.022341381758451462,human
PRDX4,0.02218818850815296,0.02218818850815296,0.02218818850815296,0.02218818850815296,human
APOC1,0.021656865254044533,0.021656865254044533,0.021656865254044533,0.021656865254044533,human
CPXM1,0.02037666365504265,0.02037666365504265,0.02037666365504265,0.02037666365504265,human
CFHR2,0.019946323707699776,0.019946323707699776,0.019946323707699776,0.019946323707699776,human
GARS,0.019526030868291855,0.019526030868291855,0.019526030868291855,0.019526030868291855,human
LHFPL2,0.019162803888320923,0.019162803888320923,0.019162803888320923,0.019162803888320923,human
EGR1,0.018976526334881783,0.018976526334881783,0.018976526334881783,0.018976526334881783,human
FABP5,0.01877683773636818,0.01877683773636818,0.01877683773636818,0.01877683773636818,human
HIF1A,0.01848786324262619,0.01848786324262619,0.01848786324262619,0.01848786324262619,human
ALDH1A3,0.01805073581635952,0.01805073581635952,0.01805073581635952,0.01805073581635952,human
GNG5,0.018011679872870445,0.018011679872870445,0.018011679872870445,0.018011679872870445,human
ISLR,0.01766199618577957,0.01766199618577957,0.01766199618577957,0.01766199618577957,human
FGL1,0.017652766779065132,0.017652766779065132,0.017652766779065132,0.017652766779065132,human
CD163,0.017518730834126472,0.017518730834126472,0.017518730834126472,0.017518730834126472,human
AHSG,0.017426926642656326,0.017426926642656326,0.017426926642656326,0.017426926642656326,human
NBL1,0.016901636496186256,0.016901636496186256,0.016901636496186256,0.016901636496186256,human
FOS,0.016864396631717682,0.016864396631717682,0.016864396631717682,0.016864396631717682,human
KRT18,0.016737330704927444,0.016737330704927444,0.016737330704927444,0.016737330704927444,human
PSMA6,0.016729259863495827,0.016729259863495827,0.016729259863495827,0.016729259863495827,human
IGFBP6,0.016680406406521797,0.016680406406521797,0.016680406406521797,0.016680406406521797,human
CHST15,0.016562193632125854,0.016562193632125854,0.016562193632125854,0.016562193632125854,human
COL11A1,0.016519516706466675,0.016519516706466675,0.016519516706466675,0.016519516706466675,human
FAP,0.016506904736161232,0.016506904736161232,0.016506904736161232,0.016506904736161232,human
HBE1,0.01648476906120777,0.01648476906120777,0.01648476906120777,0.01648476906120777,human
CLEC3B,0.016240252181887627,0.016240252181887627,0.016240252181887627,0.016240252181887627,human
DHRS3,0.01619105413556099,0.01619105413556099,0.01619105413556099,0.01619105413556099,human
VIM,0.016093745827674866,0.016093745827674866,0.016093745827674866,0.016093745827674866,human
TOP1,0.01598229818046093,0.01598229818046093,0.01598229818046093,0.01598229818046093,human
OSTC,0.01588042639195919,0.01588042639195919,0.01588042639195919,0.01588042639195919,human
FBN1,0.01586882211267948,0.01586882211267948,0.01586882211267948,0.01586882211267948,human
AKR1B10,0.015651358291506767,0.015651358291506767,0.015651358291506767,0.015651358291506767,human
EIF3CL,0.015643132850527763,0.015643132850527763,0.015643132850527763,0.015643132850527763,human
EGR2,0.015389357693493366,0.015389357693493366,0.015389357693493366,0.015389357693493366,human
GPC6,0.015197237953543663,0.015197237953543663,0.015197237953543663,0.015197237953543663,human
CTSL,0.015150799416005611,0.015150799416005611,0.015150799416005611,0.015150799416005611,human
CD14,0.01502964273095131,0.01502964273095131,0.01502964273095131,0.01502964273095131,human
C4B,0.015005684457719326,0.015005684457719326,0.015005684457719326,0.015005684457719326,human
INS-IGF2,0.01481585018336773,0.01481585018336773,0.01481585018336773,0.01481585018336773,human
FKBP5,0.014769482426345348,0.014769482426345348,0.014769482426345348,0.014769482426345348,human
GPX1,0.0147605761885643,0.0147605761885643,0.0147605761885643,0.0147605761885643,human
ZIC2,0.014757032506167889,0.014757032506167889,0.014757032506167889,0.014757032506167889,human
CFI,0.014660673215985298,0.014660673215985298,0.014660673215985298,0.014660673215985298,human
RAB13,0.01462510135024786,0.01462510135024786,0.01462510135024786,0.01462510135024786,human
ANXA2,0.014319692738354206,0.014319692738354206,0.014319692738354206,0.014319692738354206,human
SGK1,0.014281629584729671,0.014281629584729671,0.014281629584729671,0.014281629584729671,human
CP,0.014246175065636635,0.014246175065636635,0.014246175065636635,0.014246175065636635,human
CTSD,0.014075157232582569,0.014075157232582569,0.014075157232582569,0.014075157232582569,human
IFI30,0.01396440900862217,0.01396440900862217,0.01396440900862217,0.01396440900862217,human
HTRA1,0.013947302475571632,0.013947302475571632,0.013947302475571632,0.013947302475571632,human
FGG,0.013682834804058075,0.013682834804058075,0.013682834804058075,0.013682834804058075,human
ITIH2,0.01366962306201458,0.01366962306201458,0.01366962306201458,0.01366962306201458,human
POSTN,0.013559975661337376,0.013559975661337376,0.013559975661337376,0.013559975661337376,human
HEY1,0.013530796393752098,0.013530796393752098,0.013530796393752098,0.013530796393752098,human
FLRT2,0.013503224588930607,0.013503224588930607,0.013503224588930607,0.013503224588930607,human
SERF2,0.013498268090188503,0.013498268090188503,0.013498268090188503,0.013498268090188503,human
SERPINA1,0.013319899328052998,0.013319899328052998,0.013319899328052998,0.013319899328052998,human
MAPK6,0.013224376365542412,0.013224376365542412,0.013224376365542412,0.013224376365542412,human
SDCBP,0.013195914216339588,0.013195914216339588,0.013195914216339588,0.013195914216339588,human
MFSD1,0.013147059828042984,0.013147059828042984,0.013147059828042984,0.013147059828042984,human
GXYLT2,0.013051643036305904,0.013051643036305904,0.013051643036305904,0.013051643036305904,human
VTN,0.012880608439445496,0.012880608439445496,0.012880608439445496,0.012880608439445496,human
AGT,0.012857791967689991,0.012857791967689991,0.012857791967689991,0.012857791967689991,human
WBP5,0.01271197758615017,0.01271197758615017,0.01271197758615017,0.01271197758615017,human
GJA1,0.012543722055852413,0.012543722055852413,0.012543722055852413,0.012543722055852413,human
NFKBIZ,0.012515610083937645,0.012515610083937645,0.012515610083937645,0.012515610083937645,human
NR4A2,0.012448575347661972,0.012448575347661972,0.012448575347661972,0.012448575347661972,human
FMO1,0.012329939752817154,0.012329939752817154,0.012329939752817154,0.012329939752817154,human
AP2S1,0.0122252581641078,0.0122252581641078,0.0122252581641078,0.0122252581641078,human
ATP1B1,0.01219190750271082,0.01219190750271082,0.01219190750271082,0.01219190750271082,human
GC,0.012144950218498707,0.012144950218498707,0.012144950218498707,0.012144950218498707,human
CDH11,0.012122394517064095,0.012122394517064095,0.012122394517064095,0.012122394517064095,human
TCN2,0.012107962742447853,0.012107962742447853,0.012107962742447853,0.012107962742447853,human
TWIST1,0.012071863748133183,0.012071863748133183,0.012071863748133183,0.012071863748133183,human
COLEC12,0.012067035771906376,0.012067035771906376,0.012067035771906376,0.012067035771906376,human
SLC6A13,0.01204111147671938,0.01204111147671938,0.01204111147671938,0.01204111147671938,human
LTBP1,0.012010122649371624,0.012010122649371624,0.012010122649371624,0.012010122649371624,human
SERINC5,0.012008563615381718,0.012008563615381718,0.012008563615381718,0.012008563615381718,human
TM4SF4,0.01186826266348362,0.01186826266348362,0.01186826266348362,0.01186826266348362,human
HP,0.011862427927553654,0.011862427927553654,0.011862427927553654,0.011862427927553654,human
IGHV4-31,-0.21587082743644714,-0.21587082743644714,-0.21587082743644714,-0.21587082743644714,human
