gene_symbol,logfc_dz:732,mean_logfc,median_logfc,common_experiment,organism
CXCL13,0.09294886887073517,0.09294886887073517,0.09294886887073517,0.09294886887073517,human
MMP12,0.06920132040977478,0.06920132040977478,0.06920132040977478,0.06920132040977478,human
POSTN,0.06312591582536697,0.06312591582536697,0.06312591582536697,0.06312591582536697,human
CXCL9,0.055656272917985916,0.055656272917985916,0.055656272917985916,0.055656272917985916,human
THBS2,0.05230957269668579,0.05230957269668579,0.05230957269668579,0.05230957269668579,human
TNFRSF17,0.04119866341352463,0.04119866341352463,0.04119866341352463,0.04119866341352463,human
GIMAP4,0.0383925698697567,0.0383925698697567,0.0383925698697567,0.0383925698697567,human
CD48,0.03360909968614578,0.03360909968614578,0.03360909968614578,0.03360909968614578,human
COL11A1,0.030776577070355415,0.030776577070355415,0.030776577070355415,0.030776577070355415,human
CD163,0.029579292982816696,0.029579292982816696,0.029579292982816696,0.029579292982816696,human
ADAMDEC1,0.028953060507774353,0.028953060507774353,0.028953060507774353,0.028953060507774353,human
POU2AF1,0.02802528254687786,0.02802528254687786,0.02802528254687786,0.02802528254687786,human
GIMAP5,0.026755936443805695,0.026755936443805695,0.026755936443805695,0.026755936443805695,human
MXRA5,0.025886153802275658,0.025886153802275658,0.025886153802275658,0.025886153802275658,human
CD3G,0.024815330281853676,0.024815330281853676,0.024815330281853676,0.024815330281853676,human
SULF1,0.022811926901340485,0.022811926901340485,0.022811926901340485,0.022811926901340485,human
AIF1,0.022303082048892975,0.022303082048892975,0.022303082048892975,0.022303082048892975,human
IGHA1,0.017492907121777534,0.017492907121777534,0.017492907121777534,0.017492907121777534,human
TIGIT,0.01693682000041008,0.01693682000041008,0.01693682000041008,0.01693682000041008,human
COL1A2,0.016734590753912926,0.016734590753912926,0.016734590753912926,0.016734590753912926,human
COL3A1,0.015373852103948593,0.015373852103948593,0.015373852103948593,0.015373852103948593,human
PNOC,0.014247935265302658,0.014247935265302658,0.014247935265302658,0.014247935265302658,human
CD3D,0.013869330286979675,0.013869330286979675,0.013869330286979675,0.013869330286979675,human
GZMA,0.013668755069375038,0.013668755069375038,0.013668755069375038,0.013668755069375038,human
