gene_symbol,logfc_dz:734,logfc_dz:441,mean_logfc,median_logfc,common_experiment,organism
POU2AF1,0.18986354768276215,,0.18986354768276215,0.18986354768276215,0.18986354768276215,human
CXCL13,0.1404210925102234,,0.1404210925102234,0.1404210925102234,0.1404210925102234,human
CLCA2,0.1257331520318985,,0.1257331520318985,0.1257331520318985,0.1257331520318985,human
ADH7,0.12401842325925827,,0.12401842325925827,0.12401842325925827,0.12401842325925827,human
SERPINB3,0.11627197265625,,0.11627197265625,0.11627197265625,0.11627197265625,human
MMP12,0.11424697935581207,0.013311185874044895,0.06377908261492848,0.06377908261492848,0.11424697935581207,human
GIMAP4,0.09398362040519714,,0.09398362040519714,0.09398362040519714,0.09398362040519714,human
TNFRSF17,0.08958150446414948,,0.08958150446414948,0.08958150446414948,0.08958150446414948,human
THBS2,0.08617307990789413,0.015000632032752037,0.050586855970323086,0.050586855970323086,0.08617307990789413,human
SERPINB4,0.08109680563211441,,0.08109680563211441,0.08109680563211441,0.08109680563211441,human
PLEKHS1,0.08045897632837296,,0.08045897632837296,0.08045897632837296,0.08045897632837296,human
HIST1H1A,0.07475031912326813,,0.07475031912326813,0.07475031912326813,0.07475031912326813,human
CXCL9,0.07102923840284348,,0.07102923840284348,0.07102923840284348,0.07102923840284348,human
ADAMDEC1,0.06903952360153198,,0.06903952360153198,0.06903952360153198,0.06903952360153198,human
MXRA5,0.06872568279504776,,0.06872568279504776,0.06872568279504776,0.06872568279504776,human
POSTN,0.0672762542963028,,0.0672762542963028,0.0672762542963028,0.0672762542963028,human
DAPL1,0.0667007640004158,,0.0667007640004158,0.0667007640004158,0.0667007640004158,human
C12orf54,0.06016571447253227,,0.06016571447253227,0.06016571447253227,0.06016571447253227,human
KRT6B,0.05809207633137703,0.05892909690737724,0.058510586619377136,0.058510586619377136,0.05809207633137703,human
SERPINB13,0.05417551100254059,,0.05417551100254059,0.05417551100254059,0.05417551100254059,human
CD48,0.050964221358299255,,0.050964221358299255,0.050964221358299255,0.050964221358299255,human
