gene_symbol,logfc_dz:118,mean_logfc,median_logfc,common_experiment,organism
IGHV4-31,0.14819663763046265,0.14819663763046265,0.14819663763046265,0.14819663763046265,human
PABPC1,0.09946194291114807,0.09946194291114807,0.09946194291114807,0.09946194291114807,human
RLIM,0.09711258113384247,0.09711258113384247,0.09711258113384247,0.09711258113384247,human
S100A10,0.09480536729097366,0.09480536729097366,0.09480536729097366,0.09480536729097366,human
RPS18,0.09221359342336655,0.09221359342336655,0.09221359342336655,0.09221359342336655,human
PABPC3,0.07416261732578278,0.07416261732578278,0.07416261732578278,0.07416261732578278,human
ANXA8L1,0.07009713351726532,0.07009713351726532,0.07009713351726532,0.07009713351726532,human
HLA-A,0.06783701479434967,0.06783701479434967,0.06783701479434967,0.06783701479434967,human
RPS10,0.06758485734462738,0.06758485734462738,0.06758485734462738,0.06758485734462738,human
RPLP0,0.06459525227546692,0.06459525227546692,0.06459525227546692,0.06459525227546692,human
RPLP1,0.05462779477238655,0.05462779477238655,0.05462779477238655,0.05462779477238655,human
SPP1,0.05234526842832565,0.05234526842832565,0.05234526842832565,0.05234526842832565,human
H3F3AP4,0.051883913576602936,0.051883913576602936,0.051883913576602936,0.051883913576602936,human
RPL39,0.048703547567129135,0.048703547567129135,0.048703547567129135,0.048703547567129135,human
EEF2,0.04784959927201271,0.04784959927201271,0.04784959927201271,0.04784959927201271,human
EEF1G,0.04629029333591461,0.04629029333591461,0.04629029333591461,0.04629029333591461,human
IFITM3,0.04572513699531555,0.04572513699531555,0.04572513699531555,0.04572513699531555,human
CCL2,0.0435408279299736,0.0435408279299736,0.0435408279299736,0.0435408279299736,human
TMSB10,0.04312392696738243,0.04312392696738243,0.04312392696738243,0.04312392696738243,human
RPLP0P6,0.043060097843408585,0.043060097843408585,0.043060097843408585,0.043060097843408585,human
RPL8,0.0420367605984211,0.0420367605984211,0.0420367605984211,0.0420367605984211,human
ZFP36,0.04155054688453674,0.04155054688453674,0.04155054688453674,0.04155054688453674,human
RPS17,0.038083914667367935,0.038083914667367935,0.038083914667367935,0.038083914667367935,human
EFEMP1,0.03710345923900604,0.03710345923900604,0.03710345923900604,0.03710345923900604,human
COL3A1,0.03648469224572182,0.03648469224572182,0.03648469224572182,0.03648469224572182,human
COL1A2,0.0359249971807003,0.0359249971807003,0.0359249971807003,0.0359249971807003,human
MIR21,0.03586626425385475,0.03586626425385475,0.03586626425385475,0.03586626425385475,human
RPS15,0.03534967824816704,0.03534967824816704,0.03534967824816704,0.03534967824816704,human
IGHA2,0.035138845443725586,0.035138845443725586,0.035138845443725586,0.035138845443725586,human
TM4SF1,0.034168925136327744,0.034168925136327744,0.034168925136327744,0.034168925136327744,human
GAPDH,0.034124527126550674,0.034124527126550674,0.034124527126550674,0.034124527126550674,human
KRT18,0.03295426815748215,0.03295426815748215,0.03295426815748215,0.03295426815748215,human
TGFBI,0.03274063393473625,0.03274063393473625,0.03274063393473625,0.03274063393473625,human
LDHA,0.031472500413656235,0.031472500413656235,0.031472500413656235,0.031472500413656235,human
NACAP1,0.030842991545796394,0.030842991545796394,0.030842991545796394,0.030842991545796394,human
RPL19,0.0302945114672184,0.0302945114672184,0.0302945114672184,0.0302945114672184,human
PKD1P1,0.02978442795574665,0.02978442795574665,0.02978442795574665,0.02978442795574665,human
IFITM2,0.028824420645833015,0.028824420645833015,0.028824420645833015,0.028824420645833015,human
RPL32,0.028726771473884583,0.028726771473884583,0.028726771473884583,0.028726771473884583,human
SULF1,0.02754502184689045,0.02754502184689045,0.02754502184689045,0.02754502184689045,human
PLS3,0.027270151302218437,0.027270151302218437,0.027270151302218437,0.027270151302218437,human
PTMA,0.027115171775221825,0.027115171775221825,0.027115171775221825,0.027115171775221825,human
RPL13,0.026890410110354424,0.026890410110354424,0.026890410110354424,0.026890410110354424,human
FN1,0.02676576003432274,0.02676576003432274,0.02676576003432274,0.02676576003432274,human
CD9,0.02643740549683571,0.02643740549683571,0.02643740549683571,0.02643740549683571,human
PODXL,0.025320732966065407,0.025320732966065407,0.025320732966065407,0.025320732966065407,human
RPL4,0.025056013837456703,0.025056013837456703,0.025056013837456703,0.025056013837456703,human
GOLGA8B,0.024828435853123665,0.024828435853123665,0.024828435853123665,0.024828435853123665,human
NME1-NME2,0.024661052972078323,0.024661052972078323,0.024661052972078323,0.024661052972078323,human
XIST,0.024639640003442764,0.024639640003442764,0.024639640003442764,0.024639640003442764,human
HINT1,0.02357073314487934,0.02357073314487934,0.02357073314487934,0.02357073314487934,human
UBC,0.023526843637228012,0.023526843637228012,0.023526843637228012,0.023526843637228012,human
IFITM1,0.023295721039175987,0.023295721039175987,0.023295721039175987,0.023295721039175987,human
IGK,0.023013886064291,0.023013886064291,0.023013886064291,0.023013886064291,human
RPL36,0.02270362712442875,0.02270362712442875,0.02270362712442875,0.02270362712442875,human
SLPI,0.022365445271134377,0.022365445271134377,0.022365445271134377,0.022365445271134377,human
HSP90AB1,0.02155388705432415,0.02155388705432415,0.02155388705432415,0.02155388705432415,human
