gene_symbol,logfc_dz:561,logfc_dz:787,logfc_dz:707,mean_logfc,median_logfc,common_experiment,organism
RPS28,0.09989327937364578,,,0.09989327937364578,0.09989327937364578,,human
NFKBIA,0.09002894163131714,,,0.09002894163131714,0.09002894163131714,,human
GADD45A,0.08957632631063461,0.03969614580273628,,0.06463623605668545,0.06463623605668545,,human
RPL9,0.08429541438817978,0.0831790417432785,0.023280300199985504,0.06358491877714793,0.0831790417432785,0.023280300199985504,human
RPL17,0.0799507200717926,0.02414526231586933,,0.05204799119383097,0.05204799119383097,,human
FRZB,0.07993421703577042,0.03370077535510063,,0.056817496195435524,0.056817496195435524,,human
HLA-G,0.07941184192895889,0.012239758856594563,,0.04582580039277673,0.04582580039277673,,human
HLA-J,0.07874363660812378,,,0.07874363660812378,0.07874363660812378,,human
PELI1,0.0784950777888298,0.02531995065510273,,0.05190751422196627,0.05190751422196627,,human
RPL41P5,0.07831290364265442,,,0.07831290364265442,0.07831290364265442,,human
S100A8,0.0773937851190567,,,0.0773937851190567,0.0773937851190567,,human
LAMP5,0.07676531374454498,0.03248439356684685,,0.054624853655695915,0.054624853655695915,,human
UBC,0.07674667239189148,0.05870520696043968,0.038637325167655945,0.058029734839995704,0.05870520696043968,0.038637325167655945,human
HLA-A,0.07612292468547821,0.08672484010457993,0.025194358080625534,0.06268070762356122,0.07612292468547821,0.025194358080625534,human
HLA-B,0.07195885479450226,0.04624323546886444,0.025593655183911324,0.047931915149092674,0.04624323546886444,0.025593655183911324,human
RPS17,0.07186637818813324,,,0.07186637818813324,0.07186637818813324,,human
MCL1,0.07160431146621704,,,0.07160431146621704,0.07160431146621704,,human
H3F3B,0.07078733295202255,0.04607449099421501,-0.022247204557061195,0.03153820646305879,0.04607449099421501,-0.022247204557061195,human
RPL18,0.06975025683641434,,,0.06975025683641434,0.06975025683641434,,human
EDNRB,0.06658201664686203,,,0.06658201664686203,0.06658201664686203,,human
B2M,0.06524191051721573,0.09029670804738998,,0.07776930928230286,0.07776930928230286,,human
DEFA1B,0.06349458545446396,0.03358318656682968,,0.04853888601064682,0.04853888601064682,,human
HLA-C,0.061329636722803116,0.036551523953676224,,0.04894058033823967,0.04894058033823967,,human
IFI6,0.061306826770305634,,0.05010836571455002,0.055707596242427826,0.055707596242427826,0.05010836571455002,human
CYTIP,0.061260245740413666,0.012203657999634743,,0.036731951870024204,0.036731951870024204,,human
CCND2,0.06013711541891098,,,0.06013711541891098,0.06013711541891098,,human
RPS11,0.05910924822092056,0.018525106832385063,,0.03881717752665281,0.03881717752665281,,human
RHOB,0.05554352328181267,,,0.05554352328181267,0.05554352328181267,,human
RPLP2,0.05359470844268799,,,0.05359470844268799,0.05359470844268799,,human
ADM,0.052512090653181076,0.060546934604644775,0.06722237169742584,0.0600937989850839,0.060546934604644775,0.06722237169742584,human
LAPTM5,0.051844336092472076,0.025821799412369728,,0.0388330677524209,0.0388330677524209,,human
RPS3,0.05037578195333481,0.05831342190504074,0.036842260509729385,0.048510488122701645,0.05037578195333481,0.036842260509729385,human
SPCS2,0.04974725469946861,,,0.04974725469946861,0.04974725469946861,,human
SNORD3D,0.04972899705171585,,,0.04972899705171585,0.04972899705171585,,human
SIK1,0.04915205016732216,0.018393859267234802,,0.03377295471727848,0.03377295471727848,,human
RPS10,0.04911908134818077,0.06709818542003632,,0.05810863338410854,0.05810863338410854,,human
RPL35A,0.048588525503873825,,,0.048588525503873825,0.048588525503873825,,human
RN7SK,0.04851393774151802,,,0.04851393774151802,0.04851393774151802,,human
CIRBP,0.0480075478553772,0.04040178284049034,,0.04420466534793377,0.04420466534793377,,human
GAPDH,0.04666640982031822,0.049643538892269135,-0.018177766352891922,0.026044060786565144,0.04666640982031822,-0.018177766352891922,human
RPS16,0.0461139939725399,0.05059503763914108,,0.04835451580584049,0.04835451580584049,,human
UBB,0.045960668474435806,,,0.045960668474435806,0.045960668474435806,,human
GADD45B,0.04584196209907532,,,0.04584196209907532,0.04584196209907532,,human
HIST1H1E,0.04464591667056084,,,0.04464591667056084,0.04464591667056084,,human
MAMDC2,0.044260527938604355,,,0.044260527938604355,0.044260527938604355,,human
RPL35,0.04397481307387352,0.052759625017642975,,0.04836721904575825,0.04836721904575825,,human
OAZ1,0.043756477534770966,0.052144404500722885,0.027741359546780586,0.04121408052742481,0.043756477534770966,0.027741359546780586,human
HLA-E,0.042940929532051086,0.04169555380940437,,0.04231824167072773,0.04231824167072773,,human
NAMPT,0.04281739145517349,,,0.04281739145517349,0.04281739145517349,,human
FTL,0.04257085546851158,0.09845933318138123,0.19451096653938293,0.11184705172975858,0.09845933318138123,0.19451096653938293,human
LTF,0.04233334958553314,,,0.04233334958553314,0.04233334958553314,,human
TNFAIP3,0.04111691191792488,,,0.04111691191792488,0.04111691191792488,,human
RNA18S5,0.040844377130270004,,,0.040844377130270004,0.040844377130270004,,human
RPL30,0.04029015079140663,0.12954799830913544,0.048503804951906204,0.07278065135081609,0.048503804951906204,0.048503804951906204,human
EZR,0.03990893065929413,,,0.03990893065929413,0.03990893065929413,,human
MYL6,0.03968117758631706,,,0.03968117758631706,0.03968117758631706,,human
