gene_symbol,logfc_dz:377,logfc_dz:743,logfc_dz:746,logfc_dz:738,logfc_dz:737,mean_logfc,median_logfc,common_experiment,organism
IGHM,0.18879765272140503,0.017754560336470604,,,,0.10327610652893782,0.10327610652893782,0.18879765272140503,human
HMGB2,0.16557928919792175,,,,,0.16557928919792175,0.16557928919792175,0.16557928919792175,human
RPS11,0.15326406061649323,,0.02899176813662052,,,0.09112791437655687,0.09112791437655687,0.15326406061649323,human
PFN1,0.14181655645370483,-0.041637782007455826,,-0.015507486648857594,-0.01727994717657566,0.01684783515520394,-0.016393716912716627,0.14181655645370483,human
IGJ,0.13693895936012268,-0.04598262161016464,-0.04650617018342018,,,0.014816722522179285,-0.04598262161016464,0.13693895936012268,human
IFITM1,0.13150440156459808,0.009014129638671875,0.02643420919775963,,,0.055650913467009865,0.02643420919775963,0.13150440156459808,human
HLA-J,0.12805262207984924,,0.09424655884504318,,,0.11114959046244621,0.11114959046244621,0.12805262207984924,human
TMA7,0.12687253952026367,-0.0047742025926709175,,,,0.06104916846379638,0.06104916846379638,0.12687253952026367,human
RPS10,0.1128915324807167,-0.014627574011683464,0.06616459786891937,-0.02840776927769184,-0.034389641135931015,0.02032622918486595,-0.014627574011683464,0.1128915324807167,human
IFITM2,0.10575611889362335,0.012570304796099663,0.016531571745872498,-0.014817941002547741,-0.021898141130805016,0.01962838266044855,0.012570304796099663,0.10575611889362335,human
IL32,0.10204801708459854,0.019511478021740913,,,,0.06077974755316973,0.06077974755316973,0.10204801708459854,human
TPT1,0.09917144477367401,-0.041874222457408905,0.014684824272990227,-0.0238935686647892,-0.03111506812274456,0.0033946819603443146,-0.0238935686647892,0.09917144477367401,human
RPL38,0.08852051943540573,,0.07042783498764038,,,0.07947417721152306,0.07947417721152306,0.08852051943540573,human
VIM,0.08641385287046432,,,,,0.08641385287046432,0.08641385287046432,0.08641385287046432,human
HIST1H4C,0.08595810830593109,,0.015630660578608513,,,0.0507943844422698,0.0507943844422698,0.08595810830593109,human
GAPDH,0.08385331183671951,-0.04503863677382469,,-0.03410167247056961,-0.053626757115125656,-0.012228438630700111,-0.03957015462219715,0.08385331183671951,human
RPL21,0.08309171348810196,,,,,0.08309171348810196,0.08309171348810196,0.08309171348810196,human
DEFB118,0.08219223469495773,,,,,0.08219223469495773,0.08219223469495773,0.08219223469495773,human
HERC5,0.08179647475481033,,,,,0.08179647475481033,0.08179647475481033,0.08179647475481033,human
RPLP1,0.07866833359003067,,0.0382402166724205,-0.02717404067516327,-0.029583726078271866,0.01503769587725401,0.005533087998628616,0.07866833359003067,human
DBI,0.0782066062092781,-0.008565451018512249,,-0.01758630946278572,-0.021227378398180008,0.007706866832450032,-0.013075880240648985,0.0782066062092781,human
LY6E,0.07455061376094818,,,,,0.07455061376094818,0.07455061376094818,0.07455061376094818,human
RPS13,0.07293429970741272,0.02721429243683815,0.01493260357528925,-0.04023561254143715,-0.057299427688121796,0.003509231097996235,0.01493260357528925,0.07293429970741272,human
H3F3B,0.07153807580471039,0.024895504117012024,0.01819453202188015,-0.04212096333503723,-0.04748793691396713,0.005003842338919639,0.01819453202188015,0.07153807580471039,human
RPL13,0.07137718796730042,,,,,0.07137718796730042,0.07137718796730042,0.07137718796730042,human
RPS14,0.06660060584545135,,0.04296279698610306,,,0.054781701415777206,0.054781701415777206,0.06660060584545135,human
GPX1,0.06483828276395798,-0.05573943629860878,,,,0.004549423232674599,0.004549423232674599,0.06483828276395798,human
RPS27,0.0636567771434784,,0.09068096429109573,-0.018326636403799057,-0.020883167162537575,0.028781984467059374,0.02266507036983967,0.0636567771434784,human
CLEC2D,0.061628155410289764,,-0.01179351657629013,,,0.024917319416999817,0.024917319416999817,0.061628155410289764,human
IFI30,0.05972500890493393,-0.06249900162220001,-0.037525471299886703,,,-0.013433154672384262,-0.037525471299886703,0.05972500890493393,human
DYNLL1,0.057805489748716354,-0.008535919710993767,,,,0.024634785018861294,0.024634785018861294,0.057805489748716354,human
NCF1,0.05404600128531456,,,,,0.05404600128531456,0.05404600128531456,0.05404600128531456,human
DUSP2,0.053505443036556244,,,,,0.053505443036556244,0.053505443036556244,0.053505443036556244,human
MX1,0.05314730480313301,,0.012791124172508717,,,0.032969214487820864,0.032969214487820864,0.05314730480313301,human
SAT1,0.053060099482536316,,-0.022924095392227173,,,0.015068002045154572,0.015068002045154572,0.053060099482536316,human
IFI44L,0.052464764565229416,,,,,0.052464764565229416,0.052464764565229416,0.052464764565229416,human
PGK1,0.05220969393849373,,,,,0.05220969393849373,0.05220969393849373,0.05220969393849373,human
SUN2,0.05125385522842407,0.006441312376409769,-0.012197842821478844,-0.02163315750658512,-0.02089117094874382,0.0005945992656052112,-0.012197842821478844,0.05125385522842407,human
PCBP1,0.05022271350026131,,,-0.024260951206088066,-0.025152862071990967,0.0002696334073940913,-0.024260951206088066,0.05022271350026131,human
