gene_symbol,logfc_dz:749,logfc_dz:748,logfc_dz:747,logfc_dz:750,logfc_dz:812,mean_logfc,median_logfc,common_experiment,organism
SNHG8,0.13448959589004517,0.07544560730457306,0.044380318373441696,0.0885951966047287,-0.015170885249972343,0.06554796658456326,0.07544560730457306,0.044380318373441696,human
ND2,0.12504547834396362,0.23144951462745667,0.1562262326478958,0.11049012094736099,0.11051488667726517,0.14674524664878846,0.12504547834396362,0.1562262326478958,human
SNHG6,0.10438279062509537,0.04670245945453644,0.03720242157578468,0.029874689877033234,,0.05454059038311243,0.04195244051516056,0.03720242157578468,human
ICAM3,0.08908510208129883,0.048340119421482086,0.036863233894109726,0.02847980335354805,,0.05069206468760967,0.042601676657795906,0.036863233894109726,human
IER2,0.088440902531147,0.09128507971763611,0.032596975564956665,-0.017078502103686333,-0.07001426070928574,0.025046039000153543,0.032596975564956665,0.032596975564956665,human
RPS20,0.08366591483354568,0.10384798049926758,0.02326321043074131,0.02554387040436268,,0.05908024404197931,0.05460489261895418,0.02326321043074131,human
RPS21,0.0835825726389885,0.040145497769117355,0.016343384981155396,0.03755785897374153,-0.026225335896015167,0.030280795693397523,0.03755785897374153,0.016343384981155396,human
IFITM2,0.08135464042425156,0.08014337718486786,0.09582402557134628,0.05473295971751213,0.04689909145236015,0.0717908188700676,0.08014337718486786,0.09582402557134628,human
EIF3H,0.0812288373708725,0.06365275382995605,,0.023016223683953285,-0.038991186767816544,0.032226657029241323,0.04333448875695467,,human
RPS18,0.08066426217556,0.04684745892882347,0.05691131576895714,0.055819183588027954,0.014679583720862865,0.05098436083644629,0.055819183588027954,0.05691131576895714,human
HSD17B11,0.07413741201162338,0.06715970486402512,0.04821711778640747,0.03067878633737564,,0.0550482552498579,0.05768841132521629,0.04821711778640747,human
RPL31,0.06607560813426971,0.038575947284698486,-0.020699890330433846,0.054630305618047714,-0.027063719928264618,0.02230365015566349,0.038575947284698486,-0.020699890330433846,human
TALDO1,0.06479063630104065,0.06889109313488007,0.055363014340400696,0.0777963176369667,0.06890533864498138,0.0671492800116539,0.06889109313488007,0.055363014340400696,human
PTTG1IP,0.06463202089071274,0.03317706659436226,0.024760887026786804,,0.01856176368892193,0.03528293455019593,0.02896897681057453,0.024760887026786804,human
DCAF6,0.06413242965936661,0.12523961067199707,0.075924813747406,0.05196778476238251,0.03483685106039047,0.07042029798030854,0.06413242965936661,0.075924813747406,human
RAB13,0.06219058111310005,0.04078463464975357,0.02666059322655201,,,0.04321193632980188,0.04078463464975357,0.02666059322655201,human
PTDSS1,0.06215328350663185,0.04859147220849991,0.022986842319369316,0.030516130849719048,,0.04106193222105503,0.03955380152910948,0.022986842319369316,human
EBPL,0.06211473420262337,,,0.04253420978784561,0.018061339855194092,0.04090342794855436,0.04253420978784561,,human
LMO2,0.06094394996762276,0.04464559629559517,0.07575614005327225,0.03472379595041275,,0.05401737056672573,0.05279477313160896,0.07575614005327225,human
MRFAP1,0.0606747604906559,0.044704336673021317,0.04873521625995636,,,0.05137143780787786,0.04873521625995636,0.04873521625995636,human
