gene_symbol,logfc_dz:774,logfc_dz:775,logfc_dz:776,logfc_dz:777,logfc_dz:808,logfc_dz:778,logfc_dz:613,mean_logfc,median_logfc,common_experiment,organism
RPLP0,0.1377996802330017,0.1066342443227768,0.02808782458305359,0.013992300257086754,0.06841923296451569,0.12984363734722137,0.03957696631550789,0.07490769800330911,0.06841923296451569,0.02808782458305359,human
GAPDH,0.11953918635845184,0.11724027991294861,0.04274725541472435,,0.09060658514499664,0.22144798934459686,0.0810929387807846,0.11211237249275048,0.10392343252897263,0.04274725541472435,human
NGFRAP1,0.10845388472080231,0.11719383299350739,0.062366124242544174,0.06317371129989624,0.07312096655368805,0.09414581209421158,0.0403590053319931,0.07983047674809184,0.07312096655368805,0.062366124242544174,human
LDHB,0.10776255279779434,0.01681547425687313,,-0.01993892528116703,0.05125398561358452,0.04024888575077057,,0.039228394627571106,0.04024888575077057,,human
LDHA,0.10616030544042587,0.09045952558517456,0.05406472831964493,0.041390229016542435,,0.21142370998859406,,0.10069969967007637,0.09045952558517456,0.05406472831964493,human
RPLP0P6,0.10615736246109009,0.0743069276213646,0.06396019458770752,0.023388363420963287,0.08088306337594986,0.06706281006336212,0.05087566003203392,0.06666205450892448,0.06706281006336212,0.06396019458770752,human
KRT5,0.09775672107934952,0.05526118725538254,0.1134880781173706,,0.13332955539226532,0.1890682876110077,0.09851722419261932,0.11457017560799916,0.10600265115499496,0.1134880781173706,human
CXCL10,0.09417828172445297,0.13867729902267456,0.1315183788537979,0.13264945149421692,0.025727789849042892,0.09490112215280533,-0.06927464157342911,0.0783396687890802,0.09490112215280533,0.1315183788537979,human
KRT15,0.09323398023843765,-0.03365526348352432,0.15472792088985443,0.020951727405190468,0.08470789343118668,0.09960836917161942,0.046405743807554245,0.06656862449433122,0.08470789343118668,0.15472792088985443,human
ODC1,0.09285809844732285,0.017770947888493538,-0.01619342342019081,-0.03260156139731407,0.011348414234817028,0.014340533874928951,0.01552386675029993,0.014720982339765345,0.014340533874928951,-0.01619342342019081,human
ITGAV,0.09222261607646942,0.035607967525720596,0.11178803443908691,0.0555918887257576,0.017003674060106277,0.07073216140270233,0.03012697584927082,0.059010474011301994,0.0555918887257576,0.11178803443908691,human
FTH1P5,0.09083591401576996,,0.022425031289458275,0.01847541518509388,0.053898826241493225,0.013970057480037212,0.05433616787195206,0.042323568680634104,0.03816192876547575,0.022425031289458275,human
SGK1,0.08745109289884567,0.03322236239910126,0.028146328404545784,,0.05099314823746681,0.03226447105407715,0.04683128744363785,0.04648478173961242,0.04002682492136955,0.028146328404545784,human
MYBPC1,0.08682212978601456,0.09868306666612625,0.060179203748703,,0.021790260449051857,0.06457322835922241,0.030306300148367882,0.060392364859580994,0.06237621605396271,0.060179203748703,human
CXCL9,0.0834491178393364,0.1631045788526535,0.1318545788526535,0.17783889174461365,,0.028697924688458443,-0.055032361298799515,0.088318788446486,0.10765184834599495,0.1318545788526535,human
CCL20,0.08238977938890457,0.07058975100517273,0.044948138296604156,-0.03427134454250336,0.021884266287088394,-0.09419506043195724,0.07843141257762909,0.02425384894013405,0.044948138296604156,0.044948138296604156,human
NFKBIA,0.07540655881166458,0.0533263124525547,0.04867398738861084,0.07291120290756226,0.058836422860622406,,0.05967487394809723,0.061471559728185333,0.05925564840435982,0.04867398738861084,human
ATP5B,0.07485312223434448,0.05759214609861374,,-0.015185074880719185,0.03117525205016136,0.09518623352050781,0.048523638397455215,0.04869088623672724,0.05305789224803448,,human
EIF3E,0.07251628488302231,0.05228832736611366,-0.01364425290375948,-0.021075069904327393,0.03649721294641495,0.038811784237623215,0.035215847194194794,0.028658590545611724,0.03649721294641495,-0.01364425290375948,human
SNHG1,0.06856675446033478,0.057913996279239655,0.046702757477760315,,,0.024842994287610054,,0.0495066256262362,0.052308376878499985,0.046702757477760315,human
RAN,0.06770249456167221,0.08126077800989151,0.03747731074690819,0.02978457137942314,,0.04404684156179428,0.021410048007965088,0.046947007377942405,0.040762076154351234,0.03747731074690819,human
RPL8,0.06581910699605942,0.031654950231313705,,-0.04394293576478958,0.018066437914967537,0.017974600195884705,,0.017914431914687157,0.018066437914967537,,human
GALNT11,0.06449426710605621,0.036404065787792206,0.0569818951189518,0.04991156607866287,,0.012931732460856438,,0.044144705310463904,0.04991156607866287,0.0569818951189518,human
TUBA1C,0.06426366418600082,0.0624457448720932,,0.04269476607441902,,0.04139682650566101,0.019297311082482338,0.04601966254413128,0.04269476607441902,,human
NPM1,0.06321420520544052,0.054982807487249374,,,0.027777662500739098,0.04536917060613632,0.02734380215406418,0.043737529590725896,0.04536917060613632,,human
MRPL3,0.06148869916796684,0.05260958522558212,0.027601245790719986,0.014063505455851555,0.02259674482047558,0.04544173553586006,0.015768079087138176,0.034224227869084904,0.027601245790719986,0.027601245790719986,human
RPL6,0.05877762287855148,0.07992031425237656,-0.016901684924960136,-0.039725035429000854,0.09483575820922852,0.06091255322098732,0.03374049812555313,0.038794289476105144,0.05877762287855148,-0.016901684924960136,human
EPCAM,0.058728981763124466,0.06039790064096451,0.033490993082523346,-0.033216893672943115,0.047921646386384964,0.02970062382519245,0.016362369060516357,0.030483660155108998,0.033490993082523346,0.033490993082523346,human
MMP1,0.05831380560994148,,0.02975488267838955,,0.06450361758470535,0.014772189781069756,0.022851254791021347,0.038039150089025496,0.02975488267838955,0.02975488267838955,human
