gene_symbol,logfc_dz:418,mean_logfc,median_logfc,common_experiment,organism
RPL32,0.09498154371976852,0.09498154371976852,0.09498154371976852,0.09498154371976852,human
RPL7A,0.09424931555986404,0.09424931555986404,0.09424931555986404,0.09424931555986404,human
RPL39,0.09271077066659927,0.09271077066659927,0.09271077066659927,0.09271077066659927,human
FAM60A,0.09222380816936493,0.09222380816936493,0.09222380816936493,0.09222380816936493,human
RPL37,0.09194076061248779,0.09194076061248779,0.09194076061248779,0.09194076061248779,human
CALM2,0.08722420036792755,0.08722420036792755,0.08722420036792755,0.08722420036792755,human
TUBA1A,0.08294927328824997,0.08294927328824997,0.08294927328824997,0.08294927328824997,human
HMGA2,0.07708042114973068,0.07708042114973068,0.07708042114973068,0.07708042114973068,human
TMSB15A,0.07464177161455154,0.07464177161455154,0.07464177161455154,0.07464177161455154,human
RPS7,0.07426086813211441,0.07426086813211441,0.07426086813211441,0.07426086813211441,human
TUBA1B,0.07401731610298157,0.07401731610298157,0.07401731610298157,0.07401731610298157,human
RPS10,0.07401273399591446,0.07401273399591446,0.07401273399591446,0.07401273399591446,human
GAPDH,0.06770332902669907,0.06770332902669907,0.06770332902669907,0.06770332902669907,human
CRABP2,0.0648052841424942,0.0648052841424942,0.0648052841424942,0.0648052841424942,human
RPS23,0.0637175664305687,0.0637175664305687,0.0637175664305687,0.0637175664305687,human
XIST,0.06274095922708511,0.06274095922708511,0.06274095922708511,0.06274095922708511,human
RPL30,0.06221424788236618,0.06221424788236618,0.06221424788236618,0.06221424788236618,human
RPS27,0.06204626336693764,0.06204626336693764,0.06204626336693764,0.06204626336693764,human
H3F3AP4,0.059554021805524826,0.059554021805524826,0.059554021805524826,0.059554021805524826,human
RPL36A,0.058874379843473434,0.058874379843473434,0.058874379843473434,0.058874379843473434,human
RPS27L,0.05740470811724663,0.05740470811724663,0.05740470811724663,0.05740470811724663,human
TMA7,0.05687715485692024,0.05687715485692024,0.05687715485692024,0.05687715485692024,human
COL2A1,0.05648522824048996,0.05648522824048996,0.05648522824048996,0.05648522824048996,human
