gene_symbol,logfc_dz:154,logfc_dz:236,mean_logfc,median_logfc,common_experiment,organism
MYL3,0.2385198473930359,-0.025527609512209892,0.106496118940413,0.106496118940413,-0.025527609512209892,human
ACTN3,0.2309488207101822,0.04677104949951172,0.13885993510484695,0.13885993510484695,0.04677104949951172,human
HBA2,0.1947334259748459,-0.10922617465257645,0.04275362566113472,0.04275362566113472,-0.10922617465257645,human
MYH7,0.17671537399291992,-0.09512726217508316,0.04079405590891838,0.04079405590891838,-0.09512726217508316,human
FTH1P5,0.13500598073005676,-0.0183861181139946,0.05830993130803108,0.05830993130803108,-0.0183861181139946,human
TCAP,0.11853519082069397,-0.06992293149232864,0.024306129664182663,0.024306129664182663,-0.06992293149232864,human
COX7A1,0.11560843884944916,-0.022833826020359993,0.04638730641454458,0.04638730641454458,-0.022833826020359993,human
CHCHD10,0.1009424701333046,,0.1009424701333046,0.1009424701333046,,human
TMOD4,0.09384385496377945,,0.09384385496377945,0.09384385496377945,,human
AKR1C3,0.08861740678548813,0.022861678153276443,0.055739542469382286,0.055739542469382286,0.022861678153276443,human
NDUFA1,0.08789560943841934,-0.03776991367340088,0.02506284788250923,0.02506284788250923,-0.03776991367340088,human
C8orf22,0.08517688512802124,,0.08517688512802124,0.08517688512802124,,human
SEPW1,0.0831209197640419,0.04545588418841362,0.06428840197622776,0.06428840197622776,0.04545588418841362,human
IL17D,0.0802614614367485,,0.0802614614367485,0.0802614614367485,,human
MYBPC2,0.07881899178028107,0.017654644325375557,0.04823681805282831,0.04823681805282831,0.017654644325375557,human
LMOD2,0.07713350653648376,,0.07713350653648376,0.07713350653648376,,human
ATF4,0.07537289708852768,-0.05176520347595215,0.011803846806287766,0.011803846806287766,-0.05176520347595215,human
LINC01405,0.07519204169511795,,0.07519204169511795,0.07519204169511795,,human
CA3,0.07452816516160965,-0.019539622589945793,0.027494271285831928,0.027494271285831928,-0.019539622589945793,human
TNNC1,0.07288813591003418,0.015231600031256676,0.04405986797064543,0.04405986797064543,0.015231600031256676,human
LOC285556,0.0725090503692627,,0.0725090503692627,0.0725090503692627,,human
MRPL33,0.07239100337028503,-0.10359004884958267,-0.015599522739648819,-0.015599522739648819,-0.10359004884958267,human
ATP5J,0.0703660100698471,0.034990713000297546,0.05267836153507233,0.05267836153507233,0.034990713000297546,human
TMA7,0.06885634362697601,-0.05058170482516289,0.009137319400906563,0.009137319400906563,-0.05058170482516289,human
PLN,0.06829682737588882,0.025087567046284676,0.04669219721108675,0.04669219721108675,0.025087567046284676,human
UBC,0.06711898744106293,-0.07594356685876846,-0.004412289708852768,-0.004412289708852768,-0.07594356685876846,human
SUPT20H,0.06635923683643341,-0.039729852229356766,0.013314692303538322,0.013314692303538322,-0.039729852229356766,human
APOBEC2,0.0660276934504509,,0.0660276934504509,0.0660276934504509,,human
TNNI1,0.06489362567663193,-0.0634172186255455,0.0007382035255432129,0.0007382035255432129,-0.0634172186255455,human
UQCRQ,0.06423339247703552,,0.06423339247703552,0.06423339247703552,,human
LGALS1,0.06414038687944412,-0.08628392964601517,-0.011071771383285522,-0.011071771383285522,-0.08628392964601517,human
CKMT2,0.06298507004976273,,0.06298507004976273,0.06298507004976273,,human
CRYAB,0.06285898387432098,-0.06448610872030258,-0.000813562422990799,-0.000813562422990799,-0.06448610872030258,human
TNNT1,0.05718522518873215,-0.09702963382005692,-0.019922204315662384,-0.019922204315662384,-0.09702963382005692,human
SERPINF1,0.05323370173573494,0.02816079929471016,0.04069725051522255,0.04069725051522255,0.02816079929471016,human
GNG5,0.05296652019023895,-0.015224707312881947,0.018870906438678503,0.018870906438678503,-0.015224707312881947,human
GBAS,0.049194253981113434,0.021036425605416298,0.035115339793264866,0.035115339793264866,0.021036425605416298,human
ETFA,0.04913007467985153,0.01744673028588295,0.03328840248286724,0.03328840248286724,0.01744673028588295,human
EPDR1,0.0487990640103817,,0.0487990640103817,0.0487990640103817,,human
MT1X,0.04810022562742233,0.03364613652229309,0.04087318107485771,0.04087318107485771,0.03364613652229309,human
LDHA,0.04714050889015198,-0.07497786730527878,-0.0139186792075634,-0.0139186792075634,-0.07497786730527878,human
USMG5,0.046756334602832794,,0.046756334602832794,0.046756334602832794,,human
PINK1,0.04652448743581772,-0.07374009490013123,-0.013607803732156754,-0.013607803732156754,-0.07374009490013123,human
CEBPB,0.046299759298563004,0.014266678132116795,0.0302832187153399,0.0302832187153399,0.014266678132116795,human
NDUFA13,0.04446643218398094,,0.04446643218398094,0.04446643218398094,,human
COX8A,0.04427997022867203,-0.10679682344198227,-0.03125842660665512,-0.03125842660665512,-0.10679682344198227,human
DBI,0.04386873543262482,0.037843137979507446,0.04085593670606613,0.04085593670606613,0.037843137979507446,human
TMEM38A,0.04375629499554634,,0.04375629499554634,0.04375629499554634,,human
C4orf46,0.04335668683052063,-0.06260763108730316,-0.009625472128391266,-0.009625472128391266,-0.06260763108730316,human
C20orf24,0.04320366680622101,0.019964391365647316,0.03158402908593416,0.03158402908593416,0.019964391365647316,human
MYH4,0.042608655989170074,,0.042608655989170074,0.042608655989170074,,human
NDUFV2,0.04242071881890297,0.01743648573756218,0.029928602278232574,0.029928602278232574,0.01743648573756218,human
ACADM,0.04158870875835419,0.09001482278108597,0.06580176576972008,0.06580176576972008,0.09001482278108597,human
CYC1,0.04147202894091606,,0.04147202894091606,0.04147202894091606,,human
MT2A,0.03991293907165527,,0.03991293907165527,0.03991293907165527,,human
AGL,0.039903074502944946,0.0186895914375782,0.029296332970261574,0.029296332970261574,0.0186895914375782,human
NFE2L1,0.03984743356704712,,0.03984743356704712,0.03984743356704712,,human
CORO6,0.03941359370946884,,0.03941359370946884,0.03941359370946884,,human
SH3BGR,0.03826819732785225,0.04871472343802452,0.043491460382938385,0.043491460382938385,0.04871472343802452,human
HBG2,0.0380186103284359,0.02214023284614086,0.03007942158728838,0.03007942158728838,0.02214023284614086,human
RAB10,0.03771974518895149,,0.03771974518895149,0.03771974518895149,,human
AK1,0.037676334381103516,,0.037676334381103516,0.037676334381103516,,human
COX6C,0.03764565661549568,0.02679182030260563,0.032218738459050655,0.032218738459050655,0.02679182030260563,human
RTN2,0.037529606372117996,0.02186194621026516,0.029695776291191578,0.029695776291191578,0.02186194621026516,human
ACYP2,0.03743620589375496,,0.03743620589375496,0.03743620589375496,,human
HBB,0.03694615885615349,-0.09402099251747131,-0.028537416830658913,-0.028537416830658913,-0.09402099251747131,human
ABRA,0.03642452880740166,,0.03642452880740166,0.03642452880740166,,human
UQCRFS1,0.036225516349077225,-0.030085833743214607,0.0030698413029313087,0.0030698413029313087,-0.030085833743214607,human
TRIM63,0.03596723824739456,,0.03596723824739456,0.03596723824739456,,human
MYH1,0.03587660938501358,,0.03587660938501358,0.03587660938501358,,human
NDUFAB1,0.035596009343862534,,0.035596009343862534,0.035596009343862534,,human
LINC00948,0.03450872376561165,,0.03450872376561165,0.03450872376561165,,human
BAG3,0.03413240239024162,0.0423731729388237,0.03825278766453266,0.03825278766453266,0.0423731729388237,human
MKNK2,0.0335976742208004,0.04433728754520416,0.03896748088300228,0.03896748088300228,0.04433728754520416,human
RPL10,0.03351318836212158,-0.03793421760201454,-0.00221051461994648,-0.00221051461994648,-0.03793421760201454,human
ACADVL,0.03291991353034973,-0.0251927450299263,0.0038635842502117157,0.0038635842502117157,-0.0251927450299263,human
