gene_symbol,logfc_dz:611,mean_logfc,median_logfc,common_experiment,organism
TMA7,0.19780507683753967,0.19780507683753967,0.19780507683753967,0.19780507683753967,human
TMSB10,0.18013718724250793,0.18013718724250793,0.18013718724250793,0.18013718724250793,human
RPL39,0.1414625644683838,0.1414625644683838,0.1414625644683838,0.1414625644683838,human
RPS18,0.13537058234214783,0.13537058234214783,0.13537058234214783,0.13537058234214783,human
SNRPG,0.13105273246765137,0.13105273246765137,0.13105273246765137,0.13105273246765137,human
EPCAM,0.12468373030424118,0.12468373030424118,0.12468373030424118,0.12468373030424118,human
UQCRH,0.11545094847679138,0.11545094847679138,0.11545094847679138,0.11545094847679138,human
COX7A2,0.1112925186753273,0.1112925186753273,0.1112925186753273,0.1112925186753273,human
RPS29,0.1049332469701767,0.1049332469701767,0.1049332469701767,0.1049332469701767,human
CTHRC1,0.1041177362203598,0.1041177362203598,0.1041177362203598,0.1041177362203598,human
NDUFS6,0.10366889089345932,0.10366889089345932,0.10366889089345932,0.10366889089345932,human
IRF2BPL,0.09497404843568802,0.09497404843568802,0.09497404843568802,0.09497404843568802,human
CDIPT,0.08835247159004211,0.08835247159004211,0.08835247159004211,0.08835247159004211,human
ADAR,0.07842771708965302,0.07842771708965302,0.07842771708965302,0.07842771708965302,human
MRPL3,0.07477244734764099,0.07477244734764099,0.07477244734764099,0.07477244734764099,human
ZWINT,0.07371874153614044,0.07371874153614044,0.07371874153614044,0.07371874153614044,human
NOP58,0.07322870939970016,0.07322870939970016,0.07322870939970016,0.07322870939970016,human
RPS21,0.07321394234895706,0.07321394234895706,0.07321394234895706,0.07321394234895706,human
COL1A2,0.0718916729092598,0.0718916729092598,0.0718916729092598,0.0718916729092598,human
HIST1H2BK,0.07120851427316666,0.07120851427316666,0.07120851427316666,0.07120851427316666,human
RPS10,0.06968863308429718,0.06968863308429718,0.06968863308429718,0.06968863308429718,human
CDK2AP1,0.06825827062129974,0.06825827062129974,0.06825827062129974,0.06825827062129974,human
SNHG6,0.06750395894050598,0.06750395894050598,0.06750395894050598,0.06750395894050598,human
TMEM14B,0.06373613327741623,0.06373613327741623,0.06373613327741623,0.06373613327741623,human
MXRA5,0.06212015077471733,0.06212015077471733,0.06212015077471733,0.06212015077471733,human
PABPC3,0.06068413332104683,0.06068413332104683,0.06068413332104683,0.06068413332104683,human
HIST1H4C,0.05941971763968468,0.05941971763968468,0.05941971763968468,0.05941971763968468,human
ARMCX6,0.05640394240617752,0.05640394240617752,0.05640394240617752,0.05640394240617752,human
UQCRQ,0.05585082620382309,0.05585082620382309,0.05585082620382309,0.05585082620382309,human
C14orf2,0.05514717474579811,0.05514717474579811,0.05514717474579811,0.05514717474579811,human
RPL41,0.05469677597284317,0.05469677597284317,0.05469677597284317,0.05469677597284317,human
MTCH1,0.05459858477115631,0.05459858477115631,0.05459858477115631,0.05459858477115631,human
MAL,0.05402195081114769,0.05402195081114769,0.05402195081114769,0.05402195081114769,human
MRPS21,0.05341866612434387,0.05341866612434387,0.05341866612434387,0.05341866612434387,human
CD24,0.05325906723737717,0.05325906723737717,0.05325906723737717,0.05325906723737717,human
RPL27,0.052899833768606186,0.052899833768606186,0.052899833768606186,0.052899833768606186,human
USMG5,0.05240935832262039,0.05240935832262039,0.05240935832262039,0.05240935832262039,human
LOC100129361,0.05229116603732109,0.05229116603732109,0.05229116603732109,0.05229116603732109,human
DROSHA,0.05082840099930763,0.05082840099930763,0.05082840099930763,0.05082840099930763,human
COL6A3,0.05042219161987305,0.05042219161987305,0.05042219161987305,0.05042219161987305,human
PSMD2,0.050198428332805634,0.050198428332805634,0.050198428332805634,0.050198428332805634,human
CHSY1,0.049063026905059814,0.049063026905059814,0.049063026905059814,0.049063026905059814,human
PKD1P1,0.04814080148935318,0.04814080148935318,0.04814080148935318,0.04814080148935318,human
RPL32,0.047875456511974335,0.047875456511974335,0.047875456511974335,0.047875456511974335,human
HIF1A,0.04602028429508209,0.04602028429508209,0.04602028429508209,0.04602028429508209,human
RLIM,0.045472174882888794,0.045472174882888794,0.045472174882888794,0.045472174882888794,human
RPL12,0.045264460146427155,0.045264460146427155,0.045264460146427155,0.045264460146427155,human
MGST2,0.045193951576948166,0.045193951576948166,0.045193951576948166,0.045193951576948166,human
AMY2B,0.04401230439543724,0.04401230439543724,0.04401230439543724,0.04401230439543724,human
PTMA,0.04382399097084999,0.04382399097084999,0.04382399097084999,0.04382399097084999,human
DAPL1,0.04382254183292389,0.04382254183292389,0.04382254183292389,0.04382254183292389,human
HMGN3,0.04354280233383179,0.04354280233383179,0.04354280233383179,0.04354280233383179,human
YBX1,0.042749013751745224,0.042749013751745224,0.042749013751745224,0.042749013751745224,human
H3F3AP4,0.04242631047964096,0.04242631047964096,0.04242631047964096,0.04242631047964096,human
ERH,0.04238593205809593,0.04238593205809593,0.04238593205809593,0.04238593205809593,human
POLR2H,0.04212614893913269,0.04212614893913269,0.04212614893913269,0.04212614893913269,human
RPS13,0.03995378315448761,0.03995378315448761,0.03995378315448761,0.03995378315448761,human
RAB13,0.039606329053640366,0.039606329053640366,0.039606329053640366,0.039606329053640366,human
ADPRHL2,0.03957453370094299,0.03957453370094299,0.03957453370094299,0.03957453370094299,human
C1orf186,0.039394281804561615,0.039394281804561615,0.039394281804561615,0.039394281804561615,human
