gene_symbol,logfc_dz:397,logfc_dz:306,logfc_dz:652,logfc_dz:653,mean_logfc,median_logfc,common_experiment,organism
NPC2,0.2552366554737091,0.20808567106723785,0.06262467801570892,0.11511879414319992,0.16026644967496395,0.1616022326052189,0.20808567106723785,human
TIMP1,0.20738321542739868,0.10563920438289642,0.0522804893553257,0.10456933081150055,0.11746805999428034,0.10510426759719849,0.10563920438289642,human
TMSB10,0.17451506853103638,0.11749783158302307,0.029143305495381355,0.048467546701431274,0.09240593807771802,0.08298268914222717,0.11749783158302307,human
HLA-DRB5,0.14372645318508148,0.03313543647527695,0.02863987907767296,,0.0685005895793438,0.03313543647527695,0.03313543647527695,human
C3,0.11467211693525314,0.049019236117601395,0.033312663435935974,,0.0656680054962635,0.049019236117601395,0.049019236117601395,human
HLA-DRB4,0.11394385993480682,0.041125789284706116,,,0.07753482460975647,0.07753482460975647,0.041125789284706116,human
SDC4,0.10163514316082001,0.10255884379148483,0.017807893455028534,0.0750742256641388,0.07426902651786804,0.0883546844124794,0.10255884379148483,human
HLA-B,0.10162237286567688,0.02201559953391552,,0.030389651656150818,0.051342541351914406,0.030389651656150818,0.02201559953391552,human
LGALS1,0.09946594387292862,0.041744161397218704,,0.03174737095832825,0.057652492076158524,0.041744161397218704,0.041744161397218704,human
PTH,0.09584998339414597,,,,0.09584998339414597,0.09584998339414597,,human
HLA-DRB1,0.0933740884065628,0.0344923697412014,,,0.0639332290738821,0.0639332290738821,0.0344923697412014,human
TUBA1C,0.09052815288305283,,,,0.09052815288305283,0.09052815288305283,,human
CITED1,0.09048410505056381,0.09563923627138138,,0.04336615651845932,0.07649649928013484,0.09048410505056381,0.09563923627138138,human
SFRP2,0.08911430835723877,,,,0.08911430835723877,0.08911430835723877,,human
S100A4,0.08668410032987595,,,,0.08668410032987595,0.08668410032987595,,human
HLA-A,0.08591103553771973,0.024591268971562386,,0.021752065047621727,0.04408478985230128,0.024591268971562386,0.024591268971562386,human
CTSH,0.08516282588243484,0.07173062860965729,,0.019887903705239296,0.058927119399110474,0.07173062860965729,0.07173062860965729,human
ZFP36,0.08450821042060852,-0.03846117481589317,,-0.028133265674114227,0.005971256643533707,-0.028133265674114227,-0.03846117481589317,human
DTX4,0.0785917192697525,0.04993298649787903,,0.05399506911635399,0.060839924961328506,0.05399506911635399,0.04993298649787903,human
SLC34A2,0.07382124662399292,0.07993172109127045,0.056067172437906265,0.1312263458967209,0.08526162151247263,0.07687648385763168,0.07993172109127045,human
S100A13,0.07169957458972931,0.036238085478544235,,,0.05396883003413677,0.05396883003413677,0.036238085478544235,human
TMSB4XP8,0.06971564888954163,0.05839436873793602,,,0.06405500881373882,0.06405500881373882,0.05839436873793602,human
