gene_symbol,logfc_dz:803,mean_logfc,median_logfc,common_experiment,organism
RPS6,0.3798212707042694,0.3798212707042694,0.3798212707042694,0.3798212707042694,human
CYAT1,0.23792119324207306,0.23792119324207306,0.23792119324207306,0.23792119324207306,human
COX1,0.12641437351703644,0.12641437351703644,0.12641437351703644,0.12641437351703644,human
PTGES3,0.11897294223308563,0.11897294223308563,0.11897294223308563,0.11897294223308563,human
IGLC7,0.1178634762763977,0.1178634762763977,0.1178634762763977,0.1178634762763977,human
HLA-DRB5,0.11265289783477783,0.11265289783477783,0.11265289783477783,0.11265289783477783,human
HLA-DRA,0.10996049642562866,0.10996049642562866,0.10996049642562866,0.10996049642562866,human
HLA-DRB4,0.10674282908439636,0.10674282908439636,0.10674282908439636,0.10674282908439636,human
ATF4,0.0977693498134613,0.0977693498134613,0.0977693498134613,0.0977693498134613,human
RRM2,0.09068797528743744,0.09068797528743744,0.09068797528743744,0.09068797528743744,human
SLC7A5,0.09017986804246902,0.09017986804246902,0.09017986804246902,0.09017986804246902,human
IER2,0.08951675891876221,0.08951675891876221,0.08951675891876221,0.08951675891876221,human
HLA-DRB1,0.08344960957765579,0.08344960957765579,0.08344960957765579,0.08344960957765579,human
AARS,0.08185286819934845,0.08185286819934845,0.08185286819934845,0.08185286819934845,human
H2AFZ,0.07923532277345657,0.07923532277345657,0.07923532277345657,0.07923532277345657,human
VPREB3,0.07560893148183823,0.07560893148183823,0.07560893148183823,0.07560893148183823,human
DDIT4,0.0755816102027893,0.0755816102027893,0.0755816102027893,0.0755816102027893,human
HLA-A,0.07215383648872375,0.07215383648872375,0.07215383648872375,0.07215383648872375,human
FTH1P5,0.07178553938865662,0.07178553938865662,0.07178553938865662,0.07178553938865662,human
HERPUD1,0.07105322182178497,0.07105322182178497,0.07105322182178497,0.07105322182178497,human
LAPTM5,0.0694524496793747,0.0694524496793747,0.0694524496793747,0.0694524496793747,human
HLA-B,0.06761813908815384,0.06761813908815384,0.06761813908815384,0.06761813908815384,human
IARS,0.06500215083360672,0.06500215083360672,0.06500215083360672,0.06500215083360672,human
CD79A,0.06380853056907654,0.06380853056907654,0.06380853056907654,0.06380853056907654,human
ACTG1,0.06320703029632568,0.06320703029632568,0.06320703029632568,0.06320703029632568,human
RGS19,0.06189723312854767,0.06189723312854767,0.06189723312854767,0.06189723312854767,human
PHGDH,0.05998913571238518,0.05998913571238518,0.05998913571238518,0.05998913571238518,human
HIST1H4C,0.058221641927957535,0.058221641927957535,0.058221641927957535,0.058221641927957535,human
ASS1,0.05788572132587433,0.05788572132587433,0.05788572132587433,0.05788572132587433,human
TRIB3,0.05747019499540329,0.05747019499540329,0.05747019499540329,0.05747019499540329,human
MFAP4,0.05675014108419418,0.05675014108419418,0.05675014108419418,0.05675014108419418,human
CEBPB,0.05478522554039955,0.05478522554039955,0.05478522554039955,0.05478522554039955,human
