gene_symbol,logfc_dz:284,logfc_dz:257,mean_logfc,median_logfc,common_experiment,organism
ANGPTL7,0.1835072636604309,,0.1835072636604309,0.1835072636604309,,human
APOD,0.1447627693414688,,0.1447627693414688,0.1447627693414688,,human
PLA2G2A,0.1352241039276123,,0.1352241039276123,0.1352241039276123,,human
MYOC,0.12338972836732864,,0.12338972836732864,0.12338972836732864,,human
NELL2,0.11126820743083954,,0.11126820743083954,0.11126820743083954,,human
GEM,0.1047447994351387,,0.1047447994351387,0.1047447994351387,,human
MMP3,0.09930682182312012,,0.09930682182312012,0.09930682182312012,,human
DDIT4,0.08951693028211594,,0.08951693028211594,0.08951693028211594,,human
HLA-DRB1,0.08654244244098663,,0.08654244244098663,0.08654244244098663,,human
C2orf40,0.07448159903287888,,0.07448159903287888,0.07448159903287888,,human
MRC1,0.07116713374853134,,0.07116713374853134,0.07116713374853134,,human
HLA-DRB5,0.06576574593782425,,0.06576574593782425,0.06576574593782425,,human
CD302,0.06255894154310226,,0.06255894154310226,0.06255894154310226,,human
SERPINF1,0.06221768260002136,,0.06221768260002136,0.06221768260002136,,human
SAA2,0.06052074581384659,,0.06052074581384659,0.06052074581384659,,human
CHST15,0.058268893510103226,,0.058268893510103226,0.058268893510103226,,human
TMEM178A,0.057918719947338104,,0.057918719947338104,0.057918719947338104,,human
PENK,0.055859219282865524,,0.055859219282865524,0.055859219282865524,,human
P2RY14,0.055321287363767624,,0.055321287363767624,0.055321287363767624,,human
OVOS2,0.053646501153707504,,0.053646501153707504,0.053646501153707504,,human
TCEAL4,0.05293290689587593,,0.05293290689587593,0.05293290689587593,,human
HLA-DRB4,0.05024903640151024,,0.05024903640151024,0.05024903640151024,,human
TXNIP,0.04984452202916145,,0.04984452202916145,0.04984452202916145,,human
CEBPB,0.049534011632204056,,0.049534011632204056,0.049534011632204056,,human
SPP1,0.049287836998701096,,0.049287836998701096,0.049287836998701096,,human
TOB1,0.04865936562418938,-0.011089197359979153,0.018785084132105112,0.018785084132105112,-0.011089197359979153,human
LOC728026,0.04748179018497467,,0.04748179018497467,0.04748179018497467,,human
TAC1,0.047459591180086136,,0.047459591180086136,0.047459591180086136,,human
FGF13,0.04660546034574509,,0.04660546034574509,0.04660546034574509,,human
NOG,0.046315353363752365,,0.046315353363752365,0.046315353363752365,,human
RGS2,0.045294586569070816,,0.045294586569070816,0.045294586569070816,,human
CP,0.04480855166912079,,0.04480855166912079,0.04480855166912079,,human
BLCAP,0.044699836522340775,,0.044699836522340775,0.044699836522340775,,human
CCL15-CCL14,0.04399948939681053,,0.04399948939681053,0.04399948939681053,,human
ABLIM1,0.04184893146157265,,0.04184893146157265,0.04184893146157265,,human
FCER1G,0.04059702530503273,,0.04059702530503273,0.04059702530503273,,human
HLA-DRA,0.03993365541100502,,0.03993365541100502,0.03993365541100502,,human
IER2,0.0398806668817997,,0.0398806668817997,0.0398806668817997,,human
IER3,0.03969134762883186,0.07310601323843002,0.05639868043363094,0.05639868043363094,0.07310601323843002,human
KLF10,0.039479564875364304,,0.039479564875364304,0.039479564875364304,,human
RPL11,0.0394769124686718,-0.018235841765999794,0.010620535351336002,0.010620535351336002,-0.018235841765999794,human
VCAM1,0.03882676735520363,-0.03757845237851143,0.0006241574883460999,0.0006241574883460999,-0.03757845237851143,human
SPRY2,0.03866073116660118,,0.03866073116660118,0.03866073116660118,,human
ARRDC3,0.03866002336144447,,0.03866002336144447,0.03866002336144447,,human
HNRNPA1P33,0.03859003260731697,,0.03859003260731697,0.03859003260731697,,human
CNRIP1,0.037921782582998276,,0.037921782582998276,0.037921782582998276,,human
SERPING1,0.03780779615044594,,0.03780779615044594,0.03780779615044594,,human
EMX2,0.03745781257748604,,0.03745781257748604,0.03745781257748604,,human
PIM3,0.03741639107465744,,0.03741639107465744,0.03741639107465744,,human
EPB41L4A-AS1,0.037344954907894135,,0.037344954907894135,0.037344954907894135,,human
LINC00294,0.036530084908008575,,0.036530084908008575,0.036530084908008575,,human
C12orf57,0.03593068942427635,,0.03593068942427635,0.03593068942427635,,human
