gene_symbol,logfc_dz:562,mean_logfc,median_logfc,common_experiment,organism
PELI1,0.12639665603637695,0.12639665603637695,0.12639665603637695,0.12639665603637695,human
MCL1,0.09218717366456985,0.09218717366456985,0.09218717366456985,0.09218717366456985,human
RPS28,0.08922894299030304,0.08922894299030304,0.08922894299030304,0.08922894299030304,human
B2M,0.08721734583377838,0.08721734583377838,0.08721734583377838,0.08721734583377838,human
NFKBIA,0.0855126902461052,0.0855126902461052,0.0855126902461052,0.0855126902461052,human
HSPA5,0.08410637825727463,0.08410637825727463,0.08410637825727463,0.08410637825727463,human
DEFA1B,0.0824870616197586,0.0824870616197586,0.0824870616197586,0.0824870616197586,human
EIF1,0.07976045459508896,0.07976045459508896,0.07976045459508896,0.07976045459508896,human
RPS17,0.07620859146118164,0.07620859146118164,0.07620859146118164,0.07620859146118164,human
RPL9,0.07246682047843933,0.07246682047843933,0.07246682047843933,0.07246682047843933,human
GADD45A,0.07019426673650742,0.07019426673650742,0.07019426673650742,0.07019426673650742,human
S100A8,0.06947147101163864,0.06947147101163864,0.06947147101163864,0.06947147101163864,human
GPRC5D,0.06570049375295639,0.06570049375295639,0.06570049375295639,0.06570049375295639,human
CCL3,0.06558287888765335,0.06558287888765335,0.06558287888765335,0.06558287888765335,human
RPS27,0.06159449741244316,0.06159449741244316,0.06159449741244316,0.06159449741244316,human
CCL3L3,0.060004822909832,0.060004822909832,0.060004822909832,0.060004822909832,human
CCND2,0.058174993842840195,0.058174993842840195,0.058174993842840195,0.058174993842840195,human
RPL35A,0.05727395415306091,0.05727395415306091,0.05727395415306091,0.05727395415306091,human
RPL17,0.04983385279774666,0.04983385279774666,0.04983385279774666,0.04983385279774666,human
RPS11,0.04949631169438362,0.04949631169438362,0.04949631169438362,0.04949631169438362,human
RPLP2,0.048909008502960205,0.048909008502960205,0.048909008502960205,0.048909008502960205,human
RPL41P5,0.048757728189229965,0.048757728189229965,0.048757728189229965,0.048757728189229965,human
ANXA1,0.04858185350894928,0.04858185350894928,0.04858185350894928,0.04858185350894928,human
RPS14,0.048243578523397446,0.048243578523397446,0.048243578523397446,0.048243578523397446,human
SNORD3D,0.0482102707028389,0.0482102707028389,0.0482102707028389,0.0482102707028389,human
ITGB7,0.04720181226730347,0.04720181226730347,0.04720181226730347,0.04720181226730347,human
RHOB,0.0470791794359684,0.0470791794359684,0.0470791794359684,0.0470791794359684,human
EZR,0.04702663794159889,0.04702663794159889,0.04702663794159889,0.04702663794159889,human
RPL30,0.046962399035692215,0.046962399035692215,0.046962399035692215,0.046962399035692215,human
TMSB10,0.04525260254740715,0.04525260254740715,0.04525260254740715,0.04525260254740715,human
UBALD2,0.04522710293531418,0.04522710293531418,0.04522710293531418,0.04522710293531418,human
NAMPT,0.04438907280564308,0.04438907280564308,0.04438907280564308,0.04438907280564308,human
HSPA1A,0.04391864687204361,0.04391864687204361,0.04391864687204361,0.04391864687204361,human
TXNIP,0.04267050698399544,0.04267050698399544,0.04267050698399544,0.04267050698399544,human
ARID5B,0.0413791798055172,0.0413791798055172,0.0413791798055172,0.0413791798055172,human
OTUD1,0.040723755955696106,0.040723755955696106,0.040723755955696106,0.040723755955696106,human
HLA-B,0.04066355898976326,0.04066355898976326,0.04066355898976326,0.04066355898976326,human
RPS16,0.04059295728802681,0.04059295728802681,0.04059295728802681,0.04059295728802681,human
MALAT1,0.04033782333135605,0.04033782333135605,0.04033782333135605,0.04033782333135605,human
RPS18,0.03989836946129799,0.03989836946129799,0.03989836946129799,0.03989836946129799,human
UBA52,0.039759308099746704,0.039759308099746704,0.039759308099746704,0.039759308099746704,human
TNFAIP3,0.039540961384773254,0.039540961384773254,0.039540961384773254,0.039540961384773254,human
RPS15A,0.0393923856317997,0.0393923856317997,0.0393923856317997,0.0393923856317997,human
RNASE2,0.03859248384833336,0.03859248384833336,0.03859248384833336,0.03859248384833336,human
DAD1,0.03810010477900505,0.03810010477900505,0.03810010477900505,0.03810010477900505,human
SIK1,0.03802776709198952,0.03802776709198952,0.03802776709198952,0.03802776709198952,human
MAMDC2,0.037848833948373795,0.037848833948373795,0.037848833948373795,0.037848833948373795,human
HLA-A,0.03712053596973419,0.03712053596973419,0.03712053596973419,0.03712053596973419,human
ACTG1,0.03672463819384575,0.03672463819384575,0.03672463819384575,0.03672463819384575,human
RPS3A,0.036706432700157166,0.036706432700157166,0.036706432700157166,0.036706432700157166,human
RPS3,0.036159466952085495,0.036159466952085495,0.036159466952085495,0.036159466952085495,human
RPS20,0.03550895303487778,0.03550895303487778,0.03550895303487778,0.03550895303487778,human
CYTIP,0.03464828059077263,0.03464828059077263,0.03464828059077263,0.03464828059077263,human
CD53,0.03397238999605179,0.03397238999605179,0.03397238999605179,0.03397238999605179,human
TRIB1,0.03395897522568703,0.03395897522568703,0.03395897522568703,0.03395897522568703,human
AHNAK,0.03380507230758667,0.03380507230758667,0.03380507230758667,0.03380507230758667,human
TP53INP1,0.03379543870687485,0.03379543870687485,0.03379543870687485,0.03379543870687485,human
RPS27A,0.033697620034217834,0.033697620034217834,0.033697620034217834,0.033697620034217834,human
LAPTM4A,0.03330706059932709,0.03330706059932709,0.03330706059932709,0.03330706059932709,human
SPCS2,0.033286407589912415,0.033286407589912415,0.033286407589912415,0.033286407589912415,human
UBC,0.032422956079244614,0.032422956079244614,0.032422956079244614,0.032422956079244614,human
RPS6,0.03238457068800926,0.03238457068800926,0.03238457068800926,0.03238457068800926,human
RPL35,0.031699541956186295,0.031699541956186295,0.031699541956186295,0.031699541956186295,human
RPS10,0.03156076371669769,0.03156076371669769,0.03156076371669769,0.03156076371669769,human
STK19,0.031210657209157944,0.031210657209157944,0.031210657209157944,0.031210657209157944,human
C4B,0.031210657209157944,0.031210657209157944,0.031210657209157944,0.031210657209157944,human
CCL4L1,0.030295606702566147,0.030295606702566147,0.030295606702566147,0.030295606702566147,human
JUND,0.029654789716005325,0.029654789716005325,0.029654789716005325,0.029654789716005325,human
CCL4,0.029585398733615875,0.029585398733615875,0.029585398733615875,0.029585398733615875,human
KRTCAP2,0.028752140700817108,0.028752140700817108,0.028752140700817108,0.028752140700817108,human
FCRLA,0.02854711003601551,0.02854711003601551,0.02854711003601551,0.02854711003601551,human
FRZB,0.028437668457627296,0.028437668457627296,0.028437668457627296,0.028437668457627296,human
TMEM258,0.028315551578998566,0.028315551578998566,0.028315551578998566,0.028315551578998566,human
GADD45B,0.028142720460891724,0.028142720460891724,0.028142720460891724,0.028142720460891724,human
VIM,0.02805316261947155,0.02805316261947155,0.02805316261947155,0.02805316261947155,human
LTF,0.028000246733427048,0.028000246733427048,0.028000246733427048,0.028000246733427048,human
PSMB4,0.027966678142547607,0.027966678142547607,0.027966678142547607,0.027966678142547607,human
CFL2,0.027500230818986893,0.027500230818986893,0.027500230818986893,0.027500230818986893,human
RPS19,0.027431821450591087,0.027431821450591087,0.027431821450591087,0.027431821450591087,human
MIR155,0.0269611943513155,0.0269611943513155,0.0269611943513155,0.0269611943513155,human
TXN,0.026897555217146873,0.026897555217146873,0.026897555217146873,0.026897555217146873,human
HNRNPA1P33,0.026680130511522293,0.026680130511522293,0.026680130511522293,0.026680130511522293,human
RPL13AP5,0.02657264657318592,0.02657264657318592,0.02657264657318592,0.02657264657318592,human
RPL23A,0.026468049734830856,0.026468049734830856,0.026468049734830856,0.026468049734830856,human
HLA-G,0.026255818083882332,0.026255818083882332,0.026255818083882332,0.026255818083882332,human
FCGR2C,0.02607816271483898,0.02607816271483898,0.02607816271483898,0.02607816271483898,human
LAMP5,0.02594119869172573,0.02594119869172573,0.02594119869172573,0.02594119869172573,human
HSPA1B,0.02589258924126625,0.02589258924126625,0.02589258924126625,0.02589258924126625,human
MYL6,0.025777224451303482,0.025777224451303482,0.025777224451303482,0.025777224451303482,human
RPL38,0.025742754340171814,0.025742754340171814,0.025742754340171814,0.025742754340171814,human
IFITM1,0.025441346690058708,0.025441346690058708,0.025441346690058708,0.025441346690058708,human
AREG,0.025405965745449066,0.025405965745449066,0.025405965745449066,0.025405965745449066,human
IFI6,0.02496303617954254,0.02496303617954254,0.02496303617954254,0.02496303617954254,human
RND3,0.024861644953489304,0.024861644953489304,0.024861644953489304,0.024861644953489304,human
CXCL8,0.02485860139131546,0.02485860139131546,0.02485860139131546,0.02485860139131546,human
CLC,0.024637991562485695,0.024637991562485695,0.024637991562485695,0.024637991562485695,human
GAPDH,0.02457180805504322,0.02457180805504322,0.02457180805504322,0.02457180805504322,human
HMGN2,0.024533145129680634,0.024533145129680634,0.024533145129680634,0.024533145129680634,human
TIPARP,0.02445044368505478,0.02445044368505478,0.02445044368505478,0.02445044368505478,human
BTG1,0.02443573996424675,0.02443573996424675,0.02443573996424675,0.02443573996424675,human
PRG2,0.024346819147467613,0.024346819147467613,0.024346819147467613,0.024346819147467613,human
CD48,0.024233004078269005,0.024233004078269005,0.024233004078269005,0.024233004078269005,human
MAL,0.024119112640619278,0.024119112640619278,0.024119112640619278,0.024119112640619278,human
CYBB,0.024069232866168022,0.024069232866168022,0.024069232866168022,0.024069232866168022,human
RBM39,0.02388598583638668,0.02388598583638668,0.02388598583638668,0.02388598583638668,human
CCDC6,0.023765945807099342,0.023765945807099342,0.023765945807099342,0.023765945807099342,human
MZB1,0.023680496960878372,0.023680496960878372,0.023680496960878372,0.023680496960878372,human
DDIT4,0.02357707917690277,0.02357707917690277,0.02357707917690277,0.02357707917690277,human
H3F3B,0.023316295817494392,0.023316295817494392,0.023316295817494392,0.023316295817494392,human
NBPF20,0.02320089191198349,0.02320089191198349,0.02320089191198349,0.02320089191198349,human
RPLP1,0.022932151332497597,0.022932151332497597,0.022932151332497597,0.022932151332497597,human
LMAN2,0.02287706546485424,0.02287706546485424,0.02287706546485424,0.02287706546485424,human
EIF5,0.022631565108895302,0.022631565108895302,0.022631565108895302,0.022631565108895302,human
HLA-J,0.022280538454651833,0.022280538454651833,0.022280538454651833,0.022280538454651833,human
DNAJC1,0.022103244438767433,0.022103244438767433,0.022103244438767433,0.022103244438767433,human
RPL18,0.02198159694671631,0.02198159694671631,0.02198159694671631,0.02198159694671631,human
ZFP36,0.02196645364165306,0.02196645364165306,0.02196645364165306,0.02196645364165306,human
HNRNPA1P10,0.021957071498036385,0.021957071498036385,0.021957071498036385,0.021957071498036385,human
METTL7A,0.021901888772845268,0.021901888772845268,0.021901888772845268,0.021901888772845268,human
UBB,0.02186015620827675,0.02186015620827675,0.02186015620827675,0.02186015620827675,human
PPP1R15A,0.021826857700943947,0.021826857700943947,0.021826857700943947,0.021826857700943947,human
HLA-C,0.021542979404330254,0.021542979404330254,0.021542979404330254,0.021542979404330254,human
RPL8,0.021335924044251442,0.021335924044251442,0.021335924044251442,0.021335924044251442,human
RPL15,0.020861094817519188,0.020861094817519188,0.020861094817519188,0.020861094817519188,human
PDIA6,0.02082281932234764,0.02082281932234764,0.02082281932234764,0.02082281932234764,human
EEF1A1,0.020485974848270416,0.020485974848270416,0.020485974848270416,0.020485974848270416,human
EMC7,0.020399974659085274,0.020399974659085274,0.020399974659085274,0.020399974659085274,human
RPS9,0.02030855044722557,0.02030855044722557,0.02030855044722557,0.02030855044722557,human
LOC285847,0.020295273512601852,0.020295273512601852,0.020295273512601852,0.020295273512601852,human
SBDS,0.019949723035097122,0.019949723035097122,0.019949723035097122,0.019949723035097122,human
TSC22D3,0.01993505097925663,0.01993505097925663,0.01993505097925663,0.01993505097925663,human
VPS37B,0.019894296303391457,0.019894296303391457,0.019894296303391457,0.019894296303391457,human
RPL26,0.019673720002174377,0.019673720002174377,0.019673720002174377,0.019673720002174377,human
PPIB,0.019475102424621582,0.019475102424621582,0.019475102424621582,0.019475102424621582,human
RPS2,0.019455254077911377,0.019455254077911377,0.019455254077911377,0.019455254077911377,human
RPL7,0.019446955993771553,0.019446955993771553,0.019446955993771553,0.019446955993771553,human
ATP6V0E1,0.019351227208971977,0.019351227208971977,0.019351227208971977,0.019351227208971977,human
NME2,0.019315950572490692,0.019315950572490692,0.019315950572490692,0.019315950572490692,human
CD63,0.019286250695586205,0.019286250695586205,0.019286250695586205,0.019286250695586205,human
