gene_symbol,logfc_dz:361,logfc_dz:553,logfc_dz:56,mean_logfc,median_logfc,common_experiment,organism
IGK,0.13442958891391754,-0.009799265302717686,,0.06231516180559993,0.06231516180559993,,human
FTL,0.1258036196231842,-0.019977455958724022,,0.05291308183223009,0.05291308183223009,,human
TPT1,0.10222897678613663,-0.017995933070778847,,0.04211652185767889,0.04211652185767889,,human
RPS19,0.08847886323928833,,,0.08847886323928833,0.08847886323928833,,human
SLC36A2,0.08752236515283585,,,0.08752236515283585,0.08752236515283585,,human
HSP90AB1,0.0871458649635315,,,0.0871458649635315,0.0871458649635315,,human
RPL8,0.08259192109107971,-0.021400094032287598,,0.030595913529396057,0.030595913529396057,,human
RPL39,0.07775299996137619,0.018120650202035904,,0.04793682508170605,0.04793682508170605,,human
S100A10,0.07658899575471878,-0.007429094053804874,,0.03457995085045695,0.03457995085045695,,human
RPL41,0.07434964925050735,0.037789177149534225,,0.05606941320002079,0.05606941320002079,,human
HLA-A,0.07228910177946091,0.02355027198791504,,0.04791968688368797,0.04791968688368797,,human
RPS3,0.07198245078325272,,0.026195455342531204,0.04908895306289196,0.04908895306289196,0.026195455342531204,human
COL1A1,0.0715588629245758,,,0.0715588629245758,0.0715588629245758,,human
EEF1A1,0.07151033729314804,,,0.07151033729314804,0.07151033729314804,,human
APOE,0.06986943632364273,,,0.06986943632364273,0.06986943632364273,,human
HSPD1,0.06840411573648453,,,0.06840411573648453,0.06840411573648453,,human
RPS16,0.06733059138059616,0.016578778624534607,,0.041954685002565384,0.041954685002565384,,human
C3,0.06621592491865158,,,0.06621592491865158,0.06621592491865158,,human
SERPINA1,0.06525140255689621,,,0.06525140255689621,0.06525140255689621,,human
RPS21,0.06507950276136398,,,0.06507950276136398,0.06507950276136398,,human
PSAP,0.06295961886644363,-0.018406543880701065,,0.022276537492871284,0.022276537492871284,,human
RPL28,0.06081351637840271,,,0.06081351637840271,0.06081351637840271,,human
RPS2,0.05979639291763306,0.016619298607110977,,0.03820784576237202,0.03820784576237202,,human
RPLP2,0.059534575790166855,,,0.059534575790166855,0.059534575790166855,,human
IGHV4-31,0.057197704911231995,-0.03367701917886734,,0.011760342866182327,0.011760342866182327,,human
RPL38,0.056118499487638474,,,0.056118499487638474,0.056118499487638474,,human
EEF1G,0.055349111557006836,-0.015688735991716385,,0.019830187782645226,0.019830187782645226,,human
S100A11,0.05487849935889244,,,0.05487849935889244,0.05487849935889244,,human
RPS26P25,0.05421663820743561,,,0.05421663820743561,0.05421663820743561,,human
SPARC,0.054044775664806366,,,0.054044775664806366,0.054044775664806366,,human
FN1,0.053862012922763824,,,0.053862012922763824,0.053862012922763824,,human
PI3,0.053692176938056946,,0.05764998123049736,0.05567107908427715,0.05567107908427715,0.05764998123049736,human
CEACAM6,0.05251380801200867,,0.028097132220864296,0.04030547011643648,0.04030547011643648,0.028097132220864296,human
NBL1,0.050659988075494766,,0.03824585676193237,0.04445292241871357,0.04445292241871357,0.03824585676193237,human
CTSD,0.05001281946897507,,-0.0420822836458683,0.003965267911553383,0.003965267911553383,-0.0420822836458683,human
A2M,0.04938473924994469,,0.023231441155076027,0.03630809020251036,0.03630809020251036,0.023231441155076027,human
ATP1B3,0.048231787979602814,,,0.048231787979602814,0.048231787979602814,,human
TMSB10,0.04772110655903816,0.01933811791241169,,0.033529612235724926,0.033529612235724926,,human
RPL13A,0.046242423355579376,0.04159194231033325,,0.043917182832956314,0.043917182832956314,,human
RPL31,0.045809827744960785,-0.007850933820009232,,0.018979446962475777,0.018979446962475777,,human
NACA,0.04402633756399155,0.022682737559080124,,0.033354537561535835,0.033354537561535835,,human
LCN2,0.042823661118745804,,0.022029390558600426,0.032426525838673115,0.032426525838673115,0.022029390558600426,human
RPL27A,0.04213492199778557,,,0.04213492199778557,0.04213492199778557,,human
ENO1,0.041814595460891724,,,0.041814595460891724,0.041814595460891724,,human
RPS5,0.04172155261039734,0.07056952267885208,,0.05614553764462471,0.05614553764462471,,human
PTMA,0.04130546376109123,0.007543289568275213,,0.024424376664683223,0.024424376664683223,,human
RPL32,0.04057693108916283,0.016971351578831673,,0.02877414133399725,0.02877414133399725,,human
RPL7,0.040099240839481354,,,0.040099240839481354,0.040099240839481354,,human
PRDX1,0.03889981284737587,-0.06440722942352295,,-0.01275370828807354,-0.01275370828807354,,human
HSPB1,0.038476474583148956,,0.016871042549610138,0.027673758566379547,0.027673758566379547,0.016871042549610138,human
RPS27AP16,0.03777139261364937,,,0.03777139261364937,0.03777139261364937,,human
HSP90AA1,0.03755386918783188,0.014727441594004631,,0.026140655390918255,0.026140655390918255,,human
KRT18,0.037231750786304474,,,0.037231750786304474,0.037231750786304474,,human
RPL11,0.03626001253724098,0.10814359784126282,,0.0722018051892519,0.0722018051892519,,human
CD81,0.03555091470479965,,,0.03555091470479965,0.03555091470479965,,human
APOC1,0.034908801317214966,,,0.034908801317214966,0.034908801317214966,,human
PPIA,0.03484511375427246,,,0.03484511375427246,0.03484511375427246,,human
CFL1,0.03300010412931442,,,0.03300010412931442,0.03300010412931442,,human
FSCN1,0.03294260799884796,,,0.03294260799884796,0.03294260799884796,,human
APOD,0.032652322202920914,,,0.032652322202920914,0.032652322202920914,,human
