gene_symbol,logfc_dz:693,logfc_dz:1075,logfc_dz:1074,logfc_dz:1073,logfc_dz:1079,logfc_dz:692,logfc_dz:691,logfc_dz:450,logfc_dz:512,logfc_dz:816,mean_logfc,median_logfc,common_experiment,organism
HBB,0.22851529717445374,-0.04161195084452629,0.033369071781635284,-0.010420241393148899,-0.11589580029249191,0.19177241623401642,0.117161326110363,0.022524774074554443,,,0.05317686160560697,0.027946922928094864,-0.04161195084452629,human
IFITM1,0.17640742659568787,,-0.015979375690221786,0.01617600955069065,0.009887544438242912,0.12470962107181549,0.10184797644615173,-0.02348458766937256,0.09316769987344742,0.07582806795835495,0.062062264730532966,0.07582806795835495,,human
CFL1,0.16841775178909302,,-0.010092674754559994,,,0.10623876750469208,0.16884803771972656,,0.05299322307109833,,0.09728102106601,0.10623876750469208,,human
HBA2,0.15689292550086975,,,,-0.00796591117978096,0.10535294562578201,0.07858670502901077,0.10437273234128952,0.030440621078014374,-0.14314305782318115,0.04636242293885776,0.07858670502901077,,human
HLA-B,0.15603382885456085,-0.00930111389607191,-0.02919681742787361,,,,0.1094692125916481,-0.0493319109082222,0.15321888029575348,,0.055148679918299116,0.050084049347788095,-0.00930111389607191,human
ISG15,0.13725528120994568,,,,,0.10540574789047241,0.14880715310573578,-0.03868173062801361,0.07814545929431915,0.11798723042011261,0.09148652354876201,0.11169648915529251,,human
HLA-C,0.1305612027645111,,,,,,0.10306242108345032,-0.04092368856072426,0.1396746039390564,,0.08309363480657339,0.11681181192398071,,human
LOC100133583,0.12693144381046295,,,,,,0.05523530766367912,,0.05175819620490074,,0.07797498255968094,0.05523530766367912,,human
IFI44L,0.12550559639930725,,,,,0.09139008074998856,0.06128615140914917,0.010437213815748692,0.07688018679618835,0.0881023034453392,0.07560025543595354,0.08249124512076378,,human
HLA-G,0.11959148198366165,,,,,,0.08754713833332062,-0.02604864537715912,0.09291218966245651,,0.06850054115056992,0.09022966399788857,,human
RPS9,0.11515580862760544,,-0.024475445970892906,,-0.014018133282661438,-0.036450572311878204,0.05136507377028465,,,,0.018315346166491508,-0.014018133282661438,,human
HLA-A,0.11021069437265396,-0.027783453464508057,,,,0.06296660751104355,0.1279658079147339,0.07911819964647293,0.11056817322969437,,0.07717433820168178,0.09466444700956345,-0.027783453464508057,human
PSME2,0.1013697013258934,,,,,0.07858915627002716,0.07762499898672104,-0.05135815218091011,0.029605315998196602,0.05188987776637077,0.04795348302771648,0.0647574383765459,,human
HLA-DQA1,0.10136556625366211,,,,,,,,0.020209502428770065,0.016818618401885033,0.046131229028105736,0.020209502428770065,,human
HLA-DRB4,0.09775477647781372,,,,,0.03024672344326973,0.12942655384540558,,0.16602003574371338,,0.1058620223775506,0.11359066516160965,,human
RPS14P3,0.09653792530298233,,,,,0.04790491610765457,-0.024087274447083473,-0.12768082320690155,-0.02995912730693817,0.03384410962462425,-0.0005733789876103401,0.0048784175887703896,,human
GAPDH,0.08727554976940155,,-0.02504548989236355,,-0.013997228816151619,0.07002216577529907,0.0759652778506279,0.05230196192860603,,,0.04108703943590323,0.06116206385195255,,human
RPL41,0.08240115642547607,,,,,0.04069117084145546,,-0.037043496966362,-0.02931179478764534,0.016086334362626076,0.014564673975110054,0.016086334362626076,,human
HLA-E,0.0810592845082283,0.011728275567293167,,0.03650439903140068,,-0.043499287217855453,0.03162223845720291,0.014498719945549965,0.03290605917572975,0.025584591552615166,0.02380053512752056,0.02860341500490904,0.011728275567293167,human
IFITM2,0.0805903971195221,,,,,0.05906959995627403,0.10752055048942566,,,0.04649081826210022,0.0734178414568305,0.06982999853789806,,human
RPS20,0.07873833924531937,,-0.02209782600402832,-0.016463860869407654,-0.018089650198817253,0.032523129135370255,,-0.02626657485961914,-0.04922637343406677,,-0.00298325956932136,-0.018089650198817253,,human
BTG1,0.07860985398292542,-0.049280185252428055,,-0.05071713402867317,-0.03241229057312012,-0.053262535482645035,,0.0398157462477684,,,-0.011207757517695427,-0.040846237912774086,-0.049280185252428055,human
RPL23A,0.07771575450897217,,,,,0.08989197760820389,-0.013086197897791862,0.021595561876893044,-0.027800332754850388,,0.02966335266828537,0.021595561876893044,,human
MX1,0.07667712867259979,0.056837040930986404,0.0656963661313057,0.06500685960054398,0.07392662763595581,0.0815185010433197,0.0692199319601059,0.0167460385710001,0.05213351175189018,0.034788452088832855,0.05925504583865404,0.06535161286592484,0.056837040930986404,human
MLIP,0.07544884830713272,,,,,,,,,,0.07544884830713272,0.07544884830713272,,human
MKNK2,0.0753045454621315,,,,,0.04330931231379509,0.026003066450357437,,,,0.048205641408761345,0.04330931231379509,,human
CXCR4,0.07482106238603592,,,,,0.014575276523828506,0.019004635512828827,-0.010863255709409714,0.014181007631123066,,0.02234374526888132,0.014575276523828506,,human
ISG20,0.0692509114742279,0.015074520371854305,,,0.03382086753845215,0.03771014139056206,0.01968282274901867,-0.025394832715392113,,,0.02502407180145383,0.02675184514373541,0.015074520371854305,human
IGKV1OR2-108,0.06275418400764465,,,,,,,,0.038283541798591614,,0.050518862903118134,0.050518862903118134,,human
TXNIP,0.06147550791501999,-0.04735785350203514,0.08478209376335144,-0.05953460559248924,-0.053595028817653656,-0.0812065526843071,0.0561707578599453,0.06381083279848099,0.10415339469909668,-0.017962032929062843,0.011073651351034641,0.019104362465441227,-0.04735785350203514,human
RPLP0,0.0567559152841568,,,,,0.033939577639102936,-0.08533934503793716,-0.03900634124875069,-0.06561721116304398,,-0.01985348090529442,-0.03900634124875069,,human
IGLL3P,0.0552668571472168,,,,,,,,0.04414587467908859,,0.049706365913152695,0.049706365913152695,,human
GLTSCR2,0.05499874800443649,0.033513713628053665,-0.048440784215927124,,-0.01563897170126438,,-0.0296651441603899,-0.010115169920027256,,,-0.0025579347275197506,-0.012877070810645819,0.033513713628053665,human
RPL21,0.05458146706223488,,,,,,,0.065311498939991,-0.03951501473784447,,0.02679265042146047,0.05458146706223488,,human
NPIPB5,0.054043155163526535,,,,,0.09800928086042404,0.08024249225854874,-0.013140776194632053,-0.012702129781246185,-0.05257147550582886,0.025646757800132036,0.020670512691140175,,human
PABPC3,0.0508810356259346,,,,,,,0.11749390512704849,-0.009774561040103436,,0.05286679323762655,0.0508810356259346,,human
BTN3A2,0.05050303041934967,,,,,,0.020313115790486336,-0.01634375751018524,0.013322603888809681,,0.01694874814711511,0.01681785983964801,,human
RPL32,0.049008939415216446,,,,,,0.017416084185242653,,-0.06183651462197304,,0.001529502992828687,0.017416084185242653,,human
RGS2,0.048846520483493805,-0.019091643393039703,-0.01980237103998661,-0.012401295825839043,-0.033597759902477264,,-0.09683529287576675,-0.11114098131656647,,0.036048851907253265,-0.025996746495366096,-0.019447007216513157,-0.019091643393039703,human
LAPTM5,0.04858629032969475,,-0.013508028350770473,-0.013519862666726112,-0.010025578550994396,-0.051078397780656815,0.04613775387406349,0.013012895360589027,0.08912588655948639,,0.013591369846835732,0.0014936584047973156,,human
MIR1244-2,0.04857388883829117,,,,,,0.03210650011897087,,-0.008591659367084503,,0.024029576530059178,0.03210650011897087,,human
PRF1,0.04744843766093254,-0.054585058242082596,-0.02719241939485073,,,0.05410802364349365,,,,,0.004944745916873217,0.010128009133040905,-0.054585058242082596,human
RPS27,0.0465250089764595,,-0.033810388296842575,0.024743441492319107,-0.04421721398830414,0.0669093132019043,0.04981466010212898,0.02144045941531658,,-0.01724815182387829,0.014269641134887934,0.023091950453817844,,human
TAP1,0.04552202671766281,,-0.010527417063713074,0.010791465640068054,,0.05473249778151512,0.05103039741516113,-0.029549386352300644,0.010086214169859886,0.017054319381713867,0.018642514711245894,0.01392289251089096,,human
MS4A1,0.045511096715927124,,,,,,,,,,0.045511096715927124,0.045511096715927124,,human
LDHA,0.04510992020368576,,-0.056299250572919846,,,0.06932935863733292,0.06140303611755371,0.05946643650531769,0.01104745827615261,0.024185732007026672,0.030606098739164218,0.04510992020368576,,human
RPL39,0.04479365423321724,,,0.015080725774168968,,-0.04821416363120079,,0.04957433417439461,-0.027278145775198936,0.06805545091629028,0.017001975948611896,0.029937190003693104,,human
CCL5,0.044500451534986496,-0.16726720333099365,-0.024562355130910873,,,0.08183983713388443,,-0.021092893555760384,,,-0.017316432669758797,-0.021092893555760384,-0.16726720333099365,human
HMGB1,0.04449627920985222,,,,,0.02640003338456154,0.01698334328830242,0.02293984405696392,0.012664156965911388,,0.024696731381118296,0.02293984405696392,,human
IRF7,0.04414760321378708,,,,,0.02681770548224449,0.06309226155281067,-0.019225316122174263,,,0.028708063531666994,0.035482654348015785,,human
IRF1,0.04385281726717949,,,,,0.026092639192938805,0.0246301107108593,-0.020890269428491592,,,0.0184213244356215,0.02536137495189905,,human
