gene_symbol,logfc_dz:470,mean_logfc,median_logfc,common_experiment,organism
TMSB4XP8,0.14125116169452667,0.14125116169452667,0.14125116169452667,0.14125116169452667,human
COL6A3,0.13462361693382263,0.13462361693382263,0.13462361693382263,0.13462361693382263,human
ACTG1,0.1345674842596054,0.1345674842596054,0.1345674842596054,0.1345674842596054,human
ACTB,0.12926609814167023,0.12926609814167023,0.12926609814167023,0.12926609814167023,human
FTL,0.11799650639295578,0.11799650639295578,0.11799650639295578,0.11799650639295578,human
ASPN,0.11660416424274445,0.11660416424274445,0.11660416424274445,0.11660416424274445,human
PTMA,0.1129532977938652,0.1129532977938652,0.1129532977938652,0.1129532977938652,human
CDR1,0.1091332882642746,0.1091332882642746,0.1091332882642746,0.1091332882642746,human
CTGF,0.1046532616019249,0.1046532616019249,0.1046532616019249,0.1046532616019249,human
TUBA1A,0.09071358293294907,0.09071358293294907,0.09071358293294907,0.09071358293294907,human
LGALS1,0.08923569321632385,0.08923569321632385,0.08923569321632385,0.08923569321632385,human
TGFBI,0.08015015721321106,0.08015015721321106,0.08015015721321106,0.08015015721321106,human
RPL3,0.07938000559806824,0.07938000559806824,0.07938000559806824,0.07938000559806824,human
SPARC,0.07825974375009537,0.07825974375009537,0.07825974375009537,0.07825974375009537,human
RPL21,0.07551594078540802,0.07551594078540802,0.07551594078540802,0.07551594078540802,human
GJA1,0.07233626395463943,0.07233626395463943,0.07233626395463943,0.07233626395463943,human
RPS11,0.07112261652946472,0.07112261652946472,0.07112261652946472,0.07112261652946472,human
ADIRF,0.07088468223810196,0.07088468223810196,0.07088468223810196,0.07088468223810196,human
COL1A2,0.07071512937545776,0.07071512937545776,0.07071512937545776,0.07071512937545776,human
RPS8,0.069277323782444,0.069277323782444,0.069277323782444,0.069277323782444,human
COL5A2,0.06660770624876022,0.06660770624876022,0.06660770624876022,0.06660770624876022,human
VMP1,0.06581585854291916,0.06581585854291916,0.06581585854291916,0.06581585854291916,human
FKSG49,0.06459233909845352,0.06459233909845352,0.06459233909845352,0.06459233909845352,human
RPS14P3,0.0634731724858284,0.0634731724858284,0.0634731724858284,0.0634731724858284,human
ND2,0.06298758834600449,0.06298758834600449,0.06298758834600449,0.06298758834600449,human
RPL6,0.0625108927488327,0.0625108927488327,0.0625108927488327,0.0625108927488327,human
NBL1,0.06228393688797951,0.06228393688797951,0.06228393688797951,0.06228393688797951,human
LINC00623,0.06170111149549484,0.06170111149549484,0.06170111149549484,0.06170111149549484,human
AQP1,0.060973118990659714,0.060973118990659714,0.060973118990659714,0.060973118990659714,human
ATF4,0.058808583766222,0.058808583766222,0.058808583766222,0.058808583766222,human
RPL9,0.0571727454662323,0.0571727454662323,0.0571727454662323,0.0571727454662323,human
RAB13,0.05601822957396507,0.05601822957396507,0.05601822957396507,0.05601822957396507,human
LUM,0.05341539531946182,0.05341539531946182,0.05341539531946182,0.05341539531946182,human
TUBA1C,0.052567269653081894,0.052567269653081894,0.052567269653081894,0.052567269653081894,human
HSP90B1,0.052316516637802124,0.052316516637802124,0.052316516637802124,0.052316516637802124,human
LOC100508591,0.052081845700740814,0.052081845700740814,0.052081845700740814,0.052081845700740814,human
BGN,0.050141070038080215,0.050141070038080215,0.050141070038080215,0.050141070038080215,human
COMP,0.0497753731906414,0.0497753731906414,0.0497753731906414,0.0497753731906414,human
BASP1,0.04936286062002182,0.04936286062002182,0.04936286062002182,0.04936286062002182,human
OPHN1,0.048976365476846695,0.048976365476846695,0.048976365476846695,0.048976365476846695,human
RAP1B,0.04808158800005913,0.04808158800005913,0.04808158800005913,0.04808158800005913,human
RPLP0,0.047250743955373764,0.047250743955373764,0.047250743955373764,0.047250743955373764,human
RAB6C,0.04720136523246765,0.04720136523246765,0.04720136523246765,0.04720136523246765,human
FN1,0.046750739216804504,0.046750739216804504,0.046750739216804504,0.046750739216804504,human
