gene_symbol,logfc_dz:564,mean_logfc,median_logfc,common_experiment,organism
S100A9,0.19810208678245544,0.19810208678245544,0.19810208678245544,0.19810208678245544,human
HBA2,0.16667689383029938,0.16667689383029938,0.16667689383029938,0.16667689383029938,human
LYZ,0.14300204813480377,0.14300204813480377,0.14300204813480377,0.14300204813480377,human
S100A4,0.1347542256116867,0.1347542256116867,0.1347542256116867,0.1347542256116867,human
TMSB10,0.1300521343946457,0.1300521343946457,0.1300521343946457,0.1300521343946457,human
FCN1,0.11350800096988678,0.11350800096988678,0.11350800096988678,0.11350800096988678,human
TXNIP,0.09414059668779373,0.09414059668779373,0.09414059668779373,0.09414059668779373,human
RPS26,0.08696941286325455,0.08696941286325455,0.08696941286325455,0.08696941286325455,human
CD52,0.08401411026716232,0.08401411026716232,0.08401411026716232,0.08401411026716232,human
TUBA1A,0.08281657099723816,0.08281657099723816,0.08281657099723816,0.08281657099723816,human
ACTB,0.07538598775863647,0.07538598775863647,0.07538598775863647,0.07538598775863647,human
PPBP,0.07430829852819443,0.07430829852819443,0.07430829852819443,0.07430829852819443,human
IFITM2,0.07354745268821716,0.07354745268821716,0.07354745268821716,0.07354745268821716,human
MNDA,0.07340720295906067,0.07340720295906067,0.07340720295906067,0.07340720295906067,human
S100A12,0.07277482748031616,0.07277482748031616,0.07277482748031616,0.07277482748031616,human
CTSS,0.07050031423568726,0.07050031423568726,0.07050031423568726,0.07050031423568726,human
IFITM1,0.06832972913980484,0.06832972913980484,0.06832972913980484,0.06832972913980484,human
ARPC1B,0.06662409007549286,0.06662409007549286,0.06662409007549286,0.06662409007549286,human
CYAT1,0.06373047828674316,0.06373047828674316,0.06373047828674316,0.06373047828674316,human
TALDO1,0.061315737664699554,0.061315737664699554,0.061315737664699554,0.061315737664699554,human
OAZ1,0.060204144567251205,0.060204144567251205,0.060204144567251205,0.060204144567251205,human
IGJ,0.05993812158703804,0.05993812158703804,0.05993812158703804,0.05993812158703804,human
ITM2B,0.05910927429795265,0.05910927429795265,0.05910927429795265,0.05910927429795265,human
FGL2,0.057265505194664,0.057265505194664,0.057265505194664,0.057265505194664,human
IFITM3,0.057261571288108826,0.057261571288108826,0.057261571288108826,0.057261571288108826,human
SELL,0.05608762800693512,0.05608762800693512,0.05608762800693512,0.05608762800693512,human
TYROBP,0.0541551373898983,0.0541551373898983,0.0541551373898983,0.0541551373898983,human
COTL1,0.05363255366683006,0.05363255366683006,0.05363255366683006,0.05363255366683006,human
HMGN2,0.05360051617026329,0.05360051617026329,0.05360051617026329,0.05360051617026329,human
CD14,0.053540199995040894,0.053540199995040894,0.053540199995040894,0.053540199995040894,human
LTA4H,0.05176881328225136,0.05176881328225136,0.05176881328225136,0.05176881328225136,human
RPS4Y1,0.05124950408935547,0.05124950408935547,0.05124950408935547,0.05124950408935547,human
VCAN,0.04912091791629791,0.04912091791629791,0.04912091791629791,0.04912091791629791,human
CCL5,0.048315104097127914,0.048315104097127914,0.048315104097127914,0.048315104097127914,human
GZMH,0.048282843083143234,0.048282843083143234,0.048282843083143234,0.048282843083143234,human
PSME2,0.0473579503595829,0.0473579503595829,0.0473579503595829,0.0473579503595829,human
CPVL,0.046288952231407166,0.046288952231407166,0.046288952231407166,0.046288952231407166,human
IGHV4-31,0.04491826519370079,0.04491826519370079,0.04491826519370079,0.04491826519370079,human
PLAC8,0.043840087950229645,0.043840087950229645,0.043840087950229645,0.043840087950229645,human
IGLC7,0.04362316057085991,0.04362316057085991,0.04362316057085991,0.04362316057085991,human
PPT1,0.04273758456110954,0.04273758456110954,0.04273758456110954,0.04273758456110954,human
CECR1,0.04262879118323326,0.04262879118323326,0.04262879118323326,0.04262879118323326,human
HBB,0.04225728288292885,0.04225728288292885,0.04225728288292885,0.04225728288292885,human
PTP4A2,0.04152330756187439,0.04152330756187439,0.04152330756187439,0.04152330756187439,human
GZMA,0.04141261428594589,0.04141261428594589,0.04141261428594589,0.04141261428594589,human
ARPC3,0.04019870236515999,0.04019870236515999,0.04019870236515999,0.04019870236515999,human
CSTA,0.03993597999215126,0.03993597999215126,0.03993597999215126,0.03993597999215126,human
MPEG1,0.03984856605529785,0.03984856605529785,0.03984856605529785,0.03984856605529785,human
SH3BGRL,0.03965907171368599,0.03965907171368599,0.03965907171368599,0.03965907171368599,human
GMFG,0.0395277664065361,0.0395277664065361,0.0395277664065361,0.0395277664065361,human
CD302,0.03950510919094086,0.03950510919094086,0.03950510919094086,0.03950510919094086,human
