gene_symbol,logfc_dz:2,mean_logfc,median_logfc,common_experiment,organism,signature_type
GFAP,0.2594784498214721,0.2594784498214721,0.2594784498214721,0.2594784498214721,human,UP
FAM107A,0.2055430114269256,0.2055430114269256,0.2055430114269256,0.2055430114269256,human,UP
HLA-C,0.1700606048107147,0.1700606048107147,0.1700606048107147,0.1700606048107147,human,UP
HLA-A,0.1582559496164322,0.1582559496164322,0.1582559496164322,0.1582559496164322,human,UP
IFITM2,0.125743106007576,0.125743106007576,0.125743106007576,0.125743106007576,human,UP
VIM,0.1177472993731498,0.1177472993731498,0.1177472993731498,0.1177472993731498,human,UP
KCNJ4,0.1018684953451156,0.1018684953451156,0.1018684953451156,0.1018684953451156,human,UP
MT3,0.1007493808865547,0.1007493808865547,0.1007493808865547,0.1007493808865547,human,UP
IFITM3,0.0986453145742416,0.0986453145742416,0.0986453145742416,0.0986453145742416,human,UP
IFITM1,0.08938629925251,0.08938629925251,0.08938629925251,0.08938629925251,human,UP
MT1E,0.0886225998401641,0.0886225998401641,0.0886225998401641,0.0886225998401641,human,UP
ISG15,0.0742284208536148,0.0742284208536148,0.0742284208536148,0.0742284208536148,human,UP
RPL3,0.0727643072605133,0.0727643072605133,0.0727643072605133,0.0727643072605133,human,UP
PTGDS,0.0604826882481575,0.0604826882481575,0.0604826882481575,0.0604826882481575,human,UP
B2M,0.0589647702872753,0.0589647702872753,0.0589647702872753,0.0589647702872753,human,UP
FTL,0.057341992855072,0.057341992855072,0.057341992855072,0.057341992855072,human,UP
CSRP1,0.0573307797312736,0.0573307797312736,0.0573307797312736,0.0573307797312736,human,UP
UQCRQ,0.0539658032357692,0.0539658032357692,0.0539658032357692,0.0539658032357692,human,UP
IFIT1,0.0532738417387008,0.0532738417387008,0.0532738417387008,0.0532738417387008,human,UP
MT1G,0.0487641021609306,0.0487641021609306,0.0487641021609306,0.0487641021609306,human,UP
RPS4Y1,0.0472785420715808,0.0472785420715808,0.0472785420715808,0.0472785420715808,human,UP
MT1H,0.0459377914667129,0.0459377914667129,0.0459377914667129,0.0459377914667129,human,UP
RPL11,0.0456811748445034,0.0456811748445034,0.0456811748445034,0.0456811748445034,human,UP
SDC3,0.0451887100934982,0.0451887100934982,0.0451887100934982,0.0451887100934982,human,UP
MT1F,0.0450055636465549,0.0450055636465549,0.0450055636465549,0.0450055636465549,human,UP
DYNLL1,0.0447849370539188,0.0447849370539188,0.0447849370539188,0.0447849370539188,human,UP
RBM3,0.0440248735249042,0.0440248735249042,0.0440248735249042,0.0440248735249042,human,UP
PYGB,0.0418347790837287,0.0418347790837287,0.0418347790837287,0.0418347790837287,human,UP
RPS19,0.0415515899658203,0.0415515899658203,0.0415515899658203,0.0415515899658203,human,UP
COX8A,0.0413002707064151,0.0413002707064151,0.0413002707064151,0.0413002707064151,human,UP
EEF1G,0.0412441752851009,0.0412441752851009,0.0412441752851009,0.0412441752851009,human,UP
ALDOC,0.0410217680037021,0.0410217680037021,0.0410217680037021,0.0410217680037021,human,UP
MAL,0.0402287803590297,0.0402287803590297,0.0402287803590297,0.0402287803590297,human,UP
BSG,0.0401887036859989,0.0401887036859989,0.0401887036859989,0.0401887036859989,human,UP
HSPB1,0.0394277460873127,0.0394277460873127,0.0394277460873127,0.0394277460873127,human,UP
SASH1,0.0393425039947032,0.0393425039947032,0.0393425039947032,0.0393425039947032,human,UP
ADAR,0.0392861887812614,0.0392861887812614,0.0392861887812614,0.0392861887812614,human,UP
PSAP,0.0388063564896583,0.0388063564896583,0.0388063564896583,0.0388063564896583,human,UP
FTH1,0.0380861721932888,0.0380861721932888,0.0380861721932888,0.0380861721932888,human,UP
RPS28,0.0379604324698448,0.0379604324698448,0.0379604324698448,0.0379604324698448,human,UP
