gene_symbol,logfc_dz:386,mean_logfc,median_logfc,common_experiment,organism,signature_type
CD1B,0.1769985109567642,0.1769985109567642,0.1769985109567642,0.1769985109567642,human,UP
MMP12,0.1728765219449997,0.1728765219449997,0.1728765219449997,0.1728765219449997,human,UP
CD1C,0.1462899446487426,0.1462899446487426,0.1462899446487426,0.1462899446487426,human,UP
IL1R2,0.1422613561153412,0.1422613561153412,0.1422613561153412,0.1422613561153412,human,UP
RPS4X,0.1420270651578903,0.1420270651578903,0.1420270651578903,0.1420270651578903,human,UP
RPS18,0.1406104415655136,0.1406104415655136,0.1406104415655136,0.1406104415655136,human,UP
TMSB10,0.1254142224788665,0.1254142224788665,0.1254142224788665,0.1254142224788665,human,UP
PPT1,0.1244889348745346,0.1244889348745346,0.1244889348745346,0.1244889348745346,human,UP
TUBA1C,0.1238535940647125,0.1238535940647125,0.1238535940647125,0.1238535940647125,human,UP
ACP5,0.1183566823601722,0.1183566823601722,0.1183566823601722,0.1183566823601722,human,UP
TUBA1A,0.1148813888430595,0.1148813888430595,0.1148813888430595,0.1148813888430595,human,UP
CD1E,0.1141331195831298,0.1141331195831298,0.1141331195831298,0.1141331195831298,human,UP
UBC,0.1023310050368309,0.1023310050368309,0.1023310050368309,0.1023310050368309,human,UP
RPLP0,0.0904797315597534,0.0904797315597534,0.0904797315597534,0.0904797315597534,human,UP
LCP1,0.0896270275115966,0.0896270275115966,0.0896270275115966,0.0896270275115966,human,UP
CLEC10A,0.0856356099247932,0.0856356099247932,0.0856356099247932,0.0856356099247932,human,UP
CST7,0.0817429274320602,0.0817429274320602,0.0817429274320602,0.0817429274320602,human,UP
ACTB,0.0813783407211303,0.0813783407211303,0.0813783407211303,0.0813783407211303,human,UP
ARL6IP5,0.0801483318209648,0.0801483318209648,0.0801483318209648,0.0801483318209648,human,UP
RPS13,0.0766822174191474,0.0766822174191474,0.0766822174191474,0.0766822174191474,human,UP
EEF1G,0.0724220052361488,0.0724220052361488,0.0724220052361488,0.0724220052361488,human,UP
RPL8,0.071758434176445,0.071758434176445,0.071758434176445,0.071758434176445,human,UP
ALOX5AP,0.0717076510190963,0.0717076510190963,0.0717076510190963,0.0717076510190963,human,UP
RPS10,0.0690472424030304,0.0690472424030304,0.0690472424030304,0.0690472424030304,human,UP
TMBIM6,0.0683792680501937,0.0683792680501937,0.0683792680501937,0.0683792680501937,human,UP
LGALS1,0.0674764513969421,0.0674764513969421,0.0674764513969421,0.0674764513969421,human,UP
RPL13A,0.0672945007681846,0.0672945007681846,0.0672945007681846,0.0672945007681846,human,UP
LGMN,0.0671748742461204,0.0671748742461204,0.0671748742461204,0.0671748742461204,human,UP
GPX1,0.0666571930050849,0.0666571930050849,0.0666571930050849,0.0666571930050849,human,UP
HLA-DRA,0.0662864372134208,0.0662864372134208,0.0662864372134208,0.0662864372134208,human,UP
SLC25A6,0.0656643062829971,0.0656643062829971,0.0656643062829971,0.0656643062829971,human,UP
SLC27A3,0.0654377937316894,0.0654377937316894,0.0654377937316894,0.0654377937316894,human,UP
HSPA8,0.0639629140496254,0.0639629140496254,0.0639629140496254,0.0639629140496254,human,UP
HLA-DRB1,0.0635740309953689,0.0635740309953689,0.0635740309953689,0.0635740309953689,human,UP
RPS3,0.0634001046419143,0.0634001046419143,0.0634001046419143,0.0634001046419143,human,UP
CTSH,0.0631916224956512,0.0631916224956512,0.0631916224956512,0.0631916224956512,human,UP
RPL32,0.0601953119039535,0.0601953119039535,0.0601953119039535,0.0601953119039535,human,UP
C1QB,0.0596275478601455,0.0596275478601455,0.0596275478601455,0.0596275478601455,human,UP
ARPC1B,0.058502834290266,0.058502834290266,0.058502834290266,0.058502834290266,human,UP
RNASE6,0.0571041107177734,0.0571041107177734,0.0571041107177734,0.0571041107177734,human,UP
TUBA1B,0.0568629689514637,0.0568629689514637,0.0568629689514637,0.0568629689514637,human,UP
MRPS6,0.0568522773683071,0.0568522773683071,0.0568522773683071,0.0568522773683071,human,UP
PABPC3,0.0567582994699478,0.0567582994699478,0.0567582994699478,0.0567582994699478,human,UP
RPL3,0.0552537404000759,0.0552537404000759,0.0552537404000759,0.0552537404000759,human,UP
CTPS1,0.0545746572315692,0.0545746572315692,0.0545746572315692,0.0545746572315692,human,UP
CLDN1,0.0540666133165359,0.0540666133165359,0.0540666133165359,0.0540666133165359,human,UP
CAP1,0.0534663051366806,0.0534663051366806,0.0534663051366806,0.0534663051366806,human,UP
ACTG1,0.0532384999096393,0.0532384999096393,0.0532384999096393,0.0532384999096393,human,UP
TAX1BP3,0.0530379936099052,0.0530379936099052,0.0530379936099052,0.0530379936099052,human,UP
CFL1,0.0529500991106033,0.0529500991106033,0.0529500991106033,0.0529500991106033,human,UP
VAMP8,0.051655076444149,0.051655076444149,0.051655076444149,0.051655076444149,human,UP
PSAP,0.0516393780708313,0.0516393780708313,0.0516393780708313,0.0516393780708313,human,UP
FAU,0.0515060164034366,0.0515060164034366,0.0515060164034366,0.0515060164034366,human,UP
COX8A,0.0512730777263641,0.0512730777263641,0.0512730777263641,0.0512730777263641,human,UP
RPL41,0.050965379923582,0.050965379923582,0.050965379923582,0.050965379923582,human,UP
CSF2RB,0.0505918525159359,0.0505918525159359,0.0505918525159359,0.0505918525159359,human,UP
TUBB6,0.050026424229145,0.050026424229145,0.050026424229145,0.050026424229145,human,UP
CSNK2B,0.0498131401836872,0.0498131401836872,0.0498131401836872,0.0498131401836872,human,UP
RPS5,0.0495585724711418,0.0495585724711418,0.0495585724711418,0.0495585724711418,human,UP
HMGN2,0.0492127314209938,0.0492127314209938,0.0492127314209938,0.0492127314209938,human,UP
GDI2,0.048533622175455,0.048533622175455,0.048533622175455,0.048533622175455,human,UP
