gene_symbol,logfc_dz:496,logfc_dz:741,logfc_dz:941,logfc_dz:940,logfc_dz:1080,logfc_dz:788,mean_logfc,median_logfc,common_experiment,organism,signature_type
HSPA1A,0.100259743630886,0.1582944691181183,0.4560328423976898,0.0227767750620841,0.0715108215808868,0.0307507552206516,0.1399375678350528,0.0858852826058864,0.1582944691181183,human,UP
HLA-A,,,0.0216112416237592,0.0503971166908741,,0.3162676095962524,0.1294253226369619,0.0503971166908741,,human,UP
HSP90AA1,0.037703339010477,0.1329540014266967,0.2237347811460495,0.0484705977141857,,,0.1107156798243522,0.0907122995704412,0.1329540014266967,human,UP
AQP9,,,,,,0.0983578860759735,0.0983578860759735,0.0983578860759735,,human,UP
ZNF160,0.143721655011177,,,,0.0429870449006557,,0.0933543499559164,0.0933543499559164,,human,UP
HSPA1B,0.0405179597437381,0.0539397783577442,0.256712406873703,0.0599523149430751,0.0414733998477458,,0.0905191719532012,0.0539397783577442,0.0539397783577442,human,UP
FCGR2A,,,,,,0.0800435021519661,0.0800435021519661,0.0800435021519661,,human,UP
CXCL10,,,0.0791554674506187,,,,0.0791554674506187,0.0791554674506187,,human,UP
PVALB,,,0.0341277495026588,0.1134546771645546,,,0.0737912133336067,0.0737912133336067,,human,UP
HSPB1,,0.0221637450158596,0.2112107425928115,0.0504557415843009,0.0084304567426443,,0.0730651714839041,0.0363097433000803,0.0221637450158596,human,UP
CMTM6,,,,,,0.0716868788003921,0.0716868788003921,0.0716868788003921,,human,UP
MSRB1,,,,,,0.0678899735212326,0.0678899735212326,0.0678899735212326,,human,UP
TXNIP,,,,,,0.066929891705513,0.066929891705513,0.066929891705513,,human,UP
PRR11,0.0849194750189781,0.0359310992062091,,,,,0.0604252871125936,0.0604252871125936,0.0359310992062091,human,UP
PLEKHB1,0.1387860476970672,0.0527761578559875,,,-0.0164232086390256,,0.0583796656380097,0.0527761578559875,0.0527761578559875,human,UP
ZIC1,0.0700036510825157,0.0543718338012695,,,0.0438868217170238,,0.056087435533603,0.0543718338012695,0.0543718338012695,human,UP
BTG1,,,,,,0.0540833473205566,0.0540833473205566,0.0540833473205566,,human,UP
VNN2,,,,,,0.0531813167035579,0.0531813167035579,0.0531813167035579,,human,UP
ICAM3,,,,,,0.0518000088632106,0.0518000088632106,0.0518000088632106,,human,UP
TYROBP,,,,,,0.0512470714747905,0.0512470714747905,0.0512470714747905,,human,UP
PRDX6,,,0.0502020642161369,,,,0.0502020642161369,0.0502020642161369,,human,UP
HAUS2,0.1149008572101593,,,,0.0105130709707736,0.0220945850014686,0.0491695043941338,0.0220945850014686,,human,UP
RPL37,0.0761777237057685,0.0894516110420227,,,-0.0547587610781192,0.0831294208765029,0.0484999986365437,0.0796535722911357,0.0894516110420227,human,UP
UBC,0.0852101147174835,0.0931615531444549,,0.0137703083455562,0.0241243001073598,0.0261358600109815,0.0484804272651672,0.0261358600109815,0.0931615531444549,human,UP
PLBD1,,,,,,0.045866884291172,0.045866884291172,0.045866884291172,,human,UP
NUAK1,0.0454747751355171,,,,,,0.0454747751355171,0.0454747751355171,,human,UP
TPT1,0.0460125990211963,0.2334405034780502,,0.0344640500843524,-0.1336013376712799,,0.0450789537280797,0.0402383245527744,0.2334405034780502,human,UP
ZNF189,0.0448384061455726,,,,,,0.0448384061455726,0.0448384061455726,,human,UP
FAU,0.1195651739835739,,0.0400934591889381,-0.0253255348652601,,0.0401081964373588,0.0436103236861527,0.0401008278131485,,human,UP
MT1E,,0.0522819757461547,,0.0894083902239799,,-0.0111197950318455,0.0435235236460963,0.0522819757461547,0.0522819757461547,human,UP
C5AR1,,,,,,0.0430055409669876,0.0430055409669876,0.0430055409669876,,human,UP
GJA1,-0.0661652237176895,0.0795265734195709,0.1753875613212585,0.0393929630517959,-0.0149962361901998,,0.0426291275769472,0.0393929630517959,0.0795265734195709,human,UP
ADM,0.02762346342206,,0.0573511272668838,,,,0.0424872953444719,0.0424872953444719,,human,UP
RGCC,0.063097134232521,0.0207464043051004,,,,,0.0419217692688107,0.0419217692688107,0.0207464043051004,human,UP
SLA,,,,,,0.0418448150157928,0.0418448150157928,0.0418448150157928,,human,UP
MID1IP1,,,,0.0406547449529171,,,0.0406547449529171,0.0406547449529171,,human,UP
SDCBP,,0.06042255833745,,,,0.0204357802867889,0.0404291693121194,0.0404291693121194,0.06042255833745,human,UP
OLA1,0.0403482355177402,,,,,,0.0403482355177402,0.0403482355177402,,human,UP
MT1F,,0.0468434952199459,0.0368051677942276,0.0673772469162941,0.0095135373994708,,0.0401348618324846,0.0418243315070867,0.0468434952199459,human,UP
CPE,,,0.0351998694241046,0.0441158078610897,,,0.0396578386425972,0.0396578386425972,,human,UP
STMN4,0.1027390956878662,-0.0234236419200897,,,,,0.0396577268838882,0.0396577268838882,-0.0234236419200897,human,UP
SLC38A2,0.025957141071558,0.0190318077802658,,0.1020214557647705,0.0075639840215444,,0.0386435971595346,0.0224944744259119,0.0190318077802658,human,UP
SERF2,0.037064429372549,0.0128389606252312,0.0109603879973292,,,0.093060977756977,0.0384811889380216,0.0249516949988901,0.0128389606252312,human,UP
HNRNPA2B1,0.0382139459252357,0.0386536084115505,,,,,0.0384337771683931,0.0384337771683931,0.0386536084115505,human,UP
CLEC7A,,,,,,0.03841208294034,0.03841208294034,0.03841208294034,,human,UP
FCGR3B,,,,,,0.0382462665438652,0.0382462665438652,0.0382462665438652,,human,UP
