gene_symbol,logfc_dz:170,mean_logfc,median_logfc,common_experiment,organism,signature_type
RPL8,0.1780186295509338,0.1780186295509338,0.1780186295509338,0.1780186295509338,human,UP
RPS3,0.1728998571634292,0.1728998571634292,0.1728998571634292,0.1728998571634292,human,UP
ACTB,0.1691259890794754,0.1691259890794754,0.1691259890794754,0.1691259890794754,human,UP
CYP1A1,0.1370269209146499,0.1370269209146499,0.1370269209146499,0.1370269209146499,human,UP
CCL20,0.1360172182321548,0.1360172182321548,0.1360172182321548,0.1360172182321548,human,UP
ALDH1A3,0.1250281184911728,0.1250281184911728,0.1250281184911728,0.1250281184911728,human,UP
MMP1,0.1135507524013519,0.1135507524013519,0.1135507524013519,0.1135507524013519,human,UP
KRT17,0.0814014747738838,0.0814014747738838,0.0814014747738838,0.0814014747738838,human,UP
RPS2,0.0801166296005249,0.0801166296005249,0.0801166296005249,0.0801166296005249,human,UP
SERPINA3,0.0768394842743873,0.0768394842743873,0.0768394842743873,0.0768394842743873,human,UP
LGALS3,0.0735820829868316,0.0735820829868316,0.0735820829868316,0.0735820829868316,human,UP
CXCL8,0.0683818235993385,0.0683818235993385,0.0683818235993385,0.0683818235993385,human,UP
KRT23,0.0669861361384391,0.0669861361384391,0.0669861361384391,0.0669861361384391,human,UP
MYC,0.0666404590010643,0.0666404590010643,0.0666404590010643,0.0666404590010643,human,UP
VAPA,0.0662059262394905,0.0662059262394905,0.0662059262394905,0.0662059262394905,human,UP
RPL4,0.0653538629412651,0.0653538629412651,0.0653538629412651,0.0653538629412651,human,UP
TUBB4B,0.0646761581301689,0.0646761581301689,0.0646761581301689,0.0646761581301689,human,UP
PLAT,0.0611809939146041,0.0611809939146041,0.0611809939146041,0.0611809939146041,human,UP
RARRES1,0.0608193464577198,0.0608193464577198,0.0608193464577198,0.0608193464577198,human,UP
CXCL1,0.0605877712368965,0.0605877712368965,0.0605877712368965,0.0605877712368965,human,UP
RPL9,0.0590616092085838,0.0590616092085838,0.0590616092085838,0.0590616092085838,human,UP
ERBB2,0.0572801381349563,0.0572801381349563,0.0572801381349563,0.0572801381349563,human,UP
SDC4,0.0568386688828468,0.0568386688828468,0.0568386688828468,0.0568386688828468,human,UP
IFNGR2,0.0567442923784256,0.0567442923784256,0.0567442923784256,0.0567442923784256,human,UP
CSTB,0.0564889386296272,0.0564889386296272,0.0564889386296272,0.0564889386296272,human,UP
TNIP1,0.0559996515512466,0.0559996515512466,0.0559996515512466,0.0559996515512466,human,UP
RPL13,0.0536054968833923,0.0536054968833923,0.0536054968833923,0.0536054968833923,human,UP
CYP1B1,0.0534616075456142,0.0534616075456142,0.0534616075456142,0.0534616075456142,human,UP
SFN,0.0504886470735073,0.0504886470735073,0.0504886470735073,0.0504886470735073,human,UP
AKAP12,0.0500570870935916,0.0500570870935916,0.0500570870935916,0.0500570870935916,human,UP
CALM2,0.0499598011374473,0.0499598011374473,0.0499598011374473,0.0499598011374473,human,UP
EEF1A1,0.0499567314982414,0.0499567314982414,0.0499567314982414,0.0499567314982414,human,UP
EIF6,0.0492580085992813,0.0492580085992813,0.0492580085992813,0.0492580085992813,human,UP
UBC,0.0486660040915012,0.0486660040915012,0.0486660040915012,0.0486660040915012,human,UP
CYBA,0.048389509320259,0.048389509320259,0.048389509320259,0.048389509320259,human,UP
ENO1,0.0472416803240776,0.0472416803240776,0.0472416803240776,0.0472416803240776,human,UP
B2M,0.0472342371940612,0.0472342371940612,0.0472342371940612,0.0472342371940612,human,UP
F2RL1,0.0470503754913806,0.0470503754913806,0.0470503754913806,0.0470503754913806,human,UP
ADAM9,0.0443070828914642,0.0443070828914642,0.0443070828914642,0.0443070828914642,human,UP
PSMA6,0.0438067354261875,0.0438067354261875,0.0438067354261875,0.0438067354261875,human,UP
NCL,0.0424062311649322,0.0424062311649322,0.0424062311649322,0.0424062311649322,human,UP
ERH,0.0423930585384368,0.0423930585384368,0.0423930585384368,0.0423930585384368,human,UP
PDCD10,0.0419024936854839,0.0419024936854839,0.0419024936854839,0.0419024936854839,human,UP
ANXA4,0.0419006794691085,0.0419006794691085,0.0419006794691085,0.0419006794691085,human,UP
DDX21,0.0409907661378383,0.0409907661378383,0.0409907661378383,0.0409907661378383,human,UP
HSP90AB1,0.040239043533802,0.040239043533802,0.040239043533802,0.040239043533802,human,UP
TXNRD1,0.0400045216083526,0.0400045216083526,0.0400045216083526,0.0400045216083526,human,UP
CNBP,0.0397309251129627,0.0397309251129627,0.0397309251129627,0.0397309251129627,human,UP
YWHAZ,0.0395517870783805,0.0395517870783805,0.0395517870783805,0.0395517870783805,human,UP
ACTG1,0.0391556434333324,0.0391556434333324,0.0391556434333324,0.0391556434333324,human,UP
PKM,0.0381772369146347,0.0381772369146347,0.0381772369146347,0.0381772369146347,human,UP
PSMB3,0.0380665957927703,0.0380665957927703,0.0380665957927703,0.0380665957927703,human,UP
FA2H,0.0379991009831428,0.0379991009831428,0.0379991009831428,0.0379991009831428,human,UP
TIPARP,0.0379848480224609,0.0379848480224609,0.0379848480224609,0.0379848480224609,human,UP
SEC31B,0.0378206893801689,0.0378206893801689,0.0378206893801689,0.0378206893801689,human,UP
ODC1,0.0375555455684661,0.0375555455684661,0.0375555455684661,0.0375555455684661,human,UP
CANX,0.0368642583489418,0.0368642583489418,0.0368642583489418,0.0368642583489418,human,UP
CXCL2,0.0367879904806613,0.0367879904806613,0.0367879904806613,0.0367879904806613,human,UP
TSPAN3,0.0367119275033474,0.0367119275033474,0.0367119275033474,0.0367119275033474,human,UP
MYL12B,0.0366318747401237,0.0366318747401237,0.0366318747401237,0.0366318747401237,human,UP
RPL37,0.0366138666868209,0.0366138666868209,0.0366138666868209,0.0366138666868209,human,UP
ARL6IP1,0.0362384319305419,0.0362384319305419,0.0362384319305419,0.0362384319305419,human,UP
PLAU,0.0361679643392562,0.0361679643392562,0.0361679643392562,0.0361679643392562,human,UP
GSTP1,0.0354130454361438,0.0354130454361438,0.0354130454361438,0.0354130454361438,human,UP
IER3,0.034767061471939,0.034767061471939,0.034767061471939,0.034767061471939,human,UP
CLINT1,0.0338169485330581,0.0338169485330581,0.0338169485330581,0.0338169485330581,human,UP
NAMPT,0.0337301418185234,0.0337301418185234,0.0337301418185234,0.0337301418185234,human,UP
RPL11,0.0335322022438049,0.0335322022438049,0.0335322022438049,0.0335322022438049,human,UP
TMED2,0.0332530923187732,0.0332530923187732,0.0332530923187732,0.0332530923187732,human,UP
HSPA8,0.0331509560346603,0.0331509560346603,0.0331509560346603,0.0331509560346603,human,UP
ID1,0.0328614450991153,0.0328614450991153,0.0328614450991153,0.0328614450991153,human,UP
TUBA1C,0.0327287651598453,0.0327287651598453,0.0327287651598453,0.0327287651598453,human,UP
POMP,0.0324469842016696,0.0324469842016696,0.0324469842016696,0.0324469842016696,human,UP
EREG,0.032193649560213,0.032193649560213,0.032193649560213,0.032193649560213,human,UP
ACTN4,0.0319252982735633,0.0319252982735633,0.0319252982735633,0.0319252982735633,human,UP
RPS17,0.031056297942996,0.031056297942996,0.031056297942996,0.031056297942996,human,UP
UBD,0.0307660661637783,0.0307660661637783,0.0307660661637783,0.0307660661637783,human,UP
KLF5,0.0301491934806108,0.0301491934806108,0.0301491934806108,0.0301491934806108,human,UP
SRSF3,0.030132096260786,0.030132096260786,0.030132096260786,0.030132096260786,human,UP
CNOT7,0.0299337357282638,0.0299337357282638,0.0299337357282638,0.0299337357282638,human,UP
SOX9,0.0298818834125995,0.0298818834125995,0.0298818834125995,0.0298818834125995,human,UP
CYCS,0.0297491867095232,0.0297491867095232,0.0297491867095232,0.0297491867095232,human,UP
CAPZA1,0.0296995546668767,0.0296995546668767,0.0296995546668767,0.0296995546668767,human,UP
HLA-B,0.0294598992913961,0.0294598992913961,0.0294598992913961,0.0294598992913961,human,UP
ACTR3,0.0290527138859033,0.0290527138859033,0.0290527138859033,0.0290527138859033,human,UP
PPIB,0.0288640595972538,0.0288640595972538,0.0288640595972538,0.0288640595972538,human,UP
TUBB2A,0.0286679044365882,0.0286679044365882,0.0286679044365882,0.0286679044365882,human,UP
DPM1,0.0285562500357627,0.0285562500357627,0.0285562500357627,0.0285562500357627,human,UP
SLC25A24,0.028232742100954,0.028232742100954,0.028232742100954,0.028232742100954,human,UP
TM9SF3,0.0281512234359979,0.0281512234359979,0.0281512234359979,0.0281512234359979,human,UP
COX7A2,0.027563638985157,0.027563638985157,0.027563638985157,0.027563638985157,human,UP
PLS1,0.0275453571230173,0.0275453571230173,0.0275453571230173,0.0275453571230173,human,UP
MORF4L1,0.027388010174036,0.027388010174036,0.027388010174036,0.027388010174036,human,UP
LDHA,0.0273160804063081,0.0273160804063081,0.0273160804063081,0.0273160804063081,human,UP
EPCAM,0.0272248275578022,0.0272248275578022,0.0272248275578022,0.0272248275578022,human,UP
PSMA1,0.0270546730607748,0.0270546730607748,0.0270546730607748,0.0270546730607748,human,UP
LAMA3,0.0263462625443935,0.0263462625443935,0.0263462625443935,0.0263462625443935,human,UP
RNF128,0.0263445787131786,0.0263445787131786,0.0263445787131786,0.0263445787131786,human,UP
DDX5,0.0262871403247118,0.0262871403247118,0.0262871403247118,0.0262871403247118,human,UP
ARF6,0.0261706821620464,0.0261706821620464,0.0261706821620464,0.0261706821620464,human,UP
SERPINB2,0.0260809920728206,0.0260809920728206,0.0260809920728206,0.0260809920728206,human,UP
HLA-G,0.0260453503578901,0.0260453503578901,0.0260453503578901,0.0260453503578901,human,UP
HNRNPC,0.0258535407483577,0.0258535407483577,0.0258535407483577,0.0258535407483577,human,UP
RAB11FIP1,0.0258254781365394,0.0258254781365394,0.0258254781365394,0.0258254781365394,human,UP
PRMT1,0.025610951706767,0.025610951706767,0.025610951706767,0.025610951706767,human,UP
HLA-C,0.0255337245762348,0.0255337245762348,0.0255337245762348,0.0255337245762348,human,UP
RPL22,0.0255256462842226,0.0255256462842226,0.0255256462842226,0.0255256462842226,human,UP
GDI2,0.0254389401525259,0.0254389401525259,0.0254389401525259,0.0254389401525259,human,UP
HLA-A,0.0250118654221296,0.0250118654221296,0.0250118654221296,0.0250118654221296,human,UP
NFKBIA,0.0250006597489118,0.0250006597489118,0.0250006597489118,0.0250006597489118,human,UP
CMPK1,0.0247730836272239,0.0247730836272239,0.0247730836272239,0.0247730836272239,human,UP
SMS,0.0247223488986492,0.0247223488986492,0.0247223488986492,0.0247223488986492,human,UP
CORO1C,0.0246646367013454,0.0246646367013454,0.0246646367013454,0.0246646367013454,human,UP
HIF1A,0.0244206469506025,0.0244206469506025,0.0244206469506025,0.0244206469506025,human,UP
NDUFC2,0.0239096228033304,0.0239096228033304,0.0239096228033304,0.0239096228033304,human,UP
PSME1,0.0238136835396289,0.0238136835396289,0.0238136835396289,0.0238136835396289,human,UP
TSPAN13,0.023525258526206,0.023525258526206,0.023525258526206,0.023525258526206,human,UP
TNFRSF12A,0.0235220454633235,0.0235220454633235,0.0235220454633235,0.0235220454633235,human,UP
