gene_symbol,logfc_dz:285,mean_logfc,median_logfc,common_experiment,organism,signature_type
STMN2,0.1326577365398407,0.1326577365398407,0.1326577365398407,0.1326577365398407,human,UP
MFAP5,0.0801377967000007,0.0801377967000007,0.0801377967000007,0.0801377967000007,human,UP
CHRDL1,0.0751829221844673,0.0751829221844673,0.0751829221844673,0.0751829221844673,human,UP
IGFBP6,0.0659940540790557,0.0659940540790557,0.0659940540790557,0.0659940540790557,human,UP
ADD3,0.0633031204342842,0.0633031204342842,0.0633031204342842,0.0633031204342842,human,UP
SEMA3C,0.0570047348737716,0.0570047348737716,0.0570047348737716,0.0570047348737716,human,UP
TUBA1A,0.0560308173298835,0.0560308173298835,0.0560308173298835,0.0560308173298835,human,UP
MEST,0.0544959791004657,0.0544959791004657,0.0544959791004657,0.0544959791004657,human,UP
CLGN,0.0533183105289936,0.0533183105289936,0.0533183105289936,0.0533183105289936,human,UP
CLEC3B,0.0503353588283062,0.0503353588283062,0.0503353588283062,0.0503353588283062,human,UP
EEF2,0.0457695536315441,0.0457695536315441,0.0457695536315441,0.0457695536315441,human,UP
CTSB,0.0452218912541866,0.0452218912541866,0.0452218912541866,0.0452218912541866,human,UP
ARL6IP5,0.0424174480140209,0.0424174480140209,0.0424174480140209,0.0424174480140209,human,UP
TXNIP,0.0421384312212467,0.0421384312212467,0.0421384312212467,0.0421384312212467,human,UP
CAPG,0.0418576151132583,0.0418576151132583,0.0418576151132583,0.0418576151132583,human,UP
RPS4Y1,0.0410892814397811,0.0410892814397811,0.0410892814397811,0.0410892814397811,human,UP
COLEC12,0.0410553365945816,0.0410553365945816,0.0410553365945816,0.0410553365945816,human,UP
ANXA4,0.0404367744922637,0.0404367744922637,0.0404367744922637,0.0404367744922637,human,UP
HMGN2,0.0400751456618309,0.0400751456618309,0.0400751456618309,0.0400751456618309,human,UP
COL1A2,0.0395028479397296,0.0395028479397296,0.0395028479397296,0.0395028479397296,human,UP
UBE2E3,0.0386668667197227,0.0386668667197227,0.0386668667197227,0.0386668667197227,human,UP
VGLL3,0.0380681045353412,0.0380681045353412,0.0380681045353412,0.0380681045353412,human,UP
TGFBR3,0.0361980199813842,0.0361980199813842,0.0361980199813842,0.0361980199813842,human,UP
TUBB,0.0356774665415287,0.0356774665415287,0.0356774665415287,0.0356774665415287,human,UP
PLP2,0.0353085584938526,0.0353085584938526,0.0353085584938526,0.0353085584938526,human,UP
RCAN2,0.0338813364505767,0.0338813364505767,0.0338813364505767,0.0338813364505767,human,UP
ANXA5,0.0336803942918777,0.0336803942918777,0.0336803942918777,0.0336803942918777,human,UP
PPP1CC,0.0336181260645389,0.0336181260645389,0.0336181260645389,0.0336181260645389,human,UP
RPL12,0.0335468761622905,0.0335468761622905,0.0335468761622905,0.0335468761622905,human,UP
TSPAN4,0.0334954299032688,0.0334954299032688,0.0334954299032688,0.0334954299032688,human,UP
VCAN,0.033364325761795,0.033364325761795,0.033364325761795,0.033364325761795,human,UP
