gene_symbol,logfc_dz:709,logfc_dz:864,logfc_dz:865,mean_logfc,median_logfc,common_experiment,organism,signature_type
RPS4Y1,0.1450399160385131,0.1087298393249511,0.3132854104042053,0.1890183885892232,0.1450399160385131,0.1087298393249511,human,UP
MMP1,,0.1545347273349762,,0.1545347273349762,0.1545347273349762,0.1545347273349762,human,UP
SLC2A3,,,0.1346816271543502,0.1346816271543502,0.1346816271543502,,human,UP
SPARC,0.0720313712954521,0.1880114078521728,,0.1300213895738124,0.1300213895738124,0.1880114078521728,human,UP
LRRC15,,0.1275236904621124,,0.1275236904621124,0.1275236904621124,0.1275236904621124,human,UP
MXRA5,0.0495395325124263,0.1979974210262298,,0.1237684767693281,0.1237684767693281,0.1979974210262298,human,UP
CXCL12,,0.120890699326992,,0.120890699326992,0.120890699326992,0.120890699326992,human,UP
TGFBI,0.0769147500395774,0.1556129306554794,,0.1162638403475284,0.1162638403475284,0.1556129306554794,human,UP
ID1,0.04730936139822,,0.1796413362026214,0.1134753488004207,0.1134753488004207,,human,UP
DPT,0.0560194216668605,0.1635796427726745,,0.1097995322197675,0.1097995322197675,0.1635796427726745,human,UP
COL5A2,0.086016908288002,0.1327782720327377,,0.1093975901603698,0.1093975901603698,0.1327782720327377,human,UP
SERPINF1,0.1051016449928283,0.1081520840525627,,0.1066268645226955,0.1066268645226955,0.1081520840525627,human,UP
TFRC,,,0.1031915545463562,0.1031915545463562,0.1031915545463562,,human,UP
SLC2A14,,,0.0915809795260429,0.0915809795260429,0.0915809795260429,,human,UP
EFEMP1,,0.0896072909235954,,0.0896072909235954,0.0896072909235954,0.0896072909235954,human,UP
COL6A3,0.0696737244725227,0.0997339561581611,,0.0847038403153419,0.0847038403153419,0.0997339561581611,human,UP
SPP1,,,0.0833454653620719,0.0833454653620719,0.0833454653620719,,human,UP
SULF1,0.0825465321540832,,,0.0825465321540832,0.0825465321540832,,human,UP
COL1A2,0.0378273390233516,0.123528741300106,,0.0806780401617288,0.0806780401617288,0.123528741300106,human,UP
COL5A1,0.0802814662456512,0.0787511840462684,,0.0795163251459598,0.0795163251459598,0.0787511840462684,human,UP
PPIB,0.0821903795003891,0.0943200513720512,0.0588697865605354,0.0784600724776585,0.0821903795003891,0.0943200513720512,human,UP
EEF1B2,0.0840153843164444,0.0683465525507927,,0.0761809684336185,0.0761809684336185,0.0683465525507927,human,UP
MMP3,0.0555619560182094,0.0955050215125083,,0.0755334887653589,0.0755334887653589,0.0955050215125083,human,UP
NANOG,,,0.0717610344290733,0.0717610344290733,0.0717610344290733,,human,UP
LTBP2,0.0700774416327476,,,0.0700774416327476,0.0700774416327476,,human,UP
RPL4,0.0456722155213356,0.0920655727386474,,0.0688688941299915,0.0688688941299915,0.0920655727386474,human,UP
MMP2,,0.067029595375061,,0.067029595375061,0.067029595375061,0.067029595375061,human,UP
THBS2,0.0478156246244907,0.0844827964901924,,0.0661492105573415,0.0661492105573415,0.0844827964901924,human,UP
EGFL6,,0.0657504498958587,,0.0657504498958587,0.0657504498958587,0.0657504498958587,human,UP
SLC38A2,0.0516630969941616,,0.0772839114069938,0.0644735042005777,0.0644735042005777,,human,UP
TUBB2A,,0.0350821167230606,0.0905182287096977,0.0628001727163791,0.0628001727163791,0.0350821167230606,human,UP
LMNB1,,,0.0616584904491901,0.0616584904491901,0.0616584904491901,,human,UP
NREP,,0.0607194751501083,,0.0607194751501083,0.0607194751501083,0.0607194751501083,human,UP
PSAT1,0.0600492060184478,,,0.0600492060184478,0.0600492060184478,,human,UP
HSPA5,,0.0221839342266321,0.0976347550749778,0.0599093446508049,0.0599093446508049,0.0221839342266321,human,UP
RAC1,,,0.0584001243114471,0.0584001243114471,0.0584001243114471,,human,UP
SERPINH1,0.0637371912598609,0.0530042424798011,,0.058370716869831,0.058370716869831,0.0530042424798011,human,UP
CXADR,,,0.0583637356758117,0.0583637356758117,0.0583637356758117,,human,UP
DDX21,,,0.0582307614386081,0.0582307614386081,0.0582307614386081,,human,UP
KRT18,,,0.0580787844955921,0.0580787844955921,0.0580787844955921,,human,UP
PRDX6,0.0397944152355194,,0.0727320462465286,0.056263230741024,0.056263230741024,,human,UP
NUDT15,,,0.0559126958250999,0.0559126958250999,0.0559126958250999,,human,UP
ALDH1A3,0.0547778978943824,,,0.0547778978943824,0.0547778978943824,,human,UP
TUBA1C,0.0633249804377555,0.038587249815464,,0.0509561151266098,0.0509561151266098,0.038587249815464,human,UP
NNMT,0.0372927077114582,0.0644431039690971,,0.0508679058402776,0.0508679058402776,0.0644431039690971,human,UP
YTHDF2,,,0.0507268719375133,0.0507268719375133,0.0507268719375133,,human,UP
PDIA3,,,0.0504071228206157,0.0504071228206157,0.0504071228206157,,human,UP
CRISPLD2,,0.0498872958123683,,0.0498872958123683,0.0498872958123683,0.0498872958123683,human,UP
EEF1G,0.0360624976456165,0.0620058216154575,,0.049034159630537,0.049034159630537,0.0620058216154575,human,UP
RPL37,,0.0487477369606494,,0.0487477369606494,0.0487477369606494,0.0487477369606494,human,UP
COL15A1,0.073714293539524,0.0217917431145906,,0.0477530183270573,0.0477530183270573,0.0217917431145906,human,UP
RPS16,,0.0474165454506874,,0.0474165454506874,0.0474165454506874,0.0474165454506874,human,UP
COL11A1,0.012715496122837,0.0784921497106552,,0.0456038229167461,0.0456038229167461,0.0784921497106552,human,UP
SLC39A14,,0.0613684691488742,0.029532428830862,0.0454504489898681,0.0454504489898681,0.0613684691488742,human,UP
VDAC2,,,0.043881319463253,0.043881319463253,0.043881319463253,,human,UP
NTS,,,0.0437395349144935,0.0437395349144935,0.0437395349144935,,human,UP
SSR2,,0.0436858907341957,,0.0436858907341957,0.0436858907341957,0.0436858907341957,human,UP
XPOT,0.0435827821493148,,,0.0435827821493148,0.0435827821493148,,human,UP
FKBP11,,0.0435391068458557,,0.0435391068458557,0.0435391068458557,0.0435391068458557,human,UP
ITM2B,,,0.0434959307312965,0.0434959307312965,0.0434959307312965,,human,UP
ANP32B,0.0433401577174663,,,0.0433401577174663,0.0433401577174663,,human,UP
ID3,0.0335767641663551,0.0249540172517299,0.0708230659365654,0.0431179491182168,0.0335767641663551,0.0249540172517299,human,UP
RPL8,0.0353384539484977,0.0423935651779174,0.0497564226388931,0.0424961472551027,0.0423935651779174,0.0423935651779174,human,UP
RPS11,0.0417265519499778,,,0.0417265519499778,0.0417265519499778,,human,UP
RPLP0,0.047704380005598,0.0233144760131835,0.053523663431406,0.0415141731500625,0.047704380005598,0.0233144760131835,human,UP
PSMB6,,,0.041391160339117,0.041391160339117,0.041391160339117,,human,UP
IER2,,-0.0118662165477871,0.0941344499588012,0.041134116705507,0.041134116705507,-0.0118662165477871,human,UP
FAP,0.0554707758128643,0.0260721836239099,,0.0407714797183871,0.0407714797183871,0.0260721836239099,human,UP
NDUFAB1,,,0.0407706834375858,0.0407706834375858,0.0407706834375858,,human,UP
COX5A,,,0.040541473776102,0.040541473776102,0.040541473776102,,human,UP
RPL3,0.0511142425239086,0.0295261442661285,,0.0403201933950185,0.0403201933950185,0.0295261442661285,human,UP
TUBA1A,0.0614112876355648,0.0187188610434532,,0.040065074339509,0.040065074339509,0.0187188610434532,human,UP
SLC38A1,,,0.0396250821650028,0.0396250821650028,0.0396250821650028,,human,UP
PRDX4,,,0.0393747724592685,0.0393747724592685,0.0393747724592685,,human,UP
TMED3,,0.0387939810752868,,0.0387939810752868,0.0387939810752868,0.0387939810752868,human,UP
TRMT112,,,0.0386857204139232,0.0386857204139232,0.0386857204139232,,human,UP
SGK1,0.0385916121304035,,,0.0385916121304035,0.0385916121304035,,human,UP
AEBP1,0.0496262609958648,0.0274997428059577,,0.0385630019009113,0.0385630019009113,0.0274997428059577,human,UP
FSTL1,0.0272702742367982,0.0717139616608619,0.0160402450710535,0.0383414936562379,0.0272702742367982,0.0717139616608619,human,UP
RRS1,,,0.0382915697991848,0.0382915697991848,0.0382915697991848,,human,UP
ENAH,,0.0381098017096519,,0.0381098017096519,0.0381098017096519,0.0381098017096519,human,UP
COPZ2,,0.0378580503165721,,0.0378580503165721,0.0378580503165721,0.0378580503165721,human,UP
MFAP2,,0.0377175919711589,,0.0377175919711589,0.0377175919711589,0.0377175919711589,human,UP
RPL12,0.0602712742984294,,0.0149049283936619,0.0375881013460457,0.0375881013460457,,human,UP
AKIRIN1,,,0.0370480306446552,0.0370480306446552,0.0370480306446552,,human,UP
