gene_symbol,logfc_dz:415,mean_logfc,median_logfc,common_experiment,organism,signature_type
SFRP4,0.6413322687149048,0.6413322687149048,0.6413322687149048,0.6413322687149048,human,UP
STC1,0.1263913363218307,0.1263913363218307,0.1263913363218307,0.1263913363218307,human,UP
MEF2C,0.1006785258650779,0.1006785258650779,0.1006785258650779,0.1006785258650779,human,UP
HSPA4L,0.0993637293577194,0.0993637293577194,0.0993637293577194,0.0993637293577194,human,UP
RARRES2,0.0978527441620826,0.0978527441620826,0.0978527441620826,0.0978527441620826,human,UP
NRXN3,0.0945476219058036,0.0945476219058036,0.0945476219058036,0.0945476219058036,human,UP
HEG1,0.0940164923667907,0.0940164923667907,0.0940164923667907,0.0940164923667907,human,UP
TOM1L2,0.0917600914835929,0.0917600914835929,0.0917600914835929,0.0917600914835929,human,UP
PAMR1,0.0907168537378311,0.0907168537378311,0.0907168537378311,0.0907168537378311,human,UP
FMOD,0.0902002155780792,0.0902002155780792,0.0902002155780792,0.0902002155780792,human,UP
COL3A1,0.0883271023631095,0.0883271023631095,0.0883271023631095,0.0883271023631095,human,UP
SPOCK1,0.0882078111171722,0.0882078111171722,0.0882078111171722,0.0882078111171722,human,UP
GRAMD1B,0.0859781950712204,0.0859781950712204,0.0859781950712204,0.0859781950712204,human,UP
SOD2,0.0833665505051612,0.0833665505051612,0.0833665505051612,0.0833665505051612,human,UP
CDH13,0.076808825135231,0.076808825135231,0.076808825135231,0.076808825135231,human,UP
SLC23A2,0.0748989209532737,0.0748989209532737,0.0748989209532737,0.0748989209532737,human,UP
BST2,0.0728087052702903,0.0728087052702903,0.0728087052702903,0.0728087052702903,human,UP
NRP2,0.0675522238016128,0.0675522238016128,0.0675522238016128,0.0675522238016128,human,UP
SPARC,0.0646273717284202,0.0646273717284202,0.0646273717284202,0.0646273717284202,human,UP
ITGB8,0.059672150760889,0.059672150760889,0.059672150760889,0.059672150760889,human,UP
LRRC17,0.0590968802571296,0.0590968802571296,0.0590968802571296,0.0590968802571296,human,UP
CPZ,0.0580597631633281,0.0580597631633281,0.0580597631633281,0.0580597631633281,human,UP
CD200,0.0547835938632488,0.0547835938632488,0.0547835938632488,0.0547835938632488,human,UP
ISLR,0.0536089800298213,0.0536089800298213,0.0536089800298213,0.0536089800298213,human,UP
SFTPC,0.0529201216995716,0.0529201216995716,0.0529201216995716,0.0529201216995716,human,UP
LRRC32,0.0524940714240074,0.0524940714240074,0.0524940714240074,0.0524940714240074,human,UP
MSC,0.0503418743610382,0.0503418743610382,0.0503418743610382,0.0503418743610382,human,UP
PLOD2,0.0499725565314292,0.0499725565314292,0.0499725565314292,0.0499725565314292,human,UP
FILIP1L,0.0488057397305965,0.0488057397305965,0.0488057397305965,0.0488057397305965,human,UP
KLHL2,0.0486097000539302,0.0486097000539302,0.0486097000539302,0.0486097000539302,human,UP
SCRG1,0.0467313565313816,0.0467313565313816,0.0467313565313816,0.0467313565313816,human,UP
FAP,0.0462108887732028,0.0462108887732028,0.0462108887732028,0.0462108887732028,human,UP
WSB1,0.0460150502622127,0.0460150502622127,0.0460150502622127,0.0460150502622127,human,UP
COL8A1,0.0459207668900489,0.0459207668900489,0.0459207668900489,0.0459207668900489,human,UP
SLC15A2,0.0439893566071987,0.0439893566071987,0.0439893566071987,0.0439893566071987,human,UP
GOLGA8B,0.0436999984085559,0.0436999984085559,0.0436999984085559,0.0436999984085559,human,UP
MYOT,0.0432280115783214,0.0432280115783214,0.0432280115783214,0.0432280115783214,human,UP
TNIK,0.0427231118083,0.0427231118083,0.0427231118083,0.0427231118083,human,UP
SLC1A1,0.0422589816153049,0.0422589816153049,0.0422589816153049,0.0422589816153049,human,UP
LONP2,0.0415415093302726,0.0415415093302726,0.0415415093302726,0.0415415093302726,human,UP
COLGALT2,0.0414109267294406,0.0414109267294406,0.0414109267294406,0.0414109267294406,human,UP
DPYSL4,0.0405756458640098,0.0405756458640098,0.0405756458640098,0.0405756458640098,human,UP
GOLGA8A,0.04008749127388,0.04008749127388,0.04008749127388,0.04008749127388,human,UP
DHRS3,0.0397949740290641,0.0397949740290641,0.0397949740290641,0.0397949740290641,human,UP
ADAMTS12,0.0395136438310146,0.0395136438310146,0.0395136438310146,0.0395136438310146,human,UP
TFPI2,0.0361073538661003,0.0361073538661003,0.0361073538661003,0.0361073538661003,human,UP
MAPK10,0.0360673554241657,0.0360673554241657,0.0360673554241657,0.0360673554241657,human,UP
PDGFD,0.0360244214534759,0.0360244214534759,0.0360244214534759,0.0360244214534759,human,UP
ANKRD26,0.034903347492218,0.034903347492218,0.034903347492218,0.034903347492218,human,UP
