gene_symbol,logfc_dz:322,logfc_dz:414,mean_logfc,median_logfc,common_experiment,organism,signature_type
TMSB4X,0.1348853558301925,,0.1348853558301925,0.1348853558301925,0.1348853558301925,human,UP
CCL4,,0.1292630434036255,0.1292630434036255,0.1292630434036255,,human,UP
RPS11,0.1275960654020309,,0.1275960654020309,0.1275960654020309,0.1275960654020309,human,UP
CYP1B1,,0.1271999031305313,0.1271999031305313,0.1271999031305313,,human,UP
RPS9,0.1269653439521789,,0.1269653439521789,0.1269653439521789,0.1269653439521789,human,UP
IFI30,0.1348933279514312,0.1188251227140426,0.1268592253327369,0.1268592253327369,0.1348933279514312,human,UP
DCAF6,,0.1234857067465782,0.1234857067465782,0.1234857067465782,,human,UP
TUBA1C,,0.1218323931097984,0.1218323931097984,0.1218323931097984,,human,UP
CD63,,0.1061101406812667,0.1061101406812667,0.1061101406812667,,human,UP
OAZ1,0.1198866814374923,0.0827933326363563,0.1013400070369243,0.1013400070369243,0.1198866814374923,human,UP
INSIG1,,0.0926998108625412,0.0926998108625412,0.0926998108625412,,human,UP
ARPC1B,,0.0876266881823539,0.0876266881823539,0.0876266881823539,,human,UP
LCP1,,0.0875024870038032,0.0875024870038032,0.0875024870038032,,human,UP
SAT1,,0.0845113769173622,0.0845113769173622,0.0845113769173622,,human,UP
PF4,0.0782288908958435,,0.0782288908958435,0.0782288908958435,0.0782288908958435,human,UP
FTL,0.0846701338887214,0.0706185102462768,0.0776443220674991,0.0776443220674991,0.0846701338887214,human,UP
PLEK,-0.0097639840096235,0.1637036055326461,0.0769698107615113,0.0769698107615113,-0.0097639840096235,human,UP
DYNLL1,,0.0752269551157951,0.0752269551157951,0.0752269551157951,,human,UP
ATP1B1,,0.0747763961553573,0.0747763961553573,0.0747763961553573,,human,UP
HLA-DQA2,,0.0741593763232231,0.0741593763232231,0.0741593763232231,,human,UP
ACTB,0.0856718271970748,0.0619472227990627,0.0738095249980688,0.0738095249980688,0.0856718271970748,human,UP
CLU,0.0724415481090545,,0.0724415481090545,0.0724415481090545,0.0724415481090545,human,UP
HLA-C,0.1210691854357719,0.0237950887531042,0.072432137094438,0.072432137094438,0.1210691854357719,human,UP
MYH9,0.0722260773181915,,0.0722260773181915,0.0722260773181915,0.0722260773181915,human,UP
ID2,,0.0720582976937294,0.0720582976937294,0.0720582976937294,,human,UP
GPR183,,0.0718916356563568,0.0718916356563568,0.0718916356563568,,human,UP
GAPDH,0.0684937909245491,0.0748721361160278,0.0716829635202884,0.0716829635202884,0.0684937909245491,human,UP
PSTPIP2,,0.0698018744587898,0.0698018744587898,0.0698018744587898,,human,UP
TNF,,0.0693045556545257,0.0693045556545257,0.0693045556545257,,human,UP
EMP3,,0.0690174773335456,0.0690174773335456,0.0690174773335456,,human,UP
TUBA1A,,0.0681098625063896,0.0681098625063896,0.0681098625063896,,human,UP
NFKBIA,0.0304448008537292,0.1050432622432708,0.0677440315485,0.0677440315485,0.0304448008537292,human,UP
NRGN,0.0677301809191703,,0.0677301809191703,0.0677301809191703,0.0677301809191703,human,UP
RPS2,0.0675751268863678,,0.0675751268863678,0.0675751268863678,0.0675751268863678,human,UP
FGL2,,0.0667926669120788,0.0667926669120788,0.0667926669120788,,human,UP
CREG1,,0.0654408782720565,0.0654408782720565,0.0654408782720565,,human,UP
PPBP,0.064189963042736,,0.064189963042736,0.064189963042736,0.064189963042736,human,UP
LTA4H,0.0618989057838916,,0.0618989057838916,0.0618989057838916,0.0618989057838916,human,UP
PABPC3,,0.0616714507341384,0.0616714507341384,0.0616714507341384,,human,UP
CFL1,0.010826826095581,0.1056474298238754,0.0582371279597282,0.0582371279597282,0.010826826095581,human,UP
VIM,0.0949478521943092,0.0211284756660461,0.0580381639301776,0.0580381639301776,0.0949478521943092,human,UP
RPL24,0.0335794985294342,0.0815560221672058,0.05756776034832,0.05756776034832,0.0335794985294342,human,UP
SLC2A14,,0.0572781823575496,0.0572781823575496,0.0572781823575496,,human,UP
TLN1,0.0569454692304134,,0.0569454692304134,0.0569454692304134,0.0569454692304134,human,UP
RPS16,0.0568540506064891,,0.0568540506064891,0.0568540506064891,0.0568540506064891,human,UP
CDC42,0.0563883036375045,,0.0563883036375045,0.0563883036375045,0.0563883036375045,human,UP
CKLF,,0.0559214130043983,0.0559214130043983,0.0559214130043983,,human,UP
RPS8,0.055799476802349,,0.055799476802349,0.055799476802349,0.055799476802349,human,UP
CYTIP,,0.0550168640911579,0.0550168640911579,0.0550168640911579,,human,UP
CD1B,,0.0546397380530834,0.0546397380530834,0.0546397380530834,,human,UP
EEF2,0.043511152267456,0.0642384514212608,0.0538748018443584,0.0538748018443584,0.043511152267456,human,UP
HLA-B,,0.0535075105726718,0.0535075105726718,0.0535075105726718,,human,UP
RPS5,0.0753191709518432,0.0309816654771566,0.0531504182144999,0.0531504182144999,0.0753191709518432,human,UP
TUBB,,0.0527863726019859,0.0527863726019859,0.0527863726019859,,human,UP
LGALS1,0.0662295892834663,0.0388358496129512,0.0525327194482088,0.0525327194482088,0.0662295892834663,human,UP
IER3,,0.0524375401437282,0.0524375401437282,0.0524375401437282,,human,UP
HSPH1,,0.0506033487617969,0.0506033487617969,0.0506033487617969,,human,UP
PKM,,0.0505605526268482,0.0505605526268482,0.0505605526268482,,human,UP
IL10RA,,0.0504958443343639,0.0504958443343639,0.0504958443343639,,human,UP
CYBB,0.0500973090529441,,0.0500973090529441,0.0500973090529441,0.0500973090529441,human,UP
RPL3,0.0781511291861534,0.0219449568539857,0.0500480430200696,0.0500480430200696,0.0781511291861534,human,UP
TKT,0.0500040501356124,,0.0500040501356124,0.0500040501356124,0.0500040501356124,human,UP
FPR3,,0.0498648881912231,0.0498648881912231,0.0498648881912231,,human,UP
RAB8A,,0.0495744012296199,0.0495744012296199,0.0495744012296199,,human,UP
NCF2,,0.0494480915367603,0.0494480915367603,0.0494480915367603,,human,UP
GNG5,,0.0481069535017013,0.0481069535017013,0.0481069535017013,,human,UP
FCN1,0.0477883480489254,,0.0477883480489254,0.0477883480489254,0.0477883480489254,human,UP
SYN1,0.0474037006497383,,0.0474037006497383,0.0474037006497383,0.0474037006497383,human,UP
GPX1,0.0519999228417873,0.0421358421444892,0.0470678824931383,0.0470678824931383,0.0519999228417873,human,UP
HSPA1A,,0.046888280659914,0.046888280659914,0.046888280659914,,human,UP
TUBB4B,,0.0461564622819423,0.0461564622819423,0.0461564622819423,,human,UP
GADD45A,,0.0455941967666149,0.0455941967666149,0.0455941967666149,,human,UP
PSAP,0.0760426223278045,0.0145807331427931,0.0453116777352988,0.0453116777352988,0.0760426223278045,human,UP
AHNAK,0.0452269166707992,,0.0452269166707992,0.0452269166707992,0.0452269166707992,human,UP
