gene_symbol,logfc_dz:323,logfc_dz:678,logfc_dz:198,logfc_dz:115,mean_logfc,median_logfc,common_experiment,organism,signature_type
NPPA,,0.030255950987339,0.5034863352775574,,0.2668711431324482,0.2668711431324482,,human,UP
MB,0.3557915985584259,0.0443382412195205,,,0.2000649198889732,0.2000649198889732,,human,UP
ANKRD1,,0.2931221723556518,0.0560232028365135,,0.1745726875960827,0.1745726875960827,,human,UP
HSPB1,,0.2164739221334457,0.1060094758868217,,0.1612416990101337,0.1612416990101337,,human,UP
NPPB,0.0367444977164268,0.0741138383746147,0.3566862046718597,0.1626177579164505,0.1575405746698379,0.1183657981455326,0.1626177579164505,human,UP
TXNIP,0.0548395179212093,0.264960378408432,0.0260431412607431,,0.1152810125301281,0.0548395179212093,,human,UP
TNNC2,0.106232926249504,,,,0.106232926249504,0.106232926249504,,human,UP
RPL32,,,0.1018199026584625,,0.1018199026584625,0.1018199026584625,,human,UP
TNNI3,0.2094092816114425,0.0500665158033371,0.0294979847967624,,0.096324594070514,0.0500665158033371,,human,UP
HSPB8,0.1389374434947967,0.0489349998533725,,,0.0939362216740846,0.0939362216740846,,human,UP
MYOZ2,0.1307703256607055,0.0463571511209011,,,0.0885637383908033,0.0885637383908033,,human,UP
UBC,,0.1436309516429901,0.0306245367974042,,0.0871277442201972,0.0871277442201972,,human,UP
HSPA8,0.0130511121824383,0.2084234207868576,0.0364736691117286,,0.0859827340270082,0.0364736691117286,,human,UP
APOLD1,,,,0.0822623893618583,0.0822623893618583,0.0822623893618583,0.0822623893618583,human,UP
GJA1,0.0781957507133483,,,,0.0781957507133483,0.0781957507133483,,human,UP
PSPH,,,,0.0763154998421669,0.0763154998421669,0.0763154998421669,0.0763154998421669,human,UP
RPL41,,,0.075657233595848,,0.075657233595848,0.075657233595848,,human,UP
NEXN,,0.0723615363240242,,,0.0723615363240242,0.0723615363240242,,human,UP
RPL23A,,,0.0711490735411644,,0.0711490735411644,0.0711490735411644,,human,UP
MXRA7,,,0.069043681025505,,0.069043681025505,0.069043681025505,,human,UP
TTC12,0.0682311207056045,,,,0.0682311207056045,0.0682311207056045,,human,UP
HSP90B1,,0.0666243135929107,,,0.0666243135929107,0.0666243135929107,,human,UP
RPS11,,,0.0654376819729805,,0.0654376819729805,0.0654376819729805,,human,UP
TBL3,,,,0.0647878497838974,0.0647878497838974,0.0647878497838974,0.0647878497838974,human,UP
MYL2,0.2121689766645431,0.0354691706597805,-0.0564705021679401,,0.0637225483854611,0.0354691706597805,,human,UP
CRYM,0.0933775827288627,,,0.0337913893163204,0.0635844860225915,0.0635844860225915,0.0337913893163204,human,UP
FABP4,0.1249573677778244,0.0478100255131721,0.0177353825420141,,0.0635009252776702,0.0478100255131721,,human,UP
MYL9,,,0.0631819441914558,,0.0631819441914558,0.0631819441914558,,human,UP
PDLIM3,0.0604755952954292,0.0612277798354625,,,0.0608516875654459,0.0608516875654459,,human,UP
FUT1,,,,0.0598925799131393,0.0598925799131393,0.0598925799131393,0.0598925799131393,human,UP
RPS10,,,0.0596782714128494,,0.0596782714128494,0.0596782714128494,,human,UP
ALDOA,,,0.0594170242547988,,0.0594170242547988,0.0594170242547988,,human,UP
LPL,0.0383380055427551,0.0981975570321083,0.0732413530349731,0.0267712213099002,0.0591370342299342,0.0557896792888641,0.0267712213099002,human,UP
MLYCD,0.1104089021682739,0.0167540740221738,0.0430013015866279,,0.0567214259256919,0.0430013015866279,,human,UP
UBB,0.0161980427801609,0.0969816446304321,,,0.0565898437052965,0.0565898437052965,,human,UP
CENPA,,,,0.0558370165526866,0.0558370165526866,0.0558370165526866,0.0558370165526866,human,UP
ASAH1,0.1332510411739349,-0.0218202527612447,,,0.055715394206345,0.055715394206345,,human,UP
INHBB,,,,0.0555942766368389,0.0555942766368389,0.0555942766368389,0.0555942766368389,human,UP
EEF1G,,0.031578566879034,0.0786083787679672,,0.0550934728235006,0.0550934728235006,,human,UP
MYL12B,,0.051904197782278,0.052987590432167,,0.0524458941072225,0.0524458941072225,,human,UP
MAOA,0.0522998906672,,,,0.0522998906672,0.0522998906672,,human,UP
CTNNA3,0.0521679520606994,,,,0.0521679520606994,0.0521679520606994,,human,UP
S100A10,,0.0502698235213756,,,0.0502698235213756,0.0502698235213756,,human,UP
SFRP4,,,,0.0495721101760864,0.0495721101760864,0.0495721101760864,0.0495721101760864,human,UP
PDK4,0.0138979880139231,0.0969289988279342,0.0361163057386875,,0.0489810975268483,0.0361163057386875,,human,UP
CH25H,,,,0.0483711026608943,0.0483711026608943,0.0483711026608943,0.0483711026608943,human,UP
NPR3,,,,0.047398917376995,0.047398917376995,0.047398917376995,0.047398917376995,human,UP
EEF1A1,,,0.0640961676836013,0.0301576945930719,0.0471269311383366,0.0471269311383366,0.0301576945930719,human,UP
FSTL1,,,0.046757660806179,,0.046757660806179,0.046757660806179,,human,UP
