gene_symbol,logfc_dz:689,mean_logfc,median_logfc,common_experiment,organism,signature_type
S100A7,0.2656121850013733,0.2656121850013733,0.2656121850013733,0.2656121850013733,human,UP
KRT16,0.1959593296051025,0.1959593296051025,0.1959593296051025,0.1959593296051025,human,UP
SPRR1A,0.1844737976789474,0.1844737976789474,0.1844737976789474,0.1844737976789474,human,UP
KRT6B,0.1772764772176742,0.1772764772176742,0.1772764772176742,0.1772764772176742,human,UP
S100A9,0.1463032215833664,0.1463032215833664,0.1463032215833664,0.1463032215833664,human,UP
FABP5,0.1424453258514404,0.1424453258514404,0.1424453258514404,0.1424453258514404,human,UP
RPS4Y1,0.1414480507373809,0.1414480507373809,0.1414480507373809,0.1414480507373809,human,UP
SPRR2B,0.1384773850440979,0.1384773850440979,0.1384773850440979,0.1384773850440979,human,UP
SPRR1B,0.1332550197839737,0.1332550197839737,0.1332550197839737,0.1332550197839737,human,UP
PI3,0.1308096349239349,0.1308096349239349,0.1308096349239349,0.1308096349239349,human,UP
HLA-B,0.1096887364983558,0.1096887364983558,0.1096887364983558,0.1096887364983558,human,UP
CSTA,0.0996030867099762,0.0996030867099762,0.0996030867099762,0.0996030867099762,human,UP
IFI27,0.0962798297405242,0.0962798297405242,0.0962798297405242,0.0962798297405242,human,UP
HLA-A,0.0764407888054847,0.0764407888054847,0.0764407888054847,0.0764407888054847,human,UP
DEFB4A,0.0671257823705673,0.0671257823705673,0.0671257823705673,0.0671257823705673,human,UP
ISG15,0.0643123164772987,0.0643123164772987,0.0643123164772987,0.0643123164772987,human,UP
KRT17,0.0586825609207153,0.0586825609207153,0.0586825609207153,0.0586825609207153,human,UP
B2M,0.0585415698587894,0.0585415698587894,0.0585415698587894,0.0585415698587894,human,UP
SERPINB3,0.0565040409564971,0.0565040409564971,0.0565040409564971,0.0565040409564971,human,UP
LAP3,0.0540981702506542,0.0540981702506542,0.0540981702506542,0.0540981702506542,human,UP
S100A8,0.0522551201283931,0.0522551201283931,0.0522551201283931,0.0522551201283931,human,UP
IFITM3,0.0502914041280746,0.0502914041280746,0.0502914041280746,0.0502914041280746,human,UP
HLA-C,0.0497602298855781,0.0497602298855781,0.0497602298855781,0.0497602298855781,human,UP
S100A2,0.0464430823922157,0.0464430823922157,0.0464430823922157,0.0464430823922157,human,UP
HSPA8,0.0464050881564617,0.0464050881564617,0.0464050881564617,0.0464050881564617,human,UP
TMSB10,0.0459207445383071,0.0459207445383071,0.0459207445383071,0.0459207445383071,human,UP
MX1,0.0431158132851123,0.0431158132851123,0.0431158132851123,0.0431158132851123,human,UP
ARG1,0.0425830222666263,0.0425830222666263,0.0425830222666263,0.0425830222666263,human,UP
IFI16,0.0425589755177497,0.0425589755177497,0.0425589755177497,0.0425589755177497,human,UP
PLA2G2A,0.0420547686517238,0.0420547686517238,0.0420547686517238,0.0420547686517238,human,UP
HLA-DRA,0.0387369394302368,0.0387369394302368,0.0387369394302368,0.0387369394302368,human,UP
IFITM1,0.0385478474199771,0.0385478474199771,0.0385478474199771,0.0385478474199771,human,UP
PSME2,0.0365590751171112,0.0365590751171112,0.0365590751171112,0.0365590751171112,human,UP
IER2,0.0362462066113948,0.0362462066113948,0.0362462066113948,0.0362462066113948,human,UP
