gene_symbol,logfc_dz:755,mean_logfc,median_logfc,common_experiment,organism,signature_type
COL1A1,0.1683356165885925,0.1683356165885925,0.1683356165885925,0.1683356165885925,human,UP
CLU,0.1595102101564407,0.1595102101564407,0.1595102101564407,0.1595102101564407,human,UP
COL1A2,0.1326830089092254,0.1326830089092254,0.1326830089092254,0.1326830089092254,human,UP
SPP1,0.1240068823099136,0.1240068823099136,0.1240068823099136,0.1240068823099136,human,UP
S100A10,0.1231826916337013,0.1231826916337013,0.1231826916337013,0.1231826916337013,human,UP
TMSB4X,0.0875275805592536,0.0875275805592536,0.0875275805592536,0.0875275805592536,human,UP
FN1,0.0783999934792518,0.0783999934792518,0.0783999934792518,0.0783999934792518,human,UP
ITM2B,0.0783074274659156,0.0783074274659156,0.0783074274659156,0.0783074274659156,human,UP
RPS18,0.0774353370070457,0.0774353370070457,0.0774353370070457,0.0774353370070457,human,UP
MYL6,0.0748254284262657,0.0748254284262657,0.0748254284262657,0.0748254284262657,human,UP
RPS11,0.0737567543983459,0.0737567543983459,0.0737567543983459,0.0737567543983459,human,UP
APP,0.073154903948307,0.073154903948307,0.073154903948307,0.073154903948307,human,UP
TPT1,0.0713732168078422,0.0713732168078422,0.0713732168078422,0.0713732168078422,human,UP
SNHG3,0.0692924931645393,0.0692924931645393,0.0692924931645393,0.0692924931645393,human,UP
C3,0.0640163421630859,0.0640163421630859,0.0640163421630859,0.0640163421630859,human,UP
COL3A1,0.0608859322965145,0.0608859322965145,0.0608859322965145,0.0608859322965145,human,UP
MMP7,0.059823740273714,0.059823740273714,0.059823740273714,0.059823740273714,human,UP
RPL11,0.0593693703413009,0.0593693703413009,0.0593693703413009,0.0593693703413009,human,UP
KRT7,0.0592563822865486,0.0592563822865486,0.0592563822865486,0.0592563822865486,human,UP
COL6A3,0.0558697246015071,0.0558697246015071,0.0558697246015071,0.0558697246015071,human,UP
ID4,0.0553959719836711,0.0553959719836711,0.0553959719836711,0.0553959719836711,human,UP
ZFP36L1,0.0542308911681175,0.0542308911681175,0.0542308911681175,0.0542308911681175,human,UP
FOLH1,0.0500361770391464,0.0500361770391464,0.0500361770391464,0.0500361770391464,human,UP
ACTG1,0.0486331284046173,0.0486331284046173,0.0486331284046173,0.0486331284046173,human,UP
HSPB1,0.0483953431248664,0.0483953431248664,0.0483953431248664,0.0483953431248664,human,UP
SYNE2,0.0461203902959823,0.0461203902959823,0.0461203902959823,0.0461203902959823,human,UP
VIM,0.0454666726291179,0.0454666726291179,0.0454666726291179,0.0454666726291179,human,UP
PARP4,0.0447975844144821,0.0447975844144821,0.0447975844144821,0.0447975844144821,human,UP
IGFBP5,0.0446265302598476,0.0446265302598476,0.0446265302598476,0.0446265302598476,human,UP
ELF1,0.0445659346878528,0.0445659346878528,0.0445659346878528,0.0445659346878528,human,UP
LGALS1,0.043928574770689,0.043928574770689,0.043928574770689,0.043928574770689,human,UP
UBC,0.0439234264194965,0.0439234264194965,0.0439234264194965,0.0439234264194965,human,UP
N4BP2L2,0.0435176044702529,0.0435176044702529,0.0435176044702529,0.0435176044702529,human,UP
ARGLU1,0.0433923229575157,0.0433923229575157,0.0433923229575157,0.0433923229575157,human,UP
S100A4,0.0420680567622184,0.0420680567622184,0.0420680567622184,0.0420680567622184,human,UP
ANXA2,0.0419955812394619,0.0419955812394619,0.0419955812394619,0.0419955812394619,human,UP
MORF4L1,0.0419563204050064,0.0419563204050064,0.0419563204050064,0.0419563204050064,human,UP
S100A11,0.0405175350606441,0.0405175350606441,0.0405175350606441,0.0405175350606441,human,UP
RPS27,0.0401663221418857,0.0401663221418857,0.0401663221418857,0.0401663221418857,human,UP
S100A6,0.0400058142840862,0.0400058142840862,0.0400058142840862,0.0400058142840862,human,UP
TMSB10,0.0387365072965621,0.0387365072965621,0.0387365072965621,0.0387365072965621,human,UP
RPL15,0.0377076603472232,0.0377076603472232,0.0377076603472232,0.0377076603472232,human,UP
TM4SF1,0.0375557206571102,0.0375557206571102,0.0375557206571102,0.0375557206571102,human,UP
RPS4X,0.036566823720932,0.036566823720932,0.036566823720932,0.036566823720932,human,UP
C1S,0.0364419408142566,0.0364419408142566,0.0364419408142566,0.0364419408142566,human,UP
