gene_symbol,logfc_dz:608,mean_logfc,median_logfc,common_experiment,organism,signature_type
TFF1,0.1170014962553978,0.1170014962553978,0.1170014962553978,0.1170014962553978,human,UP
CTSE,0.1133123412728309,0.1133123412728309,0.1133123412728309,0.1133123412728309,human,UP
S100P,0.1058197990059852,0.1058197990059852,0.1058197990059852,0.1058197990059852,human,UP
TSPAN8,0.1023418307304382,0.1023418307304382,0.1023418307304382,0.1023418307304382,human,UP
TFF2,0.0890470072627067,0.0890470072627067,0.0890470072627067,0.0890470072627067,human,UP
ANXA10,0.0768773183226585,0.0768773183226585,0.0768773183226585,0.0768773183226585,human,UP
PGC,0.06967144459486,0.06967144459486,0.06967144459486,0.06967144459486,human,UP
MLPH,0.0695147812366485,0.0695147812366485,0.0695147812366485,0.0695147812366485,human,UP
ATP1B1,0.0688619613647461,0.0688619613647461,0.0688619613647461,0.0688619613647461,human,UP
SPINK4,0.0613045580685138,0.0613045580685138,0.0613045580685138,0.0613045580685138,human,UP
IER3,0.060909267514944,0.060909267514944,0.060909267514944,0.060909267514944,human,UP
GKN1,0.0601781420409679,0.0601781420409679,0.0601781420409679,0.0601781420409679,human,UP
AGR2,0.059743508696556,0.059743508696556,0.059743508696556,0.059743508696556,human,UP
TSPAN13,0.0419841185212135,0.0419841185212135,0.0419841185212135,0.0419841185212135,human,UP
HLA-A,0.0417973697185516,0.0417973697185516,0.0417973697185516,0.0417973697185516,human,UP
CA2,0.0384906120598316,0.0384906120598316,0.0384906120598316,0.0384906120598316,human,UP
LGALS4,0.0371832400560379,0.0371832400560379,0.0371832400560379,0.0371832400560379,human,UP
LEFTY1,0.0363832227885723,0.0363832227885723,0.0363832227885723,0.0363832227885723,human,UP
PRR4,0.0335608422756195,0.0335608422756195,0.0335608422756195,0.0335608422756195,human,UP
AKR1C3,0.033058013767004,0.033058013767004,0.033058013767004,0.033058013767004,human,UP
TFF3,0.0326386205852031,0.0326386205852031,0.0326386205852031,0.0326386205852031,human,UP
AKR1B10,0.0289353784173727,0.0289353784173727,0.0289353784173727,0.0289353784173727,human,UP
MSMB,0.0289351157844066,0.0289351157844066,0.0289351157844066,0.0289351157844066,human,UP
JTB,0.0282357074320316,0.0282357074320316,0.0282357074320316,0.0282357074320316,human,UP
HSP90AA1,0.0281983576714992,0.0281983576714992,0.0281983576714992,0.0281983576714992,human,UP
RAB13,0.0279032606631517,0.0279032606631517,0.0279032606631517,0.0279032606631517,human,UP
DCAF6,0.0269900634884834,0.0269900634884834,0.0269900634884834,0.0269900634884834,human,UP
PLA2G10,0.0266906283795833,0.0266906283795833,0.0266906283795833,0.0266906283795833,human,UP
FCGBP,0.0262010470032691,0.0262010470032691,0.0262010470032691,0.0262010470032691,human,UP
MMP1,0.0260739028453826,0.0260739028453826,0.0260739028453826,0.0260739028453826,human,UP
SULT1C2,0.0258628670126199,0.0258628670126199,0.0258628670126199,0.0258628670126199,human,UP
SAT1,0.0258115287870168,0.0258115287870168,0.0258115287870168,0.0258115287870168,human,UP
UFC1,0.0245157685130834,0.0245157685130834,0.0245157685130834,0.0245157685130834,human,UP
CD55,0.0234669130295515,0.0234669130295515,0.0234669130295515,0.0234669130295515,human,UP
RPS20,0.0228929035365581,0.0228929035365581,0.0228929035365581,0.0228929035365581,human,UP
CEACAM6,0.0227554142475128,0.0227554142475128,0.0227554142475128,0.0227554142475128,human,UP
NQO1,0.0226958002895116,0.0226958002895116,0.0226958002895116,0.0226958002895116,human,UP
SLC35A1,0.0222619082778692,0.0222619082778692,0.0222619082778692,0.0222619082778692,human,UP
PLAC8,0.0215877275913953,0.0215877275913953,0.0215877275913953,0.0215877275913953,human,UP
OAT,0.0215610284358263,0.0215610284358263,0.0215610284358263,0.0215610284358263,human,UP
NDUFS6,0.0214838758111,0.0214838758111,0.0214838758111,0.0214838758111,human,UP
IFI27,0.0211379937827587,0.0211379937827587,0.0211379937827587,0.0211379937827587,human,UP
CYP3A5,0.0209431480616331,0.0209431480616331,0.0209431480616331,0.0209431480616331,human,UP
BACE2,0.0209220517426729,0.0209220517426729,0.0209220517426729,0.0209220517426729,human,UP
PABPC3,0.0203030463308095,0.0203030463308095,0.0203030463308095,0.0203030463308095,human,UP
SDC4,0.0202520210295915,0.0202520210295915,0.0202520210295915,0.0202520210295915,human,UP
CPB1,-0.3319495916366577,-0.3319495916366577,-0.3319495916366577,-0.3319495916366577,human,DOWN
CTRB2,-0.2500680088996887,-0.2500680088996887,-0.2500680088996887,-0.2500680088996887,human,DOWN
PNLIP,-0.2357626408338546,-0.2357626408338546,-0.2357626408338546,-0.2357626408338546,human,DOWN
REG1B,-0.2149406522512436,-0.2149406522512436,-0.2149406522512436,-0.2149406522512436,human,DOWN
PRSS2,-0.1903590559959411,-0.1903590559959411,-0.1903590559959411,-0.1903590559959411,human,DOWN
REG1A,-0.1894001364707946,-0.1894001364707946,-0.1894001364707946,-0.1894001364707946,human,DOWN
CELA3A,-0.1747387647628784,-0.1747387647628784,-0.1747387647628784,-0.1747387647628784,human,DOWN
CPA2,-0.1696080416440963,-0.1696080416440963,-0.1696080416440963,-0.1696080416440963,human,DOWN
PLA2G1B,-0.1611596792936325,-0.1611596792936325,-0.1611596792936325,-0.1611596792936325,human,DOWN
RPS4Y1,-0.1477870494127273,-0.1477870494127273,-0.1477870494127273,-0.1477870494127273,human,DOWN
PRSS1,-0.1465999335050583,-0.1465999335050583,-0.1465999335050583,-0.1465999335050583,human,DOWN
CPA1,-0.146102026104927,-0.146102026104927,-0.146102026104927,-0.146102026104927,human,DOWN
PRSS3,-0.1422808021306991,-0.1422808021306991,-0.1422808021306991,-0.1422808021306991,human,DOWN
CLPS,-0.1215366944670677,-0.1215366944670677,-0.1215366944670677,-0.1215366944670677,human,DOWN
CELA2A,-0.1028422862291336,-0.1028422862291336,-0.1028422862291336,-0.1028422862291336,human,DOWN
GCG,-0.0962247401475906,-0.0962247401475906,-0.0962247401475906,-0.0962247401475906,human,DOWN
INS,-0.091402418911457,-0.091402418911457,-0.091402418911457,-0.091402418911457,human,DOWN
LDHB,-0.0832912325859069,-0.0832912325859069,-0.0832912325859069,-0.0832912325859069,human,DOWN
CTRC,-0.0807727575302124,-0.0807727575302124,-0.0807727575302124,-0.0807727575302124,human,DOWN
CEL,-0.0769628882408142,-0.0769628882408142,-0.0769628882408142,-0.0769628882408142,human,DOWN
CELA2B,-0.0638714507222175,-0.0638714507222175,-0.0638714507222175,-0.0638714507222175,human,DOWN
RPL3,-0.0609928891062736,-0.0609928891062736,-0.0609928891062736,-0.0609928891062736,human,DOWN
IAPP,-0.0607188567519187,-0.0607188567519187,-0.0607188567519187,-0.0607188567519187,human,DOWN
RPL9,-0.059592880308628,-0.059592880308628,-0.059592880308628,-0.059592880308628,human,DOWN
CELA3B,-0.0576207973062992,-0.0576207973062992,-0.0576207973062992,-0.0576207973062992,human,DOWN
LUM,-0.0562312491238117,-0.0562312491238117,-0.0562312491238117,-0.0562312491238117,human,DOWN
RPS13,-0.0547777637839317,-0.0547777637839317,-0.0547777637839317,-0.0547777637839317,human,DOWN
BEX1,-0.0487148612737655,-0.0487148612737655,-0.0487148612737655,-0.0487148612737655,human,DOWN
RPL30,-0.0479083657264709,-0.0479083657264709,-0.0479083657264709,-0.0479083657264709,human,DOWN
SPARCL1,-0.0465403087437152,-0.0465403087437152,-0.0465403087437152,-0.0465403087437152,human,DOWN
RPL27,-0.0464830249547958,-0.0464830249547958,-0.0464830249547958,-0.0464830249547958,human,DOWN
RPL6,-0.0461812615394592,-0.0461812615394592,-0.0461812615394592,-0.0461812615394592,human,DOWN
DDIT4,-0.0435848459601402,-0.0435848459601402,-0.0435848459601402,-0.0435848459601402,human,DOWN
